LGA_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
LGA50080,313,4570,4882,4993,718,5707,1910,189,2101,1697,74,1772,737,38,777,408,19,425,10060,5605,15664
LGA50210,684,7283,7965,8978,1180,10152,5632,355,5991,5686,222,5900,2367,123,2484,1398,60,1458,24740,9218,33956
LGA50250,61,775,836,423,706,1129,209,79,285,255,74,325,152,30,183,70,26,94,1166,1699,2862
LGA50280,199,1584,1783,1897,513,2411,904,122,1030,828,106,940,303,33,337,100,14,120,4234,2381,6612
LGA50350,143,1963,2100,1882,289,2171,962,90,1050,845,47,887,272,13,288,112,14,129,4214,2416,6632
LGA50420,635,8634,9269,8325,1438,9758,4158,374,4534,3565,177,3747,1122,67,1188,538,33,566,18345,10720,29068
LGA50490,419,5896,6316,4704,1100,5806,2312,372,2675,1806,183,1988,706,66,773,415,27,435,10358,7644,17996
LGA50560,24,227,253,271,64,329,79,10,90,46,6,52,23,4,24,12,3,12,456,311,767
LGA50630,23,174,197,217,34,245,82,14,96,81,7,91,32,5,35,13,0,13,441,230,670
LGA50770,18,208,228,262,49,313,69,8,77,74,11,87,40,8,43,14,4,20,481,285,763
LGA50840,60,628,686,794,127,917,218,20,241,206,15,220,103,4,113,44,4,43,1430,794,2217
LGA50910,4,111,120,126,15,143,32,7,43,39,7,48,8,0,15,10,0,10,229,139,370
LGA50980,164,1676,1837,1171,2365,3534,779,320,1099,779,281,1060,439,129,567,332,68,395,3659,4833,8495
LGA51080,9,107,116,138,22,162,50,11,54,39,5,41,26,0,24,15,3,17,271,146,421
LGA51120,10,113,123,117,37,154,40,9,40,34,3,34,20,7,19,4,0,4,229,166,393
LGA51190,330,4847,5170,4235,735,4977,1645,191,1831,1351,76,1427,514,35,551,252,23,276,8327,5905,14228
LGA51260,441,3957,4405,5230,915,6143,2076,179,2257,1991,139,2134,800,62,863,324,25,350,10859,5279,16136
LGA51310,210,2456,2664,3015,310,3333,1427,99,1525,2029,49,2076,820,21,844,189,3,188,7691,2944,10634
LGA51330,572,7488,8065,8718,1346,10059,5584,648,6231,5920,412,6331,2366,197,2564,1233,92,1323,24392,10187,34578
LGA51400,188,1145,1332,2009,252,2252,1056,54,1113,1047,33,1082,501,17,513,197,7,204,4995,1502,6496
LGA51470,9,134,141,81,19,99,20,8,24,17,3,18,4,0,4,8,0,8,132,165,300
LGA51540,50,824,873,517,1080,1598,210,97,313,196,107,304,75,54,126,64,30,95,1117,2189,3306
LGA51610,15,93,116,206,48,252,73,17,90,75,13,91,36,9,39,11,4,15,422,176,594
LGA51680,62,344,414,705,82,788,322,28,349,262,22,284,143,3,152,99,5,103,1605,489,2092
LGA51710,14,154,169,109,24,130,63,13,78,65,5,71,32,0,33,11,0,11,292,201,499
LGA51750,89,1455,1546,1347,223,1571,540,61,599,562,27,591,231,12,242,54,4,54,2821,1777,4603
LGA51820,1039,10501,11545,12698,1732,14431,7442,477,7922,7303,241,7545,2540,107,2643,1048,41,1089,32070,13103,45173
LGA51860,0,22,23,33,11,45,20,6,27,16,8,20,18,0,18,24,0,29,114,52,168
LGA51890,77,1150,1230,1089,154,1243,425,41,466,401,32,432,178,19,194,75,5,81,2253,1402,3653
LGA51960,32,490,522,344,136,487,147,38,185,116,46,164,50,13,61,35,5,38,739,719,1456
LGA52030,15,163,180,172,66,238,35,8,40,39,6,43,9,0,7,5,0,9,280,243,519
LGA52100,13,136,144,148,15,163,46,8,51,37,5,39,24,0,21,3,0,3,262,163,427
LGA52170,79,803,882,928,165,1098,404,52,452,422,19,441,202,4,212,58,0,58,2085,1051,3138
LGA52240,12,154,161,142,27,170,49,8,56,45,0,44,21,0,18,9,5,14,274,195,468
LGA52310,16,115,130,148,22,166,43,3,38,33,0,33,8,3,11,7,0,12,246,145,397
LGA52380,0,97,96,18,35,50,4,5,7,0,0,0,0,5,5,0,3,3,20,146,161
LGA52450,13,154,168,130,27,159,54,6,54,57,10,69,28,0,28,17,0,16,301,193,492
LGA52520,11,134,142,131,35,166,61,13,77,59,10,74,35,6,40,13,9,19,309,207,519
LGA52590,52,422,468,503,163,669,125,19,147,117,16,139,49,3,58,24,0,24,866,631,1496
LGA52660,150,1256,1402,1785,230,2008,845,38,880,763,33,795,335,7,344,139,0,142,4014,1565,5578
LGA52730,100,818,915,829,218,1050,282,58,340,225,34,263,114,14,128,45,9,54,1594,1148,2745
LGA52800,42,865,907,415,688,1104,220,93,310,197,72,269,151,53,203,223,30,255,1241,1797,3043
LGA52870,72,603,674,916,121,1033,252,31,279,265,15,282,123,4,129,63,11,71,1691,778,2470
LGA52940,7,126,128,94,16,111,29,0,31,20,4,19,18,0,21,7,0,7,176,143,322
LGA53010,6,79,87,89,22,110,22,15,34,33,5,35,13,0,12,3,0,8,162,124,279
LGA53080,8,183,188,73,53,122,23,7,32,14,6,19,6,3,11,5,0,5,127,246,372
LGA53150,53,791,846,875,122,999,423,31,455,487,12,501,164,7,173,49,0,49,2058,968,3022
LGA53220,40,777,815,363,386,746,233,53,288,239,46,287,140,15,155,147,20,165,1166,1292,2456
LGA53290,163,1683,1841,1594,422,2018,644,93,730,593,72,668,267,47,309,133,13,142,3389,2329,5720
LGA53360,54,426,481,293,943,1236,142,95,233,147,126,276,70,34,107,30,38,78,744,1666,2404
LGA53430,333,4712,5051,3964,850,4813,1707,246,1955,1436,110,1550,447,33,481,137,20,157,8042,5966,14005
LGA53570,75,604,681,758,175,936,246,35,272,187,28,212,80,6,87,70,5,78,1412,856,2268
LGA53640,7,135,149,155,22,175,51,9,54,63,5,69,21,3,24,16,3,20,312,174,488
LGA53710,11,139,147,142,34,175,34,5,44,33,0,38,25,0,25,5,0,5,253,178,429
LGA53780,743,9615,10355,11158,1588,12747,7223,564,7789,7361,345,7704,3324,173,3496,2181,94,2278,31996,12376,44372
LGA53800,460,4420,4880,4465,982,5450,2058,267,2325,1724,161,1886,772,97,867,447,57,500,9920,5990,15910
LGA53920,4,406,412,148,295,441,133,34,165,106,28,132,77,14,94,175,15,185,642,789,1430
LGA53990,284,2259,2540,3448,359,3809,1519,81,1602,1571,63,1631,670,33,706,328,21,347,7815,2817,10626
LGA54060,60,520,578,517,183,705,168,27,194,143,24,167,61,11,73,19,0,20,973,766,1746
LGA54130,15,163,175,143,40,178,42,4,45,57,5,63,26,4,26,4,0,8,283,217,503
LGA54170,1363,10985,12351,18727,1485,20215,9811,429,10244,10777,216,10990,3732,87,3818,1193,38,1238,45607,13245,58848
LGA54200,485,4808,5298,6828,647,7476,3388,150,3535,3369,98,3467,1460,35,1504,631,32,659,16165,5774,21938
LGA54280,236,3333,3568,2707,799,3506,1507,223,1736,1411,136,1552,673,75,753,360,27,383,6899,4600,11495
LGA54310,205,1909,2117,1504,1039,2539,957,231,1192,1191,202,1390,594,107,697,293,55,345,4741,3549,8287
LGA54340,24,452,478,459,94,552,204,30,234,157,17,172,64,13,77,75,13,90,983,621,1602
LGA54410,11,159,172,156,29,182,49,7,57,35,9,42,14,0,15,8,3,12,281,214,487
LGA54480,0,55,55,55,16,72,18,6,25,25,0,28,10,5,16,0,0,0,111,82,200
LGA54550,11,275,277,243,54,295,83,5,90,74,5,85,43,0,43,18,0,18,467,337,810
LGA54620,10,120,133,112,40,152,33,6,34,21,8,28,21,8,20,6,0,8,202,182,381
LGA54690,4,62,72,48,7,53,15,0,15,11,0,16,10,0,7,4,0,4,94,76,170
LGA54760,9,76,89,101,20,121,28,5,35,34,9,37,16,0,16,6,0,6,197,112,303
LGA54830,392,3796,4187,4112,657,4768,2714,182,2899,2550,110,2657,1133,58,1195,634,31,667,11540,4838,16373
LGA54900,14,176,185,159,33,193,57,9,66,60,0,57,29,4,31,9,0,9,320,219,537
LGA54970,6,131,131,43,30,74,16,5,23,19,3,25,5,0,10,21,0,21,115,172,287
LGA55040,9,211,223,84,94,177,36,6,39,40,15,55,20,5,24,18,7,22,209,334,547
LGA55110,1023,10203,11224,12360,1419,13784,4764,299,5059,4062,169,4233,1661,75,1735,754,47,800,24619,12217,36833
LGA55180,92,1219,1308,1212,229,1446,427,47,471,347,32,380,174,17,193,68,15,77,2322,1555,3877
LGA55250,6,165,169,67,78,144,43,14,60,20,13,29,16,8,20,21,0,23,170,277,444
LGA55320,712,9473,10187,11924,1253,13179,5958,392,6348,6416,199,6617,2355,86,2438,789,33,822,28152,11438,39588
LGA55390,0,70,72,17,26,42,8,4,7,6,0,5,3,0,3,5,0,5,35,101,138
LGA55460,28,442,469,387,85,471,146,36,177,117,20,138,59,6,69,21,3,27,759,590,1351
LGA55530,0,72,74,49,54,103,17,12,25,18,0,15,11,0,14,0,0,5,101,140,239
LGA55600,25,300,325,265,65,331,111,19,131,93,15,108,38,3,43,17,8,28,545,413,963
LGA55670,7,88,97,69,40,114,23,3,26,17,4,19,14,3,11,10,4,14,134,148,278
LGA55740,80,1191,1274,935,176,1113,445,41,490,503,24,526,232,15,245,49,0,54,2247,1452,3702
LGA55810,5,123,131,39,79,118,8,12,18,7,12,23,5,9,17,6,10,12,71,246,316
LGA55880,6,68,77,60,15,74,25,4,26,16,0,16,6,5,11,5,0,5,115,89,205
LGA55950,4,70,70,78,25,102,32,3,39,19,0,24,10,5,16,11,0,11,148,105,256
LGA56090,351,2867,3218,4698,408,5109,2154,102,2256,2008,58,2065,893,29,922,382,18,402,10489,3485,13971
LGA56160,0,26,25,9,24,36,0,0,0,3,3,3,5,0,5,6,0,6,28,47,72
LGA56230,217,1709,1935,2369,301,2671,904,80,982,804,54,863,366,31,395,222,11,231,4878,2194,7075
LGA56300,12,216,235,253,74,323,65,14,75,45,7,56,19,6,26,6,5,15,403,319,722
LGA56370,5,95,103,102,28,125,45,9,49,27,7,30,8,3,17,4,0,6,189,133,325
LGA56460,47,695,734,577,118,695,222,39,257,166,23,195,92,15,105,42,0,42,1143,886,2026
LGA56580,135,1483,1622,2230,229,2463,1125,94,1222,1503,78,1579,688,19,700,182,7,187,5865,1916,7771
LGA56620,0,141,147,49,35,84,48,3,51,34,0,37,42,0,42,78,0,78,253,184,436
LGA56730,121,1298,1418,1334,234,1567,511,56,567,448,56,501,214,31,244,149,16,165,2777,1683,4456
LGA56790,32,496,531,470,461,934,125,51,174,89,44,131,55,14,72,34,12,39,806,1081,1880
LGA56860,6,36,38,35,15,48,9,7,15,8,0,8,5,0,5,0,0,0,61,53,115
LGA56930,8,119,126,164,8,181,87,5,84,80,0,82,46,4,49,21,0,21,404,138,540
LGA57000,0,78,76,53,20,71,14,6,23,16,5,19,9,6,14,0,0,0,93,117,209
