LGA_CODE_2021,P_15_19_Mgrs,P_15_19_Profnls,P_15_19_Techs_trades_workers,P_15_19_Comm_psnl_serv_wrkrs,P_15_19_Cler_admin_wrkrs,P_15_19_Sales_wrkrs,P_15_19_Mach_oper_dvrs,P_15_19_Labrs,P_15_19_Inad_desc_Ns,P_15_19_Tot,P_20_24_Mgrs,P_20_24_Profnls,P_20_24_Techs_trades_wrkrs,P_20_24_Comm_psnl_serv_wrkrs,P_20_24_Cler_admin_wrkrs,P_20_24_Sales_wrkrs,P_20_24_Mach_oper_dvrs,P_20_24_Labrs,P_20_24_Inad_desc_Ns,P_20_24_Tot,P_25_34_Mgrs,P_25_34_Profnls,P_25_34_Techs_trades_wrkrs,P_25_34_Comm_psnl_serv_wrkrs,P_25_34_Cler_admin_wrkrs,P_25_34_Sales_wrkrs,P_25_34_Mach_oper_dvrs,P_25_34_Labrs,P_25_34_Inad_desc_Ns,P_25_34_Tot,P_35_44_Mgrs,P_35_44_Profnls,P_35_44_Techs_trades_wrkrs,P_35_44_Comm_psnl_serv_wrkrs,P_35_44_Cler_admin_wrkrs,P_35_44_Sales_wrkrs,P_35_44_Mach_oper_dvrs,P_35_44_Labrs,P_35_44_Inad_desc_Ns,P_35_44_Tot,P_45_54_Mgrs,P_45_54_Profnls,P_45_54_Techs_trades_wrkrs,P_45_54_Comm_psnl_serv_wrkrs,P_45_54_Cler_admin_wrkrs,P_45_54_Sales_wrkrs,P_45_54_Mach_oper_dvrs,P_45_54_Labrs,P_45_54_Inad_desc_Ns,P_45_54_Tot,P_55_64_Mgrs,P_55_64_Profnls,P_55_64_Techs_trades_wrkrs,P_55_64_Comm_psnl_serv_wrkrs,P_55_64_Cler_admin_wrkrs,P_55_64_Sales_wrkrs,P_55_64_Mach_oper_dvrs,P_55_64_Labrs,P_55_64_Inad_desc_Ns,P_55_64_Tot,P_65_74_Mgrs,P_65_74_Profnls,P_65_74_Techs_trades_wrkrs,P_65_74_Comm_psnl_serv_wrkrs,P_65_74_Cler_admin_wrkrs,P_65_74_Sales_wrkrs,P_65_74_Mach_oper_dvrs,P_65_74_Labrs,P_65_74_Inad_desc_Ns,P_65_74_Tot,P_75_84_Mgrs,P_75_84_Profnls,P_75_84_Techs_trades_wrkrs,P_75_84_Comm_psnl_serv_wrkrs,P_75_84_Cler_admin_wrkrs,P_75_84_Sales_wrkrs,P_75_84_Mach_oper_dvrs,P_75_84_Labrs,P_75_84_Inad_desc_Ns,P_75_84_Tot,P_85_yr_over_Mgrs,P_85_yr_over_Profnls,P_85ov_Techs_trades_wrkrs,P_85ov_Com_psnl_serv_wrkrs,P_85_yr_over_Cler_admin_wrkrs,P_85_yr_over_Sales_wrkrs,P_85_yr_over_Mach_oper_dvrs,P_85_yr_over_Labrs,P_85_yr_over_Inad_desc_Ns,P_85_yr_over_Tot,P_Tot_Mgrs,P_Tot_Profnls,P_Tot_Techs_trades_wrkrs,P_Tot_Comm_psnl_serv_wrkrs,P_Tot_Cler_admin_wrkrs,P_Tot_Sales_wrkrs,P_Tot_Mach_oper_dvrs,P_Tot_Labrs,P_Tot_Inad_desc_Ns,P_Tot_Tot
LGA50080,17,14,190,243,49,404,31,329,29,1306,46,107,309,237,86,165,72,228,16,1263,226,587,639,377,281,243,185,353,39,2927,416,677,485,446,385,235,188,381,45,3258,585,767,506,563,444,273,266,387,52,3841,528,672,388,487,471,246,275,378,44,3500,260,192,124,98,127,69,89,133,16,1108,69,23,14,7,11,13,9,21,11,171,11,0,0,0,0,0,0,4,7,18,2167,3043,2652,2461,1841,1649,1111,2211,252,17393
LGA50210,33,35,282,314,94,793,133,568,47,2304,151,325,731,622,398,546,342,538,62,3719,867,2011,1954,1257,1311,658,978,878,211,10132,1346,2766,1895,1380,1538,618,1142,874,204,11755,946,1480,1243,1058,1182,433,854,765,141,8105,628,899,824,710,933,373,756,602,83,5815,172,213,200,168,206,109,172,159,25,1423,35,30,25,4,14,7,10,25,3,151,0,0,0,0,0,0,0,0,5,9,4177,7766,7146,5513,5679,3544,4382,4407,790,43411
LGA50250,0,0,18,21,5,23,14,49,8,136,9,66,117,35,22,11,80,122,11,471,115,334,619,126,118,16,382,257,28,2002,171,235,643,104,130,26,527,163,40,2044,158,168,517,77,102,30,541,191,45,1822,138,115,305,51,96,33,466,113,24,1349,31,43,45,12,12,7,68,22,6,246,10,0,4,0,0,0,0,3,3,20,0,0,0,0,0,0,0,0,0,0,633,975,2268,416,491,148,2072,922,161,8091
LGA50280,3,6,58,113,4,131,7,120,6,453,17,14,77,69,12,45,11,90,0,338,162,246,299,208,88,81,53,211,11,1364,310,470,368,226,171,112,113,243,26,2035,344,378,284,192,189,151,100,204,25,1873,249,273,209,145,176,127,91,177,23,1479,144,104,51,10,55,40,31,56,15,508,35,8,3,4,11,4,3,9,6,77,8,0,0,0,0,0,0,0,3,12,1277,1507,1359,967,709,689,411,1111,113,8147
LGA50350,4,9,29,85,16,96,24,95,8,355,39,79,107,131,67,102,34,74,11,634,184,543,277,204,181,106,85,97,31,1704,257,627,284,158,237,97,89,93,26,1872,251,448,234,165,277,91,92,87,20,1669,183,270,164,145,219,86,91,122,12,1282,31,69,40,43,58,28,31,42,0,333,0,11,5,5,3,3,0,8,0,37,0,0,0,0,0,0,0,0,0,0,946,2042,1141,929,1060,607,445,613,116,7887
LGA50420,15,30,125,295,51,501,63,344,13,1449,126,496,403,680,339,529,207,369,40,3195,878,3069,1344,1113,1077,530,484,603,164,9264,1302,2774,1115,791,1054,366,407,492,147,8448,1100,1740,910,646,1047,330,386,482,104,6739,670,1072,668,555,906,313,367,453,65,5064,197,334,205,145,238,113,104,155,15,1506,15,48,14,6,32,11,15,21,5,158,0,0,0,0,0,0,0,3,0,12,4303,9555,4777,4233,4745,2698,2031,2919,562,35829
LGA50490,16,18,81,137,44,290,28,179,12,809,92,287,359,439,244,337,145,240,41,2187,560,1735,1127,795,745,358,513,552,140,6533,630,1267,808,512,598,234,400,386,83,4928,513,742,546,409,535,176,406,291,62,3672,355,428,389,271,524,174,319,297,49,2808,100,141,92,76,102,48,97,92,12,762,13,19,4,4,14,5,7,11,3,81,0,0,0,0,7,0,0,0,3,9,2282,4629,3414,2635,2811,1632,1918,2039,411,21783
LGA50560,5,0,0,0,0,0,0,7,0,22,0,0,0,3,0,0,0,4,0,17,12,9,13,9,6,5,11,12,0,75,28,18,14,9,9,0,11,9,0,101,37,21,14,14,18,5,17,13,0,135,41,13,17,9,15,12,15,23,3,152,31,11,13,3,5,3,4,5,5,82,7,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,158,67,73,53,55,31,67,84,17,603
LGA50630,0,0,4,3,0,0,3,7,0,15,0,3,20,5,0,3,7,10,0,54,8,24,50,9,9,0,35,29,3,174,35,25,63,15,13,6,59,16,4,234,29,37,52,12,21,5,87,23,5,264,26,23,50,13,24,10,78,17,0,240,14,9,5,0,5,0,13,3,0,57,10,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,122,126,248,61,80,26,277,103,15,1067
LGA50770,0,0,3,0,4,8,6,8,0,30,4,5,8,4,5,11,3,12,0,59,16,14,14,0,13,3,10,12,5,90,51,22,21,14,10,8,17,13,0,156,58,19,22,11,21,8,8,24,0,162,62,14,17,8,22,5,29,14,0,180,49,9,0,4,0,0,5,8,4,79,27,0,0,0,4,0,0,8,0,41,0,0,0,0,0,0,0,0,0,0,279,85,86,44,77,38,67,100,6,786
LGA50840,0,0,15,26,7,24,0,33,0,102,4,8,31,13,3,10,17,24,0,111,37,46,71,32,13,20,41,50,4,312,51,91,78,38,32,23,44,30,6,407,106,80,83,69,51,29,66,55,10,542,90,80,85,60,67,32,71,63,12,556,69,28,20,12,18,14,20,29,0,202,23,4,0,3,4,0,0,3,0,37,3,0,0,0,0,0,0,0,0,3,379,344,384,254,192,150,260,281,36,2279
LGA50910,4,0,0,0,0,0,0,0,0,8,4,9,0,0,0,4,0,8,0,19,7,12,4,3,5,4,5,8,4,55,19,3,6,12,9,3,10,7,0,64,39,4,10,3,5,3,10,17,0,96,36,9,5,6,7,3,7,8,0,84,21,0,7,7,3,0,0,5,0,45,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,128,37,38,35,32,22,32,57,4,382
