LGA_CODE_2021,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Com_hs_pr_DS_Sep_hse,R_Com_hs_pr_DS_Sd_ro_ter_h_t,R_Com_hs_pr_DS_Flt_apt,R_Com_hs_pr_DS_Oth_dwel,R_Com_hs_pr_DS_NS,R_Com_hs_pr_Total,R_Psn_ns_HH_DS_Sep_hse,R_Psn_ns_HH_DS_Sd_r_te_h_t,R_Psn_ns_HH_DS_Flt_apt,R_Psn_ns_HH_DS_Oth_dwe,R_Psn_ns_HH_DS_NS,R_Psn_ns_HH_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
LGA50080,5293,183,12,173,16,5666,4704,89,12,7,9,4818,1349,241,16,4,0,1603,432,165,7,0,3,605,96,158,10,0,0,270,1023,90,4,6,0,1125,164,40,9,85,5,303,15,16,0,0,0,33,3076,704,48,93,11,3938,284,96,6,14,0,408,604,105,0,115,8,835,13967,1175,74,401,53,15664
LGA50210,6445,442,24,155,8,7070,16983,541,35,9,8,17578,3310,913,55,0,8,4284,283,300,32,0,0,618,24,114,25,0,0,170,1593,238,17,3,6,1859,171,55,3,48,0,278,23,17,4,0,0,43,5413,1637,138,58,11,7248,229,133,24,8,7,391,1277,259,35,81,10,1663,30340,3014,252,312,43,33956
LGA50250,111,0,4,437,47,597,36,3,0,24,8,68,65,9,15,3,0,88,77,9,0,0,3,92,48,4,3,3,0,60,32,3,3,28,6,79,927,44,15,145,44,1174,6,0,4,0,0,8,1153,76,36,180,55,1501,176,17,14,42,30,280,230,10,3,120,54,414,1702,100,54,808,192,2862
LGA50280,1994,62,3,65,13,2135,2162,55,9,4,8,2230,499,50,3,3,4,564,56,39,10,0,0,95,8,11,0,0,0,14,615,43,8,11,5,687,75,0,0,57,8,136,4,0,0,0,0,9,1257,138,21,73,13,1512,144,36,9,13,5,200,419,23,5,79,13,535,5972,307,44,231,56,6612
LGA50350,1630,202,69,0,0,1909,2170,312,75,0,6,2555,588,214,80,0,4,885,125,149,30,0,0,298,35,31,0,0,0,65,327,93,23,0,0,447,15,8,0,0,0,26,6,7,0,0,0,18,1095,501,137,5,4,1738,60,35,9,0,0,100,214,85,15,4,0,323,5174,1137,305,8,10,6632
LGA50420,7046,988,280,7,0,8323,7999,1550,589,4,4,10145,2576,1510,1263,0,7,5350,235,410,142,0,0,788,35,80,19,0,0,135,1477,571,380,0,0,2433,164,82,36,0,5,293,11,19,7,0,0,40,4502,2666,1849,3,11,9037,208,139,32,0,0,384,629,316,199,24,14,1182,20382,5655,2961,34,38,29068
LGA50490,3097,464,236,20,4,3813,3954,831,542,0,5,5334,2207,1188,1277,0,4,4681,502,461,57,0,0,1027,70,70,7,0,0,148,896,325,248,0,3,1476,129,49,18,6,8,218,31,11,5,0,0,54,3834,2110,1617,9,18,7593,143,42,19,0,0,204,591,255,181,15,12,1049,11613,3697,2604,42,41,17996
LGA50560,366,0,0,5,0,375,175,0,0,5,0,180,19,0,0,0,0,19,7,6,0,0,0,10,0,0,0,3,0,4,36,0,0,0,0,42,7,0,0,0,0,7,0,0,0,0,0,0,70,6,0,8,0,83,37,0,0,0,0,38,83,7,0,0,0,91,724,15,0,18,4,767
LGA50630,204,0,0,8,0,206,200,0,0,0,0,201,62,9,0,0,0,71,12,0,0,0,0,17,4,3,0,0,0,5,44,0,0,0,0,44,37,0,0,3,0,39,0,0,0,0,0,0,158,15,0,3,0,178,17,5,0,0,0,19,52,11,0,5,0,66,629,28,0,15,6,670
LGA50770,346,0,0,0,0,352,170,0,0,0,0,170,21,0,0,0,0,21,12,0,0,0,0,12,0,0,0,0,0,0,55,0,0,0,0,60,20,0,0,0,0,20,0,0,0,0,0,0,114,3,0,0,0,121,37,0,0,0,0,42,79,0,0,4,0,81,753,7,0,7,0,763
