LGA_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christian_Assyrian_Apostol_M,Christian_Assyrian_Apostol_F,Christian_Assyrian_Apostol_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christian_Churches_Christ_M,Christian_Churches_Christ_F,Christian_Churches_Christ_P,Christian_Eastern_Orthodox_M,Christian_Eastern_Orthodox_F,Christian_Eastern_Orthodox_P,Christian_Jehovah_Witnesses_M,Christian_Jehovah_Witnesses_F,Christian_Jehovah_Witnesses_P,Christian_Latter_Day_Saints_M,Christian_Latter_Day_Saints_F,Christian_Latter_Day_Saints_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christian_Oriental_Orthodox_M,Christian_Oriental_Orthodox_F,Christian_Oriental_Orthodox_P,Christian_Other_Protestant_M,Christian_Other_Protestant_F,Christian_Other_Protestant_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christian_Presbyt_Reformed_M,Christian_Presbyt_Reformed_F,Christian_Presbyt_Reformed_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christian_Sevnth_day_Advent_M,Christian_Sevnth_day_Advent_F,Christian_Sevnth_day_Advent_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Oth_Rel_Aus_Abor_Trad_Rel_M,Oth_Rel_Aus_Abor_Trad_Rel_F,Oth_Rel_Aus_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Oth_Relig_Oth_Rel_Groups_M,Oth_Relig_Oth_Rel_Groups_F,Oth_Relig_Oth_Rel_Groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_No_Religion_M,SB_OSB_NRA_No_Religion_F,SB_OSB_NRA_No_Religion_P,SB_OSB_NRA_Sec_Beliefs_M,SB_OSB_NRA_Sec_Beliefs_F,SB_OSB_NRA_Sec_Beliefs_P,SB_OSB_NRA_Oth_Sp_Beliefs_M,SB_OSB_NRA_Oth_Sp_Beliefs_F,SB_OSB_NRA_Oth_Sp_Beliefs_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
LGA50080,107,191,297,1919,2526,4440,0,0,0,570,591,1166,49,49,98,1825,2170,3993,91,104,192,44,34,77,69,113,181,28,34,64,45,75,121,4,0,4,100,127,226,135,164,297,419,496,920,29,43,73,83,80,168,400,577,975,817,996,1814,16,12,31,6632,8204,14841,64,52,112,49,61,109,9,8,23,0,0,0,18,15,28,67,118,185,88,131,218,9757,9392,19150,64,41,105,31,60,95,9858,9494,19353,1765,1325,3097,31,23,56,18606,19494,38102
LGA50210,903,1212,2114,3598,4438,8040,0,0,0,1059,1150,2211,107,108,218,6558,7401,13963,82,100,184,105,126,238,171,218,390,103,116,222,81,88,168,115,95,212,288,313,598,826,975,1801,1053,1177,2224,39,53,95,253,283,535,383,510,895,2145,2470,4614,74,93,164,17042,19731,36778,2164,2147,4311,1323,1352,2676,16,16,37,3,0,6,1124,1008,2130,167,269,429,1294,1275,2572,19269,18349,37617,147,98,243,55,84,142,19477,18527,38003,2947,2805,5753,75,114,184,45238,47183,92423
LGA50250,82,83,162,738,409,1147,0,0,0,122,51,170,0,0,0,1382,706,2086,5,4,7,47,19,62,12,16,25,19,13,34,22,17,36,3,0,3,21,11,33,48,24,70,102,45,148,6,3,12,18,16,34,129,77,202,183,109,293,6,4,8,2862,1524,4386,49,13,64,76,34,107,3,0,8,51,52,104,10,0,10,12,14,26,75,66,147,4014,2123,6138,19,5,26,13,9,20,4045,2138,6180,3258,1123,4383,63,44,102,10516,5022,15541
LGA50280,92,113,209,687,846,1532,0,0,0,72,83,154,0,0,0,779,923,1701,9,9,18,24,22,47,39,52,94,5,5,8,9,25,37,0,0,0,18,20,42,18,23,43,65,78,142,0,0,0,5,6,9,102,154,255,153,184,333,5,6,11,1990,2437,4429,19,21,33,21,25,46,9,5,12,0,3,8,10,3,13,16,37,58,31,44,74,4962,4853,9813,31,24,58,13,25,35,5009,4896,9903,873,841,1714,82,25,101,8115,8410,16524
LGA50350,107,192,301,623,847,1468,0,0,0,70,81,146,0,0,0,1491,1821,3310,32,33,65,89,81,174,26,30,52,9,9,18,14,32,48,7,6,10,40,41,86,52,47,99,50,75,128,16,19,35,3,10,13,71,117,187,225,267,497,13,13,26,2824,3534,6363,95,98,199,95,80,174,11,9,14,0,0,0,10,19,27,28,51,84,40,68,110,3779,3524,7299,49,33,77,4,11,16,3829,3574,7400,524,443,971,8,16,26,7535,8012,15542
LGA50420,1140,1530,2669,2181,2637,4821,0,0,0,290,373,669,0,0,4,8178,9069,17243,79,105,190,756,773,1525,80,98,185,42,53,93,57,74,132,47,53,107,155,212,368,190,251,444,273,311,586,29,42,74,46,59,110,323,489,813,898,989,1880,28,43,74,13666,15634,29305,912,789,1702,1151,1030,2181,248,267,511,0,0,0,243,208,445,152,180,334,391,394,786,13899,12825,26724,130,104,237,51,82,140,14082,13017,27096,1887,1711,3597,47,67,115,33533,34435,67963
LGA50490,740,930,1672,1349,1613,2960,0,0,0,213,229,441,0,0,4,4096,4509,8605,34,32,68,144,141,279,66,79,149,52,61,114,30,44,74,23,26,49,116,152,268,180,244,422,200,219,417,19,40,60,55,70,127,223,276,502,613,764,1377,19,20,41,7434,8518,15955,712,562,1273,1763,1557,3324,5,10,25,0,0,0,226,134,360,70,103,176,299,233,536,8227,7152,15376,79,60,139,27,29,56,8329,7243,15572,1842,1600,3442,96,57,159,21232,20719,41953
LGA50560,0,0,3,176,169,345,0,0,0,8,6,14,0,0,0,80,95,176,3,3,4,0,4,6,0,0,0,0,0,0,0,0,6,0,0,0,9,8,15,5,6,12,10,17,24,5,6,8,0,6,0,17,28,47,20,27,49,0,6,0,334,376,712,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9,4,5,9,348,306,653,0,0,3,0,0,0,348,309,654,121,107,226,0,5,4,809,809,1620
LGA50630,7,15,21,159,122,282,0,0,0,16,15,31,0,0,0,138,116,255,0,0,0,4,0,8,0,0,5,0,0,0,4,9,10,0,0,0,0,0,9,6,5,5,12,13,22,0,0,0,6,4,10,17,17,33,40,27,70,0,0,0,412,329,738,4,3,5,3,0,9,0,0,0,0,0,0,0,0,0,3,5,8,3,3,8,622,403,1031,3,0,3,0,3,5,629,410,1040,101,92,192,4,0,5,1158,853,2011
LGA50770,0,3,7,134,159,292,0,0,0,18,22,38,0,6,9,116,119,243,4,0,8,0,0,0,0,6,3,0,0,3,0,0,7,0,0,0,0,0,6,0,3,3,8,6,15,5,0,8,11,11,22,25,18,40,32,36,65,0,0,0,353,395,754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,17,9,9,17,396,378,776,3,6,5,6,0,3,407,382,789,118,105,222,0,0,0,890,896,1790
