LGA_CODE_2021,Aus_Both_prnts_born_os,Aus_Father_only_born_os,Aus_Mother_only_born_os,Aus_Both_prnts_born_Aus,Aus_bp_ns,Aus_Tot_R,Aus_Abor_Both_pare_brn_os,Aus_Abor_Father_only_brn_os,Aus_Abor_Mother_only_brn_os,Aus_Abor_Both_pare_brn_Aus,Aus_Abor_bp_ns,Aus_Aborigin_Tot_R,Chin_Both_prnts_born_os,Chin_Father_only_born_os,Chin_Mother_only_born_os,Chin_Bth_prnts_born_Aus,Chin_bp_ns,Chin_Tot_R,Croat_Both_prnts_born_os,Croat_Father_only_born_os,Croat_Mother_only_born_os,Croat_Bth_parnts_born_Aus,Croat_bp_ns,Croat_Tot_R,Dutch_Both_prnts_born_os,Dutch_Father_only_born_os,Dutch_Mother_only_born_os,Dutch_Both_prnts_born_Aus,Dutch_bp_ns,Dutch_Tot_R,Eng_Both_prnts_born_os,Eng_Father_only_born_os,Eng_Mother_only_born_os,Eng_Both_prnts_born_Aus,Eng_bp_ns,Eng_Tot_R,Fili_Both_prnts_born_os,Fili_Father_only_born_os,Fili_Mother_only_born_os,Fili_Both_prnts_born_Aus,Fili_bp_ns,Fili_Tot_R,Fren_Both_prnts_born_os,Fren_Father_only_born_os,Fren_Mother_only_born_os,Fren_Both_prnts_born_Aus,Fren_bp_ns,Fren_Tot_R,Ger_Both_prnts_born_os,Ger_Father_only_born_os,Ger_Mother_only_born_os,Ger_Both_prnts_born_Aus,Ger_bp_ns,Ger_Tot_R,Greek_Both_prnts_born_os,Greek_Father_only_born_os,Greek_Mother_only_born_os,Greek_Both_prnts_born_Aus,Greek_bp_ns,Greek_Tot_R,Hung_Bth_prnts_born_os,Hung_Father_only_born_os,Hung_Mother_only_born_os,Hung_Bth_prents_brn_Aus,Hung_bp_ns,Hung_Tot_R,Ind_Both_prnts_born_os,Ind_Father_only_born_os,Ind_Mother_only_born_os,Ind_Both_prnts_born_Aus,Ind_bp_ns,Ind_Tot_R,Irish_Both_prnts_born_os,Irish_Father_only_born_os,Irish_Mother_only_born_os,Irish_Both_prnts_born_Aus,Irish_bp_ns,Irish_Tot_R,Ital_Both_prnts_born_os,Ital_Father_only_born_os,Ital_Mother_only_born_os,Ital_Bth_prnts_born_Aus,Ital_bp_ns,Ital_Tot_R,Kor_Both_prnts_born_os,Kor_Father_only_born_os,Kor_Mother_only_born_os,Kor_Both_prnts_born_Aus,Kor_bp_ns,Kor_Tot_R,Leb_Both_prnts_born_os,Leb_Father_only_born_os,Leb_Mother_only_born_os,Leb_Bth_prents_born_Aus,Leb_bp_ns,Leb_Tot_R,Mac_Bth_parnts_born_os,Mac_Father_only_brn_os,Mac_Mother_only_brn_os,Mac_Bth_prnts_brn_Aus,Mac_bp_ns,Mac_Tot_R,Malt_Both_prnts_born_os,Malt_Father_only_born_os,Malt_Mother_only_born_os,Malt_Bth_prnts_born_Aus,Malt_bp_ns,Malt_Tot_R,Maori_Both_prnts_born_os,Maori_Father_only_born_os,Maori_Mother_only_born_os,Maori_Both_prnts_born_Aus,Maori_bp_ns,Maori_Tot_R,NZ_Both_prnts_born_os,NZ_Father_only_born_os,NZ_Mother_only_born_os,NZ_Both_prnts_born_Aus,NZ_bp_ns,NZ_Tot_R,Pol_Both_prnts_born_os,Pol_Father_only_born_os,Pol_Mother_only_born_os,Pol_Both_prnts_born_Aus,Pol_bp_ns,Pol_Tot_R,Russ_Both_prnts_born_os,Russ_Father_only_born_os,Russ_Mother_only_born_os,Russ_Bth_prnts_born_Aus,Russ_bp_ns,Russ_Tot_R,Samoan_Both_prnts_born_os,Samoan_Father_only_born_os,Samoan_Mother_only_born_os,Samoan_Bth_prnts_born_Aus,Samoan_bp_ns,Samoan_Tot_R,Scott_Both_prnts_born_os,Scott_Father_only_born_os,Scott_Mother_only_born_os,Scott_Bth_prnts_brn_Aus,Scott_bp_ns,Scott_Tot_R,Serb_Both_prnts_born_os,Serb_Father_only_born_os,Serb_Mother_only_born_os,Serb_Bth_prnts_born_Aus,Serb_bp_ns,Serb_Tot_R,SthA_Both_prnts_born_os,SthA_Father_only_born_os,SthA_Mother_only_born_os,SthA_Bth_prnts_born_Aus,SthA_bp_ns,SthA_Tot_R,Span_Both_prnts_born_os,Span_Father_only_born_os,Span_Mother_only_born_os,Span_Bth_prnts_born_Aus,Span_bp_ns,Span_Tot_R,Sri_Lkn_Bth_prnts_born_os,Sri_Lkn_Father_only_born_os,Sri_Lkn_Mother_only_born_os,Sri_Lkn_Bth_prents_brn_Aus,Sri_Lkn_bp_ns,Sri_Lkn_Tot_R,Viet_Bth_prnts_brn_os,Viet_Father_only_brn_os,Viet_Mother_only_brn_os,Viet_Bth_prnts_brn_Aus,Viet_bp_ns,Viet_Tot_R,Welsh_Both_prnts_born_os,Welsh_Father_only_born_os,Welsh_Mother_only_born_os,Welsh_Both_prnts_born_Aus,Welsh_bp_ns,Welsh_Tot_R,Oth_Both_prnts_born_os,Oth_Father_only_born_os,Oth_Mother_only_born_os,Oth_Both_prnts_born_Aus,Oth_bp_ns,Oth_Tot_R,Ancest_ns_Bth_parnts_brn_os,Ancest_ns_Fther_only_brn_os,Ancest_ns_Mther_only_brn_os,Ancest_ns_Bth_prnt_brn_Aus,Ancest_ns_bp_ns,Ancest_ns_Tot_R,Tot_P_Bth_parnts_brn_os,Tot_P_Fther_only_brn_os,Tot_P_Mther_only_brn_os,Tot_P_Bth_prnts_brn_Aus,Tot_P_bp_ns,Tot_P_Tot_R
LGA50080,347,1794,1585,11207,165,15102,4,66,32,1112,25,1235,226,5,28,41,0,302,41,14,14,66,0,140,609,189,106,478,9,1391,4564,1831,1518,9815,193,17923,648,8,48,16,3,725,106,24,17,46,0,183,420,112,125,764,13,1431,33,12,0,49,0,98,40,3,8,13,0,66,160,10,12,31,4,209,698,253,216,2106,28,3305,383,158,70,730,8,1349,18,0,8,4,0,24,6,0,4,3,0,13,9,0,3,14,0,30,22,5,4,11,0,38,114,21,26,11,0,182,153,93,53,48,0,349,214,53,26,138,3,427,34,0,6,12,0,50,3,0,0,0,0,3,1022,347,302,2128,17,3822,21,4,0,13,0,44,262,27,25,12,0,331,57,8,6,21,0,91,21,6,5,0,0,33,36,0,4,3,0,41,204,39,45,115,7,408,1349,237,227,374,18,2211,99,28,22,195,2040,2369,9439,3124,2575,20465,2444,38047
LGA50210,1648,4473,3441,16642,240,26439,31,170,145,2295,72,2712,3367,78,161,89,16,3712,143,51,31,151,7,382,1434,447,266,812,16,2979,13003,3963,3194,13336,322,33820,2362,26,125,39,11,2564,283,35,29,90,4,432,883,219,165,1038,17,2311,57,37,28,82,0,204,137,13,11,32,0,195,6071,119,49,64,5,6312,2191,556,409,2822,28,6007,922,438,239,1450,12,3068,347,3,10,0,0,359,98,28,12,25,0,162,22,7,3,22,0,56,60,26,11,57,0,156,1053,116,98,52,24,1347,600,263,129,71,16,1081,314,55,38,130,0,542,124,19,14,50,0,205,177,11,3,10,0,198,2650,775,546,2989,46,6997,75,13,4,20,0,111,1032,144,60,37,0,1282,286,21,19,80,4,406,446,8,6,16,0,479,200,9,10,5,0,230,427,91,67,156,3,748,13362,872,727,899,72,15932,571,59,43,286,3736,4694,44796,7519,5707,29767,4444,92236
LGA50250,102,416,461,3080,39,4104,6,34,36,818,22,912,111,0,8,17,0,140,36,9,9,22,0,75,115,44,11,67,0,237,1489,404,385,2437,56,4770,157,0,24,4,0,189,41,0,6,21,0,66,134,25,31,252,7,445,8,12,4,19,0,40,17,0,5,5,0,21,85,7,4,8,3,101,456,62,71,721,15,1333,115,39,18,202,3,385,6,0,0,0,0,10,10,0,0,9,0,26,20,5,0,7,0,29,15,12,5,4,0,28,282,21,15,20,3,350,110,24,32,7,0,177,39,13,3,28,0,86,15,9,4,3,0,32,22,0,0,0,0,30,414,79,83,603,12,1191,20,4,0,4,0,28,74,5,10,0,0,87,44,5,3,9,0,65,15,0,0,0,0,20,14,0,0,0,0,14,57,10,7,28,0,101,746,73,89,168,15,1087,38,8,8,28,4038,4116,3739,778,757,5998,4161,15435
LGA50280,135,856,791,4087,52,5917,5,13,7,187,0,211,107,8,10,15,3,143,30,22,12,60,0,130,190,55,30,125,9,404,2351,805,750,3591,89,7586,112,0,21,9,0,147,138,9,29,30,0,200,298,54,65,295,6,713,24,12,5,31,5,71,17,0,6,13,0,35,60,12,7,12,0,93,452,164,117,1052,15,1804,274,73,38,248,5,637,37,0,3,0,0,38,4,0,0,0,0,4,7,3,4,12,0,25,11,3,5,7,0,29,58,27,9,0,0,104,128,54,34,19,0,241,64,23,11,43,0,128,22,0,0,16,0,41,6,0,0,0,0,6,543,165,122,966,18,1816,5,0,7,4,0,18,78,30,11,3,5,125,72,4,8,20,0,101,11,4,3,5,0,17,20,0,0,0,3,30,97,13,16,46,0,178,742,156,158,171,12,1232,40,12,17,84,1219,1372,4647,1462,1305,7628,1384,16423
LGA50350,177,851,686,3285,42,5047,0,24,8,324,13,380,401,22,28,13,0,465,112,43,12,88,0,256,155,54,26,103,0,339,1997,825,600,2752,38,6209,206,5,26,6,0,241,93,15,7,28,0,140,176,43,42,240,5,510,27,11,4,28,0,79,21,5,5,9,0,48,294,30,10,14,0,348,585,187,110,883,12,1787,401,134,73,408,6,1012,35,0,12,3,0,50,7,3,0,8,0,23,30,10,3,13,0,56,58,11,10,23,0,98,106,15,16,3,0,133,103,52,15,8,0,181,113,14,17,45,4,192,25,4,0,6,0,40,12,5,0,0,0,16,508,194,114,716,10,1549,76,8,10,10,0,101,50,13,16,7,0,89,34,5,4,20,0,63,30,0,5,6,0,41,150,0,5,7,0,165,71,11,16,30,0,135,1243,165,156,197,10,1775,63,17,4,31,610,725,5826,1570,1151,6255,717,15517
LGA50420,1051,2855,2295,10276,133,16608,29,85,40,879,29,1057,4531,125,208,116,21,5004,348,84,75,254,7,776,605,166,132,277,7,1192,7280,2478,1867,8911,155,20694,1044,16,87,21,7,1169,416,38,27,92,0,566,752,162,133,686,13,1746,411,124,55,265,8,856,104,25,15,30,6,169,2447,121,98,73,9,2739,2208,572,378,2864,28,6050,2990,856,400,2133,33,6407,285,0,23,7,0,316,90,16,8,9,0,118,260,46,26,99,3,435,100,18,14,54,0,185,379,72,39,17,10,517,335,133,79,30,7,588,700,63,89,209,7,1073,214,21,17,32,0,284,34,3,4,0,0,48,1832,537,448,2303,27,5144,539,44,28,37,0,652,472,61,59,19,5,614,269,24,14,53,0,362,253,29,25,23,0,331,2337,48,75,44,9,2511,299,55,36,143,0,543,9114,769,771,777,88,11508,499,29,23,125,2206,2889,34718,5571,4271,20586,2697,67849
LGA50490,701,1531,1162,6326,128,9849,14,72,38,926,25,1064,3186,38,105,55,14,3397,149,29,26,79,3,287,288,77,53,186,0,616,4067,1375,1069,5398,113,12022,1263,21,77,13,3,1377,196,26,6,30,0,260,394,85,66,496,3,1045,86,26,19,71,0,194,74,10,6,14,0,104,1603,36,28,33,0,1705,1123,310,200,1559,31,3218,808,218,106,714,8,1853,326,0,8,4,0,336,98,24,16,19,0,161,45,7,4,34,0,96,33,11,9,33,0,91,491,36,30,19,6,582,258,88,56,22,4,423,257,42,40,108,5,452,102,3,3,17,0,120,91,5,3,9,0,114,1034,251,234,1290,14,2817,62,6,4,11,0,84,221,23,14,11,0,268,179,9,10,13,0,215,197,25,7,7,0,233,462,5,25,13,0,505,134,29,20,76,0,250,7843,360,363,386,62,9019,366,10,19,93,2451,2935,21848,2758,2165,12243,2790,41791
LGA50560,11,52,51,495,19,625,0,0,0,44,4,48,0,0,0,4,0,3,0,0,0,0,0,0,16,0,0,16,0,27,203,51,52,421,13,734,22,0,3,0,0,24,0,0,5,3,0,10,18,0,5,27,0,52,4,0,0,0,0,6,4,0,0,0,0,3,10,0,0,0,0,10,28,6,6,85,4,134,6,4,0,11,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,6,7,13,0,0,0,0,17,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,34,11,12,100,0,170,0,0,0,0,0,0,8,0,0,0,0,8,3,0,0,3,0,5,0,0,0,0,0,0,3,0,0,0,4,8,7,0,0,8,0,14,39,6,8,7,0,64,4,0,0,6,171,179,361,85,87,873,209,1616
LGA50630,13,85,85,558,13,749,0,0,0,67,0,71,5,0,0,0,0,6,0,0,0,4,0,9,9,8,5,6,0,28,239,80,76,562,8,967,12,0,4,0,0,21,6,0,0,5,0,12,21,10,10,43,0,76,0,0,0,0,0,0,4,0,0,0,0,4,6,0,0,0,0,5,61,12,7,128,4,208,8,6,3,42,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,20,0,6,0,0,28,10,3,0,0,0,22,6,0,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,53,24,16,125,3,220,0,0,0,0,0,0,12,0,0,0,0,14,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,4,0,10,86,10,13,19,0,136,6,0,5,9,125,144,462,141,146,1105,148,2005
LGA50770,11,59,50,604,9,733,0,0,0,24,0,25,0,0,0,0,0,0,0,0,0,0,0,3,11,7,4,5,0,34,184,64,64,534,18,863,3,0,0,0,0,3,0,0,0,0,0,4,23,5,3,41,5,73,0,0,0,0,0,4,4,0,0,0,0,6,5,0,0,0,0,9,30,6,5,90,4,129,9,9,8,40,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,5,5,0,3,16,15,9,0,0,0,27,4,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,35,3,10,107,0,159,0,0,0,0,0,0,5,0,0,0,0,8,4,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,6,0,14,22,10,5,22,0,54,4,3,0,17,174,201,302,118,99,1072,200,1784
