LGA_CODE_2021,M_15_19_Prov_unpaid_assist,M_15_19_No_unpaid_assist_prov,M_15_19_yr_Unpaid_assist_ns,M_15_19_Overseas_visitors,M_15_19_years_Total,M_20_24_Prov_unpaid_assist,M_20_24_No_unpaid_assist_prov,M_20_24_yr_Unpaid_assist_ns,M_20_24_Overseas_visitors,M_20_24_years_Total,M_25_34_Prov_unpaid_assist,M_25_34_No_unpaid_assist_prov,M_25_34_yr_Unpaid_assist_ns,M_25_34_Overseas_visitors,M_25_34_years_Total,M_35_44_Prov_unpaid_assist,M_35_44_No_unpaid_assist_prov,M_35_44_yr_Unpaid_assist_ns,M_35_44_Overseas_visitors,M_35_44_years_Total,M_45_54_Prov_unpaid_assist,M_45_54_No_unpaid_assist_prov,M_45_54_Unpaid_assist_ns,M_45_54_Overseas_visitors,M_45_54_years_Total,M_55_64_Prov_unpaid_assist,M_55_64_No_unpaid_assist_prov,M_55_64_yr_Unpaid_assist_ns,M_55_64_Overseas_visitors,M_55_64_years_Total,M_65_74_Prov_unpaid_assist,M_65_74_No_unpaid_assist_prov,M_65_74_yr_Unpaid_assist_ns,M_65_74_Overseas_visitors,M_65_74_years_Total,M_75_84_Prov_unpaid_assist,M_75_84_No_unpaid_assist_prov,M_75_84_yr_Unpaid_assist_ns,M_75_84_Overseas_visitors,M_75_84_years_Total,M_85_over_Prov_unpaid_assist,M_85ovr_No_unpaid_assist_prov,M_85ovr_over_Unpaid_assist_ns,M_85over_Overseas_visitors,M_85_yr_and_over_Total,M_Tot_Prov_unpaid_assist,M_Tot_No_unpaid_assist_prov,M_Tot_Unpaid_assist_ns,M_Total_Overseas_visitors,M_Total_Total,F_15_19_Prov_unpaid_assist,F_15_19_No_unpaid_assist_prov,F_15_19_yr_Unpaid_assist_ns,F_15_19_Overseas_visitors,F_15_19_years_Total,F_20_24_Prov_unpaid_assist,F_20_24_No_unpaid_assist_prov,F_20_24_yr_Unpaid_assist_ns,F_20_24_Overseas_visitors,F_20_24_years_Total,F_25_34_Prov_unpaid_assist,F_25_34_No_unpaid_assist_prov,F_25_34_yr_Unpaid_assist_ns,F_25_34_Overseas_visitors,F_25_34_years_Total,F_35_44_Prov_unpaid_assist,F_35_44_No_unpaid_assist_prov,F_35_44_yr_Unpaid_assist_ns,F_35_44_Overseas_visitors,F_35_44_years_Total,F_45_54_Prov_unpaid_assist,F_45_54_No_unpaid_assist_prov,F_45_54_Unpaid_assist_ns,F_45_54_Overseas_visitors,F_45_54_years_Total,F_55_64_Prov_unpaid_assist,F_55_64_No_unpaid_assist_prov,F_55_64_yr_Unpaid_assist_ns,F_55_64_Overseas_visitors,F_55_64_years_Total,F_65_74_Prov_unpaid_assist,F_65_74_No_unpaid_assist_prov,F_65_74_yr_Unpaid_assist_ns,F_65_74_Overseas_visitors,F_65_74_years_Total,F_75_84_Prov_unpaid_assist,F_75_84_No_unpaid_assist_prov,F_75_84_yr_Unpaid_assist_ns,F_75_84_Overseas_visitors,F_75_84_years_Total,F_85_over_Prov_unpaid_assist,F_85ovr_No_unpaid_assist_prov,F_85ovr_over_Unpaid_assist_ns,F_85over_Overseas_visitors,F_85_yr_and_over_Total,F_Tot_Prov_unpaid_assist,F_Tot_No_unpaid_assist_prov,F_Tot_Unpaid_assist_ns,F_Total_Overseas_visitors,F_Total_Total,P_15_19_Prov_unpaid_assist,P_15_19_No_unpaid_assist_prov,P_15_19_yr_Unpaid_assist_ns,P_15_19_Overseas_visitors,P_15_19_years_Total,P_20_24_Prov_unpaid_assist,P_20_24_No_unpaid_assist_prov,P_20_24_yr_Unpaid_assist_ns,P_20_24_Overseas_visitors,P_20_24_years_Total,P_25_34_Prov_unpaid_assist,P_25_34_No_unpaid_assist_prov,P_25_34_yr_Unpaid_assist_ns,P_25_34_Overseas_visitors,P_25_34_years_Total,P_35_44_Prov_unpaid_assist,P_35_44_No_unpaid_assist_prov,P_35_44_yr_Unpaid_assist_ns,P_35_44_Overseas_visitors,P_35_44_years_Total,P_45_54_Prov_unpaid_assist,P_45_54_No_unpaid_assist_prov,P_45_54_Unpaid_assist_ns,P_45_54_Overseas_visitors,P_45_54_years_Total,P_55_64_Prov_unpaid_assist,P_55_64_No_unpaid_assist_prov,P_55_64_yr_Unpaid_assist_ns,P_55_64_Overseas_visitors,P_55_64_years_Total,P_65_74_Prov_unpaid_assist,P_65_74_No_unpaid_assist_prov,P_65_74_yr_Unpaid_assist_ns,P_65_74_Overseas_visitors,P_65_74_years_Total,P_75_84_Prov_unpaid_assist,P_75_84_No_unpaid_assist_prov,P_75_84_yr_Unpaid_assist_ns,P_75_84_Overseas_visitors,P_75_84_years_Total,P_85_over_Prov_unpaid_assist,P_85ovr_No_unpaid_assist_prov,P_85ovr_over_Unpaid_assist_ns,P_85over_Overseas_visitors,P_85_yr_and_over_Total,P_Tot_Prov_unpaid_assist,P_Tot_No_unpaid_assist_prov,P_Tot_Unpaid_assist_ns,P_Total_Overseas_visitors,P_Total_Total
LGA50080,65,1121,96,0,1280,48,784,84,8,927,107,1718,293,4,2123,178,1594,231,9,2013,284,1826,187,0,2299,385,1950,158,3,2492,257,1852,128,4,2235,141,1050,76,4,1274,64,379,44,0,486,1529,12273,1294,33,15125,63,1030,71,0,1168,53,730,56,0,830,201,1707,124,8,2040,357,1736,111,0,2208,506,1959,115,0,2587,643,2028,130,3,2802,386,1841,130,0,2355,217,1187,109,0,1517,45,543,76,0,657,2465,12761,928,23,16174,125,2153,170,0,2446,97,1512,140,6,1760,304,3425,422,17,4170,541,3334,343,6,4217,792,3786,303,0,4883,1022,3980,287,11,5293,648,3686,254,8,4596,358,2237,190,3,2786,108,919,118,4,1142,3991,25034,2223,52,31301
LGA50210,130,2395,167,0,2688,107,2332,165,5,2602,376,5661,388,7,6438,668,6306,352,9,7329,557,4422,283,7,5267,513,3612,235,12,4369,374,2711,133,26,3244,154,1317,110,11,1584,51,322,61,0,432,2933,29069,1888,74,33963,132,2378,168,7,2677,173,2306,152,3,2627,721,6196,373,3,7297,1078,6308,368,5,7757,1013,4111,252,6,5387,913,3560,188,38,4695,572,2942,139,35,3688,190,1371,134,13,1707,29,462,102,0,595,4823,29638,1872,103,36441,265,4774,325,7,5366,274,4634,321,7,5231,1095,11855,771,17,13733,1742,12614,719,12,15092,1575,8535,535,16,10657,1429,7173,415,48,9069,946,5654,275,60,6932,351,2681,240,21,3295,76,788,162,0,1023,7754,58709,3763,176,70401
LGA50250,7,115,43,0,162,10,285,127,6,432,53,1356,683,21,2108,106,1447,734,12,2299,106,1347,759,11,2218,60,1066,514,10,1651,33,417,127,3,579,11,102,26,0,131,0,7,3,0,15,382,6141,3010,63,9594,5,95,31,0,133,9,236,88,9,342,44,744,240,16,1045,46,559,163,5,775,60,444,169,0,668,50,463,143,8,663,29,340,87,0,457,7,72,27,0,105,0,0,0,0,0,246,2954,945,44,4191,12,214,76,0,297,16,525,216,14,772,91,2099,920,31,3150,152,2001,897,14,3071,161,1783,925,11,2883,114,1530,648,18,2311,65,760,212,8,1041,14,173,46,0,241,0,10,3,0,18,623,9097,3955,102,13780
LGA50280,19,364,45,0,428,11,227,25,9,270,31,695,96,36,855,70,958,100,24,1145,118,935,112,5,1164,134,852,92,3,1081,104,756,59,4,922,50,303,27,0,379,12,93,10,0,117,545,5182,566,73,6370,19,315,34,0,361,8,170,23,0,204,61,788,87,9,940,148,1166,107,5,1426,196,912,112,0,1221,226,857,79,0,1166,149,715,63,0,924,43,299,20,0,362,11,132,25,0,164,863,5347,552,20,6775,37,681,79,0,795,18,391,50,9,467,92,1480,184,41,1794,217,2128,200,32,2573,306,1849,228,8,2386,364,1714,172,5,2255,250,1469,121,4,1846,94,598,48,0,741,22,225,33,0,284,1406,10534,1112,100,13143
LGA50350,20,349,14,0,387,26,389,36,0,455,67,902,70,4,1044,88,938,58,0,1086,122,841,37,0,1007,143,726,50,0,914,83,589,33,3,707,35,290,21,0,347,14,101,8,0,121,601,5124,334,8,6062,18,318,11,0,352,24,364,22,0,415,72,972,54,0,1103,147,1029,47,0,1230,218,802,49,4,1067,232,725,43,4,1005,127,658,34,7,826,47,394,31,0,469,8,209,16,0,231,894,5484,305,16,6700,36,669,28,0,737,55,754,64,0,867,146,1871,132,3,2149,238,1970,108,3,2314,338,1645,88,5,2075,377,1447,91,6,1927,207,1252,61,12,1532,82,686,54,0,820,24,311,19,0,353,1497,10606,641,26,12766
LGA50420,71,1501,72,0,1640,110,1862,109,5,2083,278,4958,283,6,5524,421,4531,248,13,5211,550,3436,191,7,4189,553,3006,161,6,3723,371,2540,115,7,3033,197,1493,104,6,1801,54,474,69,0,599,2605,23806,1345,47,27803,75,1375,69,0,1522,125,1808,90,0,2022,425,5085,252,13,5776,622,4340,215,8,5192,834,3331,173,4,4336,894,2822,121,18,3865,580,2716,100,17,3418,216,1652,127,3,1998,41,879,109,0,1028,3815,24005,1265,66,29152,143,2879,138,4,3161,236,3672,202,3,4105,707,10038,536,19,11302,1044,8867,470,21,10399,1382,6770,362,8,8523,1454,5833,277,27,7586,955,5253,220,21,6451,412,3147,233,12,3803,96,1350,178,0,1634,6420,47807,2615,111,56959
LGA50490,45,854,71,0,977,70,1339,155,7,1571,192,3732,341,17,4284,230,2867,272,13,3384,287,2092,245,22,2643,298,1841,146,24,2309,175,1243,89,9,1517,75,673,65,7,820,26,249,37,0,319,1405,14893,1424,96,17810,38,776,63,0,877,86,1306,114,6,1511,277,3556,284,14,4131,338,2571,203,10,3126,366,1851,146,4,2375,442,1573,115,13,2150,290,1325,90,9,1714,83,806,89,4,985,19,448,90,0,550,1950,14200,1198,57,17413,88,1631,135,0,1850,146,2649,266,11,3081,472,7282,629,33,8414,569,5440,478,17,6503,655,3941,397,25,5016,739,3413,263,37,4455,470,2562,176,18,3232,161,1483,151,8,1804,44,700,129,0,868,3346,29095,2621,159,35218
LGA50560,0,20,3,0,29,0,15,4,0,20,3,48,11,0,61,3,58,13,0,73,7,83,16,0,106,17,98,14,0,131,19,135,18,0,172,8,66,16,0,90,0,20,8,0,28,62,549,98,0,711,0,22,4,0,33,0,13,4,0,19,3,45,4,0,55,3,66,4,0,79,21,71,13,0,106,24,107,20,0,153,34,109,19,0,162,10,54,8,0,73,0,20,0,0,20,103,509,85,5,703,5,43,9,0,60,6,29,7,0,44,6,92,15,0,117,11,122,20,0,154,28,158,29,0,212,42,208,39,0,282,50,245,34,0,334,11,120,28,0,164,7,41,7,0,50,164,1058,187,4,1416
LGA50630,4,29,3,0,32,6,32,0,0,34,18,122,9,0,148,14,157,3,0,177,20,172,12,0,211,22,161,12,0,198,17,86,9,0,106,0,33,4,0,40,0,8,0,0,11,98,789,64,4,950,4,30,3,0,31,0,30,0,0,35,13,77,8,0,100,10,99,12,0,122,14,99,10,0,123,19,99,6,0,128,10,74,7,0,91,5,26,7,0,43,0,7,4,0,7,78,547,60,0,679,3,53,8,0,68,8,58,0,3,68,30,200,21,0,244,22,259,18,0,294,35,270,26,0,331,47,258,22,0,324,28,158,8,0,199,8,57,9,0,83,0,10,3,0,20,175,1337,119,5,1632
LGA50770,5,24,0,0,25,0,34,5,0,37,0,49,12,0,58,4,75,8,0,86,14,93,13,0,115,12,120,20,0,155,8,104,8,0,129,12,58,14,0,82,0,13,3,0,13,56,564,76,0,704,7,30,3,0,40,0,31,4,0,31,8,57,5,0,66,18,89,10,0,120,14,76,16,0,109,28,99,13,0,139,25,77,4,0,109,14,58,13,0,77,0,14,0,0,20,105,536,78,0,719,5,53,4,0,64,0,65,9,0,73,10,98,13,0,128,20,167,20,0,208,30,168,28,0,231,39,222,31,0,291,33,189,16,0,237,17,116,22,0,163,3,22,3,0,32,165,1105,151,0,1423
