LGA_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
LGA50080,6798,4196,4154,4214,4881,5284,4591,2784,1144,38047
LGA50210,22012,10594,13720,15076,10646,9021,6873,3278,1023,92236
LGA50250,1763,1055,3120,3053,2872,2293,1033,233,18,15435
LGA50280,3371,1253,1755,2546,2381,2248,1843,741,286,16423
LGA50350,2779,1604,2142,2316,2070,1915,1518,815,353,15517
LGA50420,11004,7264,11283,10380,8510,7565,6425,3793,1627,67849
LGA50490,6730,4915,8381,6485,4985,4417,3207,1794,868,41791
LGA50560,207,101,117,155,212,284,333,164,50,1616
LGA50630,375,138,244,294,324,324,199,83,20,2005
LGA50770,364,136,128,208,231,291,237,163,32,1784
LGA50840,865,395,408,539,693,887,875,403,104,5172
LGA50910,157,63,77,98,135,126,121,86,41,905
LGA50980,4631,2146,3558,3382,3083,3717,3626,1114,138,25391
LGA51080,224,86,116,127,123,177,98,55,14,1017
LGA51120,179,80,108,113,123,137,136,64,23,968
LGA51190,5429,3551,4177,4049,4247,4309,3640,2064,957,32415
LGA51260,7738,3657,3812,5029,5335,5270,5335,2839,1039,40061
LGA51310,5679,3421,2729,3693,4281,3505,2526,1618,957,28418
LGA51330,17397,13571,14490,13722,11426,9792,7894,4215,1562,94067
LGA51400,4024,2215,1802,2335,2583,2154,1538,662,132,17447
LGA51470,66,48,54,90,68,97,93,47,4,567
LGA51540,1194,619,914,851,972,1348,1569,593,98,8164
LGA51610,316,141,116,192,253,250,187,66,9,1530
LGA51680,1112,652,474,655,883,935,623,298,74,5707
LGA51710,280,155,392,321,318,264,205,42,4,1979
LGA51750,1773,1558,1155,1159,1434,1234,1133,991,522,10949
LGA51820,22912,13834,17264,17903,15271,12482,9213,4689,1796,115368
LGA51860,128,52,77,84,76,143,89,42,10,709
LGA51890,1551,912,902,993,1117,1257,1124,548,179,8585
LGA51960,686,464,765,684,780,645,339,88,14,4478
LGA52030,137,59,87,92,109,224,214,103,23,1052
LGA52100,167,79,109,116,113,134,152,68,38,964
LGA52170,1245,1004,827,811,1082,1037,890,541,205,7636
LGA52240,200,79,87,133,156,173,135,78,12,1043
LGA52310,141,65,79,72,128,161,138,60,12,864
LGA52380,8,45,102,74,102,110,89,29,0,559
LGA52450,259,254,149,147,138,153,136,62,24,1318
LGA52520,298,113,169,206,151,219,131,74,32,1392
LGA52590,480,253,421,412,474,645,641,263,70,3649
LGA52660,2987,1500,1747,1842,1770,1662,1372,856,358,14086
LGA52730,1099,523,435,727,823,1025,1002,538,160,6328
LGA52800,1761,1139,1546,1205,1161,1265,936,198,34,9242
LGA52870,1024,537,483,649,801,949,903,454,120,5931
LGA52940,139,55,51,83,96,86,119,38,10,685
LGA53010,123,39,77,96,103,112,83,38,4,670
LGA53080,87,83,159,105,213,188,161,46,10,1048
