LGA_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85_yr_over_Married,M_85_yr_over_Separated,M_85_yr_over_Divorced,M_85_yr_over_Widowed,M_85_yr_over_Never_married,M_85_yr_over_Tot,M_OS_visitors_Married,M_OS_visitors_Separated,M_OS_visitors_Divorced,M_OS_visitors_Widowed,M_OS_visitors_Never_married,M_OS_visitors_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85_yr_over_Married,F_85_yr_over_Separated,F_85_yr_over_Divorced,F_85_yr_over_Widowed,F_85_yr_over_Never_married,F_85_yr_over_Tot,F_OS_visitors_Married,F_OS_visitors_Separated,F_OS_visitors_Divorced,F_OS_visitors_Widowed,F_OS_visitors_Never_married,F_OS_visitors_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85_yr_over_Married,P_85_yr_over_Separated,P_85_yr_over_Divorced,P_85_yr_over_Widowed,P_85_yr_over_Never_married,P_85_yr_over_Tot,P_OS_vis_Married,P_OS_vis_Separated,P_OS_vis_Divorced,P_OS_vis_Widowed,P_OS_vis_Never_married,P_OS_vis_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
LGA50080,0,0,0,0,1278,1280,49,0,0,0,864,917,652,23,33,0,1411,2116,1065,100,91,3,744,2007,1325,125,272,11,561,2299,1524,130,400,51,393,2486,1505,92,370,99,171,2234,928,30,127,135,46,1267,291,4,29,143,12,484,17,0,0,3,8,33,7355,505,1323,451,5492,15125,0,0,0,0,1166,1169,74,3,0,3,758,836,783,51,47,0,1155,2033,1204,145,176,20,663,2208,1444,154,402,50,534,2583,1590,123,589,135,356,2800,1421,87,414,312,119,2356,722,26,196,540,31,1515,153,11,50,439,8,659,6,3,0,0,5,23,7400,600,1876,1506,4795,16174,6,0,0,0,2446,2448,117,4,0,0,1625,1750,1434,78,74,3,2566,4154,2272,239,268,24,1404,4214,2770,279,674,64,1098,4881,3116,252,988,190,748,5284,2929,176,781,413,289,4591,1648,52,324,676,84,2784,449,15,84,579,19,1144,23,0,3,6,16,52,14752,1110,3190,1959,10289,31301
LGA50210,6,0,0,0,2685,2688,76,3,0,5,2513,2601,2229,117,82,5,3994,6426,4880,273,341,12,1810,7326,3156,296,566,31,1221,5268,2745,220,685,94,612,4360,2216,146,511,142,207,3221,1097,51,186,176,66,1577,250,9,46,124,12,432,49,4,7,3,19,74,16698,1116,2423,591,13128,33963,5,0,0,0,2675,2680,174,17,0,4,2422,2629,3410,212,155,13,3497,7292,5124,373,555,44,1654,7752,3134,360,816,116,947,5379,2647,254,1038,313,414,4661,2037,141,731,615,132,3653,767,49,242,609,34,1696,120,9,43,419,11,595,57,6,3,26,13,103,17479,1421,3582,2170,11795,36441,7,0,0,0,5353,5365,255,25,3,5,4934,5223,5637,331,239,23,7493,13720,10008,649,895,59,3463,15076,6295,649,1380,152,2164,10646,5390,479,1722,407,1028,9021,4255,281,1240,753,340,6873,1865,101,428,787,101,3278,367,11,86,545,20,1023,102,11,5,30,32,176,34180,2538,5997,2758,24925,70401
LGA50250,0,0,0,0,163,162,9,0,0,0,410,427,566,34,31,6,1458,2092,1242,119,140,0,780,2287,1266,144,297,16,491,2202,1044,85,298,23,187,1640,436,22,76,11,21,577,103,5,7,13,4,129,11,0,0,4,0,13,18,3,7,0,30,63,4697,425,848,79,3551,9594,0,0,0,0,133,133,15,5,0,0,312,335,305,18,40,0,665,1023,417,29,51,0,271,767,312,42,118,8,189,665,385,41,136,19,73,651,311,19,87,32,8,459,65,0,12,24,3,105,0,0,0,3,0,0,11,3,0,0,24,44,1820,145,442,93,1690,4191,0,0,0,0,296,297,27,5,0,0,721,758,870,51,68,7,2123,3120,1657,151,196,0,1051,3053,1577,185,413,25,675,2872,1436,129,429,37,263,2293,751,43,161,49,34,1033,167,5,18,40,8,233,10,0,0,10,0,18,29,9,7,0,62,102,6515,564,1293,167,5240,13780
LGA50280,0,0,0,0,428,428,8,0,0,0,253,257,196,14,7,0,601,818,594,54,52,3,427,1120,655,54,117,0,343,1157,635,62,184,13,186,1079,643,29,135,29,80,921,286,7,35,35,10,379,69,0,8,42,4,117,48,0,0,0,27,73,3126,216,536,123,2358,6370,0,0,0,0,358,363,9,0,0,0,193,204,305,13,19,3,594,933,793,68,91,12,462,1422,669,59,191,9,287,1222,676,57,235,46,149,1167,577,27,178,100,51,924,200,0,51,101,13,362,38,0,9,114,4,166,5,0,0,0,14,20,3267,233,781,385,2122,6775,0,0,0,0,792,791,9,0,0,0,444,458,497,25,28,3,1194,1755,1388,116,139,11,885,2546,1325,117,308,9,626,2381,1314,118,417,59,335,2248,1220,53,316,133,127,1843,483,11,87,134,20,741,106,0,17,155,11,286,51,0,3,0,41,100,6390,448,1318,507,4478,13143
LGA50350,0,0,0,0,387,387,5,0,0,0,444,455,245,12,16,0,769,1041,599,36,49,3,391,1083,542,47,123,3,286,1008,501,35,162,15,196,916,427,38,130,30,80,701,227,15,50,39,18,347,61,0,5,40,10,121,3,0,4,0,5,8,2611,187,544,139,2581,6062,0,0,0,0,349,352,16,0,0,0,399,413,361,29,24,3,687,1103,668,76,81,4,396,1231,524,73,189,21,256,1070,535,52,192,53,172,1008,394,38,197,121,72,817,174,11,95,163,21,469,28,0,23,177,10,231,3,0,0,4,5,16,2704,289,806,541,2367,6700,0,0,0,0,738,737,16,0,0,0,846,864,608,41,39,3,1450,2142,1272,121,134,9,783,2316,1061,122,319,23,550,2070,1036,89,354,69,371,1915,817,73,327,152,149,1518,404,27,147,199,37,815,88,0,28,217,14,353,11,3,3,4,10,26,5314,471,1355,681,4953,12766
LGA50420,0,0,0,0,1638,1640,33,0,0,5,2038,2085,1483,62,95,11,3868,5516,2837,183,313,10,1858,5195,2335,208,476,15,1134,4178,2151,162,597,59,740,3720,1930,136,482,118,364,3024,1173,49,247,201,126,1794,342,9,43,176,30,599,18,9,10,0,23,47,12308,815,2260,595,11823,27803,0,0,0,0,1524,1518,103,10,9,0,1906,2019,2095,126,142,14,3397,5761,2974,231,457,24,1497,5179,2337,280,701,68,942,4331,2100,216,815,185,537,3842,1853,117,698,486,249,3399,852,35,302,722,78,1998,183,5,87,730,28,1027,28,4,8,13,14,66,12524,1020,3215,2238,10167,29152,0,0,0,0,3158,3157,134,11,9,4,3947,4102,3574,191,236,19,7262,11283,5815,416,765,32,3359,10380,4670,493,1186,91,2075,8510,4251,376,1412,245,1276,7565,3783,247,1181,603,612,6425,2027,86,549,919,212,3793,526,11,128,904,53,1627,46,9,8,10,37,111,24828,1832,5470,2836,21989,56959
LGA50490,0,0,0,0,969,977,40,5,4,0,1515,1566,1145,56,78,6,2984,4263,1836,133,219,3,1184,3367,1423,173,320,12,696,2621,1156,131,461,36,501,2285,837,82,326,82,188,1508,483,26,139,104,60,811,157,9,37,95,21,319,50,4,15,0,29,96,7131,616,1586,339,8150,17810,0,0,0,0,871,877,76,4,3,0,1415,1504,1538,84,100,3,2396,4117,1820,147,230,27,897,3117,1252,153,393,54,514,2367,1032,130,531,128,317,2134,781,84,422,290,121,1705,352,23,158,398,50,982,84,6,29,406,20,550,21,0,4,17,16,57,6961,632,1882,1323,6613,17413,0,0,0,0,1847,1850,117,9,9,0,2927,3067,2681,139,179,3,5374,8381,3653,276,444,31,2080,6485,2672,324,718,69,1204,4985,2187,262,992,162,818,4417,1614,173,746,372,308,3207,840,52,293,499,112,1794,248,16,70,503,43,868,74,0,15,15,48,159,14087,1252,3465,1653,14761,35218
LGA50560,0,0,0,0,29,29,0,0,0,0,20,20,15,0,0,0,40,61,37,4,6,0,28,73,59,0,9,0,32,106,79,9,18,5,28,130,95,8,39,13,16,172,53,7,10,12,3,90,19,0,0,4,0,28,0,0,0,0,0,0,354,25,87,43,198,711,0,0,0,0,33,33,0,0,0,0,17,19,25,0,0,0,31,55,53,5,6,0,18,79,63,4,17,0,24,106,97,8,21,7,17,153,93,7,41,14,0,158,37,0,15,20,3,73,5,0,0,14,0,20,0,0,3,0,0,5,371,23,90,67,149,703,0,0,0,0,60,60,0,0,0,0,40,44,39,0,8,0,76,117,91,9,7,0,45,155,124,6,27,0,57,212,170,12,40,15,41,284,188,14,76,27,20,333,86,6,22,40,9,164,26,0,0,19,0,50,0,0,3,0,0,4,728,56,181,103,348,1416
LGA50630,0,0,0,0,32,32,0,0,0,0,36,34,31,3,5,0,110,148,114,9,7,0,49,177,118,6,30,7,43,205,122,9,30,8,38,198,69,9,18,9,4,106,27,4,5,3,0,40,9,0,0,0,0,11,0,0,0,0,4,4,486,36,94,27,310,950,0,0,0,0,31,31,0,0,0,0,32,30,36,5,3,0,59,100,72,6,6,0,39,122,64,8,19,5,32,123,69,8,28,4,21,128,55,3,13,16,4,91,28,0,4,8,0,43,5,0,0,8,0,7,0,0,0,0,0,0,323,31,78,39,213,679,0,0,0,0,68,68,0,0,0,0,63,71,67,5,6,0,165,244,185,13,11,0,88,294,181,16,52,9,75,324,187,14,53,11,55,324,124,8,29,17,8,199,52,0,12,13,3,83,8,0,0,8,0,20,0,0,0,0,5,5,811,64,169,64,522,1632
LGA50770,0,0,0,0,25,25,0,0,0,0,35,37,16,4,0,0,40,58,58,3,0,0,22,86,73,6,9,0,28,115,102,6,17,0,17,155,86,0,24,6,18,129,52,0,16,3,9,82,12,0,0,3,0,13,0,0,0,0,0,0,400,22,71,17,196,704,0,0,0,0,40,40,0,0,0,0,28,35,30,0,0,0,34,66,73,14,8,0,30,120,73,9,13,0,18,109,93,8,26,3,10,139,78,0,9,4,4,109,36,3,11,28,0,77,3,0,0,13,0,20,0,0,0,0,0,0,386,24,68,52,182,719,0,0,0,0,65,65,3,0,0,0,65,75,51,5,0,0,72,128,133,15,9,0,53,208,145,13,17,0,52,231,194,10,45,6,35,291,164,3,37,11,20,237,85,6,29,31,6,163,8,0,0,17,0,32,0,0,0,0,0,0,781,46,144,73,374,1423
