LGA_CODE_2021,P_Sol_sp_En_Tot_2011_2015,P_Sol_sp_En_Tot_2016,P_Sol_sp_En_Tot_2017,P_Sol_sp_En_Tot_2018,P_Sol_sp_En_Tot_2019,P_Sol_sp_En_Tot_2020,P_Sol_sp_En_Tot_2021,P_Sol_sp_En_Tot_Yr_arr_ns,P_Sol_sp_En_Tot_YoA_Tot,P_LanProf_En_ns_B_2005,P_LanProf_En_ns_2005_2010,P_LanProf_En_ns_2011_2015,P_LanProf_En_ns_2016,P_LanProf_En_ns_2017,P_LanProf_En_ns_2018,P_LanProf_En_ns_2019,P_LanProf_En_ns_2020,P_LanProf_En_ns_2021,P_LanProf_En_ns_Yr_arr_ns,P_LanProf_En_ns_Tot,P_Tot_B_2005,P_Tot_2005_2010,P_Tot_2011_2015,P_Tot_2016,P_Tot_2017,P_Tot_2018,P_Tot_2019,P_Tot_2020,P_Tot_2021,P_Tot_Yr_arrival_ns,P_Tot_YoA_Tot
LGA50080,406,103,62,92,88,25,41,31,1852,17,0,0,0,0,0,0,0,0,90,108,4613,1102,710,156,103,131,159,53,63,303,7393
LGA50210,5119,748,578,554,634,262,99,181,16928,12,7,7,0,4,0,0,0,0,35,76,13671,8489,7022,923,743,746,784,334,148,550,33412
LGA50250,214,33,30,48,72,22,11,19,948,3,3,5,0,0,0,0,0,0,4,19,1356,714,551,58,58,78,140,46,19,65,3089
LGA50280,204,33,42,32,75,43,4,84,878,4,0,0,0,0,0,0,0,0,15,16,2130,528,507,72,79,66,148,52,11,168,3767
LGA50350,295,46,69,70,57,29,7,35,1583,3,0,0,0,0,0,0,0,0,0,5,2599,680,531,78,99,88,75,37,16,74,4276
LGA50420,2648,615,515,584,730,270,38,281,14223,17,0,0,0,0,0,0,0,0,20,38,13971,3932,3908,763,634,728,907,330,62,533,25772
LGA50490,2563,622,538,599,762,287,55,202,10546,3,5,5,0,0,0,0,0,0,40,55,6449,3284,3502,748,657,736,937,364,88,375,17135
LGA50560,7,8,0,0,0,0,0,0,45,3,0,0,0,0,0,0,0,0,0,3,224,36,16,11,0,0,3,0,0,10,299
LGA50630,28,3,0,0,0,0,4,3,82,0,0,0,0,0,0,0,0,0,0,0,183,75,58,4,0,0,7,5,7,19,351
LGA50770,4,4,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,169,23,8,3,0,0,0,5,0,21,229
