LGA_CODE_2021,M_Emp_wrk_Ft_15_19,M_Emp_wrk_Ft_20_24,M_Emp_wrk_Ft_25_34,M_Emp_wrk_Ft_35_44,M_Emp_wrk_Ft_45_54,M_Emp_wrk_Ft_55_64,M_Emp_wrk_Ft_65_74,M_Emp_wrk_Ft_75_84,M_Emp_wrk_Ft_85_yr_over,M_Emp_wrk_Ft_Tot,M_Emp_wrk_Pt_15_19,M_Emp_wrk_Pt_20_24,M_Emp_wrk_Pt_25_34,M_Emp_wrk_Pt_35_44,M_Emp_wrk_Pt_45_54,M_Emp_wrk_Pt_55_64,M_Emp_wrk_Pt_65_74,M_Emp_wrk_Pt_75_84,M_Emp_wrk_Pt_85_yr_over,M_Emp_wrk_Pt_Tot,M_Emp_a_f_wrk_15_19,M_Emp_a_f_wrk_20_24,M_Emp_a_f_wrk_25_34,M_Emp_a_f_wrk_35_44,M_Emp_a_f_wrk_45_54,M_Emp_a_f_wrk_55_64,M_Emp_a_f_wrk_65_74,M_Emp_a_f_wrk_75_84,M_Emp_a_f_wrk_85_yr_over,M_Emp_a_f_wrk_Tot,M_Hr_wrk_ns_15_19,M_Hr_wrk_ns_20_24,M_Hr_wrk_ns_25_34,M_Hr_wrk_ns_35_44,M_Hr_wrk_ns_45_54,M_Hr_wrk_ns_55_64,M_Hr_wrk_ns_65_74,M_Hr_wrk_ns_75_84,M_Hr_wrk_ns_85_yr_over,M_Hr_wrk_ns_Tot,M_Tot_emp_15_19,M_Tot_emp_20_24,M_Tot_emp_25_34,M_Tot_emp_35_44,M_Tot_emp_45_54,M_Tot_emp_55_64,M_Tot_emp_65_74,M_Tot_emp_75_84,M_Tot_emp_85_yr_over,M_Tot_emp_Tot,M_UE_lk_fr_Ft_wrk_15_19,M_UE_lk_fr_Ft_wrk_20_24,M_UE_lk_fr_Ft_wrk_25_34,M_UE_lk_fr_Ft_wrk_35_44,M_UE_lk_fr_Ft_wrk_45_54,M_UE_lk_fr_Ft_wrk_55_64,M_UE_lk_fr_Ft_wrk_65_74,M_UE_lk_fr_Ft_wrk_75_84,M_UE_lk_for_Ft_wrk_85_over,M_UE_looking_for_Ft_wk_Tot,M_UE_lk_for_Pt_wk_15_19,M_UE_lk_for_Pt_wk_20_24,M_UE_lk_for_Pt_wk_25_34,M_UE_lk_for_Pt_wk_35_44,M_UE_lk_for_Pt_wk_45_54,M_UE_lk_for_Pt_wk_55_64,M_UE_lk_for_Pt_wk_65_74,M_UE_lk_for_Pt_wk_75_84,M_UE_looking_for_Pt_wk_85_ov,M_UE_lk_for_Pt_wrk_Tot,M_Tot_unemp_15_19,M_Tot_unemp_20_24,M_Tot_unemp_25_34,M_Tot_unemp_35_44,M_Tot_unemp_45_54,M_Tot_unemp_55_64,M_Tot_unemp_65_74,M_Tot_unemp_75_84,M_Tot_unemp_85_yr_over,M_Tot_unemp_Total,M_Tot_LF_15_19_yr,M_Tot_LF_20_24_yr,M_Tot_LF_25_34_yr,M_Tot_LF_35_44_yr,M_Tot_LF_45_54_yr,M_Tot_LF_55_64_yr,M_Tot_LF_65_74_yr,M_Tot_LF_75_84_yr,M_Tot_LF_85_yr_over,M_Tot_LF_Tot,M_NILF_15_19_yr,M_NILF_20_24_yr,M_NILF_25_34_yr,M_NILF_35_44_yr,M_NILF_45_54_yr,M_NILF_55_64_yr,M_NILF_65_74_yr,M_NILF_75_84_yr,M_NILF_85_yr_over,M_NILF_Tot,M_LF_st_ns_15_19,M_LF_st_ns_20_24,M_LF_st_ns_25_34,M_LF_st_ns_35_44,M_LF_st_ns_45_54,M_LF_st_ns_55_64,M_LF_st_ns_65_74,M_LF_st_ns_75_84,M_LF_st_ns_85_yr_over,M_LF_st_ns_Total,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Emp_wrk_Ft_15_19,F_Emp_wrk_Ft_20_24,F_Emp_wrk_Ft_25_34,F_Emp_wrk_Ft_35_44,F_Emp_wrk_Ft_45_54,F_Emp_wrk_Ft_55_64,F_Emp_wrk_Ft_65_74,F_Emp_wrk_Ft_75_84,F_Emp_wrk_Ft_85_yr_over,F_Emp_wrk_Ft_Tot,F_Emp_wrk_Pt_15_19,F_Emp_wrk_Pt_20_24,F_Emp_wrk_Pt_25_34,F_Emp_wrk_Pt_35_44,F_Emp_wrk_Pt_45_54,F_Emp_wrk_Pt_55_64,F_Emp_wrk_Pt_65_74,F_Emp_wrk_Pt_75_84,F_Emp_wrk_Pt_85ov,F_Emp_wrk_Pt_Tot,F_Emp_a_f_wrk_15_19,F_Emp_a_f_wrk_20_24,F_Emp_a_f_wrk_25_34,F_Emp_a_f_wrk_35_44,F_Emp_a_f_wrk_45_54,F_Emp_a_f_wrk_55_64,F_Emp_a_f_wrk_65_74,F_Emp_a_f_wrk_75_84,F_Emp_a_f_wrk_85ov,F_Emp_a_f_wrk_Tot,F_Hr_wrk_ns_15_19,F_Hr_wrk_ns_20_24,F_Hr_wrk_ns_25_34,F_Hr_wrk_ns_35_44,F_Hr_wrk_ns_45_54,F_Hr_wrk_ns_55_64,F_Hr_wrk_ns_65_74,F_Hr_wrk_ns_75_84,F_Hr_wrk_ns_85_yr_over,F_Hr_wrk_ns_Tot,F_Tot_emp_15_19_yr,F_Tot_emp_20_24_yr,F_Tot_emp_25_34_yr,F_Tot_emp_35_44_yr,F_Tot_emp_45_54_yr,F_Tot_emp_55_64_yr,F_Tot_emp_65_74_yr,F_Tot_emp_75_84_yr,F_Tot_emp_85_yr_over,F_Tot_emp_Tot,F_UE_lk_fr_Ft_wrk_15_19,F_UE_lk_fr_Ft_wrk_20_24,F_UE_lk_fr_Ft_wrk_25_34,F_UE_lk_fr_Ft_wrk_35_44,F_UE_lk_fr_Ft_wrk_45_54,F_UE_lk_fr_Ft_wrk_55_64,F_UE_lk_fr_Ft_wrk_65_74,F_UE_lk_fr_Ft_wrk_75_84,F_UE_lk_for_Ft_wrk_85_over,F_UE_looking_for_Ft_wk_Tot,F_UE_lk_for_Pt_wk_15_19,F_UE_lk_for_Pt_wk_20_24,F_UE_lk_for_Pt_wk_25_34,F_UE_lk_for_Pt_wk_35_44,F_UE_lk_for_Pt_wk_45_54,F_UE_lk_for_Pt_wk_55_64,F_UE_lk_for_Pt_wk_65_74,F_UE_lk_for_Pt_wk_75_84,F_UE_looking_for_Pt_wk_85_ov,F_UE_lk_for_Pt_wrk_Tot,F_Tot_unemp_15_19,F_Tot_unemp_20_24,F_Tot_unemp_25_34,F_Tot_unemp_35_44,F_Tot_unemp_45_54,F_Tot_unemp_55_64,F_Tot_unemp_65_74,F_Tot_unemp_75_84,F_Tot_unemp_85_yr_over,F_Tot_unemp_Total
LGA50080,252,442,1191,1213,1439,1169,282,29,3,6023,380,180,252,263,268,436,299,67,11,2163,14,23,55,62,71,108,32,5,4,381,15,26,25,25,38,24,12,5,0,171,663,669,1519,1566,1820,1739,630,110,22,8737,31,27,57,35,37,37,11,0,0,239,56,15,33,11,15,22,16,0,0,173,89,49,89,50,50,53,25,0,0,406,752,712,1612,1614,1872,1799,653,113,22,9144,460,151,360,286,289,556,1469,1078,428,5073,71,58,150,107,138,134,115,78,39,880,1280,917,2116,2007,2299,2486,2234,1267,484,15094,106,307,602,675,996,694,124,10,0,3511,506,253,663,956,936,949,322,36,5,4606,17,28,117,53,69,106,23,10,0,422,18,12,20,19,24,13,13,3,0,115,644,594,1410,1698,2020,1756,480,56,5,8659,12,25,17,17,17,15,0,0,0,111,51,10,31,21,24,41,8,0,0,189,66,37,49,37,41,55,5,0,0,297
LGA50210,364,1157,4151,5346,3476,2349,429,32,5,17299,697,655,786,697,556,572,322,69,0,4362,39,46,168,175,137,142,32,3,0,737,21,42,137,90,66,45,7,4,0,409,1117,1898,5240,6307,4234,3104,799,111,3,22808,86,140,285,202,176,111,21,0,0,1017,181,73,72,35,38,36,26,0,0,461,265,214,352,238,214,154,43,0,0,1472,1382,2117,5588,6541,4444,3251,841,111,3,24278,1169,352,512,481,575,909,2262,1371,369,8003,133,133,316,298,247,196,111,97,58,1601,2688,2601,6426,7326,5268,4360,3221,1577,432,33884,142,786,2426,2551,2030,1295,188,6,0,9424,982,909,1984,2597,1648,1256,395,27,0,9796,45,66,390,241,143,131,38,3,0,1058,19,54,93,64,50,29,11,4,4,322,1182,1818,4896,5449,3875,2714,627,44,9,20601,64,98,150,137,135,74,10,0,0,672,218,74,186,196,94,76,10,0,0,851,279,175,331,330,233,144,19,0,0,1520
LGA50250,39,219,1173,1262,1177,807,108,10,0,4799,36,29,79,105,82,73,11,0,0,420,5,21,94,120,119,105,35,4,0,493,0,0,27,24,27,14,4,0,0,93,79,273,1368,1517,1401,999,160,13,0,5805,0,7,11,10,10,9,8,0,0,50,0,3,0,0,0,4,4,0,0,13,8,13,11,10,8,12,7,0,0,65,80,280,1382,1525,1411,1013,167,13,0,5867,44,19,35,45,53,122,282,96,8,708,36,126,675,723,740,504,124,27,3,2959,162,427,2092,2287,2202,1640,577,129,13,9528,22,149,403,306,278,210,39,0,0,1417,30,28,141,166,80,68,23,4,0,536,5,19,77,45,50,66,24,0,0,286,0,6,4,14,13,5,3,0,0,52,63,200,630,527,423,352,87,7,0,2285,3,0,12,0,4,4,0,0,0,27,3,0,7,8,3,0,0,0,0,31,3,5,18,12,5,5,0,0,0,54
LGA50280,57,119,476,705,656,438,132,21,0,2603,145,69,148,170,190,244,145,29,3,1147,11,8,41,56,52,46,18,0,0,237,11,4,21,12,16,11,7,3,0,84,229,200,687,943,919,745,296,56,6,4075,8,9,11,21,15,17,3,0,0,88,13,6,0,3,11,12,4,4,0,47,22,13,17,25,26,26,5,4,0,133,251,209,696,961,946,774,301,56,6,4211,147,24,39,71,103,225,567,291,103,1561,35,25,79,91,110,87,58,28,4,522,428,257,818,1120,1157,1079,921,379,117,6289,26,61,283,355,381,253,48,8,0,1413,179,81,329,658,515,416,145,19,0,2350,16,9,54,64,41,58,12,0,0,254,3,0,11,17,13,7,5,5,0,63,223,139,685,1096,952,729,207,21,0,4071,6,4,8,6,8,9,0,0,0,40,6,8,13,14,12,15,6,0,0,73,6,7,20,21,27,22,5,0,0,113
LGA50350,47,165,657,731,688,486,96,5,0,2864,125,143,155,135,120,143,72,18,0,908,9,11,30,20,20,16,6,0,0,108,0,3,12,11,10,3,4,0,0,48,174,325,854,901,838,648,173,19,0,3930,7,22,33,35,21,24,7,0,0,147,20,12,14,7,6,10,9,0,0,66,28,34,47,37,26,35,9,0,0,216,202,358,899,943,861,685,184,19,0,4151,165,59,86,89,107,193,484,305,112,1603,15,36,59,55,34,41,30,23,12,306,387,455,1041,1083,1008,916,701,347,121,6055,15,123,484,435,489,337,51,0,0,1942,156,170,294,476,315,278,100,13,0,1805,11,6,65,52,27,25,4,0,0,187,8,6,13,6,4,0,0,0,0,26,186,309,849,972,835,639,162,13,0,3959,6,14,14,13,23,7,0,0,0,78,25,7,20,22,16,16,4,0,0,119,29,25,39,39,38,25,4,0,0,191
LGA50420,137,722,3557,3662,2776,1969,444,31,0,13302,546,767,914,632,487,544,351,61,5,4305,22,48,100,123,93,96,23,3,0,511,8,43,108,64,36,31,7,5,0,306,715,1575,4679,4483,3397,2639,825,98,7,18424,38,81,153,126,133,132,16,0,0,675,116,55,72,25,29,45,26,0,0,367,154,135,220,151,164,175,39,3,0,1040,877,1709,4903,4629,3555,2817,865,104,7,19464,706,279,387,352,462,768,2059,1589,534,7135,56,89,231,210,158,132,97,106,63,1154,1640,2085,5516,5195,4178,3720,3024,1794,599,27752,54,612,2654,1933,1873,1183,225,15,0,8542,642,911,1578,1793,1360,1107,421,39,0,7859,18,55,283,194,68,109,33,3,0,771,17,39,64,49,41,22,3,3,0,237,727,1614,4584,3967,3345,2422,685,56,0,17405,10,39,103,79,78,63,8,0,0,391,130,68,87,96,95,61,13,0,0,547,140,109,189,172,180,132,20,0,0,941
LGA50490,104,603,2606,2218,1576,1131,216,12,0,8471,271,454,705,371,272,303,186,33,0,2597,12,22,98,84,87,73,20,3,0,406,4,33,99,51,40,23,7,0,3,259,396,1112,3511,2729,1983,1527,430,55,3,11740,25,62,120,100,86,75,8,0,0,476,60,47,47,17,32,26,10,4,0,235,82,106,162,117,119,103,20,4,0,713,477,1215,3673,2844,2099,1635,441,55,3,12445,441,210,304,286,316,513,984,690,263,4008,57,135,285,243,209,139,80,67,51,1258,977,1566,4263,3367,2621,2285,1508,811,319,17719,44,492,1768,1162,1005,652,129,4,0,5255,352,521,1025,918,609,552,182,19,0,4179,16,41,168,104,50,64,15,0,0,466,4,27,62,18,23,13,0,0,0,150,410,1079,3024,2199,1691,1280,333,28,0,10050,21,28,77,51,52,37,0,0,0,281,53,48,87,62,45,27,9,0,0,323,70,71,169,115,104,67,10,0,0,601
LGA50560,7,5,31,40,48,49,23,4,0,214,3,0,4,7,11,26,14,4,0,71,0,6,0,0,4,5,8,0,0,18,0,0,0,0,5,0,3,0,0,14,12,9,38,50,72,81,53,8,0,312,0,4,4,0,0,0,0,0,0,14,0,0,5,4,0,0,6,0,0,9,0,3,5,0,0,3,5,0,0,25,12,13,46,53,78,77,57,8,0,339,13,8,7,9,15,39,99,72,19,274,3,4,12,7,16,14,15,15,3,94,29,20,61,73,106,130,172,90,28,706,5,0,13,21,30,25,5,0,0,109,5,4,15,26,35,39,20,8,0,150,0,0,3,4,0,10,4,0,0,25,0,0,0,0,3,0,0,0,0,4,8,8,39,49,69,73,34,9,0,290,0,0,0,0,4,0,0,0,0,8,6,3,0,5,0,3,0,0,0,15,5,3,0,3,4,3,0,0,0,17
LGA50630,6,25,97,121,141,113,18,4,0,523,0,6,19,15,19,24,9,6,0,91,0,0,9,16,21,20,0,0,0,69,0,0,0,0,0,4,0,0,0,11,10,29,121,154,181,161,35,5,0,694,0,4,4,3,0,4,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,4,0,0,0,18,10,30,129,159,181,161,35,5,0,714,21,6,9,13,13,17,66,27,9,180,3,0,11,3,17,17,0,4,0,64,32,34,148,177,205,198,106,40,11,951,0,16,26,40,51,41,9,0,0,183,3,8,17,31,28,37,10,3,0,129,3,5,3,3,12,9,4,0,0,43,0,0,0,3,0,0,0,0,0,13,9,33,52,81,88,84,21,3,0,368,0,0,4,5,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,4,0,0,4,4,0,7,0,0,0,15
LGA50770,4,18,39,63,69,73,33,14,0,315,8,3,4,14,0,18,12,10,0,73,0,4,0,0,6,4,5,0,0,23,0,0,0,5,3,0,0,0,0,21,12,34,44,73,84,99,50,26,0,422,0,0,0,0,5,8,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,7,0,0,0,12,17,31,47,73,88,105,53,26,0,436,9,0,3,7,17,28,65,45,14,191,0,5,10,7,12,15,13,7,3,69,25,37,58,86,115,155,129,82,13,704,11,11,13,36,43,31,10,8,0,163,10,14,25,40,33,38,17,3,0,177,0,4,3,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,5,15,28,43,80,82,78,29,11,0,361,0,6,0,4,7,0,0,0,0,16,3,0,0,7,0,0,0,0,0,11,4,6,3,6,7,5,0,0,0,19
