LGA_CODE_2021,Num_mot_veh_per_dwg_None_Dwgs,Nu_mo_veh_pe_dw_1_mo_veh_Dwgs,Nu_mo_ve_pe_dw_2_mot_veh_Dwgs,Nu_mo_ve_pe_dw_3_mot_veh_Dwgs,Nu_mo_ve_pe_dw_4_mo_veh_Dwgs,Num_mot_veh_per_dwg_Tot_Dwgs,Num_mot_veh_ns_Dwgs,Total_Dwellings
LGA50080,687,5083,5619,2127,1333,14843,822,15664
LGA50210,1348,9956,13704,4648,2652,32307,1649,33956
LGA50250,182,1225,688,231,120,2448,416,2862
LGA50280,174,1997,2632,848,429,6082,529,6612
LGA50350,404,2408,2427,712,348,6303,328,6632
LGA50420,1892,11288,10481,2790,1436,27886,1181,29068
LGA50490,1328,7255,5968,1635,749,16932,1062,17996
LGA50560,22,187,252,121,92,676,83,767
LGA50630,15,175,225,125,71,611,64,670
LGA50770,20,184,243,135,98,689,79,763
LGA50840,58,662,811,327,219,2070,147,2217
LGA50910,15,89,132,56,45,332,37,370
LGA50980,615,3493,2200,767,419,7491,1003,8495
LGA51080,13,100,99,89,68,369,52,421
LGA51120,11,103,130,42,43,328,60,393
LGA51190,877,5492,4881,1430,635,13311,914,14228
LGA51260,496,5376,6184,2102,1105,15263,875,16136
LGA51310,507,3475,4321,1344,732,10382,251,10634
LGA51330,1578,10982,13674,4600,2420,33248,1327,34578
LGA51400,134,1621,2623,1181,659,6220,278,6496
LGA51470,9,95,92,23,28,246,49,300
LGA51540,207,1490,834,223,140,2894,415,3306
LGA51610,8,112,223,107,78,521,72,594
LGA51680,23,318,731,464,406,1942,151,2092
LGA51710,37,189,131,62,24,440,59,499
LGA51750,250,1860,1670,429,191,4412,189,4603
LGA51820,1865,14251,18302,5903,3109,43428,1745,45173
LGA51860,7,38,38,20,24,131,36,168
LGA51890,166,1065,1227,555,357,3381,274,3653
LGA51960,63,404,402,184,99,1152,304,1456
LGA52030,12,146,169,76,49,452,72,519
LGA52100,12,129,144,62,51,397,31,427
LGA52170,108,1021,1256,428,220,3029,106,3138
LGA52240,8,124,141,92,54,413,52,468
LGA52310,3,100,117,69,74,361,39,397
LGA52380,8,42,25,10,5,94,71,161
LGA52450,19,124,170,91,52,457,31,492
LGA52520,14,119,184,75,53,442,83,519
LGA52590,31,451,532,222,136,1370,127,1496
LGA52660,135,1619,2209,878,476,5315,264,5578
LGA52730,61,918,977,344,147,2449,294,2745
LGA52800,620,1068,478,158,88,2408,635,3043
LGA52870,39,676,890,433,282,2325,150,2470
LGA52940,8,97,109,50,29,292,30,322
LGA53010,3,56,90,36,41,233,47,279
LGA53080,31,162,73,20,22,306,69,372
LGA53150,124,1053,1205,375,169,2926,96,3022
LGA53220,267,917,662,223,111,2184,274,2456
LGA53290,231,1658,1960,745,525,5113,603,5720
LGA53360,72,1154,652,203,155,2241,164,2404
LGA53430,1144,5585,4743,1164,569,13204,804,14005
LGA53570,48,591,778,377,286,2082,189,2268
LGA53640,11,101,168,77,89,446,39,488
LGA53710,9,113,134,64,58,381,50,429
LGA53780,1813,13876,16718,6281,3629,42314,2059,44372
LGA53800,722,5159,5550,2035,1110,14575,1341,15910
LGA53920,450,554,168,37,23,1231,200,1430
LGA53990,249,2837,4255,1741,1033,10120,509,10626
LGA54060,70,591,549,225,123,1554,189,1746
LGA54130,9,140,162,91,61,460,42,503
LGA54170,1492,16101,25832,8984,4910,57318,1533,58848
LGA54200,614,5916,8627,3547,2441,21139,796,21938
LGA54280,517,3294,3927,1534,884,10150,1346,11495
LGA54310,291,2079,2932,1110,571,6975,1309,8287
LGA54340,109,487,496,204,147,1441,158,1602
LGA54410,30,132,141,74,63,444,52,487
LGA54480,0,43,51,35,43,174,21,200
LGA54550,35,190,255,118,134,730,79,810
LGA54620,16,120,108,48,42,335,47,381
LGA54690,3,63,53,16,25,159,8,170
LGA54760,6,60,92,44,58,265,36,303
LGA54830,786,5440,6279,1984,1014,15507,870,16373
LGA54900,15,135,194,59,90,493,47,537
LGA54970,46,112,43,23,10,235,52,287
LGA55040,58,163,109,46,13,398,147,547
LGA55110,1836,14065,12994,4223,2094,35212,1620,36833
LGA55180,185,1195,1317,549,334,3579,302,3877
LGA55250,56,168,76,20,22,348,92,444
LGA55320,1698,12897,16305,4925,2647,38475,1115,39588
LGA55390,19,45,19,11,3,100,35,138
LGA55460,69,399,419,183,102,1169,179,1351
LGA55530,5,58,59,25,27,178,64,239
LGA55600,39,285,273,130,104,831,129,963
LGA55670,12,77,82,44,25,235,51,278
LGA55740,329,1301,1288,393,213,3527,179,3702
LGA55810,13,91,45,13,18,181,138,316
LGA55880,3,63,60,27,37,187,14,205
LGA55950,5,69,81,37,35,224,33,256
LGA56090,347,3323,5369,2566,1897,13497,475,13971
LGA56160,7,32,10,3,10,66,11,72
LGA56230,172,2155,2398,1111,806,6645,431,7075
LGA56300,36,182,256,103,54,633,94,722
LGA56370,15,80,112,50,36,282,38,325
LGA56460,117,676,600,267,166,1825,194,2026
LGA56580,269,2138,3499,1122,561,7597,178,7771
LGA56620,217,122,22,4,0,368,68,436
LGA56730,208,1315,1441,650,447,4060,403,4456
LGA56790,44,726,544,195,122,1633,244,1880
LGA56860,5,26,27,16,17,88,23,115
LGA56930,16,136,201,98,68,526,18,540
LGA57000,4,47,51,17,22,148,58,209
LGA57080,2710,7286,2132,287,105,12522,1382,13900
LGA57140,27,139,142,67,60,431,34,468
LGA57210,44,561,750,362,270,1997,194,2187
LGA57280,350,1818,2079,752,340,5336,1082,6418
LGA57350,13,105,109,42,42,309,118,426
LGA57420,34,333,282,93,90,832,82,910
LGA57490,1973,16772,19372,6659,3380,48151,2230,50382
LGA57630,3,25,29,3,8,67,12,75
LGA57700,131,2215,4291,1920,1578,10135,423,10555
LGA57770,42,555,228,40,42,905,225,1133
LGA57840,1018,7509,6663,1800,752,17743,706,18454
LGA57910,5477,36197,34373,9202,4557,89807,4209,94013
LGA57980,727,3847,2328,493,173,7576,297,7872
LGA58050,2003,16146,21532,7911,4763,52357,2709,55068
LGA58190,4,48,48,22,24,136,29,165
LGA58260,9,80,72,30,29,212,36,253
LGA58330,33,428,652,318,276,1712,257,1970
LGA58400,8,47,50,18,11,136,16,150
LGA58470,8,77,24,4,7,115,17,136
LGA58510,1453,6931,5173,1264,508,15329,885,16209
LGA58540,7,72,112,53,58,301,48,349
LGA58570,1487,7219,5138,1164,441,15446,779,16224
LGA58610,42,212,250,91,79,682,79,760
LGA58680,5,28,61,38,39,185,41,228
LGA58760,2359,22375,29774,10443,5824,70766,2697,73463
LGA58820,60,472,597,269,205,1597,94,1692
LGA58890,5,69,107,51,67,303,38,336
LGA59030,9,28,35,21,14,102,15,115
LGA59100,3,42,105,35,40,229,43,279
LGA59170,12,90,138,79,42,366,48,412
LGA59250,25,66,18,3,11,116,34,156
LGA59310,18,158,213,97,44,536,38,577
LGA59320,0,36,52,33,37,164,15,174
LGA59330,13,81,70,27,18,213,27,240
LGA59340,418,1330,756,235,157,2904,902,3806
LGA59350,12,36,21,4,7,79,32,116
LGA59360,38,156,135,60,51,437,42,485
LGA59370,49,494,502,241,152,1439,141,1587
LGA59799,11,0,0,0,0,13,0,13
