LGA_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_ns,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_ns,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_ns,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arr_ns,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_ns,Japan_Tot,Korea_Rep_South_Before_1951,Korea_Rep_South_1951_1960,Korea_Rep_South_1961_1970,Korea_Rep_South_1971_1980,Korea_Rep_South_1981_1990,Korea_Rep_South_1991_2000,Korea_Rep_South_2001_2010,Korea_Rep_South_2011_2015,Korea_Rep_South_2016,Korea_Rep_South_2017,Korea_Rep_South_2018,Korea_Rep_South_2019,Korea_Rep_South_2020,Korea_Rep_South_2021,Korea_Rep_South_Yr_arrival_ns,Korea_Rep_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_ns,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_ns,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_ns,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_ns,Pakistan_Tot
LGA50080,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,12,4,15,6,11,14,0,0,0,0,0,0,3,69,7,50,41,8,0,6,5,11,0,4,0,4,0,0,7,142,0,0,0,0,4,3,7,5,0,0,0,4,0,0,3,26,0,0,0,0,0,3,10,4,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,9,3,11,0,19,11,4,0,0,0,0,0,17,85,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,6,4,106,28,12,37,6,14,10,0,0,0,0,4,0,11,233,0,6,52,95,156,95,123,55,4,9,5,12,0,9,40,659,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9
LGA50210,0,3,4,4,0,0,0,124,0,0,4,0,0,30,39,21,6,4,0,0,0,0,0,102,0,9,39,46,71,21,62,79,4,5,4,0,0,0,7,348,12,87,87,21,14,4,13,22,0,0,0,0,0,0,6,277,0,4,5,0,5,12,42,18,0,4,0,9,3,0,3,100,0,0,0,0,0,24,117,65,12,5,4,13,3,0,3,252,0,0,0,10,13,8,6,8,0,3,0,0,0,0,0,55,0,0,25,61,159,105,537,246,37,42,33,19,19,4,20,1316,0,0,0,0,0,0,54,24,0,5,5,11,0,0,0,100,18,219,67,51,73,24,54,22,7,0,0,0,0,0,9,538,0,4,70,207,447,416,753,623,50,35,63,59,25,28,80,2857,0,0,3,4,0,0,0,3,0,0,0,0,0,0,0,13,0,0,0,4,4,14,96,140,18,25,14,18,9,0,0,347
LGA50250,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,10,5,42,46,0,0,10,17,10,0,0,143,0,0,5,0,0,0,6,9,0,0,0,5,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,11,0,0,0,0,4,0,0,0,0,0,4,7,0,0,0,10,0,0,6,3,9,6,9,7,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,3,0,3,8,3,7,0,0,0,0,3,0,0,0,27,0,0,3,72,119,120,225,140,18,14,13,4,0,10,23,770,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,13
LGA50280,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,15,10,5,23,16,0,0,0,0,0,0,0,82,5,9,6,0,0,0,10,30,4,9,5,12,4,0,4,108,0,0,0,0,0,3,11,12,0,0,0,0,0,0,0,31,0,0,0,0,0,3,9,12,0,0,0,3,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,3,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,0,0,4,12,8,7,0,0,6,0,0,0,0,69,0,0,20,58,86,81,101,55,4,4,9,10,3,6,28,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50350,0,0,0,0,0,0,0,11,0,0,0,0,0,3,3,0,0,0,5,0,0,0,0,14,0,0,3,14,26,11,47,37,0,0,0,0,0,0,0,145,6,63,33,9,7,3,6,12,4,0,0,0,0,0,5,147,0,0,0,0,0,6,12,4,0,0,0,0,3,0,0,33,0,0,0,0,7,7,11,6,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,9,28,10,20,12,0,0,0,0,0,0,0,106,0,0,0,0,0,0,14,10,0,5,4,0,0,0,0,31,0,14,8,8,3,0,5,0,0,0,0,0,0,0,0,48,0,3,22,45,101,61,98,50,12,11,7,3,0,0,14,420,0,0,3,5,5,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,4,10,0,6,5,0,0,0,0,26
LGA50420,10,3,12,7,6,0,0,265,0,0,0,0,0,23,45,33,9,5,4,10,0,0,0,143,3,6,47,39,91,29,158,176,18,10,14,20,9,0,14,619,36,437,415,97,35,33,42,93,11,11,3,12,0,0,23,1261,0,0,0,7,10,38,64,33,4,0,4,8,7,6,3,197,0,0,0,0,19,17,76,56,19,11,16,14,0,0,0,232,0,0,0,7,12,9,10,5,0,0,0,0,0,0,0,41,0,5,55,110,312,115,200,125,41,33,38,41,13,4,20,1107,0,0,0,0,0,3,61,65,17,33,51,49,17,0,9,299,12,90,30,17,22,11,14,11,5,0,0,0,0,0,6,217,4,7,59,173,269,218,321,252,9,23,36,25,9,10,33,1441,0,10,41,30,15,24,20,0,6,0,0,0,0,0,6,150,0,3,5,6,9,6,42,55,20,23,12,47,21,0,5,268
LGA50490,9,6,5,14,6,0,6,139,0,4,0,0,0,18,33,34,0,0,0,3,0,0,4,97,0,9,24,15,39,14,62,127,4,12,6,18,8,0,5,336,8,112,93,16,7,8,16,48,0,9,6,4,3,0,8,329,0,0,0,0,0,18,41,19,7,3,7,8,0,0,3,109,0,0,0,9,14,13,112,80,16,13,12,14,4,0,8,298,0,0,0,18,6,9,8,13,0,0,0,5,0,0,0,67,0,7,21,39,116,81,212,153,40,53,32,33,7,6,11,811,0,0,0,0,6,10,64,67,19,31,40,43,15,0,0,294,3,38,3,3,12,4,8,0,0,0,4,0,0,0,0,86,0,0,29,115,216,178,303,334,31,18,43,25,10,23,33,1357,0,0,0,0,3,4,3,0,0,0,4,0,0,3,0,23,0,0,5,5,12,5,84,179,55,44,33,60,27,3,9,516
LGA50560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,3,4,12,13,6,3,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,4,8,12,15,21,12,3,0,0,6,0,0,7,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,9,11,7,6,4,3,0,0,0,6,0,7,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
