LGA_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Prim_Other_Non_Govt_M,Prim_Other_Non_Govt_F,Prim_Other_Non_Govt_P,Primary_Tot_M,Primary_Tot_F,Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_Ed_Ft_15_24_yr_M,Tert_Voc_Ed_Ft_15_24_yr_F,Tert_Voc_Ed_Ft_15_24_yr_P,Tert_Voc_Ed_Ft_25_yr_over_M,Tert_Voc_Ed_Ft_25_yr_over_F,Tert_Voc_Ed_Ft_25_yr_over_P,Tert_Voc_Ed_Pt_15_24_yr_M,Tert_Voc_Ed_Pt_15_24_yr_F,Tert_Voc_Ed_Pt_15_24_yr_P,Tert_Voc_Ed_Pt_25_yr_over_M,Tert_Voc_Ed_Pt_25_yr_over_F,Tert_Voc_Ed_Pt_25_yr_over_P,Tert_Voc_Ed_Ft_Pt_st_ns_M,Tert_Voc_Ed_Ft_Pt_st_ns_F,Tert_Voc_Ed_Ft_Pt_st_ns_P,Tert_Voc_Ed_Tot_M,Tert_Voc_Ed_Tot_F,Tert_Voc_Ed_Tot_P,Tert_Uni_oth_edu_Ft_15_24_M,Tert_Uni_oth_edu_Ft_15_24_F,Tert_Uni_oth_edu_Ft_15_24_P,Tert_Uni_oth_edu_Ft_25ov_M,Tert_Uni_oth_edu_Ft_25ov_F,Tert_Uni_oth_edu_Ft_25ov_P,Tert_Uni_oth_edu_Pt_15_24_M,Tert_Uni_oth_edu_Pt_15_24_F,Tert_Uni_oth_edu_Pt_15_24_P,Tert_Uni_oth_edu_Pt_25ov_M,Tert_Uni_oth_edu_Pt_25ov_F,Tert_Uni_oth_edu_Pt_25ov_P,Tert_Uni_oth_edu_F_Pt_st_ns_M,Tert_Uni_oth_edu_F_Pt_st_ns_F,Tert_Uni_oth_edu_F_Pt_st_ns_P,Tert_Uni_oth_edu_Tot_M,Tert_Uni_oth_edu_Tot_F,Tert_Uni_oth_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Oth_type_Edu_inst_Ftime_stu_M,Oth_type_Edu_inst_Ftime_stu_F,Oth_type_Edu_inst_Ftime_stu_P,Oth_type_Edu_inst_Ptime_stu_M,Oth_type_Edu_inst_Ptime_stu_F,Oth_type_Edu_inst_Ptime_stu_P,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_M,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_F,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_P,Oth_type_educ_institut_Tot_M,Oth_type_educ_institut_Tot_F,Oth_type_educ_institut_Tot_P,Type_educ_institution_ns_M,Type_educ_institution_ns_F,Type_educ_institution_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
LGA50080,316,282,593,978,889,1869,128,137,268,321,360,683,1429,1393,2819,910,824,1737,131,144,274,385,437,820,1432,1406,2837,73,70,145,31,88,124,171,74,246,118,262,380,0,6,3,402,505,903,49,92,144,42,81,121,16,41,58,81,245,325,0,0,0,192,462,652,594,964,1555,22,36,62,101,130,230,0,0,3,122,170,295,1409,1001,2413,31,23,56,5336,5235,10569
LGA50210,1083,952,2033,3564,3398,6958,599,539,1135,803,809,1610,4979,4755,9728,2231,2110,4337,334,374,706,664,713,1376,3221,3202,6427,207,213,414,157,276,433,283,215,498,328,571,904,0,8,9,979,1283,2259,560,772,1332,233,405,642,103,165,265,291,539,832,3,7,5,1182,1898,3082,2164,3181,5346,160,184,341,230,421,651,8,8,10,390,613,1010,2161,2173,4341,75,114,184,14076,14986,29064
LGA50250,69,80,154,390,320,709,10,5,9,20,13,32,413,346,758,133,135,263,3,0,6,11,5,12,144,137,285,8,3,11,14,11,24,19,13,28,66,45,114,0,0,0,110,73,178,0,12,14,12,11,23,6,7,13,64,61,124,0,0,0,84,92,171,186,162,352,6,11,16,28,17,46,0,0,0,36,26,63,3080,1029,4108,63,44,102,3991,1821,5813
LGA50280,138,152,287,578,524,1101,78,53,127,125,129,257,787,705,1488,470,455,919,27,23,49,30,39,74,528,519,1049,14,10,19,10,24,38,54,15,71,59,148,204,0,3,0,132,201,329,3,21,29,17,45,61,0,10,14,29,107,145,0,0,0,60,187,242,196,385,575,19,16,35,31,60,91,0,0,0,50,73,128,662,670,1335,82,25,101,2437,2532,4966
LGA50350,152,133,286,422,348,769,123,132,257,71,68,134,619,550,1167,231,228,452,116,107,215,100,90,190,447,416,863,27,39,69,27,38,63,44,24,69,52,109,162,0,0,0,155,209,367,101,142,249,45,73,118,32,24,56,86,125,207,0,0,3,263,370,633,417,586,997,20,20,34,43,56,105,0,0,0,64,72,140,373,331,703,8,16,26,2084,2104,4183
LGA50420,623,566,1189,1476,1348,2824,648,612,1258,208,248,456,2335,2213,4544,1020,850,1867,637,582,1221,307,301,606,1963,1735,3698,185,135,319,199,273,479,145,76,223,278,400,675,7,4,7,810,891,1703,732,868,1600,385,423,809,134,148,281,361,568,930,6,0,15,1620,2017,3631,2431,2910,5342,124,107,228,197,286,483,3,5,9,323,396,720,1341,1246,2590,47,67,115,9073,9134,18207
LGA50490,320,279,602,767,704,1471,419,417,846,216,244,460,1405,1372,2780,519,513,1030,326,278,607,184,162,340,1028,952,1973,144,118,260,145,250,390,102,54,156,191,326,520,0,3,3,581,746,1329,392,519,906,267,315,585,84,106,191,201,281,485,4,0,7,950,1227,2175,1539,1981,3519,115,102,216,135,164,297,5,4,8,251,272,520,1435,1251,2691,96,57,159,6077,6165,12236
LGA50560,8,5,13,34,52,85,3,0,9,0,0,0,45,50,87,12,18,31,4,8,14,0,0,0,17,34,46,0,0,0,0,4,3,0,0,3,4,6,12,0,0,0,6,13,17,0,4,5,0,3,4,0,0,0,0,3,0,0,0,0,3,6,8,11,22,30,5,7,7,4,4,6,0,0,0,5,11,15,96,94,190,0,5,4,179,215,395
LGA50630,17,16,32,80,74,155,0,0,0,0,3,10,83,76,165,44,35,77,6,0,7,3,4,11,48,44,91,0,0,7,0,0,0,9,6,13,6,9,14,0,0,0,16,16,30,0,0,4,0,3,3,0,0,0,8,4,14,0,0,0,12,14,25,28,24,49,4,7,8,0,5,11,0,0,0,7,13,13,75,71,144,4,0,5,261,234,498
LGA50770,14,14,33,46,41,91,28,30,50,3,0,3,75,69,145,33,40,70,5,8,14,0,0,0,34,51,88,0,0,0,0,0,5,0,3,3,0,11,14,0,0,0,5,11,20,0,7,11,0,3,3,0,0,0,0,4,4,0,0,0,0,8,16,9,25,28,0,0,0,0,7,13,0,0,0,3,7,13,100,87,185,0,0,0,237,255,495
