LGA_CODE_2021,M_15_19_Mgrs,M_15_19_Profnls,M_15_19_Techs_trades_workers,M_15_19_Comm_psnl_serv_wrkrs,M_15_19_Cler_admin_wrkrs,M_15_19_Sales_wrkrs,M_15_19_Mach_oper_dvrs,M_15_19_Labrs,M_15_19_Inad_desc_Ns,M_15_19_Tot,M_20_24_Mgrs,M_20_24_Profnls,M_20_24_Techs_trades_wrkrs,M_20_24_Comm_psnl_serv_wrkrs,M_20_24_Cler_admin_wrkrs,M_20_24_Sales_wrkrs,M_20_24_Mach_oper_dvrs,M_20_24_Labrs,M_20_24_Inad_desc_Ns,M_20_24_Tot,M_25_34_Mgrs,M_25_34_Profnls,M_25_34_Techs_trades_wrkrs,M_25_34_Comm_psnl_serv_wrkrs,M_25_34_Cler_admin_wrkrs,M_25_34_Sales_wrkrs,M_25_34_Mach_oper_dvrs,M_25_34_Labrs,M_25_34_Inad_desc_Ns,M_25_34_Tot,M_35_44_Mgrs,M_35_44_Profnls,M_35_44_Techs_trades_wrkrs,M_35_44_Comm_psnl_serv_wrkrs,M_35_44_Cler_admin_wrkrs,M_35_44_Sales_wrkrs,M_35_44_Mach_oper_dvrs,M_35_44_Labrs,M_35_44_Inad_desc_Ns,M_35_44_Tot,M_45_54_Mgrs,M_45_54_Profnls,M_45_54_Techs_trades_wrkrs,M_45_54_Comm_psnl_serv_wrkrs,M_45_54_Cler_admin_wrkrs,M_45_54_Sales_wrkrs,M_45_54_Mach_oper_dvrs,M_45_54_Labrs,M_45_54_Inad_desc_Ns,M_45_54_Tot,M_55_64_Mgrs,M_55_64_Profnls,M_55_64_Techs_trades_wrkrs,M_55_64_Comm_psnl_serv_wrkrs,M_55_64_Cler_admin_wrkrs,M_55_64_Sales_wrkrs,M_55_64_Mach_oper_dvrs,M_55_64_Labrs,M_55_64_Inad_desc_Ns,M_55_64_Tot,M_65_74_Mgrs,M_65_74_Profnls,M_65_74_Techs_trades_wrkrs,M_65_74_Comm_psnl_serv_wrkrs,M_65_74_Cler_admin_wrkrs,M_65_74_Sales_wrkrs,M_65_74_Mach_oper_dvrs,M_65_74_Labrs,M_65_74_Inad_desc_Ns,M_65_74_Tot,M_75_84_Mgrs,M_75_84_Profnls,M_75_84_Techs_trades_wrkrs,M_75_84_Comm_psnl_serv_wrkrs,M_75_84_Cler_admin_wrkrs,M_75_84_Sales_wrkrs,M_75_84_Mach_oper_dvrs,M_75_84_Labrs,M_75_84_Inad_desc_Ns,M_75_84_Tot,M_85_yr_over_Mgrs,M_85_yr_over_Profnls,M_85ov_Techs_trades_wrkrs,M_85ov_Com_psnl_serv_wrkrs,M_85_yr_over_Cler_admin_wrkrs,M_85_yr_over_Sales_wrkrs,M_85_yr_over_Mach_oper_dvrs,M_85_yr_over_Labrs,M_85_yr_over_Inad_desc_Ns,M_85_yr_over_Tot,M_Tot_Mgrs,M_Tot_Profnls,M_Tot_Techs_trades_wrkrs,M_Tot_Comm_psnl_serv_wrkrs,M_Tot_Cler_admin_wrkrs,M_Tot_Sales_wrkrs,M_Tot_Mach_oper_dvrs,M_Tot_Labrs,M_Tot_Inad_desc_Ns,M_Tot_Tot,F_15_19_Mgrs,F_15_19_Profnls,F_15_19_Techs_trades_workers,F_15_19_Comm_psnl_serv_wrkrs,F_15_19_Cler_admin_wrkrs,F_15_19_Sales_wrkrs,F_15_19_Mach_oper_dvrs,F_15_19_Labrs,F_15_19_Inad_desc_Ns,F_15_19_Tot,F_20_24_Mgrs,F_20_24_Profnls,F_20_24_Techs_trades_wrkrs,F_20_24_Comm_psnl_serv_wrkrs,F_20_24_Cler_admin_wrkrs,F_20_24_Sales_wrkrs,F_20_24_Mach_oper_dvrs,F_20_24_Labrs,F_20_24_Inad_desc_Ns,F_20_24_Tot,F_25_34_Mgrs,F_25_34_Profnls,F_25_34_Techs_trades_wrkrs,F_25_34_Comm_psnl_serv_wrkrs,F_25_34_Cler_admin_wrkrs,F_25_34_Sales_wrkrs,F_25_34_Mach_oper_dvrs,F_25_34_Labrs,F_25_34_Inad_desc_Ns,F_25_34_Tot,F_35_44_Mgrs,F_35_44_Profnls,F_35_44_Techs_trades_wrkrs,F_35_44_Comm_psnl_serv_wrkrs,F_35_44_Cler_admin_wrkrs,F_35_44_Sales_wrkrs,F_35_44_Mach_oper_dvrs,F_35_44_Labrs,F_35_44_Inad_desc_Ns,F_35_44_Tot,F_45_54_Mgrs,F_45_54_Profnls,F_45_54_Techs_trades_wrkrs,F_45_54_Comm_psnl_serv_wrkrs,F_45_54_Cler_admin_wrkrs,F_45_54_Sales_wrkrs,F_45_54_Mach_oper_dvrs,F_45_54_Labrs,F_45_54_Inad_desc_Ns,F_45_54_Tot,F_55_64_Mgrs,F_55_64_Profnls,F_55_64_Techs_trades_wrkrs,F_55_64_Comm_psnl_serv_wrkrs,F_55_64_Cler_admin_wrkrs,F_55_64_Sales_wrkrs,F_55_64_Mach_oper_dvrs,F_55_64_Labrs,F_55_64_Inad_desc_Ns,F_55_64_Tot,F_65_74_Mgrs,F_65_74_Profnls,F_65_74_Techs_trades_wrkrs,F_65_74_Comm_psnl_serv_wrkrs,F_65_74_Cler_admin_wrkrs,F_65_74_Sales_wrkrs,F_65_74_Mach_oper_dvrs,F_65_74_Labrs,F_65_74_Inad_desc_Ns,F_65_74_Tot,F_75_84_Mgrs,F_75_84_Profnls,F_75_84_Techs_trades_wrkrs,F_75_84_Comm_psnl_serv_wrkrs,F_75_84_Cler_admin_wrkrs,F_75_84_Sales_wrkrs,F_75_84_Mach_oper_dvrs,F_75_84_Labrs,F_75_84_Inad_desc_Ns,F_75_84_Tot,F_85_yr_over_Mgrs,F_85_yr_over_Profnls,F_85_yr_over_Techs_tra_wrkrs,F_85ov_Com_psnl_serv_wrkrs,F_85ov_Cler_admin_wrkrs,F_85_yr_over_Sales_wrkrs,F_85_yr_over_Mach_oper_dvrs,F_85_yr_over_Labrs,F_85_yr_over_Inad_desc_Ns,F_85_yr_over_Tot,F_Tot_Mgrs,F_Tot_Profnls,F_Tot_Techs_trades_wrkrs,F_Tot_Comm_psnl_serv_wrkrs,F_Tot_Cler_admin_wrkrs,F_Tot_Sales_wrkrs,F_Tot_Mach_oper_dvrs,F_Tot_Labrs,F_Tot_Inad_desc_Ns,F_Tot_Tot
LGA50080,15,6,168,56,13,137,25,235,10,663,27,37,249,59,10,57,63,161,11,669,142,204,539,95,26,90,164,243,22,1519,253,230,404,117,61,76,172,226,31,1566,322,290,410,162,69,84,249,214,29,1820,339,280,323,152,70,84,255,205,32,1739,171,92,100,31,19,34,80,82,10,630,47,11,14,4,0,6,9,14,5,110,8,0,0,0,0,0,0,4,7,22,1318,1147,2219,669,262,572,1018,1378,155,8737,7,10,19,190,37,270,3,92,17,644,21,71,56,182,75,107,8,69,10,594,92,381,95,281,253,155,16,111,17,1410,170,451,74,330,318,163,17,154,19,1698,265,473,98,403,381,187,15,177,20,2020,190,391,72,345,399,165,20,168,20,1756,87,101,25,59,107,36,7,51,5,480,22,12,0,3,11,3,0,4,4,56,0,0,0,0,0,0,0,0,0,5,846,1898,437,1792,1577,1083,95,834,102,8659
LGA50210,18,15,239,63,17,241,107,404,26,1117,65,130,573,143,83,205,269,386,36,1898,457,740,1598,315,307,272,846,582,132,5240,870,1230,1573,339,441,225,1002,510,120,6307,618,644,1057,279,269,144,751,387,87,4234,438,401,698,191,213,107,686,323,58,3104,118,106,174,48,62,46,152,92,12,799,28,19,23,4,0,4,5,20,3,111,0,0,0,0,0,0,0,0,0,3,2604,3287,5929,1372,1393,1246,3815,2704,468,22808,10,23,47,254,81,554,26,173,25,1182,84,188,151,479,310,340,75,147,30,1818,411,1269,358,945,1006,389,137,299,83,4896,477,1539,323,1037,1098,393,142,362,83,5449,330,836,188,779,913,286,105,378,50,3875,195,502,125,518,727,264,71,275,27,2714,56,105,28,122,147,70,14,69,14,627,5,11,0,4,11,4,0,3,3,44,0,0,0,0,0,0,0,0,4,9,1570,4473,1224,4138,4291,2300,571,1705,326,20601
LGA50250,0,0,14,3,0,16,4,31,8,79,7,33,96,3,0,3,50,74,6,273,68,194,566,52,28,3,289,154,25,1368,128,155,598,30,36,6,433,112,32,1517,125,113,490,23,34,10,440,130,31,1401,89,74,285,23,30,7,402,66,17,999,20,24,44,3,0,3,56,11,6,160,10,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,439,598,2081,137,141,42,1671,574,117,5805,0,0,7,16,4,13,10,16,0,63,3,33,20,29,18,4,27,51,9,200,52,135,56,73,92,13,94,102,5,630,44,82,50,70,97,21,91,52,10,527,36,60,28,49,69,26,96,55,10,423,48,46,20,31,63,23,65,50,8,352,11,17,5,8,12,8,10,12,3,87,0,0,0,0,0,0,0,4,3,7,0,0,0,0,0,0,0,0,0,0,193,381,185,282,349,106,402,346,48,2285
LGA50280,3,0,53,31,0,48,7,90,0,229,14,0,69,16,6,17,11,64,0,200,83,81,252,53,8,26,44,125,11,687,152,160,297,47,13,16,97,132,16,943,203,161,230,40,23,45,90,114,14,919,156,118,167,34,29,43,83,102,13,745,94,68,41,0,13,16,26,37,11,296,30,0,3,0,3,5,3,13,0,56,8,0,0,0,0,0,0,0,0,6,736,594,1104,225,95,210,368,679,63,4075,6,3,8,83,4,81,4,36,4,223,12,8,7,52,11,26,0,23,0,139,80,170,55,152,81,55,9,85,0,685,154,306,73,177,155,97,13,107,8,1096,137,222,57,150,167,101,10,89,10,952,92,160,50,109,146,79,11,77,9,729,50,38,11,10,47,27,0,21,8,207,9,0,0,4,4,0,0,0,5,21,0,0,0,0,0,0,0,0,0,0,541,915,251,744,618,475,48,438,44,4071
LGA50350,0,6,24,20,12,21,21,66,0,174,15,29,86,44,24,44,29,49,3,325,77,231,226,70,48,44,72,66,15,854,164,263,209,47,55,37,72,47,15,901,143,192,194,35,69,42,81,65,14,838,101,124,134,43,50,34,87,66,8,648,15,35,32,5,13,19,26,21,3,173,0,6,4,0,0,4,0,4,0,19,0,0,0,0,0,0,0,0,0,0,519,876,910,273,268,243,390,388,61,3930,0,8,3,69,4,67,0,28,7,186,20,43,25,92,43,54,9,21,3,309,110,314,55,129,132,60,13,29,11,849,97,364,74,109,189,61,11,43,14,972,110,254,41,128,213,41,12,23,9,835,78,147,33,99,166,51,5,53,5,639,14,34,8,30,43,16,0,20,0,162,0,3,0,5,0,0,0,3,0,13,0,0,0,0,0,0,0,0,0,0,427,1163,229,655,792,362,57,223,51,3959
LGA50420,4,13,95,93,10,188,57,240,9,715,56,206,316,238,89,209,178,262,25,1575,467,1338,1045,357,328,235,420,395,92,4679,789,1328,904,247,322,157,350,297,80,4483,650,764,726,182,256,145,323,278,60,3397,412,521,547,173,245,133,329,239,40,2639,131,168,171,30,61,47,95,104,9,825,9,26,12,0,10,8,11,15,3,98,0,0,0,0,0,0,0,3,0,7,2527,4374,3822,1328,1327,1121,1761,1839,327,18424,6,14,27,205,38,316,5,104,7,727,73,298,86,440,255,321,30,108,16,1614,409,1725,301,758,748,297,63,206,67,4584,513,1449,209,544,731,211,57,197,66,3967,451,976,181,460,784,188,63,203,45,3345,254,547,114,380,662,184,34,216,29,2422,65,165,34,114,176,60,13,50,5,685,4,11,0,5,19,5,4,3,3,56,0,0,0,0,0,0,0,0,0,0,1779,5181,960,2909,3414,1575,266,1085,238,17405
LGA50490,10,5,67,41,7,110,25,123,9,396,43,113,292,145,66,132,120,174,29,1112,300,816,869,250,225,160,428,381,86,3511,382,613,688,149,174,110,335,228,51,2729,310,372,473,108,124,68,359,134,35,1983,230,199,340,83,136,69,281,161,36,1527,63,63,81,25,27,25,85,55,8,430,6,15,4,0,0,5,11,6,5,55,0,0,0,0,0,0,0,0,3,3,1343,2190,2818,791,755,674,1646,1259,251,11740,10,11,13,97,37,183,7,54,12,410,54,178,75,297,180,204,26,62,15,1079,267,920,256,550,521,204,86,170,54,3024,246,652,126,360,427,126,62,160,34,2199,197,370,67,296,416,113,47,151,25,1691,125,226,54,188,385,107,36,133,19,1280,38,76,11,51,73,24,13,42,5,333,6,3,0,4,10,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,942,2435,594,1846,2056,959,279,783,162,10050
LGA50560,5,0,0,0,0,0,0,9,0,12,0,0,0,4,0,0,0,0,0,9,13,0,7,0,0,0,8,10,0,38,20,5,10,0,0,0,10,6,5,50,26,3,7,3,0,0,17,10,0,72,26,6,17,5,4,0,13,17,4,81,22,5,9,0,0,0,8,6,0,53,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,103,12,57,13,6,8,55,50,10,312,0,0,0,0,0,0,0,6,0,8,0,0,0,3,0,0,0,0,0,8,0,5,3,6,6,5,6,6,0,39,7,15,3,12,9,4,3,0,4,49,13,15,3,8,16,9,0,5,0,69,15,8,5,12,15,10,3,6,0,73,11,3,6,3,4,5,0,0,5,34,4,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,55,51,17,40,51,24,11,33,6,290
LGA50630,0,0,4,0,0,0,0,0,0,10,0,5,11,0,0,0,0,3,0,29,11,16,45,3,0,0,26,23,0,121,17,16,66,4,4,3,36,7,0,154,22,21,48,5,4,0,64,11,0,181,11,15,42,3,11,3,61,10,0,161,10,4,4,0,0,0,9,4,0,35,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,76,70,226,24,20,6,206,56,8,694,0,0,0,0,0,0,0,8,0,9,0,0,6,5,0,3,4,9,0,33,0,11,9,8,12,0,11,5,3,52,13,10,0,4,15,0,22,11,3,81,7,16,3,9,16,4,21,11,3,88,12,11,7,10,16,11,16,12,0,84,5,4,0,4,3,0,0,0,0,21,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,43,53,28,43,64,13,68,44,10,368
LGA50770,0,0,0,0,0,0,0,3,0,12,4,3,8,0,0,0,3,11,0,34,13,4,14,0,0,0,4,8,0,44,39,0,16,0,0,0,11,5,0,73,41,0,18,0,3,0,5,11,0,84,39,5,14,0,6,5,22,10,0,99,34,3,0,0,0,0,5,9,4,50,18,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,192,20,68,3,9,9,53,55,8,422,0,0,0,0,4,8,0,8,0,15,0,0,0,5,5,3,0,7,0,28,8,8,3,0,13,3,0,5,0,43,15,24,7,16,9,6,5,8,0,80,22,18,5,12,20,4,0,8,0,82,24,7,4,5,21,0,5,4,0,78,14,4,0,4,3,0,0,0,0,29,7,0,0,0,4,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,85,64,18,38,69,33,11,41,3,361
