LGA_CODE_2021,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
LGA50080,44,1517,707,300,1757,0.7,1347,2.4
LGA50210,34,1750,801,305,2061,0.8,1768,2.8
LGA50250,40,1559,2036,51,3310,0.9,2378,2.7
LGA50280,42,1733,780,355,1871,0.8,1532,2.5
LGA50350,39,1801,855,330,2278,0.7,1735,2.4
LGA50420,38,1876,854,340,2228,0.8,1735,2.3
LGA50490,36,1733,880,350,2086,0.8,1641,2.3
LGA50560,55,1159,550,200,1406,0.7,1057,2.2
LGA50630,43,1647,1271,280,2131,0.7,1760,2.5
LGA50770,47,1212,704,220,1581,0.7,1262,2.3
LGA50840,50,1408,633,280,1632,0.7,1220,2.3
LGA50910,50,1300,629,200,1616,0.8,1304,2.3
LGA50980,41,2167,985,300,2428,1,1881,2.7
LGA51080,41,780,801,168,1836,0.7,1370,2.5
LGA51120,45,748,816,160,1762,0.8,1282,2.4
LGA51190,42,1480,727,300,1760,0.7,1325,2.2
LGA51260,44,1758,747,370,1866,0.7,1465,2.5
LGA51310,41,3000,1206,450,3898,0.8,2953,2.7
LGA51330,36,1827,758,355,2130,0.8,1833,2.8
LGA51400,38,1733,820,350,2206,0.7,1944,2.8
LGA51470,49,867,778,150,1766,0.7,1276,2
LGA51540,50,1306,733,240,1909,0.9,1343,2.3
LGA51610,45,2000,891,250,2286,0.8,1995,2.7
LGA51680,44,2100,776,320,2258,0.8,2033,2.8
LGA51710,39,1300,1322,150,2659,1,2073,2.5
LGA51750,43,3000,1127,488,3388,0.8,2247,2.3
LGA51820,36,1950,903,370,2344,0.8,1987,2.6
LGA51860,45,1528,829,231,1678,1.1,2449,3.8
LGA51890,44,1300,600,250,1618,0.7,1229,2.3
LGA51960,39,972,1237,200,2303,0.8,1884,2.3
LGA52030,57,1197,618,210,1392,0.7,1112,2.1
LGA52100,47,867,858,180,2007,0.7,1408,2.3
LGA52170,44,3813,1429,550,4597,0.8,3277,2.5
LGA52240,46,1083,766,165,1762,0.7,1292,2.3
LGA52310,50,1114,666,200,1466,0.7,1232,2.3
LGA52380,50,725,1712,120,1333,0.6,725,1.5
LGA52450,34,1200,651,200,1971,0.7,1506,2.5
LGA52520,40,1083,1030,231,2198,0.7,1806,2.6
LGA52590,50,1538,758,310,1704,0.7,1325,2.2
LGA52660,39,1686,772,340,2089,0.7,1743,2.6
LGA52730,50,1517,628,300,1491,0.7,1117,2.3
LGA52800,36,1629,616,100,1032,1,1405,2.9
LGA52870,48,1560,654,290,1688,0.7,1333,2.4
LGA52940,45,687,797,150,1531,0.7,1205,2.3
LGA53010,45,515,836,150,1670,0.7,1286,2.3
LGA53080,50,614,955,150,1224,0.7,918,1.8
LGA53150,44,2600,1048,420,3178,0.8,2270,2.5
LGA53220,39,1083,2148,110,2828,1,2264,2.9
LGA53290,41,1560,798,270,2014,0.7,1509,2.4
LGA53360,48,2000,880,350,2252,0.9,1687,2.5
LGA53430,42,2167,954,375,2591,0.8,1872,2.2
LGA53570,49,1700,647,270,1626,0.7,1324,2.4
LGA53640,38,780,925,180,2034,0.7,1488,2.5
LGA53710,49,1000,728,200,1784,0.7,1208,2.2
LGA53780,36,1733,717,330,1930,0.8,1652,2.8
LGA53800,40,1517,757,260,2003,0.7,1516,2.4
LGA53920,35,1530,475,95,786,1.3,1254,3.3
LGA53990,39,1733,761,320,2067,0.7,1792,2.7
LGA54060,53,1530,632,260,1598,0.7,1195,2.2
LGA54130,42,1000,912,188,1798,0.8,1438,2.4
LGA54170,41,2080,892,400,2528,0.7,2156,2.7
LGA54200,40,1907,820,370,2215,0.7,1863,2.6
LGA54280,35,1600,1232,300,2825,0.8,2293,2.6
LGA54310,35,2000,1587,290,3462,0.9,2998,2.8
LGA54340,39,1055,717,200,1646,0.8,1355,2.5
LGA54410,52,867,600,160,1612,0.7,1055,2.2
LGA54480,40,230,1112,105,2187,0.7,1761,2.6
LGA54550,45,1083,911,200,2004,0.7,1428,2.3
LGA54620,45,808,1251,150,1875,0.7,1319,2.2
LGA54690,51,748,751,130,1524,0.7,1359,2.2
LGA54760,43,546,1065,170,2225,0.8,1828,2.5
LGA54830,33,1725,792,315,1996,0.8,1712,2.7
LGA54900,41,1000,1026,180,2100,0.7,1683,2.4
LGA54970,41,426,2189,80,988,0.9,1343,2.5
LGA55040,38,683,1949,121,2401,0.9,1875,2.5
LGA55110,44,1733,618,300,1651,0.7,1270,2.4
LGA55180,46,1300,692,238,1616,0.7,1212,2.3
LGA55250,41,650,1606,115,1292,0.9,1330,2.4
LGA55320,42,2200,896,400,2654,0.7,2091,2.6
LGA55390,42,397,2152,120,1208,1,1297,2.1
LGA55460,41,1083,769,213,1869,0.7,1394,2.3
LGA55530,54,729,850,200,1937,0.7,1583,2.4
LGA55600,44,1000,800,225,1906,0.7,1440,2.3
LGA55670,46,500,742,190,1676,0.8,1468,2.3
LGA55740,42,3000,996,300,3456,0.8,2124,2.4
LGA55810,44,542,1778,175,1375,0.8,1409,2.1
LGA55880,47,650,878,140,1802,0.7,1418,2.3
LGA55950,47,778,754,160,1875,0.8,1466,2.3
LGA56090,43,1950,797,350,2270,0.7,1900,2.6
LGA56160,46,900,911,170,1674,0.9,1656,2.6
LGA56230,44,1750,611,300,1742,0.7,1366,2.5
LGA56300,55,1404,585,260,1381,0.8,1101,2.1
LGA56370,46,758,948,150,1875,0.7,1542,2.3
LGA56460,41,1187,726,240,1802,0.7,1311,2.2
LGA56580,43,3500,1149,520,4244,0.8,3217,2.8
LGA56620,31,0,385,65,878,1.2,1370,3.5
LGA56730,43,1387,647,250,1631,0.7,1323,2.4
LGA56790,57,1300,640,259,1450,0.7,1223,2.2
LGA56860,49,1042,656,88,1268,0.7,1100,2.1
