LGA_CODE_2021,P_PG_Deg_35_44_yr,P_PG_Deg_45_54_yr,P_PG_Deg_55_64_yr,P_PG_Deg_65_74_yr,P_PG_Deg_75_84_yr,P_PG_Deg_85_yr_over,P_PGuate_Deg_Tot,P_Grad_Dip_Cer_15_24_yr,P_Grad_Dip_Cer_25_34_yr,P_Grad_Dip_Cer_35_44_yr,P_Grad_Dip_Cer_45_54_yr,P_Grad_Dip_Cer_55_64_yr,P_Grad_Dip_Cer_65_74_yr,P_Grad_Dip_Cer_75_84_yr,P_Grad_Dip_Cer_85_yr_over,P_Grad_Dip_Cer_Tot,P_B_Deg_15_24_yr,P_B_Deg_25_34_yr,P_B_Deg_35_44_yr,P_B_Deg_45_54_yr,P_B_Deg_55_64_yr,P_B_Deg_65_74_yr,P_B_Deg_75_84_yr,P_B_Deg_85_yr_over,P_B_Deg_Tot,P_Adv_Dip_Dip_15_24,P_Adv_Dip_Dip_25_34,P_Adv_Dip_Dip_35_44,P_Adv_Dip_Dip_45_54,P_Adv_Dip_Dip_55_64,P_Adv_Dip_Dip_65_74,P_Adv_Dip_Dip_75_84,P_Adv_Dip_Dip_85_yr_over,P_Adv_Dip_Dip_Total,P_Cer_III_IV_15_24_yr,P_Cer_III_IV_25_34_yr,P_Cer_III_IV_35_44_yr,P_Cer_III_IV_45_54_yr,P_Cer_III_IV_55_64_yr,P_Cer_III_IV_65_74_yr,P_Cer_III_IV_75_84_yr,P_Cer_III_IV_85_yr_over,P_Cer_III_IV_Tot,P_Cer_I_II_15_24_yr,P_Cer_I_II_25_34_yr,P_Cer_I_II_35_44_yr,P_Cer_I_II_45_54_yr,P_Cer_I_II_55_64_yr,P_Cer_I_II_65_74_yr,P_Cer_I_II_75_84_yr,P_Cer_I_II_85_yr_over,P_Cer_I_II_Tot,P_Cer_nfd_15_24_yr,P_Cer_nfd_25_34_yr,P_Cer_nfd_35_44_yr,P_Cer_nfd_45_54_yr,P_Cer_nfd_55_64_yr,P_Cer_nfd_65_74_yr,P_Cer_nfd_75_84_yr,P_Cer_nfd_85_yr_over,P_Cer_nfd_Tot,P_Cer_Tot_15_24_yr,P_Cer_Tot_25_34_yr,P_Cer_Tot_35_44_yr,P_Cer_Tot_45_54_yr,P_Cer_Tot_55_64_yr,P_Cer_Tot_65_74_yr,P_Cer_Tot_75_84_yr,P_Cer_Tot_85_yr_over,P_Cer_Tot_Tot,P_lvl_educ_inad_desc_15_24,P_lvl_educ_inad_desc_25_34,P_lvl_educ_inad_desc_35_44,P_lvl_educ_inad_desc_45_54,P_lvl_educ_inad_desc_55_64,P_lvl_educ_inad_desc_65_74,P_lvl_educ_inad_desc_75_84,P_lvl_educ_inad_desc_85ov,P_lvl_educ_inad_desc_Tot,P_lvl_educ_ns_15_24,P_lvl_educ_ns_25_34,P_lvl_educ_ns_35_44,P_lvl_educ_ns_45_54,P_lvl_educ_ns_55_64,P_lvl_educ_ns_65_74,P_lvl_educ_ns_75_84,P_lvl_educ_ns_85ov,P_lvl_educ_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
LGA50080,149,144,161,134,45,7,779,11,71,102,155,150,104,27,9,631,124,575,727,739,640,517,217,44,3582,92,323,468,574,639,508,252,56,2910,674,1297,1140,1174,1113,703,302,105,6503,330,113,90,73,75,39,16,3,735,37,42,59,124,155,130,41,14,606,1035,1456,1289,1371,1337,869,363,128,7838,8,21,29,34,32,59,33,11,224,280,315,270,318,380,378,362,229,2535,1560,2890,3037,3332,3339,2563,1292,485,18511
LGA50210,1343,526,255,136,39,8,3000,21,277,401,246,177,92,30,3,1251,446,2660,3438,1601,859,540,197,37,9772,360,1446,1932,1257,999,572,223,41,6838,1575,3449,3112,2321,2002,1285,467,94,14308,578,321,179,128,102,49,24,3,1390,108,155,244,242,205,175,65,9,1211,2258,3927,3538,2690,2305,1511,568,112,16903,41,72,121,73,80,69,51,14,527,658,844,843,631,563,522,429,232,4730,3831,9893,11622,7018,5232,3439,1532,449,43021
LGA50250,73,48,46,28,7,0,309,0,33,33,39,22,14,3,0,144,70,401,303,169,110,98,16,0,1172,28,178,210,250,199,100,12,0,984,196,906,901,704,555,162,23,4,3447,49,39,34,28,21,6,0,0,183,9,27,27,38,20,19,0,0,143,259,972,963,761,599,185,33,4,3772,5,14,6,11,17,3,0,0,62,293,933,905,949,669,235,60,3,4042,667,2626,2490,2230,1665,668,129,4,10481
LGA50280,116,78,76,86,32,7,478,0,35,93,77,79,55,16,0,356,33,447,627,471,340,281,91,21,2309,22,162,273,287,290,234,96,25,1387,144,407,608,502,477,264,71,15,2502,56,22,35,39,25,12,3,4,205,13,23,46,57,57,42,21,0,263,215,462,693,606,560,315,100,24,2971,3,9,19,22,26,24,14,5,115,129,189,227,243,200,183,97,61,1319,400,1383,2044,1788,1571,1175,440,143,8940
LGA50350,234,138,101,45,15,3,676,5,69,105,109,78,33,11,0,412,125,621,603,411,261,155,51,10,2243,55,211,251,247,217,140,60,12,1194,205,422,452,399,364,271,116,37,2254,79,45,33,17,19,15,0,0,209,18,13,37,49,53,34,22,5,229,300,477,525,460,440,315,135,38,2690,4,12,10,6,11,19,13,3,79,91,151,120,105,120,110,83,35,803,596,1671,1840,1477,1223,814,374,109,8102
LGA50420,1214,616,358,206,69,15,3672,29,377,413,345,255,161,52,13,1645,724,3706,3195,1873,1129,779,266,63,11745,407,1178,1172,1043,871,656,295,71,5703,781,1860,1559,1364,1276,945,456,128,8374,289,142,89,95,81,57,11,4,775,56,117,161,174,196,182,86,27,993,1130,2126,1809,1639,1547,1181,555,164,10145,27,72,104,62,64,72,50,17,473,337,593,531,414,386,384,411,244,3306,2728,9167,8438,5994,4623,3437,1708,584,36685
LGA50490,713,290,136,91,31,3,2054,24,190,184,138,101,49,9,0,702,461,2391,1644,852,489,293,95,40,6256,299,949,795,597,503,280,97,30,3544,683,1366,1033,871,785,508,231,86,5555,244,118,69,46,49,31,14,0,571,35,77,98,105,120,74,25,12,553,969,1567,1198,1025,948,611,274,97,6682,24,70,63,53,40,38,36,21,347,397,693,546,442,356,261,242,164,3097,2209,6620,5140,3382,2577,1616,777,355,22679
LGA50560,3,0,8,0,0,0,17,0,0,3,0,3,3,0,0,15,0,16,24,25,28,27,4,0,123,0,8,10,16,29,31,13,0,108,15,35,32,34,45,48,20,6,233,0,7,4,9,0,0,0,0,17,0,0,5,0,5,14,0,0,25,15,43,39,43,51,57,19,6,266,0,0,3,0,3,7,0,0,12,19,16,25,32,43,46,30,14,219,34,89,108,124,153,165,70,19,762
LGA50630,7,3,8,4,0,0,28,0,0,0,8,3,3,0,0,18,7,35,52,27,17,14,0,0,157,0,12,25,22,28,18,9,0,118,12,90,82,95,92,26,9,0,415,12,10,5,3,3,3,0,0,39,0,3,5,9,5,4,5,0,31,28,104,98,104,102,36,14,3,482,0,0,0,4,4,0,0,0,13,11,22,22,32,28,22,15,5,166,53,176,206,194,194,105,36,7,965
LGA50770,3,0,5,5,0,0,12,0,0,0,3,0,4,3,0,16,6,31,43,29,23,15,4,0,159,0,4,19,21,24,25,10,0,107,26,32,55,47,58,31,9,0,261,7,4,0,4,0,0,0,0,17,3,4,5,6,8,9,4,0,36,32,40,62,59,66,40,16,0,317,0,0,0,0,0,0,4,0,0,13,15,20,36,36,25,34,10,195,55,100,150,148,160,117,70,7,806
