LGA_CODE_2021,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
LGA50080,3339,2563,1292,485,18511
LGA50210,5232,3439,1532,449,43021
LGA50250,1665,668,129,4,10481
LGA50280,1571,1175,440,143,8940
LGA50350,1223,814,374,109,8102
LGA50420,4623,3437,1708,584,36685
LGA50490,2577,1616,777,355,22679
LGA50560,153,165,70,19,762
LGA50630,194,105,36,7,965
LGA50770,160,117,70,7,806
LGA50840,572,540,211,39,2721
LGA50910,61,52,24,9,363
LGA50980,2518,2163,607,72,14065
LGA51080,78,47,21,4,412
LGA51120,78,60,29,9,453
LGA51190,2565,1854,919,386,15645
LGA51260,3412,3018,1445,436,20143
LGA51310,2962,1896,1106,555,17134
LGA51330,6400,4493,2107,616,50798
LGA51400,1394,872,293,44,8359
LGA51470,54,50,19,0,308
LGA51540,800,851,250,33,4198
LGA51610,137,98,33,5,747
LGA51680,581,314,167,27,2716
LGA51710,164,107,18,0,1243
LGA51750,1043,925,706,334,6916
LGA51820,7707,4776,1946,726,58968
LGA51860,82,50,22,0,364
LGA51890,637,462,224,83,3694
LGA51960,388,168,40,4,2457
LGA52030,117,107,52,11,507
LGA52100,65,55,23,14,405
LGA52170,903,694,400,156,4845
LGA52240,90,61,32,10,463
LGA52310,89,70,32,8,397
LGA52380,70,47,9,0,360
LGA52450,69,52,25,6,480
LGA52520,98,57,28,7,580
LGA52590,366,352,115,27,1891
LGA52660,933,676,352,180,6474
LGA52730,765,663,333,84,3584
LGA52800,768,582,96,7,4251
LGA52870,552,482,225,43,2857
LGA52940,34,54,5,6,273
LGA53010,62,40,14,4,322
LGA53080,108,100,17,0,603
LGA53150,858,605,307,165,4544
LGA53220,2011,507,58,5,14523
LGA53290,988,673,422,105,6290
LGA53360,679,746,202,26,3771
LGA53430,3330,2433,1041,395,19408
LGA53570,463,483,241,34,2448
LGA53640,84,64,8,6,481
LGA53710,81,70,18,8,398
LGA53780,6858,4628,2187,760,56325
LGA53800,2919,2051,928,370,18194
LGA53920,386,297,71,8,2025
LGA53990,2118,1437,584,154,12544
LGA54060,364,374,178,33,1826
LGA54130,95,57,15,8,506
LGA54170,14518,10330,3973,1234,82920
LGA54200,4252,3381,1816,615,27910
LGA54280,2123,1034,306,92,14721
LGA54310,2176,873,201,12,15992
LGA54340,248,164,89,37,1594
LGA54410,102,62,43,12,463
LGA54480,21,25,10,0,211
LGA54550,154,90,68,28,819
LGA54620,111,46,18,3,545
LGA54690,18,25,10,0,133
LGA54760,50,30,9,3,306
LGA54830,2127,1226,479,135,19937
LGA54900,92,50,15,6,533
LGA54970,515,99,10,0,3007
LGA55040,372,132,17,0,2766
LGA55110,6634,5773,3368,1215,39553
LGA55180,835,584,258,73,4112
LGA55250,250,111,29,0,1541
LGA55320,9318,7512,3934,1712,58224
LGA55390,159,52,8,0,1072
LGA55460,236,167,59,24,1415
LGA55530,61,57,23,5,284
LGA55600,183,143,54,18,1004
LGA55670,66,86,32,10,374
LGA55740,866,682,382,131,5346
LGA55810,181,93,18,4,991
LGA55880,29,16,3,3,177
LGA55950,48,28,14,7,243
LGA56090,3416,2589,1281,354,18530
LGA56160,18,27,0,0,90
LGA56230,1241,1069,597,199,7440
LGA56300,180,205,80,12,832
LGA56370,50,26,30,13,316
LGA56460,366,266,145,78,2219
LGA56580,2328,1974,1115,474,13449
LGA56620,77,16,3,0,345
LGA56730,857,708,307,86,4954
LGA56790,494,548,171,34,2174
LGA56860,24,23,3,0,128
LGA56930,187,140,63,28,846
LGA57000,134,53,14,5,735
LGA57080,2398,1630,743,241,23517
LGA57140,90,65,34,5,403
LGA57210,478,415,160,57,2423
LGA57280,1470,541,121,20,10474
LGA57350,91,99,36,16,482
LGA57420,251,115,59,7,1396
LGA57490,8727,5071,2736,902,60042
LGA57630,51,24,15,0,224
LGA57700,1819,1027,393,90,13591
LGA57770,419,398,118,6,1786
LGA57840,3835,3031,1508,752,26153
LGA57910,15516,11201,6125,2404,122723
LGA57980,1637,1451,810,254,11375
LGA58050,9050,5226,2288,727,68250
LGA58190,33,15,10,4,161
LGA58260,50,42,20,0,292
LGA58330,574,473,187,23,2249
LGA58400,19,26,12,0,119
LGA58470,41,54,7,0,169
LGA58510,2548,1711,907,603,22734
LGA58540,67,56,23,3,344
LGA58570,2760,1582,579,206,22722
LGA58610,115,121,52,7,646
LGA58680,42,44,17,0,251
LGA58760,12119,6956,3298,1133,92795
LGA58820,358,243,135,52,1869
LGA58890,76,37,11,7,319
LGA59030,50,14,10,0,220
LGA59100,73,36,18,4,282
LGA59170,70,44,25,7,444
LGA59250,108,39,7,0,949
LGA59310,94,83,28,9,532
LGA59320,37,39,9,0,197
LGA59330,25,33,18,9,202
LGA59340,1138,777,129,27,6047
LGA59350,128,58,18,0,864
LGA59360,203,68,18,8,1144
LGA59370,346,364,196,49,1660
LGA59799,465,123,24,0,2853
