LGA_CODE_2021,M15_19_C_Own_chld_childr,M15_19_C_Oth_ch_chiln,M15_19_Ca_Ow_ch_ch_oth_ch_ch,M15_19_yr_C_for_Tot,M15_19_D_not_prov_ch_care,M15_19_U_ch_care_ns,M15_19_OS_vis,M15_19_yr_Tot,M20_24_C_Own_chld_childr,M20_24_C_Oth_ch_chiln,M20_24_Ca_Ow_ch_ch_oth_ch_ch,M20_24_yr_C_for_Tot,M20_24_D_not_prov_ch_care,M20_24_U_ch_care_ns,M20_24_OS_vis,M20_24_yr_Tot,M25_34_C_Own_chld_childr,M25_34_C_Oth_ch_chiln,M25_34_Ca_Ow_ch_ch_oth_ch_ch,M25_34_yr_C_for_Tot,M25_34_D_not_prov_ch_care,M25_34_U_ch_care_ns,M25_34_OS_vis,M25_34_yr_Tot,M35_44_C_Own_chld_childr,M35_44_C_Oth_ch_chiln,M35_44_Ca_Ow_ch_ch_oth_ch_ch,M35_44_yr_C_for_Tot,M35_44_D_not_prov_ch_care,M35_44_U_ch_care_ns,M35_44_OS_vis,M35_44_yr_Tot,M45_54_C_Own_chld_childr,M45_54_C_Oth_ch_chiln,M45_54_Ca_Ow_ch_ch_oth_ch_ch,M45_54_yr_C_for_Tot,M45_54_D_not_prov_ch_care,M45_54_U_ch_care_ns,M45_54_OS_vis,M45_54_yr_Tot,M55_64_C_Own_chld_childr,M55_64_C_Oth_ch_chiln,M55_64_Ca_Ow_ch_ch_oth_ch_ch,M55_64_yr_C_for_Tot,M55_64_D_not_prov_ch_care,M55_64_U_ch_care_ns,M55_64_OS_vis,M55_64_yr_Tot,M65_74_C_Own_chld_childr,M65_74_C_Oth_ch_chiln,M65_74_Ca_Ow_ch_ch_oth_ch_ch,M65_74_yr_C_for_Tot,M65_74_D_not_prov_ch_care,M65_74_U_ch_care_ns,M65_74_OS_vis,M65_74_yr_Tot,M75_84_C_Own_chld_childr,M75_84_C_Oth_ch_chiln,M75_84_Ca_Ow_ch_ch_oth_ch_ch,M75_84_yr_C_for_Tot,M75_84_D_not_prov_ch_care,M75_84_U_ch_care_ns,M75_84_OS_vis,M75_84_yr_Tot,M85ovr_C_Own_chld_childr,M85ovr_C_Oth_ch_chiln,M85ov_Ca_Ow_ch_ch_oth_ch_ch,M85ovr_C_for_Tot,M85ovr_D_not_prov_ch_care,M85ovr_U_ch_care_ns,M85ovr_OS_vis,M85ovr_Tot,MTot_C_Own_chld_childrn,MTot_C_Oth_ch_chiln,MTot_Ca_Ow_ch_ch_oth_ch_ch,MTot_C_for_Tot,MTot_D_not_prov_ch_care,MTot_U_ch_care_ns,MTot_OS_vis,MTot_Tot,F15_19_C_Own_chld_childr,F15_19_C_Oth_ch_chiln,F15_19_Ca_Ow_ch_ch_oth_ch_ch,F15_19_yr_C_for_Tot,F15_19_D_not_prov_ch_care,F15_19_U_ch_care_ns,F15_19_OS_vis,F15_19_yr_Tot,F20_24_C_Own_chld_childr,F20_24_C_Oth_ch_chiln,F20_24_Ca_Ow_ch_ch_oth_ch_ch,F20_24_yr_C_for_Tot,F20_24_D_not_prov_ch_care,F20_24_U_ch_care_ns,F20_24_OS_vis,F20_24_yr_Tot,F25_34_C_Own_chld_childr,F25_34_C_Oth_ch_chiln,F25_34_Ca_Ow_ch_ch_oth_ch_ch,F25_34_yr_C_for_Tot,F25_34_D_not_prov_ch_care,F25_34_U_ch_care_ns,F25_34_OS_vis,F25_34_yr_Tot,F35_44_C_Own_chld_childr,F35_44_C_Oth_ch_chiln,F35_44_Ca_Ow_ch_ch_oth_ch_ch,F35_44_yr_C_for_Tot,F35_44_D_not_prov_ch_care,F35_44_U_ch_care_ns,F35_44_OS_vis,F35_44_yr_Tot,F45_54_C_Own_chld_childr,F45_54_C_Oth_ch_chiln,F45_54_Ca_Ow_ch_ch_oth_ch_ch,F45_54_yr_C_for_Tot,F45_54_D_not_prov_ch_care,F45_54_U_ch_care_ns,F45_54_OS_vis,F45_54_yr_Tot,F55_64_C_Own_chld_childr,F55_64_C_Oth_ch_chiln,F55_64_Ca_Ow_ch_ch_oth_ch_ch,F55_64_yr_C_for_Tot,F55_64_D_not_prov_ch_care,F55_64_U_ch_care_ns,F55_64_OS_vis,F55_64_yr_Tot,F65_74_C_Own_chld_childr,F65_74_C_Oth_ch_chiln,F65_74_Ca_Ow_ch_ch_oth_ch_ch,F65_74_yr_C_for_Tot,F65_74_D_not_prov_ch_care,F65_74_U_ch_care_ns,F65_74_OS_vis,F65_74_yr_Tot,F75_84_C_Own_chld_childr,F75_84_C_Oth_ch_chiln,F75_84_Ca_Ow_ch_ch_oth_ch_ch,F75_84_yr_C_for_Tot,F75_84_D_not_prov_ch_care,F75_84_U_ch_care_ns,F75_84_OS_vis,F75_84_yr_Tot,F85ovr_C_Own_chld_childr,F85ovr_C_Oth_ch_chiln,F85ov_Ca_Ow_ch_ch_oth_ch_ch,F85ovr_C_for_Tot,F85ovr_D_not_prov_ch_care,F85ovr_U_ch_care_ns,F85ovr_OS_vis,F85ovr_Tot,FTot_C_Own_chld_childrn,FTot_C_Oth_ch_chiln,FTot_Ca_Ow_ch_ch_oth_ch_ch,FTot_C_for_Tot,FTot_D_not_prov_ch_care,FTot_U_ch_care_ns,FTot_OS_vis,FTot_Tot,P15_19_C_Own_chld_childr,P15_19_C_Oth_ch_chiln,P15_19_Ca_Ow_ch_ch_oth_ch_ch,P15_19_yr_C_for_Tot,P15_19_D_not_prov_ch_care,P15_19_U_ch_care_ns,P15_19_OS_vis,P15_19_yr_Tot,P20_24_C_Own_chld_childr,P20_24_C_Oth_ch_chiln,P20_24_Ca_Ow_ch_ch_oth_ch_ch,P20_24_yr_C_for_Tot,P20_24_D_not_prov_ch_care,P20_24_U_ch_care_ns,P20_24_OS_vis,P20_24_yr_Tot,P25_34_C_Own_chld_childr,P25_34_C_Oth_ch_chiln,P25_34_Ca_Ow_ch_ch_oth_ch_ch,P25_34_yr_C_for_Tot,P25_34_D_not_prov_ch_care,P25_34_U_ch_care_ns,P25_34_OS_vis,P25_34_yr_Tot,P35_44_C_Own_chld_childr,P35_44_C_Oth_ch_chiln,P35_44_Ca_Ow_ch_ch_oth_ch_ch,P35_44_yr_C_for_Tot,P35_44_D_not_prov_ch_care,P35_44_U_ch_care_ns,P35_44_OS_vis,P35_44_yr_Tot,P45_54_C_Own_chld_childr,P45_54_C_Oth_ch_chiln,P45_54_Ca_Ow_ch_ch_oth_ch_ch,P45_54_yr_C_for_Tot,P45_54_D_not_prov_ch_care,P45_54_U_ch_care_ns,P45_54_OS_vis,P45_54_yr_Tot
LGA50080,3,80,0,84,1102,93,0,1280,34,43,0,78,758,88,8,927,584,50,16,646,1184,290,4,2123,1006,45,46,1098,690,218,9,2013,710,71,21,810,1302,190,0,2299,142,166,7,317,2016,156,3,2492,17,185,0,202,1903,133,4,2235,4,42,0,41,1143,85,4,1274,0,7,0,7,441,41,0,486,2505,676,97,3272,10529,1291,33,15125,4,115,3,120,975,74,0,1168,92,66,8,166,617,51,0,830,873,105,65,1051,860,121,8,2040,1325,88,114,1529,578,102,0,2208,680,217,38,937,1535,116,0,2587,59,466,3,536,2145,123,3,2802,11,329,0,344,1893,121,0,2355,4,51,0,55,1342,114,0,1517,0,3,0,3,578,79,0,657,3057,1443,242,4742,10516,902,23,16174,8,193,0,204,2076,165,0,2446,127,104,11,240,1372,135,6,1760,1455,159,85,1692,2044,413,17,4170,2334,130,160,2622,1266,323,6,4217,1395,290,63,1745,2835,306,0,4883
LGA50210,4,171,0,174,2353,157,0,2688,133,105,4,245,2197,157,5,2602,1968,174,64,2204,3850,368,7,6438,3978,114,114,4203,2794,324,9,7329,1542,162,49,1746,3244,273,7,5267,249,366,3,621,3521,218,12,4369,51,433,3,489,2600,129,26,3244,14,83,0,92,1384,99,11,1584,4,8,0,10,364,62,0,432,7942,1609,241,9789,22307,1798,74,33963,26,265,4,290,2236,154,7,2677,305,182,19,503,1967,153,3,2627,3405,323,168,3895,3037,366,3,7297,4801,227,262,5291,2122,339,5,7757,1302,504,78,1879,3263,234,6,5387,138,1056,14,1212,3267,181,38,4695,41,753,10,809,2710,137,35,3688,10,111,0,121,1453,125,13,1707,0,5,0,7,485,100,0,595,10029,3433,557,14017,20534,1784,103,36441,31,431,4,471,4589,308,7,5366,438,288,26,751,4162,308,7,5231,5372,494,230,6100,6880,734,17,13733,8779,340,379,9497,4914,665,12,15092,2836,665,129,3627,6501,514,16,10657
LGA50250,0,13,0,13,114,37,0,162,12,10,0,20,279,127,6,432,366,38,14,414,995,680,21,2108,736,28,44,814,747,721,12,2299,358,43,12,407,1046,752,11,2218,46,54,0,101,1028,512,10,1651,7,24,0,35,419,124,3,579,0,3,0,5,105,26,0,131,0,0,0,0,8,3,0,15,1520,212,73,1802,4736,2990,63,9594,0,16,0,16,88,32,0,133,21,20,0,38,206,88,9,342,257,25,39,323,465,240,16,1045,325,15,34,371,235,156,5,775,76,35,4,117,380,170,0,668,9,56,0,63,449,138,8,663,5,37,3,41,329,89,0,457,0,0,0,7,74,27,0,105,0,0,0,0,0,0,0,0,683,209,80,976,2232,938,44,4191,0,30,0,30,199,69,0,297,26,31,0,61,482,215,14,772,625,59,52,733,1462,920,31,3150,1067,44,76,1185,988,885,14,3071,433,78,19,523,1428,917,11,2883
LGA50280,5,15,0,15,372,43,0,428,4,3,0,8,225,25,9,270,198,15,4,218,505,96,36,855,602,21,35,654,375,93,24,1145,427,18,13,463,593,104,5,1164,73,71,0,142,849,93,3,1081,19,106,4,122,740,61,4,922,3,19,0,25,328,30,0,379,0,0,0,0,111,6,0,117,1320,263,59,1645,4091,547,73,6370,4,39,0,45,284,32,0,361,7,12,0,19,156,24,0,204,321,41,16,377,472,83,9,940,844,44,88,973,346,105,5,1426,430,53,25,506,605,110,0,1221,30,184,4,219,867,81,0,1166,5,174,0,180,678,63,0,924,4,17,0,25,323,23,0,362,0,0,0,0,142,20,0,164,1634,569,141,2342,3883,531,20,6775,6,57,0,60,656,74,0,795,12,21,0,26,380,51,9,467,519,53,18,596,981,175,41,1794,1435,64,122,1626,719,193,32,2573,853,67,47,966,1199,217,8,2386
LGA50350,0,27,0,28,349,12,0,387,8,16,0,22,392,37,0,455,204,28,7,232,746,63,4,1044,526,25,19,565,467,55,0,1086,325,16,11,354,613,38,0,1007,60,66,3,124,741,46,0,914,11,91,3,103,565,29,3,707,5,28,0,28,292,23,0,347,0,0,0,5,114,8,0,121,1127,293,38,1459,4279,318,8,6062,0,28,0,33,307,12,0,352,17,36,3,46,343,18,0,415,325,63,13,396,645,58,0,1103,704,39,51,792,391,51,0,1230,322,71,22,414,606,49,4,1067,34,197,0,230,729,44,4,1005,0,173,0,174,614,26,7,826,0,35,0,39,402,35,0,469,0,4,0,4,215,13,0,231,1400,642,84,2127,4256,305,16,6700,4,52,0,62,652,28,0,737,20,48,3,71,733,58,0,867,529,84,15,629,1389,120,3,2149,1219,64,70,1352,858,100,3,2314,644,87,28,765,1223,83,5,2075
LGA50420,5,67,0,73,1506,62,0,1640,23,64,0,88,1889,104,5,2083,864,131,15,1008,4243,268,6,5524,2314,103,50,2468,2496,236,13,5211,1368,75,46,1483,2527,170,7,4189,257,237,4,496,3074,151,6,3723,63,424,0,488,2430,112,7,3033,9,126,0,132,1567,98,6,1801,0,8,0,8,529,68,0,599,4901,1221,108,6229,20257,1263,47,27803,3,107,0,111,1343,69,0,1522,54,108,3,166,1771,83,0,2022,1486,228,53,1760,3765,233,13,5776,2858,175,127,3155,1823,203,8,5192,1326,182,53,1557,2621,152,4,4336,106,685,9,801,2930,110,18,3865,39,789,4,826,2466,110,17,3418,3,165,0,168,1706,117,3,1998,0,9,0,13,909,105,0,1028,5876,2449,243,8572,19340,1182,66,29152,10,174,0,181,2847,133,4,3161,81,172,3,254,3656,184,3,4105,2345,358,61,2771,8013,507,19,11302,5169,276,175,5620,4317,437,21,10399,2690,257,96,3042,5150,319,8,8523
LGA50490,7,37,0,42,860,72,0,977,29,49,0,73,1337,155,7,1571,600,91,7,696,3238,328,17,4284,1308,60,24,1400,1709,260,13,3384,681,52,16,748,1640,232,22,2643,160,148,4,309,1825,146,24,2309,30,161,0,191,1225,85,9,1517,8,50,0,56,697,61,7,820,0,0,0,0,279,38,0,319,2823,642,54,3523,12821,1376,96,17810,9,67,4,78,737,60,0,877,63,81,5,146,1249,106,6,1511,1045,159,36,1239,2615,268,14,4131,1512,106,65,1685,1233,202,10,3126,589,131,21,740,1482,142,4,2375,62,376,6,444,1577,108,13,2150,22,334,8,357,1256,87,9,1714,6,55,0,59,843,83,4,985,0,4,0,3,462,87,0,550,3308,1309,132,4754,11455,1143,57,17413,18,107,4,119,1604,127,0,1850,84,130,5,221,2583,265,11,3081,1641,244,46,1938,5851,600,33,8414,2823,163,94,3079,2950,464,17,6503,1267,184,34,1485,3122,377,25,5016
LGA50560,0,0,0,0,20,3,0,29,0,0,0,0,19,4,0,20,9,9,4,20,33,11,0,61,32,0,0,32,32,13,0,73,23,0,3,24,68,16,0,106,5,7,0,10,110,15,0,131,0,10,0,11,143,15,0,172,0,0,0,0,71,14,0,90,0,0,0,0,26,4,0,28,73,22,3,103,519,91,0,711,0,0,0,0,27,7,0,33,0,0,0,0,7,5,0,19,21,4,3,27,21,4,0,55,47,0,5,50,22,4,0,79,23,14,0,33,58,13,0,106,3,22,0,23,110,20,0,153,0,15,0,19,126,16,0,162,0,0,0,0,65,9,0,73,0,0,0,0,23,0,0,20,95,54,10,158,455,87,5,703,0,3,0,3,46,7,0,60,0,0,0,0,29,7,0,44,32,9,9,47,54,15,0,117,84,0,5,87,45,20,0,154,43,14,0,60,124,29,0,212
LGA50630,0,0,0,0,28,3,0,32,0,0,0,3,34,0,0,34,52,3,0,59,76,9,0,148,101,0,5,114,54,6,0,177,74,4,0,74,120,17,0,211,18,11,0,25,157,12,0,198,0,9,0,8,93,9,0,106,0,6,0,6,34,4,0,40,0,0,0,0,9,0,0,11,242,31,13,285,607,62,4,950,0,4,0,4,21,3,0,31,4,0,0,3,27,0,0,35,50,3,0,59,38,7,0,100,67,7,10,79,28,13,0,122,26,6,0,35,77,12,0,123,0,13,0,12,105,9,0,128,0,13,0,15,73,7,0,91,0,0,0,0,29,5,0,43,0,0,0,0,5,0,0,7,154,47,10,209,414,56,0,679,0,6,0,6,54,8,0,68,4,3,0,3,63,0,3,68,101,6,3,112,119,20,0,244,170,11,18,197,84,17,0,294,99,12,0,109,195,23,0,331
LGA50770,0,4,0,4,19,0,0,25,5,0,0,5,33,5,0,37,22,0,0,20,30,12,0,58,53,0,4,57,27,6,0,86,34,3,0,39,64,18,0,115,3,13,0,12,123,14,0,155,0,13,0,13,104,11,0,129,0,0,0,0,69,12,0,82,0,0,0,0,15,3,0,13,119,33,0,148,473,80,0,704,0,10,0,8,28,3,0,40,8,5,0,15,19,4,0,31,38,3,5,49,18,9,0,66,75,6,5,87,23,11,0,120,25,7,4,35,65,16,0,109,0,20,0,20,105,13,0,139,0,14,0,22,84,4,0,109,0,4,0,4,57,12,0,77,0,0,0,0,16,3,0,20,148,64,11,229,416,74,0,719,0,8,0,11,41,8,0,64,11,5,0,13,49,9,0,73,62,3,5,67,47,15,0,128,126,3,10,146,50,17,0,208,62,8,3,74,126,28,0,231
