LGA_CODE_2021,P_Oth_svc_15_19_yr,P_Oth_svc_20_24_yr,P_Oth_svc_25_34_yr,P_Oth_svc_35_44_yr,P_Oth_svc_45_54_yr,P_Oth_svc_55_64_yr,P_Oth_svc_65_74_yr,P_Oth_svc_75_84_yr,P_Oth_svc_85_yr_over,P_Oth_svc_Tot,P_Inad_desc_Ns_15_19,P_Inad_desc_Ns_20_24,P_Inad_desc_Ns_25_34,P_Inad_desc_Ns_35_44,P_Inad_desc_Ns_45_54,P_Inad_desc_Ns_55_64,P_Inad_desc_Ns_65_74,P_Inad_desc_Ns_75_84,P_Inad_desc_Ns_85_yr_over,P_Inad_desc_Ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
LGA50080,54,81,145,140,117,129,56,5,0,724,58,51,100,107,119,98,43,21,6,598,1306,1263,2927,3258,3841,3500,1108,171,18,17393
LGA50210,85,192,469,444,330,204,58,6,0,1791,119,220,649,617,449,286,76,17,7,2433,2304,3719,10132,11755,8105,5815,1423,151,9,43411
LGA50250,6,17,39,37,18,17,4,0,0,143,18,20,56,56,60,34,10,0,0,257,136,471,2002,2044,1822,1349,246,20,0,8091
LGA50280,13,20,55,63,55,44,10,0,0,262,18,13,54,86,80,66,24,5,0,347,453,338,1364,2035,1873,1479,508,77,12,8147
LGA50350,11,38,80,64,55,36,16,3,0,298,13,22,72,94,80,57,17,0,0,353,355,634,1704,1872,1669,1282,333,37,0,7887
LGA50420,45,145,367,315,277,215,83,8,0,1455,53,157,482,378,282,223,69,20,0,1667,1449,3195,9264,8448,6739,5064,1506,158,12,35829
LGA50490,28,101,236,205,134,100,45,3,0,847,27,111,340,246,183,122,30,0,7,1069,809,2187,6533,4928,3672,2808,762,81,9,21783
LGA50560,0,0,0,6,3,4,0,0,0,19,0,0,3,3,6,8,3,0,0,36,22,17,75,101,135,152,82,11,0,603
LGA50630,0,0,11,5,5,4,0,0,0,32,0,3,5,5,5,0,4,3,0,29,15,54,174,234,264,240,57,14,0,1067
LGA50770,0,5,0,4,5,4,0,0,0,17,0,4,3,4,4,5,6,3,0,29,30,59,90,156,162,180,79,41,0,786
LGA50840,4,0,15,8,21,9,4,0,0,72,3,6,13,8,7,17,11,0,0,68,102,111,312,407,542,556,202,37,3,2279
LGA50910,5,0,0,4,3,0,6,0,0,8,0,0,8,0,3,0,0,0,0,14,8,19,55,64,96,84,45,11,0,382
