LGA_CODE_2021,Separate_house_NB0_i_sa_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Sd_r_or_t_h_t_1_s_NB0_i_sa_b,Sd_r_or_t_h_t_1_st_NofB_1,Sd_r_or_t_h_t_1_st_NofB_2,Sd_r_or_t_h_t_1_st_NofB_3,Sd_r_or_t_h_t_1_st_NofB_4,Sd_r_or_t_h_t_1_st_NofB_5,Sd_r_or_t_h_t_1_st_NofB_6_m,Sd_r_or_t_h_t_1_st_NofB_NS,Sd_r_or_t_h_t_1_st_Total,Sd_r_or_t_h_t_2m_s_NB0_i_sa_b,Sd_r_or_t_h_t_2m_sts_NofB_1,Sd_r_or_t_h_t_2m_sts_NofB_2m,Sd_r_or_t_h_t_2m_sts_NofB_3,Sd_r_or_t_h_t_2m_sts_NofB_4,Sd_r_or_t_h_t_2m_sts_NofB_5,Sd_r_or_t_h_t_2m_st_NofB_6_m,Sd_r_or_t_h_t_2m_sts_NofB_NS,Sd_r_or_t_h_t_2m_sts_Total,Sd_r_or_t_h_t_T_NB0_i_sa_b,Sd_r_or_t_h_t_Total_NofB_1,Sd_r_or_t_h_t_Total_NofB_2,Sd_r_or_t_h_t_Total_NofB_3,Sd_r_or_t_h_t_Total_NofB_4,Sd_r_or_t_h_t_Total_NofB_5,Sd_r_or_t_h_t_Tot_NofB_6_m,Sd_r_or_t_h_t_Tot_NofB_NS,Sd_r_or_t_h_t_Total_Total,Fl_a_1_or2_st_bl_NB0_i_sa_b,Fl_a_1_or2_st_bl_NofB_1,Fl_a_1_or2_st_bl_NofB_2,Fl_a_1_or2_st_bl_NofB_3,Fl_a_1_or2_st_bl_NofB_4,Fl_a_1_or2_st_bl_NofB_5,Fl_a_1_or2_st_bl_NofB_6_m,Fl_a_1_or2_st_bl_NofB_NS,Fl_a_1_or2_st_bl_Total,Fl_a_3_st_bl_NB0_i_sa_b,Fl_a_In_3_st_bl_NofB_1,Fl_a_In_3_st_bl_NofB_2,Fl_a_In_3_st_bl_NofB_3,Fl_a_In_3_st_bl_NofB_4,Fl_a_In_3_st_bl_NofB_5,Fl_a_In_3_s_bl_NofB_6_m,Fl_a_In_3_st_bl_NofB_NS,Fl_a_In_3_st_bl_Total,Fl_a_4_to_8_s_b_NB0_i_sa_b,Fl_a_4_to_8_s_b_NofB_1,Fl_a_4_to_8_s_b_NofB_2,Fl_a_4_to_8_s_b_NofB_3,Fl_a_4_to_8_s_b_NofB_4,Fl_a_4_to_8_s_b_NofB_5,Fl_a_4_to_8_s_b_NofB_6_m,Fl_a_4_to_8_s_b_NofB_NS,Fl_a_4_to_8_s_b_Total,Fl_a_9_or_m_s_b_NB0_i_sa_b,Fl_a_9_or_m_s_b_NofB_1,Fl_a_9_or_m_s_b_NofB_2,Fl_a_9_or_m_s_b_NofB_3,Fl_a_9_or_m_s_b_NofB_4,Fl_a_9_or_m_s_b_NofB_5,Fl_a_9_or_m_s_b_NofB_6_m,Fl_a_9_or_m_s_b_NofB_NS,Fl_a_9_or_m_s_b_Total,Fl_a_At_to_a_h_NB0_i_sa_b,Fl_a_At_to_a_hse_NofB_1,Fl_a_At_to_a_hse_NofB_2,Fl_a_At_to_a_hse_NofB_3,Fl_a_At_to_a_hse_NofB_4,Fl_a_At_to_a_hse_NofB_5,Fl_a_At_to_a_hse_NofB_6_m,Fl_a_At_to_a_hse_NofB_NS,Fl_a_At_to_a_hse_Total,Fl_a_Total_NB0_i_sa_b,Fl_a_Total_NofB_1,Fl_a_Total_NofB_2,Fl_a_Total_NofB_3,Fl_a_Total_NofB_4,Fl_a_Total_NofB_5,Fl_a_Tot_NofB_6_or_m,Fl_a_Total_NofB_NS,Fl_a_Total_Total,Other_dwelling_NB0_i_sa_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dw_struct_NS_NB0_i_sa_b,Dw_struct_NS_NofB_1,Dw_struct_NS_NofB_2,Dw_struct_NS_NofB_3,Dw_struct_NS_NofB_4,Dw_struct_NS_NofB_5,Dw_struct_NS_NofB_6_or_m,Dw_struct_NS_NofB_NS,Dw_struct_NS_Total,Total_NB0_i_sa_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
LGA50840,11,58,280,882,625,93,18,136,2106,0,17,30,12,0,0,0,7,60,0,0,0,0,0,0,0,0,0,0,17,30,12,0,0,0,7,60,0,3,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,7,8,12,0,4,4,0,0,7,37,4,0,0,0,0,0,0,4,11,26,94,316,893,632,98,18,148,2217
LGA50910,4,9,59,156,84,8,3,32,358,0,7,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,63,161,87,8,3,35,370
LGA50980,57,175,437,1854,1386,178,31,576,4694,18,118,216,115,29,0,0,133,616,9,30,124,72,9,0,0,23,272,34,145,337,189,28,0,0,150,886,0,15,79,19,4,0,0,19,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,19,80,21,4,0,0,21,147,828,1132,99,87,91,18,6,202,2461,67,112,26,17,11,5,3,67,310,980,1579,978,2170,1521,200,45,1024,8495
LGA51080,4,11,45,144,129,27,12,48,406,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,5,4,14,47,150,129,27,12,48,421
LGA51120,0,7,37,127,87,24,3,53,340,0,4,9,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,11,0,0,0,4,7,0,0,5,21,4,13,57,137,92,24,3,62,393
LGA51190,18,83,678,5039,3861,409,59,507,10653,0,269,837,903,68,0,7,228,2314,0,14,97,284,43,3,0,26,471,0,283,934,1188,112,6,7,254,2785,4,89,168,66,4,0,0,42,373,0,10,70,25,0,0,0,12,123,0,0,12,3,0,0,0,9,24,0,0,13,23,0,0,0,6,36,0,0,0,0,0,0,0,0,6,9,104,262,118,11,0,0,65,561,13,50,46,17,0,0,0,79,190,5,3,3,15,3,0,0,8,38,41,518,1927,6367,3979,417,68,915,14228
LGA51260,38,183,838,4840,6664,736,148,615,14056,4,143,446,465,100,9,4,98,1262,0,17,27,99,57,11,0,23,247,4,163,473,566,166,21,4,121,1507,0,3,20,8,4,0,0,4,42,0,0,0,0,0,0,0,0,0,0,4,10,3,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,9,6,7,7,0,0,0,31,0,14,41,15,9,0,0,4,85,39,103,132,35,21,0,0,107,438,0,5,12,8,3,0,0,14,50,81,468,1502,5454,6866,754,153,864,16136
LGA51310,3,39,487,2554,3343,1010,194,124,7750,0,21,241,264,39,4,0,18,594,0,73,108,389,59,5,0,16,648,0,87,350,652,99,13,0,35,1234,11,94,249,35,3,0,0,23,406,5,124,162,78,8,0,0,30,405,17,310,231,19,0,0,0,26,607,0,29,154,0,0,0,0,6,196,0,6,0,0,0,0,0,0,10,27,561,808,129,10,0,3,86,1626,0,0,0,0,0,0,0,4,3,0,0,7,9,4,0,0,0,16,34,689,1647,3335,3461,1023,197,243,10634
LGA51330,21,198,1013,9760,12820,2182,490,789,27272,9,217,1135,2724,464,53,51,330,4970,0,60,170,272,133,36,50,54,777,6,274,1305,2989,591,91,102,379,5751,0,94,355,435,38,5,0,58,987,0,10,12,27,0,0,0,12,62,0,18,164,8,0,0,0,31,218,0,41,61,3,0,0,0,13,115,0,11,11,6,4,3,5,9,49,0,171,609,475,40,4,4,118,1425,6,11,12,4,0,0,3,22,65,0,19,16,5,10,0,3,18,72,37,677,2961,13242,13455,2284,602,1323,34578
LGA51400,9,43,200,1660,3581,387,62,244,6186,0,53,65,48,5,7,0,24,192,0,7,3,0,0,0,0,0,15,0,61,62,48,5,7,0,25,203,0,43,25,0,0,0,0,11,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,25,0,0,0,0,11,75,4,3,0,0,0,0,0,10,25,0,3,0,0,7,0,0,0,12,14,149,290,1708,3590,397,59,290,6496
