LGA_CODE_2021,Neg_Nil_Inc_Family_hholds,Neg_Nil_Inc_Non_fam_household,Neg_Nil_Inc_Tot,1_149_Family_hholds,1_149_NonFamHholds,1_149_Tot,150_299_Family_hholds,150_299_NonFamHholds,150_299_Tot,300_399_Family_hholds,300_399_NonFamHholds,300_399_Tot,400_499_Family_hholds,400_499_NonFamHholds,400_499_Tot,500_649_Family_hholds,500_649_NonFamHholds,500_649_Tot,650_799_Family_hholds,650_799_NonFamHholds,650_799_Tot,800_999_Family_hholds,800_999_NonFamHholds,800_999_Tot,1000_1249_Family_hholds,1000_1249_NonFamHholds,1000_1249_Tot,1250_1499_Family_hholds,1250_1499_NonFamHholds,1250_1499_Tot,1500_1749_Family_hholds,1500_1749_NonFamHholds,1500_1749_Tot,1750_1999_Family_hholds,1750_1999_NonFamHholds,1750_1999_Tot,2000_2499_Family_hholds,2000_2499_NonFamHholds,2000_2499_Tot,2500_2999_Family_hholds,2500_2999_NonFamHholds,2500_2999_Tot,3000_3499_Family_hholds,3000_3499_NonFamHholds,3000_3499_Tot,3500_3999_Family_hholds,3500_3999_NonFamHholds,3500_3999_Tot,4000orMore_Family_hholds,4000orMore_NonFamHholds,4000orMore_Tot,Part_Inc_st_Family_hholds,Part_Inc_st_NonFamHholds,Part_Inc_stated_Tot,All_Inc_NS_Family_hh,All_Inc_NS_NonFamily_hh,All_Inc_NS_Tot,Tot_Family_hholds,Tot_NonFamHholds,Tot_Tot
LGA50080,90,163,247,54,82,137,34,198,231,61,359,416,216,893,1108,231,661,896,768,382,1156,618,442,1064,766,442,1211,879,268,1151,613,249,863,623,179,803,1279,281,1557,941,26,969,676,57,733,377,14,390,781,114,890,930,66,994,120,249,373,10060,5121,15183
LGA50210,201,273,480,76,77,149,92,259,349,111,527,635,364,1180,1550,462,770,1236,1219,494,1711,1136,706,1844,1481,820,2307,1740,664,2408,1502,530,2033,1603,383,1989,3467,551,4016,2604,56,2653,2172,124,2287,1218,24,1248,2654,141,2791,2383,165,2551,245,297,541,24740,8033,32771
LGA50250,3,35,34,0,17,17,6,19,25,4,20,18,12,42,57,12,27,46,13,62,78,12,81,91,15,108,122,12,109,123,23,73,94,36,111,144,137,265,401,104,44,149,164,116,277,124,20,144,330,165,495,142,15,164,14,159,169,1166,1485,2651
LGA50280,29,56,86,19,34,58,25,66,86,28,124,144,67,259,327,87,191,277,211,166,375,217,161,379,302,175,479,364,124,479,274,87,359,284,69,351,541,141,680,395,38,429,284,46,330,169,19,189,333,107,445,562,78,639,45,101,143,4234,2026,6259
LGA50350,24,69,94,17,24,42,18,68,85,33,152,184,60,361,418,66,212,286,225,133,358,199,156,355,249,172,420,252,144,402,199,133,336,202,109,309,529,218,748,451,29,473,383,36,425,281,8,292,638,40,681,353,38,391,31,66,98,4214,2170,6381
LGA50420,191,329,517,81,102,183,69,299,366,91,593,689,302,1393,1693,326,834,1155,987,587,1573,830,786,1616,993,867,1860,1218,754,1974,908,619,1526,992,543,1535,2172,980,3150,1776,125,1904,1682,244,1930,1135,58,1193,2965,296,3263,1475,256,1731,143,267,407,18345,9919,28263
LGA50490,128,210,329,37,67,107,40,200,243,85,416,511,164,894,1055,192,442,636,500,332,833,501,505,1006,573,652,1224,748,567,1312,601,514,1119,602,364,966,1417,694,2109,1027,100,1123,838,209,1046,592,50,640,1286,225,1512,925,236,1161,96,186,282,10358,6870,17226
LGA50560,4,12,14,3,3,7,5,3,14,0,14,19,13,63,72,9,34,42,48,11,62,28,26,61,30,17,53,41,10,50,24,7,31,19,7,27,43,12,52,31,0,35,21,0,24,16,0,16,26,4,33,65,0,67,8,16,22,456,243,689
LGA50630,9,3,13,3,4,7,3,10,13,0,8,10,8,22,35,11,15,27,22,11,34,23,14,31,24,15,40,28,5,37,16,10,22,27,10,36,59,19,81,29,0,33,34,5,42,28,0,28,55,6,63,63,3,70,3,9,12,441,179,623
LGA50770,8,7,14,6,7,8,0,8,13,5,17,28,11,41,54,13,19,28,36,16,48,36,26,63,30,16,45,47,12,62,22,4,30,32,13,38,64,4,67,32,0,32,24,6,25,20,0,20,24,15,37,61,4,63,8,14,22,481,220,702
LGA50840,26,23,49,8,14,29,9,19,22,17,37,55,47,155,205,36,83,120,128,58,182,100,56,152,111,45,162,107,31,137,66,35,96,79,21,98,166,32,201,111,12,123,103,10,111,44,0,49,98,13,109,166,6,172,15,31,42,1430,678,2108
LGA50910,0,0,4,0,4,0,3,7,11,0,4,5,7,23,29,7,10,14,18,10,26,13,4,19,24,6,32,17,9,20,11,12,25,16,9,23,20,3,28,16,0,16,9,0,9,9,0,9,19,3,23,29,0,29,7,5,16,229,114,343
LGA50980,28,126,147,24,41,63,26,82,110,42,173,215,52,213,269,70,147,222,133,261,392,111,273,386,157,407,559,156,369,526,124,239,367,140,267,409,423,434,857,360,195,553,374,178,549,247,96,343,579,392,968,537,88,623,86,270,357,3659,4249,7912
LGA51080,0,4,4,5,0,5,3,8,12,3,8,10,7,23,24,3,9,16,15,9,20,17,5,27,17,14,33,22,6,30,7,6,12,15,0,21,31,3,40,22,0,23,15,6,23,8,0,8,26,0,28,34,0,34,16,3,19,271,111,385
LGA51120,0,9,10,3,0,3,0,3,3,0,4,4,4,29,30,6,9,14,22,7,27,15,12,24,7,17,23,17,7,23,19,6,24,8,5,12,27,5,29,17,0,17,14,4,17,9,0,9,24,4,24,31,0,35,3,6,4,229,114,341
LGA51190,77,137,217,23,57,81,44,209,253,59,401,460,174,885,1062,255,545,801,661,376,1035,545,440,987,605,455,1056,629,357,985,472,288,762,533,246,779,966,350,1326,716,37,756,587,94,686,336,25,355,761,138,899,797,79,874,71,189,263,8327,5311,13632
LGA51260,101,118,223,53,52,101,55,172,220,50,301,355,198,730,928,207,569,781,747,377,1128,604,382,988,819,387,1208,840,295,1130,575,199,776,590,156,751,1278,278,1553,968,66,1034,735,94,836,456,33,483,1125,194,1324,1333,106,1439,119,216,335,10859,4733,15594
LGA51310,58,85,142,34,36,62,23,64,88,14,131,144,63,244,308,66,242,307,139,204,342,177,219,397,240,245,489,310,203,513,194,166,366,264,120,380,526,297,825,484,33,514,522,88,604,403,27,425,3522,236,3757,603,64,669,46,62,110,7691,2766,10454
LGA51330,285,350,628,122,143,260,131,315,444,135,584,720,368,1285,1655,409,773,1187,1140,527,1668,1060,717,1784,1443,803,2245,1591,706,2296,1324,555,1880,1407,398,1803,3130,696,3829,2374,191,2569,2120,225,2344,1319,84,1406,3736,296,4033,2125,384,2511,167,243,408,24392,9281,33670
LGA51400,36,48,78,20,14,39,26,33,62,19,84,105,82,202,285,92,105,196,255,84,335,197,86,286,251,119,373,314,95,411,252,94,347,251,61,303,645,116,767,519,12,539,436,39,473,249,12,263,634,22,650,661,19,683,55,47,101,4995,1301,6302
LGA51470,0,0,0,0,0,0,4,0,3,0,12,13,3,23,22,5,9,11,9,9,17,6,10,15,7,13,20,12,14,26,7,9,16,18,3,15,10,10,22,12,0,12,7,5,9,0,0,0,13,9,14,27,0,27,0,12,9,132,134,269
LGA51540,9,45,54,7,25,35,13,46,53,11,64,72,28,142,173,26,106,125,81,168,244,57,176,235,53,216,271,77,158,236,50,77,121,72,95,171,133,157,285,102,66,173,88,52,141,45,42,89,105,124,232,131,24,157,27,143,169,1117,1931,3049
LGA51610,0,0,10,3,0,3,0,0,5,3,3,3,6,17,21,9,12,20,19,12,25,16,7,27,24,11,35,25,10,31,12,4,20,22,7,29,43,20,55,56,0,57,34,0,39,14,0,21,51,4,58,63,4,62,7,4,15,422,117,540
LGA51680,17,12,31,6,3,14,8,7,18,9,24,25,24,59,84,17,30,50,79,20,95,74,45,122,83,26,111,85,25,114,59,23,84,82,13,91,171,30,201,151,0,151,150,7,158,95,0,100,229,16,249,244,3,243,21,21,43,1605,366,1970
LGA51710,0,5,5,0,3,8,0,3,3,0,9,9,0,15,16,0,3,7,9,5,8,5,7,13,15,16,29,10,21,30,18,14,32,16,17,34,34,20,57,33,0,33,40,4,44,20,3,18,57,6,57,37,0,37,3,3,6,292,161,451
LGA51750,29,45,74,20,26,45,11,32,50,7,64,74,25,151,178,32,137,168,59,107,162,80,118,199,88,155,237,147,115,261,100,108,208,116,95,215,211,170,383,184,15,206,185,67,252,147,7,150,1130,135,1268,218,38,254,15,48,71,2821,1637,4459
LGA51820,266,377,641,119,128,244,133,358,491,162,693,854,433,1623,2059,495,911,1405,1411,647,2062,1282,884,2167,1539,1110,2643,1792,966,2760,1581,864,2448,1674,688,2366,4216,1108,5326,3477,165,3640,3110,295,3399,2089,57,2146,5056,347,5404,2992,300,3292,239,380,622,32070,11902,43966
LGA51860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,3,11,3,0,3,4,0,3,9,0,9,0,0,4,9,3,7,11,3,13,15,0,15,9,4,11,12,0,7,19,3,19,19,0,19,0,5,8,114,24,142
LGA51890,27,41,62,6,9,13,11,53,62,26,127,147,69,290,356,61,102,166,218,72,292,148,91,236,156,97,247,187,63,251,109,56,166,124,49,168,230,72,302,199,3,202,162,14,180,87,3,90,170,15,183,239,15,251,38,49,86,2253,1214,3464
LGA51960,12,13,21,3,3,9,5,14,20,10,29,38,22,67,88,13,26,37,38,22,64,25,30,52,29,29,61,30,22,51,27,30,61,23,27,54,97,73,170,58,4,57,65,15,81,33,0,35,135,22,153,96,8,102,17,34,46,739,466,1199
LGA52030,9,10,17,8,0,6,0,5,5,5,16,20,9,35,44,3,19,24,23,12,35,35,7,39,17,19,29,24,14,34,14,11,25,8,11,13,29,11,48,19,5,22,14,0,16,8,0,5,23,9,24,33,0,38,7,9,17,280,186,463
LGA52100,6,7,7,0,0,0,0,3,5,0,7,8,4,27,33,3,16,23,23,10,26,14,9,35,15,10,22,23,12,35,14,10,23,9,4,16,38,16,50,33,0,33,11,0,17,10,0,10,21,5,26,37,0,31,3,6,6,262,145,409
LGA52170,24,31,54,8,9,22,9,26,32,3,53,52,16,58,76,17,49,68,31,54,83,43,55,104,53,69,127,55,54,111,41,49,89,66,59,124,130,114,244,114,5,120,121,47,168,100,10,108,1046,162,1209,191,36,222,15,33,46,2085,973,3059
LGA52240,5,3,7,0,4,4,0,7,3,8,10,14,5,19,26,3,14,20,25,4,31,14,15,28,16,25,40,16,12,28,15,7,23,19,4,23,38,7,39,16,0,16,14,0,16,12,0,12,24,7,32,29,5,34,6,13,21,274,152,427
LGA52310,0,5,3,0,0,0,6,0,7,5,4,8,8,36,51,4,11,11,15,8,23,18,8,28,18,10,32,19,9,24,10,7,19,24,8,31,23,5,25,17,0,18,16,0,23,6,0,6,17,0,17,41,0,46,3,7,7,246,119,367
LGA52380,0,6,6,0,7,3,0,4,0,0,21,21,4,21,22,0,15,15,6,3,9,0,5,5,0,12,12,3,8,11,3,3,6,0,4,10,0,9,7,0,4,4,0,5,5,4,0,3,0,9,9,4,5,3,0,4,4,20,133,154
LGA52450,0,7,7,0,0,3,0,3,3,0,12,8,0,28,32,0,17,23,10,5,21,24,14,33,18,16,34,26,14,38,14,10,18,31,8,38,44,9,57,29,3,35,15,6,26,9,0,7,27,5,29,41,0,41,8,8,17,301,167,465
LGA52520,6,3,7,0,0,0,0,6,6,0,7,7,6,11,11,7,12,18,11,9,23,17,10,26,15,17,30,16,20,33,17,9,28,17,6,20,41,20,64,37,6,42,24,3,26,20,0,20,39,3,44,35,0,37,3,9,13,309,144,450
LGA52590,16,17,32,8,8,13,4,19,23,8,42,54,20,81,99,11,37,54,81,32,115,44,49,92,42,51,97,78,23,98,36,30,67,54,25,82,91,37,130,63,8,66,60,13,78,30,6,37,66,26,91,129,6,137,16,30,45,866,547,1412
LGA52660,24,42,68,14,15,35,13,33,43,17,78,95,66,225,295,67,140,207,270,104,369,216,115,333,242,121,363,251,87,341,197,76,273,221,70,293,546,104,652,422,16,435,347,36,385,198,4,200,404,38,441,466,20,482,33,65,97,4014,1391,5399
