LGA_CODE_2021,OneMeth_Train_M,OneMeth_Train_F,OneMeth_Train_P,OneMeth_Bus_M,OneMeth_Bus_F,OneMeth_Bus_P,OneMeth_Ferry_M,OneMeth_Ferry_F,OneMeth_Ferry_P,OneMeth_Tram_lt_rail_M,OneMeth_Tram_lt_rail_F,OneMeth_Tram_lt_rail_P,OneMeth_Taxi_rs_serv_M,OneMeth_Taxi_rs_serv_F,OneMeth_Taxi_rs_serv_P,OneMeth_Car_as_driver_M,OneMeth_Car_as_driver_F,OneMeth_Car_as_driver_P,OneMeth_Car_as_passenger_M,OneMeth_Car_as_passenger_F,OneMeth_Car_as_passenger_P,OneMeth_Truck_M,OneMeth_Truck_F,OneMeth_Truck_P,OneMeth_Motorbike_scooter_M,OneMeth_Motorbike_scooter_F,OneMeth_Motorbike_scooter_P,OneMeth_Bicycle_M,OneMeth_Bicycle_F,OneMeth_Bicycle_P,OneMeth_Other_M,OneMeth_Other_F,OneMeth_Other_P,OneMeth_Walked_only_M,OneMeth_Walked_only_F,OneMeth_Walked_only_P,OneMeth_Tot_OneMeth_M,OneMeth_Tot_OneMeth_F,OneMeth_Tot_OneMeth_P,TwoMeth_Train_Bus_M,TwoMeth_Train_Bus_F,TwoMeth_Train_Bus_P,TwoMeth_Train_Ferry_M,TwoMeth_Train_Ferry_F,TwoMeth_Train_Ferry_P,TwoMeth_Trn_Trm_lt_rl_M,TwoMeth_Trn_Trm_lt_rl_F,TwoMeth_Trn_Trm_lt_rl_P,TwoMeth_Train_Car_as_drvr_M,TwoMeth_Train_Car_as_drvr_F,TwoMeth_Train_Car_as_drvr_P,TwoMeth_Trn_Car_as_pass_M,TwoMeth_Trn_Car_as_pass_F,TwoMeth_Trn_Car_as_pass_P,TwoMeth_Train_Other_M,TwoMeth_Train_Other_F,TwoMeth_Train_Other_P,TwoMeth_Train_Tot_M,TwoMeth_Train_Tot_F,TwoMeth_Train_Tot_P,TwoMeth_Bus_Ferry_M,TwoMeth_Bus_Ferry_F,TwoMeth_Bus_Ferry_P,TwoMeth_Bus_Trm_lt_rl_M,TwoMeth_Bus_Trm_lt_rl_F,TwoMeth_Bus_Trm_lt_rl_P,TwoMeth_Bus_Car_as_driver_M,TwoMeth_Bus_Car_as_driver_F,TwoMeth_Bus_Car_as_driver_P,TwoMeth_Bus_Car_as_pass_M,TwoMeth_Bus_Car_as_pass_F,TwoMeth_Bus_Car_as_pass_P,TwoMeth_Bus_Other_M,TwoMeth_Bus_Other_F,TwoMeth_Bus_Other_P,TwoMeth_Bus_Tot_M,TwoMeth_Bus_Tot_F,TwoMeth_Bus_Tot_P,TwoMeth_Other_TwoMeth_M,TwoMeth_Other_TwoMeth_F,TwoMeth_Other_TwoMeth_P,TwoMeth_Tot_TwoMeth_M,TwoMeth_Tot_TwoMeth_F,TwoMeth_Tot_TwoMeth_P,ThreeMeth_Trn_2_othr_mthd_M,ThreeMeth_Trn_2_othr_mthd_F,ThreeMeth_Trn_2_othr_mthd_P,ThreMth_Bu_2_ot_met_exc_tra_M,ThreMth_Bu_2_ot_met_exc_tra_F,ThreMth_Bu_2_ot_met_exc_tra_P,ThreeMeth_Oth_ThreeMeth_M,ThreeMeth_Oth_ThreeMeth_F,ThreeMeth_Oth_ThreeMeth_P,ThreeMeth_Tot_ThreeMeth_M,ThreeMeth_Tot_ThreeMeth_F,ThreeMeth_Tot_ThreeMeth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Meth_travel_to_work_NS_M,Meth_travel_to_work_NS_F,Meth_travel_to_work_NS_P,Tot_M,Tot_F,Tot_P
LGA50080,4,0,3,38,14,55,0,0,0,0,0,0,16,15,37,6286,6006,12289,409,505,916,131,0,128,38,8,41,67,21,87,82,27,109,186,180,372,7258,6784,14042,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,7,9,4,0,6,0,0,3,12,9,17,61,44,102,78,55,126,0,0,0,0,0,0,0,3,4,9,0,7,495,667,1162,844,1122,1968,54,33,88,8737,8659,17393
LGA50210,443,474,920,174,139,311,9,0,9,0,0,6,60,43,103,16193,13493,29681,839,967,1811,252,19,268,94,3,100,70,13,82,397,100,501,155,156,317,18701,15408,34108,237,267,510,0,0,0,0,0,0,286,204,490,26,35,63,20,12,26,567,525,1089,0,0,0,0,0,0,8,23,32,10,21,36,9,4,14,36,46,78,184,71,254,785,639,1430,98,150,247,7,3,13,4,6,8,117,156,274,989,1518,2500,2107,2801,4915,107,74,184,22808,20601,43411
LGA50250,3,6,4,1705,348,2051,7,3,5,0,0,0,18,0,22,1627,716,2343,488,169,653,76,14,96,10,3,14,18,39,51,665,137,797,335,307,642,4949,1735,6681,0,4,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,6,3,9,0,0,0,0,0,0,9,5,19,12,4,14,78,26,99,95,30,131,129,36,160,230,72,296,3,0,6,90,24,116,21,0,19,114,28,139,41,98,138,428,329,757,47,22,68,5805,2285,8091
LGA50280,0,0,0,34,10,48,0,0,0,0,0,0,0,0,0,2334,2377,4702,198,164,364,45,0,44,16,4,21,67,26,98,83,25,105,140,163,304,2926,2766,5687,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,0,4,42,32,73,47,31,79,0,0,0,0,0,0,0,0,0,6,0,4,453,578,1031,601,675,1272,44,24,70,4075,4071,8147
LGA50350,203,213,411,39,38,81,0,0,0,0,0,0,12,18,37,2509,2392,4903,125,174,301,29,3,31,21,4,22,61,15,79,56,20,70,38,40,68,3091,2924,6007,36,39,80,0,0,0,0,0,0,28,27,57,4,7,19,6,9,16,73,87,161,0,0,0,0,0,0,6,3,7,4,3,3,5,5,3,8,7,15,24,9,35,106,108,216,11,19,30,4,0,6,0,0,0,14,20,37,328,353,676,386,550,932,12,6,22,3930,3959,7887
LGA50420,569,535,1108,790,836,1626,3,0,3,3,0,4,99,99,198,11875,10170,22043,599,981,1574,132,0,133,109,5,113,344,88,432,259,75,338,156,136,297,14933,12945,27876,158,176,334,0,0,0,0,0,0,111,114,224,19,31,48,12,12,19,297,336,632,0,0,0,0,0,3,54,62,116,21,58,86,24,11,36,104,137,234,136,89,220,533,560,1093,41,57,95,16,8,23,9,0,9,64,63,129,1213,1486,2706,1600,2308,3908,82,45,122,18424,17405,35829
LGA50490,81,83,166,630,660,1284,0,0,3,0,0,0,105,82,189,7608,5988,13593,419,692,1107,83,3,85,53,9,61,124,19,144,286,84,369,143,121,263,9529,7744,17276,76,76,153,0,0,0,0,0,0,50,60,104,8,10,18,4,0,3,142,140,284,0,0,0,0,0,0,26,33,58,11,41,55,24,16,45,65,90,149,91,48,138,298,274,574,20,45,66,18,17,31,0,4,3,43,66,106,591,671,1258,1187,1257,2445,84,37,122,11740,10050,21783
LGA50560,0,0,0,4,3,5,0,0,0,0,0,0,0,0,0,165,164,325,9,11,18,12,0,12,0,0,0,0,0,0,11,3,11,22,12,30,210,196,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,56,49,106,36,38,74,4,5,12,312,290,603
LGA50630,0,0,0,87,13,102,0,0,0,0,0,0,0,0,0,440,221,662,36,12,39,13,0,13,6,0,6,4,0,4,8,0,5,21,25,43,605,273,874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,10,0,0,0,0,0,0,12,0,11,5,4,3,18,0,17,0,0,0,0,0,0,0,0,0,0,0,0,17,19,36,53,68,124,10,3,12,694,368,1067
LGA50770,0,0,0,4,4,6,0,0,0,0,0,0,0,0,0,194,180,379,6,17,20,7,0,7,4,0,4,0,0,0,5,6,14,23,12,39,247,217,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,9,0,10,6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,125,99,222,28,38,69,7,0,16,422,361,786
LGA50840,0,0,0,45,6,52,0,0,0,0,0,0,0,0,0,728,671,1403,45,53,94,27,0,24,0,3,3,0,0,0,16,6,17,43,36,79,901,776,1679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,10,7,13,16,7,17,0,0,0,0,0,0,0,0,0,0,0,0,123,138,259,152,149,304,11,5,18,1192,1086,2279
LGA50910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,96,201,11,5,13,4,0,4,3,0,3,0,0,0,4,0,4,24,24,47,144,131,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,40,27,70,16,18,35,3,0,0,206,172,382
LGA50980,3,5,10,42,19,60,0,0,0,0,0,0,8,7,8,2534,2726,5263,216,310,527,44,0,46,93,39,129,125,94,222,106,39,147,338,431,772,3518,3686,7199,5,0,6,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,8,3,10,0,0,0,0,0,0,0,0,3,0,0,0,3,0,5,6,4,10,35,30,65,45,34,79,0,0,0,0,0,0,5,0,4,5,0,4,247,355,605,1121,1361,2488,65,57,124,5003,5493,10498
LGA51080,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,130,115,241,7,3,11,3,0,3,0,0,0,0,0,3,3,5,4,27,18,45,178,139,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,48,112,13,7,19,4,0,4,257,201,464
LGA51120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,89,233,5,7,13,7,0,7,0,0,0,0,0,6,13,0,12,22,21,41,197,119,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,29,42,66,11,13,22,0,0,0,238,168,406
