LGA_CODE_2021,F_Inad_desc_Ns_15_19,F_Inad_desc_Ns_20_24,F_Inad_desc_Ns_25_34,F_Inad_desc_Ns_35_44,F_Inad_desc_Ns_45_54,F_Inad_desc_Ns_55_64,F_Inad_desc_Ns_65_74,F_Inad_desc_Ns_75_84,F_Inad_desc_Ns_85_yr_over,F_Inad_desc_Ns_Tot,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Agr_fstry_fsh_15_19,P_Agr_fstry_fsh_20_24,P_Agr_fstry_fsh_25_34,P_Agr_fstry_fsh_35_44,P_Agr_fstry_fsh_45_54,P_Agr_fstry_fsh_55_64,P_Agr_fstry_fsh_65_74,P_Agr_fstry_fsh_75_84,P_Agr_fstry_fsh_85_yr_over,P_Agr_fstry_fsh_Tot,P_Min_15_19_yr,P_Min_20_24_yr,P_Min_25_34_yr,P_Min_35_44_yr,P_Min_45_54_yr,P_Min_55_64_yr,P_Min_65_74_yr,P_Min_75_84_yr,P_Min_85_yr_over,P_Min_Tot,P_Manf_15_19_yr,P_Manf_20_24_yr,P_Manf_25_34_yr,P_Manf_35_44_yr,P_Manf_45_54_yr,P_Manf_55_64_yr,P_Manf_65_74_yr,P_Manf_75_84_yr,P_Manf_85_yr_over,P_Manf_Tot,P_Elec_gas_wtr_wst_sv_15_19,P_Elec_gas_wtr_wst_sv_20_24,P_Elec_gas_wtr_wst_sv_25_34,P_Elec_gas_wtr_wst_sv_35_44,P_Elec_gas_wtr_wst_sv_45_54,P_Elec_gas_wtr_wst_sv_55_64,P_Elec_gas_wtr_wst_sv_65_74,P_Elec_gas_wtr_wst_sv_75_84,P_Elec_gas_wtr_wst_sv_85_ov,P_Elec_gas_wtr_wst_sv_Tot,P_Con_15_19_yr,P_Con_20_24_yr,P_Con_25_34_yr,P_Con_35_44_yr,P_Con_45_54_yr,P_Con_55_64_yr,P_Con_65_74_yr,P_Con_75_84_yr,P_Con_85_yr_over,P_Con_Tot,P_Whl_trd_15_19_yr,P_Whl_trd_20_24_yr,P_Whl_trd_25_34_yr,P_Whl_trd_35_44_yr,P_Whl_trd_45_54_yr,P_Whl_trd_55_64_yr,P_Whl_trd_65_74_yr,P_Whl_trd_75_84_yr,P_Whl_trd_85_yr_over,P_Whl_trd_Tot,P_Re_trd_15_19_yr,P_Re_trd_20_24_yr,P_Re_trd_25_34_yr,P_Re_trd_35_44_yr,P_Re_trd_45_54_yr,P_Re_trd_55_64_yr,P_Re_trd_65_74_yr,P_Re_trd_75_84_yr,P_Re_trd_85_yr_over,P_Re_trd_Tot,P_Acc_food_svc_15_19,P_Acc_food_svc_20_24,P_Acc_food_svc_25_34,P_Acc_food_svc_35_44,P_Acc_food_svc_45_54,P_Acc_food_svc_55_64,P_Acc_food_svc_65_74,P_Acc_food_svc_75_84,P_Acc_food_svc_85_yr_over,P_Acc_food_svc_Tot,P_Trp_pos_wh_15_19,P_Trp_pos_wh_20_24,P_Trp_pos_wh_25_34,P_Trp_pos_wh_35_44,P_Trp_pos_wh_45_54,P_Trp_pos_wh_55_64,P_Trp_pos_wh_65_74,P_Trp_pos_wh_75_84,P_Trp_pos_wh_85_yr_over,P_Trp_pos_wh_Tot,P_In_med_tcom_15_19,P_In_med_tcom_20_24,P_In_med_tcom_25_34,P_In_med_tcom_35_44,P_In_med_tcom_45_54,P_In_med_tcom_55_64,P_In_med_tcom_65_74,P_In_med_tcom_75_84,P_In_med_tcom_85_yr_over,P_In_med_tcom_Tot,P_Fin_in_svc_15_19,P_Fin_in_svc_20_24,P_Fin_in_svc_25_34,P_Fin_in_svc_35_44,P_Fin_in_svc_45_54,P_Fin_in_svc_55_64,P_Fin_in_svc_65_74,P_Fin_in_svc_75_84,P_Fin_in_svc_85_yr_over,P_Fin_in_svc_Tot,P_Rnt_hrg_rea_est_serv_15_19,P_Rnt_hrg_rea_est_serv_20_24,P_Rnt_hrg_rea_est_serv_25_34,P_Rnt_hrg_rea_est_serv_35_44,P_Rnt_hrg_rea_est_serv_45_54,P_Rnt_hrg_rea_est_serv_55_64,P_Rnt_hrg_rea_est_serv_65_74,P_Rnt_hrg_rea_est_serv_75_84,P_Rnt_hrg_rea_est_serv_85_ov,P_Rnt_hrg_rea_est_serv_Tot,P_Prof_sc_tech_serv_15_19,P_Prof_sc_tech_serv_20_24,P_Prof_sc_tech_serv_25_34,P_Prof_sc_tech_serv_35_44,P_Prof_sc_tech_serv_45_54,P_Prof_sc_tech_serv_55_64,P_Prof_sc_tech_serv_65_74,P_Prof_sc_tech_serv_75_84,P_Prof_sc_tech_serv_85_over,P_Prof_sc_tech_serv_Tot,P_Adm_sup_serv_15_19,P_Adm_sup_serv_20_24,P_Adm_sup_serv_25_34,P_Adm_sup_serv_35_44,P_Adm_sup_serv_45_54,P_Adm_sup_serv_55_64,P_Adm_sup_serv_65_74,P_Adm_sup_serv_75_84,P_Adm_sup_serv_85_over,P_Adm_sup_serv_Tot,P_PubAd_saf_15_19,P_PubAd_saf_20_24,P_PubAd_saf_25_34,P_PubAd_saf_35_44,P_PubAd_saf_45_54,P_PubAd_saf_55_64,P_PubAd_saf_65_74,P_PubAd_saf_75_84,P_PubAd_saf_85_yr_over,P_PubAd_saf_Tot,P_Ed_trng_15_19,P_Ed_trng_20_24,P_Ed_trng_25_34,P_Ed_trng_35_44,P_Ed_trng_45_54,P_Ed_trng_55_64,P_Ed_trng_65_74,P_Ed_trng_75_84,P_Ed_trng_85_yr_over,P_Ed_trng_Tot,P_Hlth_cre_socia_assist_15_19,P_Hlth_cre_socia_assist_20_24,P_Hlth_cre_socia_assist_25_34,P_Hlth_cre_socia_assist_35_44,P_Hlth_cre_socia_assist_45_54,P_Hlth_cre_socia_assist_55_64,P_Hlth_cre_socia_assist_65_74,P_Hlth_cre_socia_assist_75_84,P_Hlth_cre_socia_assist_85_ov,P_Hlth_cre_socia_assist_Tot,P_Arts_rec_svc_15_19,P_Arts_rec_svc_20_24,P_Arts_rec_svc_25_34,P_Arts_rec_svc_35_44,P_Arts_rec_svc_45_54,P_Arts_rec_svc_55_64,P_Arts_rec_svc_65_74,P_Arts_rec_svc_75_84,P_Arts_rec_svc_85_yr_over,P_Arts_rec_svc_Tot
LGA50080,26,20,43,42,44,46,16,6,0,242,644,594,1410,1698,2020,1756,480,56,5,8659,42,56,156,177,206,252,164,58,11,1131,0,9,72,70,74,48,11,0,0,287,60,97,193,159,183,148,40,6,0,899,0,6,26,63,56,52,9,0,0,210,99,142,342,322,338,264,70,10,0,1592,14,36,74,66,113,75,25,0,0,410,374,211,330,315,350,314,96,8,0,1996,434,157,221,189,163,126,56,7,0,1347,14,24,58,101,188,197,60,8,0,647,7,10,29,19,25,19,9,0,0,114,3,20,44,55,61,49,10,0,0,242,4,14,48,37,58,44,25,5,0,233,13,26,121,158,132,133,60,9,0,659,6,31,65,96,108,119,40,0,0,459,11,25,135,234,314,270,53,8,0,1060,19,59,213,328,489,412,105,13,0,1637,61,185,492,599,713,711,176,15,0,2945,22,11,46,28,40,39,11,3,0,202
LGA50210,45,82,224,211,134,102,36,4,4,848,1182,1818,4896,5449,3875,2714,627,44,9,20601,16,34,74,77,61,51,42,20,0,378,29,119,534,727,466,247,33,0,0,2159,102,260,620,864,605,419,79,12,5,2968,10,13,96,173,123,85,11,0,0,514,158,352,1075,1032,658,506,131,15,0,3920,36,103,347,429,321,204,39,6,0,1494,530,657,1001,837,598,472,121,12,0,4235,860,368,454,363,186,113,34,3,0,2377,40,177,637,843,544,510,119,4,0,2884,15,22,73,95,59,32,12,0,0,314,3,28,204,305,148,89,8,0,0,787,4,35,134,145,94,78,46,7,0,531,18,161,597,803,425,271,78,9,0,2362,51,115,323,334,284,210,51,6,0,1379,27,116,529,719,532,419,106,12,0,2457,65,191,694,926,809,609,160,14,0,3465,80,476,1501,1902,1299,934,194,8,0,6410,62,76,118,123,93,57,21,4,0,555
LGA50250,9,13,12,14,13,4,3,0,0,74,63,200,630,527,423,352,87,7,0,2285,6,18,25,4,9,26,21,3,0,111,15,179,987,1070,923,569,75,5,0,3802,4,9,13,26,28,22,5,0,0,103,0,3,14,8,9,19,0,0,0,53,14,59,283,285,284,215,35,0,0,1178,0,6,31,45,23,17,0,0,0,125,30,15,24,23,18,29,12,0,0,143,25,45,137,84,84,99,21,0,0,491,4,13,32,48,55,58,10,0,0,210,0,0,0,10,3,5,0,0,0,23,0,0,4,9,4,0,0,0,0,14,6,9,32,12,27,14,0,0,0,102,0,15,41,53,55,34,14,0,0,207,4,25,69,71,61,44,5,0,0,292,6,9,48,60,59,43,11,0,0,239,4,22,91,84,57,46,12,0,0,313,3,12,71,57,44,50,9,0,0,246,0,0,10,3,4,0,0,0,0,28
LGA50280,11,0,23,49,38,28,13,3,0,164,223,139,685,1096,952,729,207,21,0,4071,20,22,126,92,124,91,86,27,3,594,0,9,66,147,92,63,12,6,0,386,27,33,147,210,157,118,40,7,0,741,0,0,5,17,23,19,0,0,0,64,38,47,131,239,173,128,42,3,0,804,10,5,14,26,38,24,12,0,0,125,113,64,102,169,163,142,40,3,0,786,163,57,201,200,167,101,40,3,0,940,0,8,21,21,27,45,26,3,0,150,0,0,7,10,14,0,0,0,0,46,0,3,23,23,20,16,8,3,0,95,0,0,13,16,39,27,15,6,0,118,3,4,52,114,92,68,25,0,0,357,7,9,51,89,102,70,14,0,0,349,0,6,36,98,71,81,5,3,0,299,5,10,93,198,204,183,38,4,0,730,12,25,146,206,214,171,45,4,0,817,9,6,20,29,27,25,13,4,0,132
LGA50350,8,11,34,30,24,21,6,0,0,125,186,309,849,972,835,639,162,13,0,3959,0,5,6,11,10,3,3,0,0,28,0,27,113,121,86,48,8,0,0,405,16,28,65,95,104,82,14,6,0,409,5,0,23,25,22,12,0,0,0,85,34,54,166,173,147,95,18,0,0,684,4,10,50,58,41,37,13,0,0,213,97,121,129,108,87,78,23,0,0,639,121,75,93,57,41,35,6,0,0,434,4,17,58,70,81,73,34,0,0,336,0,3,18,27,14,17,4,0,0,83,0,13,34,54,57,37,5,0,0,205,0,9,16,21,32,18,4,0,0,104,4,29,174,203,144,75,24,5,0,652,3,10,40,61,46,40,14,0,0,222,4,22,112,154,168,128,25,4,0,615,19,48,133,192,198,168,38,5,0,790,11,75,275,249,234,217,60,7,0,1124,21,33,47,39,30,23,7,0,0,199
LGA50420,21,60,175,143,101,68,26,10,0,605,727,1614,4584,3967,3345,2422,685,56,0,17405,4,7,37,29,19,18,10,4,0,122,5,92,511,605,375,187,36,0,0,1803,42,113,333,358,392,293,91,6,0,1633,5,17,96,115,81,71,14,0,0,395,63,210,758,741,464,394,98,11,0,2735,12,56,195,203,173,154,53,3,0,855,427,564,736,474,406,351,125,8,0,3100,517,475,643,418,281,217,54,3,0,2602,28,126,386,380,351,308,100,14,0,1685,12,35,96,92,80,59,15,3,0,395,5,55,274,321,225,99,32,8,0,1008,10,38,125,114,95,71,34,7,0,499,17,205,999,1004,601,336,117,17,0,3286,17,90,344,256,230,162,45,4,0,1148,20,116,580,658,606,480,117,9,0,2587,49,172,696,707,746,558,170,11,0,3110,38,384,1398,1140,944,793,235,11,0,4933,88,138,215,141,107,77,29,4,0,800
LGA50490,11,35,117,76,66,37,5,0,0,352,410,1079,3024,2199,1691,1280,333,28,0,10050,6,8,22,17,16,21,7,6,0,86,6,97,513,443,306,186,35,4,0,1580,35,77,282,231,207,172,41,6,0,1045,0,9,53,51,45,31,9,0,0,193,43,128,571,419,266,203,41,5,0,1684,16,58,178,139,117,111,22,3,0,643,208,380,482,282,216,183,53,0,0,1802,289,314,551,296,164,117,28,0,0,1759,13,106,371,315,311,255,70,8,0,1458,11,19,69,48,29,20,7,0,0,202,4,35,158,139,102,59,15,0,0,511,4,37,86,81,68,55,15,0,0,351,7,139,611,486,250,153,43,11,0,1701,13,75,276,185,135,142,37,0,0,864,7,82,315,299,265,210,56,3,0,1238,28,78,344,312,306,234,57,10,0,1368,19,261,894,618,474,389,124,7,0,2779,36,80,184,115,84,69,28,7,0,597
LGA50560,0,0,0,0,3,0,7,0,0,15,8,8,39,49,69,73,34,9,0,290,6,3,26,27,43,38,33,9,0,190,0,0,7,0,13,0,8,0,0,22,0,0,0,8,0,3,4,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,6,13,4,10,3,0,0,35,0,0,0,0,3,9,7,0,0,22,0,0,4,7,8,8,3,0,0,33,6,4,4,0,3,3,4,0,0,23,0,3,0,3,8,7,11,0,0,29,0,0,0,0,4,0,0,0,0,3,0,0,0,0,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,6,0,0,3,0,3,4,0,0,0,17,0,0,6,5,0,0,0,0,0,11,0,0,4,3,10,13,0,0,0,37,0,0,5,11,10,9,4,0,0,39,0,0,10,10,12,19,6,0,0,52,0,0,0,0,0,0,0,0,0,5
LGA50630,0,0,3,5,0,0,0,0,0,18,9,33,52,81,88,84,21,3,0,368,3,0,10,10,12,10,9,7,0,64,6,14,80,129,136,89,13,0,0,468,4,7,14,18,23,16,0,0,0,83,0,0,0,0,0,0,0,0,0,5,0,3,16,18,22,21,0,0,0,77,0,0,3,3,3,6,0,0,0,16,0,9,0,3,4,15,0,0,0,32,3,9,5,10,12,12,3,0,0,56,0,0,0,0,3,9,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,3,4,3,5,0,0,0,15,0,0,4,7,8,3,0,0,0,22,0,4,6,7,6,9,4,0,0,38,0,0,9,8,20,7,6,0,0,52,0,0,3,11,6,15,8,0,0,43,0,0,0,0,0,0,0,0,0,3
LGA50770,0,5,0,4,0,0,0,0,0,10,15,28,43,80,82,78,29,11,0,361,5,18,38,66,68,74,48,31,0,355,0,4,0,16,9,6,0,0,0,37,3,0,4,3,0,5,0,0,0,18,0,0,0,3,0,3,0,0,0,7,0,4,3,0,3,6,0,0,0,31,0,4,0,0,0,8,0,0,0,10,8,7,5,6,9,3,5,0,0,48,4,3,5,4,3,5,0,0,0,21,0,0,0,6,0,9,5,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,5,0,3,8,0,0,0,21,0,0,0,3,4,0,0,0,0,8,0,0,3,7,11,7,0,0,0,38,4,0,9,11,14,10,3,0,0,51,0,3,3,13,8,18,3,0,0,60,0,0,0,0,0,0,0,0,0,5
