LGA_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85_yr_over_M,Age_85_yr_over_F,Age_85_yr_over_P,OS_vis_M,OS_vis_F,OS_vis_P,Count_pers_occ_private_dwgs_M,Count_pers_occ_private_dwgs_F,Count_pers_occ_private_dwgs_P,Count_persons_other_dwgs_M,Count_persons_other_dwgs_F,Count_persons_other_dwgs_P,Indig_persons_Aboriginal_M,Indig_persons_Aboriginal_F,Indig_persons_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_pe_Bo_Abor_Trs_St_Is_M,Indig_pe_Bo_Abor_Trs_St_Is_F,Indig_pe_Bo_Abor_Trs_St_Is_P,Indigenous_persons_Tot_M,Indigenous_persons_Tot_F,Indigenous_persons_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_per_att_educ_inst_0_4_M,Age_per_att_educ_inst_0_4_F,Age_per_att_educ_inst_0_4_P,Age_per_att_educ_inst_5_14_M,Age_per_att_educ_inst_5_14_F,Age_per_att_educ_inst_5_14_P,Age_per_att_educ_inst_15_19_M,Age_per_att_educ_inst_15_19_F,Age_per_att_educ_inst_15_19_P,Age_per_att_educ_inst_20_24_M,Age_per_att_educ_inst_20_24_F,Age_per_att_educ_inst_20_24_P,Age_per_att_educ_inst_25ov_M,Age_per_att_educ_inst_25ov_F,Age_per_att_educ_inst_25ov_P,Hi_yr_sch_com_Yr_12_equiv_M,Hi_yr_sch_com_Yr_12_equiv_F,Hi_yr_sch_com_Yr_12_equiv_P,Hi_yr_sch_com_Yr_11_equiv_M,Hi_yr_sch_com_Yr_11_equiv_F,Hi_yr_sch_com_Yr_11_equiv_P,Hi_yr_sch_com_Yr_10_equiv_M,Hi_yr_sch_com_Yr_10_equiv_F,Hi_yr_sch_com_Yr_10_equiv_P,Hi_yr_sch_comp_Yr_9_equiv_M,Hi_yr_sch_comp_Yr_9_equiv_F,Hi_yr_sch_comp_Yr_9_equiv_P,Hi_yr_sch_comp_Yr_8_below_M,Hi_yr_sch_comp_Yr_8_below_F,Hi_yr_sch_comp_Yr_8_below_P,Hi_yr_sc_co_Di_not_go_to_sc_M,Hi_yr_sc_co_Di_not_go_to_sc_F,Hi_yr_sc_co_Di_not_go_to_sc_P
LGA50080,18606,19494,38102,973,950,1924,2504,2368,4876,1280,1168,2446,927,830,1760,2123,2040,4170,2013,2208,4217,2299,2587,4883,2492,2802,5293,2235,2355,4596,1274,1517,2786,486,657,1142,31,23,56,17548,18795,36346,1058,693,1756,776,649,1432,7,13,23,16,7,18,799,669,1472,14153,14559,28713,3400,3992,7393,16140,17256,33397,1115,1285,2406,16238,17419,33660,260,238,496,2332,2215,4543,848,840,1688,133,163,300,313,761,1072,6176,7831,14008,1716,1923,3635,4510,3991,8504,935,814,1754,623,504,1127,76,74,151
LGA50210,45238,47183,92423,3832,3635,7464,7447,7105,14552,2688,2677,5366,2602,2627,5231,6438,7297,13733,7329,7757,15092,5267,5387,10657,4369,4695,9069,3244,3688,6932,1584,1707,3295,432,595,1023,75,114,184,45017,46851,91866,223,333,551,1280,1351,2631,22,16,46,31,32,66,1330,1404,2735,27164,27612,54775,15984,17426,33412,32516,33386,65903,10485,11469,21955,37820,38821,76643,1064,953,2012,6948,6658,13601,1924,2033,3961,731,889,1619,1174,2173,3341,17673,20390,38065,3674,3758,7428,7934,7559,15494,1733,1605,3334,823,885,1710,223,260,481
LGA50250,10516,5022,15541,329,313,636,595,525,1126,162,133,297,432,342,772,2108,1045,3150,2299,775,3071,2218,668,2883,1651,663,2311,579,457,1041,131,105,241,15,0,18,63,44,102,3584,3215,6798,6934,1805,8743,512,393,900,19,18,41,18,13,33,548,425,968,5307,2899,8202,2052,1038,3089,6534,3411,9952,807,541,1352,6566,3404,9965,68,66,137,504,448,951,74,56,134,21,30,55,177,150,327,3380,1926,5306,1019,404,1431,1777,681,2454,218,112,330,97,64,159,34,21,55
LGA50280,8115,8410,16524,523,457,981,1228,1175,2401,428,361,795,270,204,467,855,940,1794,1145,1426,2573,1164,1221,2386,1081,1166,2255,922,924,1846,379,362,741,117,164,284,82,25,101,7769,8087,15855,346,322,672,107,112,222,5,6,8,0,0,0,112,114,233,5592,5672,11269,1761,2010,3767,6801,7098,13899,586,655,1239,6751,7055,13808,119,120,240,1097,1033,2133,302,262,560,33,34,68,142,383,525,3272,4087,7357,685,635,1319,1342,1162,2500,245,217,459,143,75,219,9,8,16
LGA50350,7535,8012,15542,527,466,994,943,848,1792,387,352,737,455,415,867,1044,1103,2149,1086,1230,2314,1007,1067,2075,914,1005,1927,707,826,1532,347,469,820,121,231,353,8,16,26,7478,7944,15421,53,70,121,194,173,364,0,4,12,0,9,7,197,184,388,5183,5397,10573,1993,2290,4276,6169,6447,12617,982,1220,2201,6563,6983,13551,149,126,279,884,800,1680,289,278,569,142,155,300,234,400,630,3395,4035,7434,567,537,1108,1245,1256,2494,275,241,518,194,249,442,43,47,85
LGA50420,33533,34435,67963,2064,1969,4030,3663,3317,6980,1640,1522,3161,2083,2022,4105,5524,5776,11302,5211,5192,10399,4189,4336,8523,3723,3865,7586,3033,3418,6451,1801,1998,3803,599,1028,1634,47,67,115,33105,33910,67011,427,524,957,505,516,1026,17,17,35,27,22,47,548,553,1104,19833,19814,39650,12394,13381,25772,23313,23234,46539,8817,9862,18674,28188,28946,57137,621,552,1176,3472,3150,6621,1288,1269,2561,886,881,1769,1413,1963,3374,17545,18554,36102,2306,2132,4435,4380,4514,8891,1031,1029,2063,935,1225,2154,239,333,572
LGA50490,21232,20719,41953,1253,1232,2489,2163,2080,4239,977,877,1850,1571,1511,3081,4284,4131,8414,3384,3126,6503,2643,2375,5016,2309,2150,4455,1517,1714,3232,820,985,1804,319,550,868,96,57,159,20412,20209,40625,818,511,1327,528,569,1097,15,16,28,11,10,21,552,599,1148,11276,10827,22104,8487,8650,17135,13306,12691,25996,6374,6658,13031,15819,15385,31200,283,275,558,1998,1912,3909,700,676,1371,603,594,1192,971,1395,2363,10393,10609,21002,1578,1383,2965,3000,2738,5739,664,609,1273,499,595,1091,189,192,376
LGA50560,809,809,1620,39,32,71,59,75,133,29,33,60,20,19,44,61,55,117,73,79,154,106,106,212,131,153,282,172,162,334,90,73,164,28,20,50,0,5,4,802,802,1603,7,8,13,25,20,49,0,0,3,0,0,0,23,21,47,553,550,1105,137,161,299,695,684,1378,18,37,56,679,689,1373,7,4,11,53,67,124,11,20,28,0,3,3,7,22,28,246,288,533,61,70,133,203,187,384,61,41,103,42,23,68,0,0,0
LGA50630,1158,853,2011,61,55,113,136,118,259,32,31,68,34,35,68,148,100,244,177,122,294,211,123,331,198,128,324,106,91,199,40,43,83,11,7,20,4,0,5,816,783,1595,346,69,409,42,34,73,3,0,3,0,0,0,46,34,80,875,615,1494,190,161,351,1018,741,1759,63,46,113,1005,712,1720,10,16,28,121,108,229,17,20,39,11,5,18,20,20,38,394,276,671,125,96,227,289,183,472,45,35,78,21,13,37,0,4,4
LGA50770,890,896,1790,54,60,115,132,122,257,25,40,64,37,31,73,58,66,128,86,120,208,115,109,231,155,139,291,129,109,237,82,77,163,13,20,32,0,0,0,874,882,1755,14,19,32,11,15,27,0,0,3,0,0,0,15,13,30,671,674,1343,111,122,229,784,781,1561,12,27,44,758,770,1524,12,15,21,108,101,211,18,22,37,6,4,13,3,21,22,290,331,616,65,68,136,198,177,369,46,40,87,25,17,44,4,0,3
