LGA_CODE_2021,Tot_Mgr,Tot_Pfn,Tot_Tch_trwk,Tot_Co_Pswk,Tot_Cl_Adwk,Tot_Sal,Tot_MchOp,Tot_Lab,Tot_Inad_ns,Tot_To
LGA50080,2167,3043,2652,2461,1841,1649,1111,2211,252,17393
LGA50210,4177,7766,7146,5513,5679,3544,4382,4407,790,43411
LGA50250,633,975,2268,416,491,148,2072,922,161,8091
LGA50280,1277,1507,1359,967,709,689,411,1111,113,8147
LGA50350,946,2042,1141,929,1060,607,445,613,116,7887
LGA50420,4303,9555,4777,4233,4745,2698,2031,2919,562,35829
LGA50490,2282,4629,3414,2635,2811,1632,1918,2039,411,21783
LGA50560,158,67,73,53,55,31,67,84,17,603
LGA50630,122,126,248,61,80,26,277,103,15,1067
LGA50770,279,85,86,44,77,38,67,100,6,786
LGA50840,379,344,384,254,192,150,260,281,36,2279
LGA50910,128,37,38,35,32,22,32,57,4,382
LGA50980,1686,2454,1280,1367,1355,717,536,877,222,10498
LGA51080,197,47,40,26,32,13,29,63,7,464
LGA51120,136,32,59,34,29,14,48,50,4,406
LGA51190,1312,2600,2456,1793,1572,1290,1301,2029,234,14588
LGA51260,2477,3241,3203,2340,1917,1810,1125,2302,304,18727
LGA51310,2820,6335,882,1195,1572,950,241,548,193,14743
LGA51330,4583,12171,6215,6046,5617,3712,3329,4717,838,47222
LGA51400,893,1616,1542,1070,978,705,784,1008,127,8729
LGA51470,80,24,35,21,23,17,36,36,0,275
LGA51540,632,496,396,340,371,228,219,396,61,3137
LGA51610,162,92,109,68,95,47,76,64,9,720
LGA51680,427,315,566,287,368,164,299,294,48,2768
LGA51710,114,141,161,169,98,19,80,102,18,904
LGA51750,992,2254,253,530,529,360,73,175,70,5238
LGA51820,7040,13906,10062,7220,8245,4824,3904,5292,1017,61511
LGA51860,50,62,49,40,23,11,13,42,0,288
LGA51890,229,308,792,391,291,252,530,541,75,3402
LGA51960,118,176,433,109,139,76,559,157,36,1802
LGA52030,131,31,52,21,39,19,59,52,12,414
LGA52100,175,50,59,40,51,37,43,63,10,512
LGA52170,806,1772,179,366,365,283,56,103,77,4000
LGA52240,202,27,33,31,36,7,46,96,14,494
LGA52310,103,41,44,33,49,24,30,73,7,395
LGA52380,40,34,79,13,20,0,135,28,11,361
LGA52450,149,52,78,54,54,45,51,88,12,589
LGA52520,227,72,76,30,79,37,72,71,8,676
LGA52590,346,214,244,127,165,106,201,272,30,1707
LGA52660,683,898,1266,764,820,652,759,836,116,6793
LGA52730,512,559,389,270,235,174,120,306,46,2611
LGA52800,380,723,329,513,306,118,176,289,71,2899
LGA52870,463,394,448,265,249,149,305,378,44,2696
