LGA_CODE_2021,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,LFS_Percent_Unemployment_M,LFS_Percent_Unemployment_F,LFS_Percent_Unemployment_P,LFS_Percent_Lab_force_part_M,LFS_Percent_Lab_force_part_F,LFS_Percent_Lab_force_part_P,LFS_Percent_Emp_to_pop_M,LFS_Percent_Empl_to_pop_F,LFS_Percent_Emp_to_pop_P,High_N_sc_q_Postgrad_Deg_M,High_N_sc_q_Postgrad_Deg_F,High_N_sc_q_Postgrad_Deg_P,High_N_sc_q_Gra_Dip_Gra_Cer_M,High_N_sc_q_Gra_Dip_Gra_Cer_F,High_N_sc_q_Gra_Dip_Gra_Cer_P,High_N_sc_q_Bachelor_Deg_M,High_N_sc_q_Bachelor_Deg_F,High_N_sc_q_Bachelor_Deg_P,High_N_sc_q_Adv_Dip_Dip_M,High_N_sc_q_Adv_Dip_Dip_F,High_N_sc_q_Adv_Dip_Dip_P,High_N_sc_q_Cert3a4_Level_M,High_N_sc_q_Cert3a4_Level_F,High_N_sc_q_Cert3a4_Level_P,High_N_sc_q_Cert1a2_Level_M,High_N_sc_q_Cert1a2_Level_F,High_N_sc_q_Cert1a2_Level_P,High_N_sc_q_Certnfd_Level_M,High_N_sc_q_Certnfd_Level_F,High_N_sc_q_Certnfd_Level_P,High_N_sc_q_CertTot_Level_M,High_N_sc_q_CertTot_Level_F,High_N_sc_q_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
LGA55180,3759,3776,7540,1677,846,2523,489,1076,1563,165,175,336,89,76,161,2418,2171,4588,1048,1310,2356,3.6,3.5,3.6,64.2,57.6,60.9,61.8,55.6,58.7,60,94,154,28,74,100,274,447,722,191,301,493,923,537,1464,60,115,179,64,85,147,1049,736,1790,3618,3550,7176,523,568,1092,2613,2496,5107,1324,1431,2757
LGA55250,1555,651,2200,674,185,859,81,49,128,90,39,128,20,16,34,863,288,1160,176,181,358,2.1,5.9,3,55.7,44.8,52.5,54.6,42.1,50.9,29,11,40,7,9,14,118,76,192,85,44,129,343,58,403,15,12,25,17,10,23,373,85,454,903,417,1322,210,115,324,577,258,834,494,247,744
LGA55320,39203,44795,83995,18104,10989,29097,6256,13053,19312,1046,1283,2332,1264,1172,2432,26672,26500,53169,11140,16573,27715,4.7,4.4,4.6,68,59.2,63.3,64.8,56.5,60.4,3909,3494,7400,1178,2035,3210,9694,11859,21549,3724,4749,8471,6354,3240,9590,380,583,967,517,1021,1541,7250,4847,12096,39986,44039,84023,6320,7158,13481,26657,29517,56179,17455,19535,36991
LGA55390,1086,267,1358,512,112,628,30,21,46,36,6,46,13,3,17,590,143,740,57,39,92,2.5,2.1,2.4,54.6,54.3,54.5,53.2,53.2,53.2,25,10,34,3,0,3,73,31,103,44,16,61,262,33,294,16,7,24,10,8,15,283,48,329,530,133,662,130,65,191,332,87,418,321,110,428
LGA55460,1340,1210,2549,594,286,879,145,304,449,48,55,105,40,23,65,824,670,1499,329,396,722,5,3.7,4.4,61.7,55.5,58.8,58.6,53.4,56.2,40,22,53,8,22,27,70,137,206,49,79,122,336,131,469,25,48,75,11,30,42,378,203,579,1180,1122,2301,206,188,399,835,771,1605,488,466,953
LGA55530,250,201,450,104,38,144,15,37,47,13,18,34,4,3,3,128,99,234,57,57,118,1.5,3,2.1,53,50.2,51.8,52.2,48.8,50.7,3,3,7,0,9,4,17,29,57,3,13,22,43,24,71,0,0,0,9,3,14,51,28,80,201,161,356,26,21,48,154,111,261,58,62,119
LGA55600,963,911,1874,452,235,692,93,229,321,34,28,63,31,25,62,616,516,1136,212,293,506,5.5,4.6,5.1,63.9,57.1,60.6,60.4,54.5,57.5,7,18,22,3,15,22,49,118,164,29,53,88,222,110,335,6,20,32,15,12,29,242,146,388,891,867,1763,105,117,223,664,597,1265,301,343,643
LGA55670,305,283,591,112,68,176,17,52,67,3,4,8,11,0,14,146,119,264,78,97,176,7.5,2.5,5.2,48,42.5,45.3,44.4,41.4,43,0,5,5,3,13,12,14,33,40,12,19,32,58,26,90,4,7,8,5,0,9,67,39,108,241,219,464,39,35,74,192,162,352,74,83,158
LGA55740,3447,3911,7352,1484,878,2364,636,1175,1809,87,110,200,106,108,217,2319,2279,4591,970,1458,2423,4.7,4.8,4.7,67.2,58.2,62.4,64.1,55.4,59.5,494,485,975,109,204,310,1062,1173,2238,279,369,649,326,200,521,16,29,40,26,71,100,365,297,662,3254,3675,6933,693,827,1512,2083,2342,4423,1691,1987,3675
LGA55810,842,391,1231,287,93,375,24,19,45,34,27,56,6,5,13,350,142,496,82,83,165,2,4.3,2.6,42,35.6,40,41.2,34.1,39,8,12,24,7,12,17,47,32,78,26,18,48,165,36,204,7,11,21,8,5,7,181,54,231,374,182,558,83,56,139,257,112,373,186,112,298
