LGA_CODE_2021,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,LFS_Percent_Unemployment_M,LFS_Percent_Unemployment_F,LFS_Percent_Unemployment_P,LFS_Percent_Lab_force_part_M,LFS_Percent_Lab_force_part_F,LFS_Percent_Lab_force_part_P,LFS_Percent_Emp_to_pop_M,LFS_Percent_Empl_to_pop_F,LFS_Percent_Emp_to_pop_P,High_N_sc_q_Postgrad_Deg_M,High_N_sc_q_Postgrad_Deg_F,High_N_sc_q_Postgrad_Deg_P,High_N_sc_q_Gra_Dip_Gra_Cer_M,High_N_sc_q_Gra_Dip_Gra_Cer_F,High_N_sc_q_Gra_Dip_Gra_Cer_P,High_N_sc_q_Bachelor_Deg_M,High_N_sc_q_Bachelor_Deg_F,High_N_sc_q_Bachelor_Deg_P,High_N_sc_q_Adv_Dip_Dip_M,High_N_sc_q_Adv_Dip_Dip_F,High_N_sc_q_Adv_Dip_Dip_P,High_N_sc_q_Cert3a4_Level_M,High_N_sc_q_Cert3a4_Level_F,High_N_sc_q_Cert3a4_Level_P,High_N_sc_q_Cert1a2_Level_M,High_N_sc_q_Cert1a2_Level_F,High_N_sc_q_Cert1a2_Level_P,High_N_sc_q_Certnfd_Level_M,High_N_sc_q_Certnfd_Level_F,High_N_sc_q_Certnfd_Level_P,High_N_sc_q_CertTot_Level_M,High_N_sc_q_CertTot_Level_F,High_N_sc_q_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
LGA58050,56451,60364,116811,28917,16960,45875,7668,16790,24458,2137,2247,4383,2225,2146,4371,40945,38142,79085,12901,19626,32528,5.4,5.6,5.5,72.5,63.2,67.7,68.6,59.6,64,1644,1994,3642,620,1307,1930,5690,8723,14414,4756,6386,11144,15186,9018,24207,964,1265,2222,776,1468,2248,16926,11748,28679,60425,62347,122771,9083,9757,18843,39220,40031,79257,25376,27546,52919
LGA58190,175,136,308,72,19,95,16,39,53,3,4,9,8,6,14,100,62,165,50,45,93,7.8,6.3,7.2,59.3,47.8,54.2,54.7,44.8,50.3,0,0,0,0,0,0,10,26,39,10,8,14,33,10,43,0,3,7,0,3,3,35,19,50,164,121,287,12,8,20,127,93,221,41,32,76
LGA58260,269,231,497,131,57,184,12,42,56,9,8,17,4,3,10,151,111,261,73,79,153,2,2.8,2.3,56.7,47.6,52.5,55.6,46.3,51.3,5,5,12,0,8,7,14,21,37,21,20,44,54,28,79,3,3,9,5,3,7,55,35,94,216,190,409,46,40,84,154,146,300,87,75,161
LGA58330,1887,1871,3760,650,385,1035,197,410,602,79,62,143,65,44,110,987,907,1893,681,781,1463,6.4,5.2,5.8,52.3,48.3,50.3,48.9,45.8,47.4,37,46,83,21,51,67,108,176,288,122,223,345,548,254,806,16,38,56,26,45,70,593,343,933,1690,1668,3360,240,261,507,1245,1219,2465,628,637,1268
LGA58400,133,118,252,61,25,80,16,18,31,0,7,10,3,0,0,76,51,132,43,50,98,2.6,3.8,3.1,57.6,43.8,51,56.1,42.1,49.4,0,0,0,0,4,4,3,4,9,3,9,7,32,17,51,0,3,3,0,0,3,37,23,57,109,100,216,13,14,27,87,74,156,39,37,78
LGA58470,140,123,263,32,30,64,9,19,28,13,12,23,4,4,9,71,60,128,62,49,109,7.5,8.5,7.9,46.9,49.2,47.9,43.4,45,44.1,4,3,14,3,7,9,25,28,49,9,8,13,42,4,50,0,3,7,3,4,8,41,13,58,129,117,246,21,19,39,84,82,164,54,46,100
LGA58510,15634,16069,31704,7533,4945,12480,2512,4293,6806,459,548,1002,568,492,1053,11070,10268,21342,3316,4549,7861,5.1,4.8,4.9,70.8,63.9,67.3,67.2,60.9,64,1402,1510,2912,384,616,1004,3503,4127,7625,1416,1600,3014,2510,1420,3932,192,230,425,169,260,429,2880,1912,4795,13272,13650,26920,3504,3402,6902,7419,7685,15101,8501,8462,16964
LGA58540,337,300,637,175,84,248,35,80,119,18,10,19,4,0,5,223,170,397,72,88,157,2.2,1.2,1.8,67,56.6,62.1,65.5,56,61,4,4,3,6,6,7,16,36,53,12,37,46,72,31,97,0,12,10,9,4,18,79,40,125,323,283,602,25,31,54,240,203,445,95,95,189
LGA58570,14903,15349,30258,8041,5632,13677,2382,4359,6741,403,561,958,470,421,897,11300,10979,22276,2762,3694,6450,4.2,3.9,4,75.8,71.5,73.6,72.6,68.7,70.7,1692,1756,3444,549,837,1383,4325,4861,9182,1339,1496,2837,1934,1058,2994,120,182,301,151,244,393,2204,1485,3691,13243,13463,26701,3235,3484,6716,7403,7739,15142,8224,8491,16715
LGA58610,681,700,1374,258,126,382,63,187,244,29,26,60,23,13,36,375,349,721,241,278,516,5.9,4,5,55.1,50.1,52.6,51.8,48.1,50,6,4,10,6,17,15,38,79,116,26,38,68,153,77,224,9,9,17,3,13,20,163,101,259,636,610,1246,97,115,211,471,466,942,217,230,442
LGA58680,234,211,446,109,50,160,18,37,53,17,7,22,8,0,10,148,91,242,42,75,117,4.1,1.1,2.9,63.5,43.5,54.1,60.9,43.1,52.5,0,0,0,0,0,6,10,18,23,10,19,34,52,31,83,3,0,3,7,10,16,62,35,99,193,173,360,31,28,49,134,117,252,76,69,150
LGA58760,75030,82418,157448,38271,22026,60300,10653,24715,35367,2965,3108,6070,3161,3159,6320,55048,53007,108056,17276,26421,43698,5.7,6,5.8,73.4,64.3,68.6,69.2,60.5,64.6,2261,2417,4678,796,1921,2715,7765,12503,20272,6519,9673,16191,20795,11906,32706,1159,1814,2966,1085,2055,3140,23036,15774,38813,82023,86849,168876,11941,13209,25150,54077,56249,110329,33668,37687,71351
LGA58820,1704,1705,3411,683,286,969,156,427,587,104,65,166,62,65,124,1010,842,1849,541,737,1286,6.2,7.6,6.8,59.1,49.2,54.2,55.5,45.5,50.5,13,17,27,11,22,33,69,137,203,92,150,241,524,284,810,20,51,75,21,38,60,570,378,942,1589,1634,3222,257,265,514,1162,1162,2318,595,647,1241
LGA58890,336,282,618,171,61,228,38,85,126,10,7,15,3,0,8,217,156,375,81,88,167,1.8,1.3,1.6,64.9,55.2,60.5,63.7,54.4,59.5,5,4,9,0,6,5,18,38,58,6,23,32,76,29,111,6,8,14,0,8,7,85,45,131,320,268,596,29,19,47,263,212,466,85,76,159
LGA59030,236,114,352,117,35,149,12,18,32,16,5,20,5,0,5,146,58,204,28,40,66,1.4,1.7,1.5,62,50.9,58.4,61.2,50,57.5,0,0,0,0,0,5,4,16,17,17,8,29,54,16,68,3,3,3,5,0,5,60,20,79,168,102,267,29,13,37,108,73,180,77,33,109
LGA59100,280,245,532,120,55,177,28,61,89,21,14,31,12,4,12,182,133,312,50,75,118,5.6,3.7,4.8,63.8,54.7,59.5,60.3,52.6,56.7,0,0,0,0,3,3,9,34,42,9,25,35,49,32,87,0,4,4,5,6,11,52,47,99,251,228,481,27,26,58,199,178,375,68,70,132
LGA59170,392,381,778,231,101,335,38,114,151,18,17,34,0,0,4,290,239,526,60,109,167,0.7,0.4,0.6,73.9,61.4,67.7,73.4,61.1,67.3,4,5,6,0,7,12,27,61,89,26,38,64,83,52,134,9,10,17,4,3,8,92,65,156,398,375,769,51,52,104,290,269,556,133,128,258
LGA59250,922,286,1211,422,101,524,27,24,49,28,12,38,10,0,7,482,141,620,56,60,116,1.2,0.7,1.1,52.2,48.3,51.3,51.6,47.9,50.7,19,7,27,4,7,15,69,29,97,42,19,67,209,36,245,8,7,14,0,0,4,219,46,263,459,191,650,110,42,153,293,111,403,270,109,375
LGA59310,563,474,1038,293,117,404,55,136,191,17,23,38,6,11,20,375,282,658,145,162,311,1.9,4.2,2.9,66,59.8,63.2,64.8,57.3,61.3,9,5,12,5,13,17,29,43,72,21,43,64,151,66,216,9,20,30,10,5,13,169,91,263,541,476,1017,78,75,153,386,318,706,202,203,405
LGA59320,177,164,335,95,43,134,16,40,59,6,10,16,0,5,6,119,95,211,45,51,94,3.4,3.2,3.3,66.5,58.8,62.8,64.2,56.9,60.7,0,0,0,0,3,5,12,24,32,5,22,29,29,29,60,3,6,16,4,3,4,44,41,82,182,160,341,26,25,45,136,108,239,53,57,110
LGA59330,219,184,397,91,45,130,17,37,55,9,6,15,8,4,11,126,94,214,74,66,136,5.6,4.4,5.1,57.9,49.7,54.1,54.6,47.5,51.4,5,0,3,0,0,3,11,21,32,4,18,26,44,24,62,0,6,10,0,6,3,47,34,78,182,164,347,36,28,68,134,118,252,80,66,152
LGA59340,4680,4304,8989,1769,1223,2993,307,545,854,442,394,834,97,61,163,2612,2229,4841,1301,1457,2756,3.7,2.8,3.3,55.8,51.7,53.8,53.7,50.3,52.1,148,174,329,62,139,203,480,759,1237,331,382,713,1178,441,1621,62,75,136,58,83,143,1302,593,1897,3735,3519,7257,951,977,1924,2395,2237,4634,2028,2011,4039
LGA59350,785,249,1029,243,64,312,25,10,36,19,4,26,6,0,10,296,83,379,39,41,79,1.4,2.3,1.6,37.3,34.9,36.8,36.8,34.1,36.2,3,3,10,8,3,6,45,22,63,30,13,41,123,25,142,8,3,13,0,0,6,128,29,160,279,113,391,73,31,104,201,76,276,145,64,204
LGA59360,1291,479,1770,663,177,838,69,72,140,43,29,76,20,8,31,796,287,1081,106,117,223,2.1,3.5,2.5,61.6,59.7,61,60.2,57.6,59.5,8,8,23,9,5,9,67,55,125,58,43,100,291,53,349,14,11,24,11,7,15,315,78,388,774,362,1139,186,91,275,545,235,778,378,197,576
LGA59370,1453,1475,2933,496,292,785,169,330,496,68,62,127,47,34,86,779,718,1487,550,643,1193,6.1,4.9,5.5,53.2,48.6,50.9,50,46.2,48.1,24,36,56,14,47,54,103,164,267,100,163,268,346,180,528,17,25,47,34,31,67,407,234,638,1339,1371,2708,193,210,399,980,989,1967,506,546,1049
LGA59799,2854,392,3249,1339,139,1478,54,20,77,115,31,147,7,0,7,1525,190,1711,87,81,165,0.6,0.5,0.6,53.3,48.1,52.7,53,47.8,52.4,43,16,55,15,15,31,208,68,277,257,34,292,659,43,703,22,9,28,39,4,41,722,57,776,1324,213,1540,286,55,345,925,147,1067,678,129,801
