LGA_CODE_2021,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Agr_fstry_fsh_15_19,F_Agr_fstry_fsh_20_24,F_Agr_fstry_fsh_25_34,F_Agr_fstry_fsh_35_44,F_Agr_fstry_fsh_45_54,F_Agr_fstry_fsh_55_64,F_Agr_fstry_fsh_65_74,F_Agr_fstry_fsh_75_84,F_Agr_fstry_fsh_85_yr_over,F_Agr_fstry_fsh_Tot,F_Min_15_19_yr,F_Min_20_24_yr,F_Min_25_34_yr,F_Min_35_44_yr,F_Min_45_54_yr,F_Min_55_64_yr,F_Min_65_74_yr,F_Min_75_84_yr,F_Min_85_yr_over,F_Min_Tot,F_Manf_15_19_yr,F_Manf_20_24_yr,F_Manf_25_34_yr,F_Manf_35_44_yr,F_Manf_45_54_yr,F_Manf_55_64_yr,F_Manf_65_74_yr,F_Manf_75_84_yr,F_Manf_85_yr_over,F_Manf_Tot,F_Elec_gas_wtr_wst_sv_15_19,F_Elec_gas_wtr_wst_sv_20_24,F_Elec_gas_wtr_wst_sv_25_34,F_Elec_gas_wtr_wst_sv_35_44,F_Elec_gas_wtr_wst_sv_45_54,F_Elec_gas_wtr_wst_sv_55_64,F_Elec_gas_wtr_wst_sv_65_74,F_Elec_gas_wtr_wst_sv_75_84,F_Elec_gas_wtr_wst_sv_85_over,F_Elec_gas_wtr_wst_sv_Tot,F_Con_15_19_yr,F_Con_20_24_yr,F_Con_25_34_yr,F_Con_35_44_yr,F_Con_45_54_yr,F_Con_55_64_yr,F_Con_65_74_yr,F_Con_75_84_yr,F_Con_85_yr_over,F_Con_Tot,F_Whl_trd_15_19_yr,F_Whl_trd_20_24_yr,F_Whl_trd_25_34_yr,F_Whl_trd_35_44_yr,F_Whl_trd_45_54_yr,F_Whl_trd_55_64_yr,F_Whl_trd_65_74_yr,F_Whl_trd_75_84_yr,F_Whl_trd_85_yr_over,F_Whl_trd_Tot,F_Re_trd_15_19_yr,F_Re_trd_20_24_yr,F_Re_trd_25_34_yr,F_Re_trd_35_44_yr,F_Re_trd_45_54_yr,F_Re_trd_55_64_yr,F_Re_trd_65_74_yr,F_Re_trd_75_84_yr,F_Re_trd_85_yr_over,F_Re_trd_Tot,F_Acc_food_svc_15_19,F_Acc_food_svc_20_24,F_Acc_food_svc_25_34,F_Acc_food_svc_35_44,F_Acc_food_svc_45_54,F_Acc_food_svc_55_64,F_Acc_food_svc_65_74,F_Acc_food_svc_75_84,F_Acc_food_svc_85_yr_over,F_Acc_food_svc_Tot,F_Trp_pos_wh_15_19,F_Trp_pos_wh_20_24,F_Trp_pos_wh_25_34,F_Trp_pos_wh_35_44,F_Trp_pos_wh_45_54,F_Trp_pos_wh_55_64,F_Trp_pos_wh_65_74,F_Trp_pos_wh_75_84,F_Trp_pos_wh_85_yr_over,F_Trp_pos_wh_Tot,F_In_med_tcom_15_19,F_In_med_tcom_20_24,F_In_med_tcom_25_34,F_In_med_tcom_35_44,F_In_med_tcom_45_54,F_In_med_tcom_55_64,F_In_med_tcom_65_74,F_In_med_tcom_75_84,F_In_med_tcom_85_yr_over,F_In_med_tcom_Tot,F_Fin_in_svc_15_19,F_Fin_in_svc_20_24,F_Fin_in_svc_25_34,F_Fin_in_svc_35_44,F_Fin_in_svc_45_54,F_Fin_in_svc_55_64,F_Fin_in_svc_65_74,F_Fin_in_svc_75_84,F_Fin_in_svc_85_yr_over,F_Fin_in_svc_Tot,F_Rnt_hrg_rea_est_serv_15_19,F_Rnt_hrg_rea_est_serv_20_24,F_Rnt_hrg_rea_est_serv_25_34,F_Rnt_hrg_rea_est_serv_35_44,F_Rnt_hrg_rea_est_serv_45_54,F_Rnt_hrg_rea_est_serv_55_64,F_Rnt_hrg_rea_est_serv_65_74,F_Rnt_hrg_rea_est_serv_75_84,F_Rnt_hrg_rea_est_serv_85_ov,F_Rnt_hrg_rea_est_serv_Tot,F_Prof_sc_tech_serv_15_19,F_Prof_sc_tech_serv_20_24,F_Prof_sc_tech_serv_25_34,F_Prof_sc_tech_serv_35_44,F_Prof_sc_tech_serv_45_54,F_Prof_sc_tech_serv_55_64,F_Prof_sc_tech_serv_65_74,F_Prof_sc_tech_serv_75_84,F_Prof_sc_tech_serv_85_over,F_Prof_sc_tech_serv_Tot,F_Adm_sup_serv_15_19,F_Adm_sup_serv_20_24,F_Adm_sup_serv_25_34,F_Adm_sup_serv_35_44,F_Adm_sup_serv_45_54,F_Adm_sup_serv_55_64,F_Adm_sup_serv_65_74,F_Adm_sup_serv_75_84,F_Adm_sup_serv_85_over,F_Adm_sup_serv_Tot,F_PubAd_saf_15_19,F_PubAd_saf_20_24,F_PubAd_saf_25_34,F_PubAd_saf_35_44,F_PubAd_saf_45_54,F_PubAd_saf_55_64,F_PubAd_saf_65_74,F_PubAd_saf_75_84,F_PubAd_saf_85_over,F_PubAd_saf_Tot,F_Ed_trng_15_19,F_Ed_trng_20_24,F_Ed_trng_25_34,F_Ed_trng_35_44,F_Ed_trng_45_54,F_Ed_trng_55_64,F_Ed_trng_65_74,F_Ed_trng_75_84,F_Ed_trng_85_yr_over,F_Ed_trng_Tot,F_Hlth_cre_socia_assist_15_19,F_Hlth_cre_socia_assist_20_24,F_Hlth_cre_socia_assist_25_34,F_Hlth_cre_socia_assist_35_44,F_Hlth_cre_socia_assist_45_54,F_Hlth_cre_socia_assist_55_64,F_Hlth_cre_socia_assist_65_74,F_Hlth_cre_socia_assist_75_84,F_Hlth_cre_socia_assist_85ov,F_Hlth_cre_socia_assist_Tot,F_Arts_rec_svc_15_19,F_Arts_rec_svc_20_24,F_Arts_rec_svc_25_34,F_Arts_rec_svc_35_44,F_Arts_rec_svc_45_54,F_Arts_rec_svc_55_64,F_Arts_rec_svc_65_74,F_Arts_rec_svc_75_84,F_Arts_rec_svc_85_yr_over,F_Arts_rec_svc_Tot,F_Oth_svc_15_19_yr,F_Oth_svc_20_24_yr,F_Oth_svc_25_34_yr,F_Oth_svc_35_44_yr,F_Oth_svc_45_54_yr,F_Oth_svc_55_64_yr,F_Oth_svc_65_74_yr,F_Oth_svc_75_84_yr,F_Oth_svc_85_yr_over,F_Oth_svc_Tot
LGA50080,663,669,1519,1566,1820,1739,630,110,22,8737,10,9,34,47,68,75,61,20,5,323,0,0,11,7,8,5,0,0,0,31,17,20,38,47,51,45,11,0,0,230,0,0,10,18,5,11,0,0,0,45,3,10,49,59,61,32,8,0,0,221,3,11,21,12,23,20,3,0,0,97,218,114,190,197,220,195,44,0,0,1172,231,86,124,112,114,98,31,3,0,804,6,9,14,20,38,33,7,0,0,128,7,5,12,7,6,7,0,0,0,53,3,13,38,34,31,32,0,0,0,148,0,12,29,24,41,22,8,5,0,131,10,16,79,100,81,66,21,5,0,377,0,15,31,50,57,60,18,0,0,240,8,11,56,106,139,96,20,3,0,443,5,39,141,242,379,299,69,5,0,1189,52,154,394,479,573,543,126,8,0,2331,14,6,29,19,22,22,5,0,0,109,18,36,67,78,55,60,22,0,0,337
LGA50210,1117,1898,5240,6307,4234,3104,799,111,3,22808,7,14,35,33,27,16,11,4,0,143,6,49,126,152,90,37,3,0,0,459,34,66,169,210,168,91,12,0,0,751,0,3,22,45,30,12,0,0,0,120,16,40,193,155,99,83,17,0,0,605,16,31,95,129,96,55,16,0,0,442,324,362,529,465,379,328,75,5,0,2473,476,207,247,189,119,77,12,0,0,1330,7,54,170,188,135,106,21,0,0,681,7,10,25,27,17,11,6,0,0,102,4,15,144,177,93,57,3,0,0,490,0,19,67,77,45,39,17,0,0,262,13,77,300,317,180,116,30,0,0,1027,23,64,185,183,159,106,24,0,0,746,21,52,274,364,230,177,47,3,0,1159,50,144,526,740,654,448,110,5,0,2684,71,386,1263,1529,1030,746,156,4,0,5183,42,43,76,64,45,26,14,0,0,314,38,95,234,204,135,73,21,5,0,782
LGA50250,79,273,1368,1517,1401,999,160,13,0,5805,3,8,11,3,5,9,5,0,0,48,8,64,212,154,123,81,10,0,0,642,0,0,6,7,0,8,0,0,0,24,0,0,0,0,4,5,0,0,0,8,0,7,38,31,25,24,9,0,0,130,0,0,3,4,0,6,0,0,0,15,14,4,22,16,13,21,3,0,0,90,14,31,70,38,37,42,8,0,0,238,0,3,12,16,17,17,0,0,0,60,0,0,0,0,0,0,0,0,0,9,0,0,0,7,0,0,0,0,0,14,0,7,16,5,11,11,0,0,0,54,0,4,10,7,14,10,3,0,0,53,3,16,35,37,25,20,4,0,0,142,0,5,26,39,33,18,6,0,0,132,4,17,73,75,47,36,11,0,0,268,3,12,61,51,36,40,12,0,0,208,0,0,5,3,6,0,0,0,0,18,0,0,12,20,6,7,3,0,0,50
LGA50280,229,200,687,943,919,745,296,56,6,4075,3,9,42,31,27,23,34,8,0,179,0,0,13,13,10,12,0,0,0,44,15,13,69,89,54,35,12,4,0,292,0,0,5,0,5,0,0,0,0,9,0,3,10,33,25,19,6,0,0,95,0,0,4,12,15,9,6,0,0,47,68,36,69,139,106,95,18,0,0,531,92,36,116,115,110,63,19,0,0,549,0,0,6,7,13,17,5,0,0,45,0,0,0,6,6,0,0,0,0,13,0,4,23,7,16,9,0,0,0,53,0,0,12,16,23,16,10,0,0,72,7,4,32,74,50,30,7,0,0,198,8,5,27,50,59,31,9,0,0,191,0,0,20,64,35,29,0,0,0,156,10,6,61,152,156,137,23,4,0,548,8,21,126,177,169,143,35,4,0,678,9,3,7,20,11,14,3,0,0,70,4,11,28,38,30,22,7,0,0,134
LGA50350,174,325,854,901,838,648,173,19,0,3930,0,0,0,5,4,0,0,0,0,10,0,6,29,37,23,12,3,0,0,115,3,3,23,37,36,24,6,0,0,131,0,0,11,20,9,0,0,0,0,32,0,4,27,29,26,17,0,0,0,103,0,4,20,20,17,12,8,0,0,72,63,63,62,67,48,50,14,0,0,358,73,52,53,37,19,17,4,0,0,249,0,4,21,27,18,15,3,0,0,92,0,0,9,11,10,6,0,0,0,40,0,4,13,32,31,20,5,0,0,105,0,6,6,9,13,4,3,0,0,53,0,13,81,102,68,30,4,0,0,299,0,5,24,38,21,23,6,0,0,119,0,13,59,73,88,68,15,0,0,322,11,26,94,146,149,124,24,3,0,578,10,54,215,196,184,172,51,5,0,881,7,13,24,20,17,10,0,0,0,97,3,17,52,37,22,21,7,4,0,165
LGA50420,715,1575,4679,4483,3397,2639,825,98,7,18424,4,3,17,13,10,10,0,0,0,55,0,34,169,179,105,44,3,0,0,527,16,29,98,106,117,91,26,3,0,487,0,8,36,44,25,24,4,0,0,139,3,31,137,140,71,72,15,3,0,473,3,16,71,65,52,53,13,0,0,280,239,322,386,238,227,190,70,5,0,1668,276,253,333,197,147,114,29,4,0,1342,0,27,96,87,100,68,19,3,0,402,3,12,44,26,19,16,6,0,0,134,0,35,160,165,127,61,11,0,0,566,7,18,61,65,52,32,11,3,0,254,10,99,450,399,255,148,40,0,0,1397,11,47,176,133,115,79,19,0,0,580,8,50,307,339,307,208,61,0,0,1286,28,118,480,500,557,390,126,5,0,2210,32,302,1076,880,755,616,178,5,0,3844,45,70,111,75,57,41,14,0,0,402,26,88,209,180,131,98,30,0,0,755
LGA50490,396,1112,3511,2729,1983,1527,430,55,3,11740,0,4,14,5,8,8,0,6,0,40,5,29,157,122,69,37,6,0,0,426,9,11,85,59,59,46,7,0,0,286,0,3,17,23,12,5,0,0,0,61,6,25,119,78,48,35,8,0,0,323,0,13,44,57,34,24,0,0,0,182,122,206,235,137,121,117,29,0,0,964,152,158,255,136,94,60,20,0,0,881,4,32,79,73,71,48,15,0,0,316,4,7,14,9,16,3,7,0,0,63,0,26,88,92,58,40,5,0,0,306,4,25,47,35,32,24,11,0,0,183,3,68,293,185,94,60,22,3,0,733,3,42,143,98,73,76,22,0,0,456,0,38,156,155,130,105,27,0,0,613,25,63,229,219,211,166,40,5,0,956,21,201,713,482,379,311,90,8,0,2205,22,47,91,55,47,28,9,3,0,298,10,52,123,98,63,37,21,0,0,402
LGA50560,12,9,38,50,72,81,53,8,0,312,0,0,8,5,12,12,11,0,0,53,0,0,0,0,0,0,0,0,0,7,0,0,0,6,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,8,0,0,4,4,5,7,0,0,0,25,0,0,4,0,5,3,0,0,0,11,0,0,0,3,0,3,5,0,0,13,0,0,0,0,4,0,0,0,0,3,0,0,0,0,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,6,0,0,3,3,6,7,0,0,0,12,0,0,6,0,0,3,0,0,0,6,0,0,9,3,6,3,0,0,0,16,0,0,5,11,10,7,4,0,0,44,0,0,3,10,10,15,6,0,0,47,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,3,0,0,0,9
LGA50630,10,29,121,154,181,161,35,5,0,694,0,0,0,4,0,0,6,3,0,22,0,9,22,24,20,14,3,0,0,95,0,4,6,7,7,4,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,5,0,4,3,9,0,0,0,21,4,4,6,6,11,7,0,0,0,40,0,0,0,0,3,8,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,10,0,0,0,0,3,0,0,0,0,9,0,3,4,3,0,5,0,0,0,20,0,0,5,8,12,7,6,0,0,41,0,0,3,6,6,15,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,5,7,3,0,0,0,0,9
LGA50770,12,34,44,73,84,99,50,26,0,422,3,7,15,18,15,22,17,8,0,109,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,7,5,6,9,3,0,0,0,38,4,0,5,4,3,3,0,0,0,15,0,0,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,8,0,0,0,11,0,0,0,0,4,0,0,0,0,8,0,0,5,6,3,5,0,0,0,20,0,5,9,11,14,3,0,0,0,41,0,3,0,17,9,19,3,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10
