LGA_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
LGA50080,13967,33814,1052,1575,125,188,1175,1766,52,75,0,0,0,0,0,0,25,48,74,122,145,229,156,217,92,97,7,13,401,547,53,92,15664,36346,2295,..,17961,36346
LGA50210,30340,85366,2960,5476,54,103,3014,5577,156,238,59,90,0,0,0,0,36,92,252,418,116,151,139,186,32,39,20,50,312,419,43,87,33956,91866,2329,..,36279,91866
LGA50250,1702,4701,99,160,9,8,100,171,46,71,10,8,0,0,0,0,0,5,54,85,750,1426,41,73,17,42,0,0,808,1544,192,295,2862,6798,824,..,3681,6798
LGA50280,5972,14736,199,311,109,180,307,494,39,74,0,0,0,0,0,0,6,7,44,78,91,157,90,219,43,48,7,13,231,435,56,116,6612,15855,2240,..,8852,15855
LGA50350,5174,12883,962,1721,166,329,1137,2055,199,292,43,50,58,90,0,0,7,16,305,448,0,0,0,0,4,10,5,9,8,11,10,24,6632,15421,545,..,7179,15421
LGA50420,20382,51576,3511,6704,2145,4052,5655,10751,1473,2300,611,942,499,717,362,588,14,26,2961,4575,0,0,0,0,25,24,9,15,34,39,38,69,29068,67011,3075,..,32142,67011
LGA50490,11613,28868,2156,4184,1536,3165,3697,7342,638,1036,628,1005,518,816,803,1378,16,36,2604,4273,27,38,4,12,8,5,9,6,42,63,41,70,17996,40625,2329,..,20327,40625
LGA50560,724,1545,15,20,0,0,15,20,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,3,7,9,6,6,18,28,4,16,767,1603,208,..,966,1603
LGA50630,629,1534,28,40,0,0,28,40,0,0,0,0,0,0,0,0,0,0,0,0,8,18,0,0,5,4,0,0,15,23,6,3,670,1595,157,..,832,1595
LGA50770,753,1725,8,11,0,7,7,15,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,4,3,0,0,7,8,0,3,763,1755,159,..,922,1755
LGA50840,2106,4789,60,83,0,0,60,83,7,7,0,0,0,0,0,0,0,0,7,7,23,35,13,18,0,0,0,3,37,51,11,22,2217,4954,463,..,2682,4954
LGA50910,358,822,9,25,0,0,9,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,851,104,..,476,851
LGA50980,4694,14017,616,1290,272,509,886,1803,138,298,0,0,0,0,0,0,3,5,147,306,2288,4875,12,31,118,257,35,82,2461,5239,310,599,8495,21966,843,..,9343,21966
LGA51080,406,998,3,7,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,8,421,1017,157,..,577,1017
LGA51120,340,793,20,23,0,0,20,23,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,9,10,11,17,21,47,393,881,30,..,419,881
LGA51190,10653,25204,2314,3582,471,860,2785,4449,373,577,123,194,24,35,36,60,6,10,561,879,91,131,42,59,43,45,9,23,190,258,38,62,14228,30857,1696,..,15925,30857
