LGA_CODE_2021,Cntd_home_Cen_Nt_0_14_yr,Cntd_home_Cen_Nt_15_24_yr,Cntd_home_Cen_Nt_25_34_yr,Cntd_home_Cen_Nt_35_44_yr,Cntd_home_Cen_Nt_45_54_yr,Cntd_home_Cen_Nt_55_64_yr,Cntd_home_Cen_Nt_65_74_yr,Cntd_home_Cen_Nt_75_84_yr,Cntd_home_Cen_Nt_85_yr_over,Cntd_home_Cen_Night_Tot,Vis_from_Same_SA2_0_14,Vis_from_Same_SA2_15_24,Vis_from_Same_SA2_25_34,Vis_from_Same_SA2_35_44,Vis_from_Same_SA2_45_54,Vis_from_Same_SA2_55_64,Vis_from_Same_SA2_65_74,Vis_from_Same_SA2_75_84,Vis_from_Same_SA2_85_yr_over,Vis_from_Same_SA2_Tot,Vis_fro_Diff_SA2_NSW_0_14,Vis_fr_Diff_SA2_NSW_15_24,Vis_fr_Diff_SA2_NSW_25_34,Vis_fr_Diff_SA2_NSW_35_44,Vis_fr_Diff_SA2_NSW_45_54,Vis_fr_Diff_SA2_NSW_55_64,Vis_fr_Diff_SA2_NSW_65_74,Vis_fr_Diff_SA2_NSW_75_84,Vis_fr_Diff_SA2_NSW_85_over,Vis_fr_Diff_SA2_NSW_Tot,Vis_fro_Diff_SA2_Vic_0_14,Vis_fr_Diff_SA2_Vic_15_24,Vis_fr_Diff_SA2_Vic_25_34,Vis_fr_Diff_SA2_Vic_35_44,Vis_fr_Diff_SA2_Vic_45_54,Vis_fr_Diff_SA2_Vic_55_64,Vis_fr_Diff_SA2_Vic_65_74,Vis_fr_Diff_SA2_Vic_75_84,Vis_fr_Diff_SA2_Vic_85_over,Vis_fr_Diff_SA2_Vic_Tot,Vis_fro_Diff_SA2_Qld_0_14,Vis_fr_Diff_SA2_Qld_15_24,Vis_fr_Diff_SA2_Qld_25_34,Vis_fr_Diff_SA2_Qld_35_44,Vis_fr_Diff_SA2_Qld_45_54,Vis_fr_Diff_SA2_Qld_55_64,Vis_fr_Diff_SA2_Qld_65_74,Vis_fr_Diff_SA2_Qld_75_84,Vis_fr_Diff_SA2_Qld_85_over,Vis_fr_Diff_SA2_Qld_Tot,Vis_fro_Diff_SA2_SA_0_14,Vis_fr_Diff_SA2_SA_15_24,Vis_fr_Diff_SA2_SA_25_34,Vis_fr_Diff_SA2_SA_35_44,Vis_fr_Diff_SA2_SA_45_54,Vis_fr_Diff_SA2_SA_55_64,Vis_fr_Diff_SA2_SA_65_74,Vis_fr_Diff_SA2_SA_75_84,Vis_fr_Diff_SA2_SA_85_over,Vis_fr_Diff_SA2_SA_Tot,Vis_fro_Diff_SA2_WA_0_14,Vis_fr_Diff_SA2_WA_15_24,Vis_fr_Diff_SA2_WA_25_34,Vis_fr_Diff_SA2_WA_35_44,Vis_fr_Diff_SA2_WA_45_54,Vis_fr_Diff_SA2_WA_55_64,Vis_fr_Diff_SA2_WA_65_74,Vis_fr_Diff_SA2_WA_75_84,Vis_fr_Diff_SA2_WA_85_over,Vis_fr_Diff_SA2_WA_Tot,Vis_fro_Diff_SA2_Tas_0_14,Vis_fr_Diff_SA2_Tas_15_24,Vis_fr_Diff_SA2_Tas_25_34,Vis_fr_Diff_SA2_Tas_35_44,Vis_fr_Diff_SA2_Tas_45_54,Vis_fr_Diff_SA2_Tas_55_64,Vis_fr_Diff_SA2_Tas_65_74,Vis_fr_Diff_SA2_Tas_75_84,Vis_fr_Diff_SA2_Tas_85_over,Vis_fr_Diff_SA2_Tas_Tot,Vis_fro_Diff_SA2_NT_0_14,Vis_fr_Diff_SA2_NT_15_24,Vis_fr_Diff_SA2_NT_25_34,Vis_fr_Diff_SA2_NT_35_44,Vis_fr_Diff_SA2_NT_45_54,Vis_fr_Diff_SA2_NT_55_64,Vis_fr_Diff_SA2_NT_65_74,Vis_fr_Diff_SA2_NT_75_84,Vis_fr_Diff_SA2_NT_85_over,Vis_fr_Diff_SA2_NT_Tot,Vis_fro_Diff_SA2_ACT_0_14,Vis_fr_Diff_SA2_ACT_15_24,Vis_fr_Diff_SA2_ACT_25_34,Vis_fr_Diff_SA2_ACT_35_44,Vis_fr_Diff_SA2_ACT_45_54,Vis_fr_Diff_SA2_ACT_55_64,Vis_fr_Diff_SA2_ACT_65_74,Vis_fr_Diff_SA2_ACT_75_84,Vis_fr_Diff_SA2_ACT_85_over,Vis_fr_Diff_SA2_ACT_Tot,Vis_fro_Diff_SA2_OT_0_14,Vis_fr_Diff_SA2_OT_15_24,Vis_fr_Diff_SA2_OT_25_34,Vis_fr_Diff_SA2_OT_35_44,Vis_fr_Diff_SA2_OT_45_54,Vis_fr_Diff_SA2_OT_55_64,Vis_fr_Diff_SA2_OT_65_74,Vis_fr_Diff_SA2_OT_75_84,Vis_fr_Diff_SA2_OT_85_over,Vis_fr_Diff_SA2_OT_Tot,Vis_fro_Diff_SA2_TOT_0_14,Vis_fr_Diff_SA2_TOT_15_24,Vis_fr_Diff_SA2_TOT_25_34,Vis_fr_Diff_SA2_TOT_35_44,Vis_fr_Diff_SA2_TOT_45_54,Vis_fr_Diff_SA2_TOT_55_64,Vis_fr_Diff_SA2_TOT_65_74,Vis_fr_Diff_SA2_TOT_75_84,Vis_fr_Diff_SA2_TOT_85_over,Vis_fr_Diff_SA2_TOT_TTOT,Vis_from_Tot_Viss_0_14_yr,Vis_from_Tot_Viss_15_24_yr,Vis_from_Tot_Viss_25_34_yr,Vis_from_Tot_Viss_35_44_yr,Vis_from_Tot_Viss_45_54_yr,Vis_from_Tot_Viss_55_64_yr,Vis_from_Tot_Viss_65_74_yr,Vis_from_Tot_Viss_75_84_yr,Vis_from_Tot_Viss_85_over,Vis_from_Tot_Viss_Tot,OS_vis_0_14_yr,OS_vis_15_24_yr,OS_vis_25_34_yr,OS_vis_35_44_yr,OS_vis_45_54_yr,OS_vis_55_64_yr,OS_vis_65_74_yr,OS_vis_75_84_yr,OS_vis_85_yr_over,OS_vis_Tot,Tot_pop_pl_en_0_14_yr,Tot_pop_pl_en_15_24_yr,Tot_pop_pl_en_25_34_yr,Tot_pop_pl_en_35_44_yr,Tot_pop_pl_en_45_54_yr,Tot_pop_pl_en_55_64_yr,Tot_pop_pl_en_65_74_yr,Tot_pop_pl_en_75_84_yr,Tot_pop_pl_en_85_yr_over,Tot_pop_pl_en_Tot
LGA50080,6573,3891,3842,3930,4579,4891,4326,2652,1087,35772,6,13,7,9,12,24,19,15,7,111,7,0,3,4,0,8,14,0,0,45,0,0,3,6,0,13,13,0,0,33,6,0,3,3,8,7,3,0,0,30,0,4,5,0,0,0,0,0,0,12,205,289,287,265,284,333,201,109,45,2024,0,5,0,0,0,0,3,0,0,9,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,299,304,280,296,366,245,112,45,2161,226,306,310,289,304,394,270,124,58,2272,0,8,17,6,0,11,8,3,4,56,6800,4206,4170,4217,4883,5293,4596,2786,1142,38102
LGA50210,21719,10278,13420,14832,10433,8824,6697,3164,967,90345,26,15,20,16,6,16,18,8,3,130,4,5,5,3,3,0,4,0,0,30,0,5,0,8,0,3,0,0,0,23,4,0,9,6,0,0,3,0,0,22,0,0,0,0,0,3,3,4,0,15,262,286,260,202,192,160,146,89,57,1656,0,0,0,0,0,5,4,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,270,301,272,219,204,175,162,93,58,1758,289,312,296,237,209,194,181,112,60,1892,8,7,17,12,16,48,60,21,0,184,22021,10598,13733,15092,10657,9069,6932,3295,1023,92423
LGA50250,1611,601,1402,1372,951,681,181,50,8,6859,3,5,0,3,4,0,0,0,0,10,20,4,33,58,40,74,54,10,0,307,13,0,13,31,54,63,80,6,0,255,9,10,37,75,90,83,31,17,0,355,19,0,24,36,44,35,35,0,0,187,67,430,1583,1469,1666,1337,651,162,8,7372,6,0,10,9,17,10,4,0,0,53,5,0,8,5,5,6,4,0,0,27,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,144,454,1709,1685,1913,1612,848,192,8,8567,146,451,1712,1686,1921,1612,848,192,8,8578,0,14,31,14,11,18,8,0,0,102,1763,1066,3150,3071,2883,2311,1041,241,18,15541
LGA50280,3262,1154,1518,2375,2197,1928,1588,675,262,14963,8,4,5,12,9,14,11,4,0,62,3,0,7,5,0,7,0,0,0,24,0,0,0,0,0,6,11,0,0,27,0,0,7,5,3,11,12,0,0,43,0,3,0,3,11,0,0,3,0,25,97,90,207,148,155,265,208,56,14,1241,0,0,0,0,3,6,0,0,0,12,0,0,3,0,3,0,0,0,0,13,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,5,105,100,232,160,173,305,244,62,18,1392,112,102,235,171,184,318,256,68,18,1458,7,13,41,32,8,5,4,0,0,101,3382,1259,1794,2573,2386,2255,1846,741,284,16524
LGA50350,2736,1543,2098,2276,2023,1873,1494,795,341,15180,0,3,3,3,5,0,8,0,0,29,0,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,38,54,46,29,46,36,18,16,10,293,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,54,45,41,46,38,21,21,10,314,44,61,47,38,48,44,30,19,13,340,0,0,3,3,5,6,12,0,0,26,2779,1603,2149,2314,2075,1927,1532,820,353,15542
LGA50420,10838,7030,10981,10162,8314,7377,6269,3680,1561,66209,6,0,13,14,12,19,15,15,0,88,3,3,6,5,8,8,0,4,0,37,0,8,11,4,4,6,4,0,3,45,0,0,0,0,4,0,3,0,0,15,0,0,0,0,0,0,0,0,0,11,151,222,261,195,170,149,128,89,67,1425,0,0,0,0,0,3,4,0,0,7,3,0,5,0,6,0,0,0,0,14,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,235,282,212,186,169,145,102,65,1553,167,237,300,219,199,186,157,114,68,1642,4,6,19,21,8,27,21,12,0,115,11009,7266,11302,10399,8523,7586,6451,3803,1634,67963
LGA50490,6601,4689,8012,6204,4699,4178,3089,1747,852,40070,12,0,14,8,3,5,11,9,3,66,0,4,16,10,19,8,4,0,0,64,0,4,16,13,16,17,12,0,0,77,0,8,22,27,24,24,9,0,0,117,0,3,11,17,34,12,3,0,0,85,118,205,283,193,177,163,73,33,15,1252,0,3,10,7,7,6,10,3,0,44,0,0,8,3,0,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,227,354,275,283,234,119,39,11,1660,127,228,369,282,289,241,127,48,13,1723,0,11,33,17,25,37,18,8,0,159,6730,4931,8414,6503,5016,4455,3232,1804,868,41953
LGA50560,202,88,113,143,203,269,305,155,47,1542,0,0,0,0,0,0,6,0,0,8,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8,9,11,14,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8,9,11,17,0,0,64,0,6,0,8,8,11,24,7,0,75,0,0,0,0,0,0,0,0,0,4,207,101,117,154,212,282,334,164,50,1620
LGA50630,366,108,170,203,220,232,181,82,20,1582,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,5,31,73,94,109,85,9,0,0,410,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,31,78,94,110,90,15,0,0,416,8,31,78,94,110,94,20,0,0,423,0,3,0,0,0,0,0,0,0,5,375,135,244,294,331,324,199,83,20,2011
LGA50770,359,121,117,202,222,276,212,155,30,1691,0,0,0,0,4,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,12,4,7,17,22,5,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,12,4,7,21,22,5,0,89,7,13,12,8,7,21,21,5,0,92,0,0,0,0,0,0,0,0,0,0,364,137,128,208,231,291,237,163,32,1790
