LGA_CODE_2021,Neg_Nil_Inc_CF_no_chldren,Neg_Nil_Inc_CFwith_chldren,Neg_Nil_Inc_OnePF,Neg_Nil_Inc_Oth_family,Neg_Nil_Inc_Total,1_149_CF_no_chldren,1_149_CFwith_chldren,1_149_One_PF,1_149_Oth_family,1_149_Total,150_299_CF_no_chldren,150_299_CFwith_chldren,150_299_OnePF,150_299_Oth_family,150_299_Total,300_399_CF_no_chldren,300_399_CFwith_chldren,300_399_OnePF,300_399_Oth_family,300_399_Total,400_499_CF_no_chldren,400_499_CFwith_chldren,400_499_OnePF,400_499_Oth_family,400_499_Total,500_649_CF_no_chldren,500_649_CFwith_chldren,500_649_OnePF,500_649_Oth_family,500_649_Total,650_799_CF_no_chldren,650_799_CFwith_chldren,650_799_OnePF,650_799_Oth_family,650_799_Total,800_999_CF_no_chldren,800_999_CFwith_chldren,800_999_OnePF,800_999_Oth_family,800_999_Total,1000_1249_CF_no_chldren,1000_1249_CFwith_chldren,1000_1249_OnePF,1000_1249_Oth_family,1000_1249_Total,1250_1499_CF_no_chldren,1250_1499_CFwith_chldren,1250_1499_OnePF,1250_1499_Oth_family,1250_1499_Total,1500_1749_CF_no_chldren,1500_1749_CFwith_chldren,1500_1749_OnePF,1500_1749_Oth_family,1500_1749_Total,1750_1999_CF_no_chldren,1750_1999_CFwith_chldren,1750_1999_OnePF,1750_1999_Oth_family,1750_1999_Total,2000_2499_CF_no_chldren,2000_2499_CFwith_chldren,2000_2499_OnePF,2000_2499_Oth_family,2000_2499_Total,2500_2999_CF_no_chldren,2500_2999_CFwith_chldren,2500_2999_OnePF,2500_2999_Oth_family,2500_2999_Total,3000_3499_CF_no_chldren,3000_3499_CFwith_chldren,3000_3499_OnePF,3000_3499_Oth_family,3000_3499_Total,3500_3999_CF_no_chldren,3500_3999_CFwith_chldren,3500_3999_OnePF,3500_3999_Oth_family,3500_3999_Total,4000orMore_CF_no_chldren,4000orMore_CFwith_chldren,4000orMore_OnePF,4000orMore_Oth_family,4000orMore_Total,Part_IncStated_CF_no_chldren,Part_IncStated_CFwith_chldren,Part_IncStated_OnePF,Part_IncStated_Oth_family,Part_IncStated_Total,All_Inc_NS_CF_no_chldren,All_Inc_NS_CFwith_chldren,All_Inc_NS_OnePF,All_Inc_NS_Oth_family,All_Inc_NS_Total,Total_CF_no_chldren,Total_CFwith_chldren,Total_OnePF,Total_Oth_family,Total_Total
LGA50080,67,16,18,0,103,46,3,7,4,61,24,3,18,0,44,27,4,39,0,70,121,15,100,4,238,97,11,144,5,259,598,42,164,5,817,411,65,166,11,654,430,136,213,19,797,477,260,151,18,904,252,257,122,5,637,309,249,86,5,646,559,608,104,13,1300,386,494,39,3,926,239,397,28,7,671,130,211,8,0,357,253,437,20,0,715,282,517,120,8,926,76,22,23,5,128,4786,3757,1578,122,10242
LGA50210,192,49,75,0,318,63,9,20,0,88,50,14,57,3,130,40,4,102,3,152,194,43,197,8,444,140,67,356,16,574,804,152,367,25,1350,527,236,459,53,1275,598,460,524,44,1626,648,739,436,30,1854,421,800,306,28,1559,509,854,269,19,1650,1097,2004,389,69,3558,803,1584,167,27,2580,611,1391,109,22,2126,351,774,37,15,1176,566,1782,89,15,2444,584,1473,283,17,2355,119,70,68,8,263,8311,12495,4319,405,25532
LGA50250,0,0,0,0,3,0,0,0,0,0,0,0,5,3,4,0,0,3,0,7,5,3,8,0,13,6,8,4,6,15,3,0,4,4,13,9,3,8,0,13,8,4,4,0,18,10,0,9,0,14,8,10,10,0,26,10,22,5,0,40,42,71,20,0,135,38,62,8,0,103,53,104,9,0,168,52,66,6,0,122,125,187,6,0,329,41,85,8,0,144,5,4,0,0,14,419,627,111,16,1175
LGA50280,24,4,5,0,37,11,4,0,0,17,11,0,9,0,24,5,3,17,0,29,52,5,24,0,78,39,8,47,0,94,149,18,60,3,227,135,36,65,8,239,155,73,90,0,317,199,118,57,4,383,102,127,54,3,276,138,132,22,0,296,242,273,39,8,565,157,218,21,0,396,98,177,6,0,285,52,113,0,0,163,111,172,8,0,295,162,324,63,0,550,26,15,4,0,46,1856,1825,590,29,4304
LGA50350,14,3,7,0,26,17,0,0,0,20,4,0,11,0,15,4,6,22,3,33,31,4,28,6,69,29,3,45,4,82,159,13,64,4,239,89,23,84,10,215,113,46,87,9,249,121,75,60,9,268,70,84,43,8,202,74,88,48,6,216,210,247,83,13,551,171,222,40,9,446,130,228,26,7,388,95,166,13,3,274,191,392,15,6,604,116,179,46,4,346,15,10,6,0,36,1672,1797,718,93,4283
LGA50420,159,28,64,3,258,57,8,17,6,89,25,10,36,0,77,33,11,65,7,119,194,31,113,11,340,143,49,169,9,359,735,102,223,23,1080,457,153,259,29,891,475,281,282,38,1071,588,388,265,46,1294,331,360,231,31,944,400,401,180,30,1014,899,968,287,65,2223,722,858,142,40,1760,609,909,110,24,1649,424,618,33,14,1093,926,1794,94,18,2824,517,721,213,13,1462,74,44,31,4,147,7754,7722,2814,397,18686
LGA50490,89,23,42,10,160,23,3,13,7,46,12,9,25,5,53,22,12,61,5,106,74,19,80,7,177,57,37,120,7,226,328,70,138,10,543,234,124,175,39,565,243,189,164,28,615,332,249,172,43,793,230,228,126,32,623,286,215,99,24,625,661,583,170,45,1460,464,466,75,39,1041,331,396,57,21,812,225,300,16,10,550,418,684,47,19,1164,379,408,111,16,910,47,25,24,4,107,4455,4047,1720,350,10572
LGA50560,6,0,5,0,10,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,13,0,0,0,13,9,0,4,0,13,46,0,9,0,57,22,9,8,0,35,21,5,5,0,31,26,9,5,0,43,11,8,0,0,25,12,13,0,0,27,25,20,6,0,46,18,7,0,0,27,11,7,0,0,17,6,9,0,0,12,12,8,0,0,29,18,43,7,0,66,6,0,0,0,9,257,150,47,8,458
LGA50630,10,3,0,0,10,4,0,0,0,6,3,0,0,0,5,0,0,0,0,0,8,0,0,0,5,6,0,8,0,11,18,0,3,0,23,7,0,11,0,26,11,0,9,0,23,15,6,0,0,28,9,6,0,0,11,13,17,0,0,28,23,21,13,0,53,13,14,3,0,33,9,21,4,0,34,12,13,6,0,24,19,36,0,0,52,25,39,5,0,67,3,0,0,0,3,197,186,57,7,447
LGA50770,3,4,0,0,6,5,0,0,0,6,0,0,0,0,0,4,0,0,0,4,9,0,0,0,16,4,0,5,0,15,24,3,12,0,35,20,6,12,0,37,22,5,4,6,33,31,5,9,0,45,13,9,0,0,24,11,12,4,0,29,36,28,3,0,65,10,16,0,0,30,13,9,0,0,25,11,10,0,0,22,10,17,0,0,25,20,37,5,0,62,7,0,0,0,7,254,172,60,4,489
