ILOC_CODE_2021,Tot_20_24_PD_GD_GCL_M,Tot_20_24_BDL_M,Tot_20_24_ADip_DipL_M,Tot_20_24_Ct_III_IV_M,Tot_20_24_Ct_I_II_M,Tot_20_24_CL_nfd_M,Tot_20_24_LoE_NS_M,Tot_20_24_Tot_M,Tot_25_34_PD_GD_GCL_M,Tot_25_34_BDL_M,Tot_25_34_ADip_DipL_M,Tot_25_34_Ct_III_IV_M,Tot_25_34_Ct_I_II_M,Tot_25_34_CL_nfd_M,Tot_25_34_LoE_NS_M,Tot_25_34_Tot_M,Tot_35_44_PD_GD_GCL_M,Tot_35_44_BDL_M,Tot_35_44_ADip_DipL_M,Tot_35_44_Ct_III_IV_M,Tot_35_44_Ct_I_II_M,Tot_35_44_CL_nfd_M,Tot_35_44_LoE_NS_M,Tot_35_44_Tot_M,Tot_45_54_PD_GD_GCL_M,Tot_45_54_BDL_M,Tot_45_54_ADip_DipL_M,Tot_45_54_Ct_III_IV_M,Tot_45_54_Ct_I_II_M,Tot_45_54_CL_nfd_M,Tot_45_54_LoE_NS_M,Tot_45_54_Tot_M,Tot_55_64_PD_GD_GCL_M,Tot_55_64_BDL_M,Tot_55_64_ADip_DipL_M,Tot_55_64_Ct_III_IV_M,Tot_55_64_Ct_I_II_M,Tot_55_64_CL_nfd_M,Tot_55_64_LoE_NS_M,Tot_55_64_Tot_M,Tot_65ov_PtgdDe_GdDp_GdCt_M,Tot_65ov_BDL_M,Tot_65ov_ADip_DipL_M,Tot_65ov_Ct_III_IV_M,Tot_65ov_Ct_I_II_M,Tot_65ov_CL_nfd_M,Tot_65ov_LoE_NS_M,Tot_65ov_Tot_M,Tot_Tot_PD_GD_GCL_M,Tot_Tot_BDL_M,Tot_Tot_ADip_DipL_M,Tot_Tot_Ct_III_IV_M,Tot_Tot_Ct_I_II_M,Tot_tot_CL_nfd_M,Tot_Tot_LoE_NS_M,Tot_Tot_Tot_M,Ind_15_19_PD_GD_GCL_F,Ind_15_19_BDL_F,Ind_15_19_ADip_DipL_F,Ind_15_19_Ct_III_IV_F,Ind_15_19_Ct_I_II_F,Ind_15_19_CL_nfd_F,Ind_15_19_LoE_NS_F,Ind_15_19_Tot_F,Ind_20_24_PD_GD_GCL_F,Ind_20_24_BDL_F,Ind_20_24_ADip_DipL_F,Ind_20_24_Ct_III_IV_F,Ind_20_24_Ct_I_II_F,Ind_20_24_CL_nfd_F,Ind_20_24_LoE_NS_F,Ind_20_24_Tot_F,Ind_25_34_PD_GD_GCL_F,Ind_25_34_BDL_F,Ind_25_34_ADip_DipL_F,Ind_25_34_Ct_III_IV_F,Ind_25_34_Ct_I_II_F,Ind_25_34_CL_nfd_F,Ind_25_34_LoE_NS_F,Ind_25_34_Tot_F,Ind_35_44_PD_GD_GCL_F,Ind_35_44_BDL_F,Ind_35_44_ADip_DipL_F,Ind_35_44_Ct_III_IV_F,Ind_35_44_Ct_I_II_F,Ind_35_44_CL_nfd_F,Ind_35_44_LoE_NS_F,Ind_35_44_Tot_F,Ind_45_54_PD_GD_GCL_F,Ind_45_54_BDL_F,Ind_45_54_ADip_DipL_F,Ind_45_54_Ct_III_IV_F,Ind_45_54_Ct_I_II_F,Ind_45_54_CL_nfd_F,Ind_45_54_LoE_NS_F,Ind_45_54_Tot_F,Ind_55_64_PD_GD_GCL_F,Ind_55_64_BDL_F,Ind_55_64_ADip_DipL_F,Ind_55_64_Ct_III_IV_F,Ind_55_64_Ct_I_II_F,Ind_55_64_CL_nfd_F,Ind_55_64_LoE_NS_F,Ind_55_64_Tot_F,Ind_65ov_PtgdDe_GdDp_GdCt_F,Ind_65ov_BDL_F,Ind_65ov_ADip_DipL_F,Ind_65ov_Ct_III_IV_F,Ind_65ov_Ct_I_II_F,Ind_65ov_CL_nfd_F,Ind_65ov_LoE_NS_F,Ind_65ov_Tot_F,Ind_Tot_PD_GD_GCL_F,Ind_Tot_BDL_F,Ind_Tot_ADip_DipL_F,Ind_Tot_Ct_III_IV_F,Ind_Tot_Ct_I_II_F,Ind_tot_CL_nfd_F,Ind_Tot_LoE_NS_F,Ind_Tot_Tot_F,NonI_15_19_PD_GD_GCL_F,NonI_15_19_BDL_F,NonI_15_19_ADip_DipL_F,NonI_15_19_Ct_III_IV_F,NonI_15_19_Ct_I_II_F,NonI_15_19_CL_nfd_F,NonI_15_19_LoE_NS_F,NonI_15_19_Tot_F,NonI_20_24_PD_GD_GCL_F,NonI_20_24_BDL_F,NonI_20_24_ADip_DipL_F,NonI_20_24_Ct_III_IV_F,NonI_20_24_Ct_I_II_F,NonI_20_24_CL_nfd_F,NonI_20_24_LoE_NS_F,NonI_20_24_Tot_F,NonI_25_34_PD_GD_GCL_F,NonI_25_34_BDL_F,NonI_25_34_ADip_DipL_F,NonI_25_34_Ct_III_IV_F,NonI_25_34_Ct_I_II_F,NonI_25_34_CL_nfd_F,NonI_25_34_LoE_NS_F,NonI_25_34_Tot_F,NonI_35_44_PD_GD_GCL_F,NonI_35_44_BDL_F,NonI_35_44_ADip_DipL_F,NonI_35_44_Ct_III_IV_F,NonI_35_44_Ct_I_II_F,NonI_35_44_CL_nfd_F,NonI_35_44_LoE_NS_F,NonI_35_44_Tot_F,NonI_45_54_PD_GD_GCL_F,NonI_45_54_BDL_F,NonI_45_54_ADip_DipL_F,NonI_45_54_Ct_III_IV_F,NonI_45_54_Ct_I_II_F,NonI_45_54_CL_nfd_F,NonI_45_54_LoE_NS_F,NonI_45_54_Tot_F,NonI_55_64_PD_GD_GCL_F,NonI_55_64_BDL_F,NonI_55_64_ADip_DipL_F,NonI_55_64_Ct_III_IV_F,NonI_55_64_Ct_I_II_F,NonI_55_64_CL_nfd_F,NonI_55_64_LoE_NS_F,NonI_55_64_Tot_F,NonI_65ov_PtgdDe_GdDp_GdCt_F,NonI_65ov_BDL_F,NonI_65ov_ADip_DipL_F,NonI_65ov_Ct_III_IV_F,NonI_65ov_Ct_I_II_F,NonI_65ov_CL_nfd_F,NonI_65ov_LoE_NS_F,NonI_65ov_Tot_F,NonI_Tot_PD_GD_GCL_F,NonI_Tot_BDL_F,NonI_Tot_ADip_DipL_F,NonI_Tot_Ct_III_IV_F,NonI_Tot_Ct_I_II_F,NonI_tot_CL_nfd_F,NonI_Tot_LoE_NS_F,NonI_Tot_Tot_F,IS_NS_15_19_PD_GD_GCL_F,IS_NS_15_19_BDL_F,IS_NS_15_19_ADip_DipL_F,IS_NS_15_19_Ct_III_IV_F,IS_NS_15_19_Ct_I_II_F,IS_NS_15_19_CL_nfd_F,IS_NS_15_19_LoE_NS_F,IS_NS_15_19_Tot_F,IS_NS_20_24_PD_GD_GCL_F,IS_NS_20_24_BDL_F,IS_NS_20_24_ADip_DipL_F,IS_NS_20_24_Ct_III_IV_F,IS_NS_20_24_Ct_I_II_F,IS_NS_20_24_CL_nfd_F,IS_NS_20_24_LoE_NS_F,IS_NS_20_24_Tot_F
ILOC50100101,0,9,9,13,5,0,31,52,16,48,9,44,0,0,59,185,14,22,19,48,0,3,31,141,7,25,18,68,3,3,62,190,7,15,17,49,4,9,51,152,6,16,12,42,0,0,39,112,49,137,85,266,15,16,304,874,0,0,0,0,5,0,6,17,0,0,0,5,0,0,0,12,3,3,0,20,3,3,13,45,0,4,7,7,0,4,18,42,6,3,0,4,0,0,8,28,0,5,8,4,0,0,11,33,5,0,0,0,0,5,5,14,13,20,26,37,14,9,69,191,0,0,0,0,3,0,4,8,0,12,5,13,5,0,4,31,26,77,23,18,3,3,11,154,37,47,29,19,5,5,5,141,27,35,16,35,0,3,10,127,12,33,20,13,0,0,9,91,8,15,18,13,0,0,5,56,113,214,105,110,17,14,41,616,0,0,0,0,0,0,19,19,0,0,0,0,0,0,14,14
ILOC50100102,0,12,7,34,6,3,22,82,26,63,25,130,5,4,77,331,26,79,52,181,0,6,86,427,21,36,38,130,6,5,77,317,7,24,22,82,0,5,61,197,4,10,13,42,0,5,37,121,89,223,158,614,21,35,389,1517,0,0,0,0,0,0,3,3,0,0,0,5,5,0,0,12,4,6,5,16,4,0,0,39,0,10,14,11,10,4,6,41,0,7,5,7,0,0,0,24,3,4,0,5,0,0,0,20,0,4,0,0,0,0,4,12,12,32,27,34,17,3,21,149,0,0,0,7,4,0,12,18,6,17,5,17,3,0,4,56,44,156,68,62,7,9,16,359,57,131,70,64,10,5,18,347,18,79,54,36,3,13,10,215,22,25,44,20,5,4,12,138,10,14,14,10,0,3,14,64,153,429,254,214,26,27,79,1196,0,0,0,0,0,0,23,23,0,0,0,0,0,0,20,20
ILOC50100103,0,0,0,0,0,0,3,3,0,0,0,5,0,0,0,7,0,0,0,6,0,0,3,12,0,0,0,4,0,0,5,3,0,0,4,8,0,0,6,16,0,0,0,4,0,0,4,7,0,0,5,23,6,0,27,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,6,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,5,0,0,5,16,4,4,6,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,6,0,0,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50100104,0,6,6,33,9,4,31,90,24,64,32,112,3,9,66,317,28,55,47,106,4,4,51,292,16,43,42,125,5,3,65,312,9,26,21,81,4,4,44,191,8,21,16,48,4,6,42,139,93,215,163,514,31,32,324,1367,0,0,0,4,0,0,8,10,0,0,0,4,3,0,7,18,5,11,10,20,10,0,12,65,3,10,4,14,6,0,4,49,0,7,4,11,5,0,4,31,0,8,8,0,0,0,10,30,3,0,6,4,0,3,4,16,14,33,27,65,28,5,39,213,0,0,0,3,6,5,0,14,4,20,11,13,3,0,4,56,68,136,28,35,7,5,23,292,66,108,51,37,11,8,12,289,47,73,45,31,3,6,8,215,24,40,26,32,3,10,3,138,17,18,15,10,0,4,6,77,227,392,175,160,36,28,58,1076,0,0,0,0,0,0,13,14,0,0,0,0,0,0,18,18
ILOC50100201,0,0,0,0,0,0,5,9,0,3,0,4,0,0,4,15,0,0,0,3,0,0,4,7,0,0,0,0,0,0,3,6,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,3,0,3,3,17,0,0,18,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,5,6,0,7,10,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,10,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50100202,0,0,0,0,0,0,0,0,0,4,0,6,0,0,7,15,0,0,0,8,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,4,19,3,0,15,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,3,0,0,0,4,0,3,9,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,3,10,4,0,7,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50100203,0,0,0,5,0,3,0,8,0,7,0,3,0,0,8,12,0,0,0,3,0,0,3,12,6,0,0,5,0,0,3,12,0,0,0,7,0,0,5,12,0,0,0,0,0,0,0,6,3,6,0,18,3,3,22,62,0,0,0,0,0,0,3,3,0,0,0,6,0,0,0,9,0,0,0,7,0,3,5,25,0,4,0,3,0,0,0,11,0,0,0,0,0,0,4,7,0,0,0,0,6,0,0,11,0,0,0,0,0,0,0,0,0,4,3,16,8,4,20,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,10,0,4,0,0,0,0,0,4,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,17,3,6,0,0,4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50100207,0,3,0,0,0,0,3,11,3,6,7,7,0,0,10,34,0,6,3,14,0,0,3,28,0,3,0,12,0,0,10,26,4,0,0,8,0,0,6,15,0,0,6,11,0,0,7,23,8,15,24,47,0,5,36,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,3,4,0,3,0,4,0,0,0,7,3,20,7,3,4,0,0,36,3,8,4,3,0,0,0,15,0,7,0,0,0,0,0,12,0,0,0,0,0,0,3,7,0,4,0,0,0,0,0,9,8,36,17,17,4,4,7,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
ILOC50100208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,7,0,0,0,3,0,0,4,4,0,0,0,4,0,0,8,8,0,0,0,0,0,0,0,4,0,6,3,11,0,0,13,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,3,0,9,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,7,0,0,0,0,0,0,0,0,3,4,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50200101,0,4,0,25,15,0,34,82,3,28,11,74,3,5,93,233,7,17,25,73,0,3,70,186,12,13,19,96,3,3,76,223,6,13,8,104,5,0,56,203,5,14,32,77,0,11,79,222,38,92,96,451,30,31,454,1193,0,0,0,3,0,0,4,11,0,0,0,0,0,5,0,11,0,0,0,0,0,0,0,9,0,3,0,0,0,0,5,9,0,4,0,13,0,0,10,26,0,0,7,4,0,4,8,13,0,0,0,0,0,0,7,12,3,8,7,26,3,7,30,90,0,0,0,5,3,0,0,4,0,12,7,10,11,0,0,45,20,43,12,37,14,3,8,142,11,52,25,26,7,4,12,139,13,38,20,30,0,3,7,119,6,30,24,32,5,8,7,112,9,15,13,18,0,0,29,89,64,199,107,160,37,23,68,649,0,0,0,0,0,0,20,20,0,0,0,0,0,0,35,35
