ILOC_CODE_2021,Psn_15_y_over_Indig_M,Psn_15_y_over_Indig_F,Psn_15_y_over_Indig_P,Psn_15_y_over_NonInd_M,Psn_15_y_over_NonInd_F,Psn_15_y_over_NonInd_P,Psn_15_y_over_Ind_s_nsM,Psn_15_y_over_Ind_s_nsF,Psn_15_y_over_Ind_s_nsP,Psn_15_y_over_TotM,Psn_15_y_over_TotF,Psn_15_y_over_TotP,In_LF_Emp_Indig_M,In_LF_Emp_Indig_F,In_LF_Emp_Indig_P,In_LF_Emp_NonInd_M,In_LF_Emp_NonInd_F,In_LF_Emp_NonInd_P,In_LF_Emp_IndSt_nsM,In_LF_Emp_IndSt_nsF,In_LF_Emp_IndSt_nsP,In_LF_Employd_TotM,In_LF_Employd_TotF,In_LF_Employd_TotP,In_LF_unemp_Ind_M,In_LF_unemp_Ind_F,In_LF_unemp_Ind_P,In_LF_unemp_No_Ind_M,In_LF_unemp_No_Ind_F,In_LF_unemp_No_Ind_P,In_LF_un_IndSt_nsM,In_LF_un_IndSt_nsF,In_LF_un_IndSt_nsP,In_LF_Unemp_TotM,In_LF_Unemp_TotF,In_LF_Unemp_TotP,In_LF_To_LF_Ind_M,In_LF_To_LF_Ind_F,In_LF_To_LF_Ind_P,In_LF_To_la_fo_No_In_M,In_LF_To_la_fo_No_In_F,In_LF_To_la_fo_No_In_P,In_LF_To_l_fo_In_st_nsM,In_LF_To_l_fo_In_st_nsF,In_LF_To_l_fo_In_st_nsP,In_LF_To_LF_TotM,In_LF_To_LF_TotF,In_LF_To_LF_TotP,N_the_LF_Indig_M,N_the_LF_Indig_F,N_the_LF_Indig_P,N_the_LF_No_Indig_M,N_the_LF_No_Indig_F,N_the_LF_No_Indig_P,N_the_LF_Indig_st_nsM,N_the_LF_Indig_st_nsF,N_the_LF_Indig_st_nsP,N_the_LF_TotM,N_the_LF_TotF,N_the_LF_TotP,LF_st_ns_Indig_M,LF_st_ns_Indig_F,LF_st_ns_Indig_P,LF_st_ns_NonInd_M,LF_st_ns_NonInd_F,LF_st_ns_NonInd_P,LF_st_ns_Indig_st_nsM,LF_st_ns_Indig_st_nsF,LF_st_ns_Indig_st_nsP,LF_st_ns_TotM,LF_st_ns_TotF,LF_st_ns_TotP,Pcent_Unemploy_Indig_M,Pcent_Unemploy_Indig_F,Pcent_Unemploy_Indig_P,Pcent_Unemploy_NonInd_M,Pcent_Unemploy_NonInd_F,Pcent_Unemploy_NonInd_P,Pcent_Unem_IndSt_nsM,Pcent_Unemp_IndSt_nsF,Pcent_Unemp_IndSt_nsP,Pcent_Unemploy_TotM,Pcent_Unemploy_TotF,Pcent_Unemploy_TotP,Pcent_LF_part_Indig_M,Pcent_LF_part_Indig_F,Pcent_LF_part_Indig_P,Pcent_LF_part_No_Indig_M,Pcent_LF_part_No_Indig_F,Pcent_LF_part_No_Indig_P,Pcent_LF_part_IndSt_nsM,Pcent_LF_part_IndSt_nsF,Pcent_LF_part_IndSt_nsP,Pcent_LF_part_TotM,Pcent_LF_part_TotF,Pcent_LF_part_TotP,Pcent_Emp_to_pop_Ind_M,Pcent_Emp_to_pop_Ind_F,Pcent_Emp_to_pop_Ind_P,Pcent_Emp_t_pop_NonInd_M,Pcent_Emp_t_pop_NonInd_F,Pcent_Emp_t_pop_NonInd_P,Pcent_Emp_t_pop_IndSt_nsM,Pcent_Emp_t_pop_IndSt_nsF,Pcent_Emp_t_pop_IndSt_nsP,Pcent_Emp_to_pop_TotM,Pcent_Emp_to_pop_TotF,Pcent_Emp_to_pop_TotP,IndSec_Gov_Ind_M,IndSec_Gov_Ind_F,IndSec_Gov_Ind_P,IndSec_Gov_No_Ind_M,IndSec_Gov_No_Ind_F,IndSec_Gov_No_Ind_P,IndSec_Gov_IndSt_nsM,IndSec_Gov_IndSt_nsF,IndSec_Gov_IndSt_nsP,IndSec_Gov_TotM,IndSec_Gov_TotF,IndSec_Gov_TotP,IndSec_Priv_Ind_M,IndSec_Priv_Ind_F,IndSec_Priv_Ind_P,IndSec_Priv_NonInd_M,IndSec_Priv_NonInd_F,IndSec_Priv_NonInd_P,IndSec_Priv_IndSt_nsM,IndSec_Priv_IndSt_nsF,IndSec_Priv_IndSt_nsP,IndSec_Priv_TotM,IndSec_Priv_TotF,IndSec_Priv_TotP,Self_employed_Ind_M,Self_employed_Ind_F,Self_employed_Ind_P,Self_employed_NonInd_M,Self_employed_NonInd_F,Self_employed_NonInd_P,Self_employed_Ind_status_nsM,Self_employed_Ind_status_nsF,Self_employed_Ind_status_nsP,Self_employed_TotM,Self_employed_TotF,Self_employed_TotP,HnsQ_PgDL_Ind_M,HnsQ_PgDL_Ind_F,HnsQ_PgDL_Ind_P,HnsQ_PgDL_No_Ind_M,HnsQ_PgDL_No_Ind_F,HnsQ_PgDL_No_Ind_P,HnsQ_PgDL_IndSt_nsM,HnsQ_PgDL_IndSt_nsF,HnsQ_PgDL_IndSt_nsP,HnsQ_PgDL_TotM,HnsQ_PgDL_TotF,HnsQ_PgDL_TotP,HnsQ_GD_GCL_Ind_M,HnsQ_GD_GCL_Ind_F,HnsQ_GD_GCL_Ind_P,HnsQ_GD_GCL_No_In_M,HnsQ_GD_GCL_No_In_F,HnsQ_GD_GCL_No_In_P,HnsQ_GD_GCL_In_st_nsM,HnsQ_GD_GCL_In_st_nsF,HnsQ_GD_GCL_In_st_nsP,HnsQ_GD_GCL_TotM,HnsQ_GD_GCL_TotF,HnsQ_GD_GCL_TotP,HnsQ_BDL_Ind_M,HnsQ_BDL_Ind_F,HnsQ_BDL_Ind_P,HnsQ_BDL_No_Ind_M,HnsQ_BDL_No_Ind_F,HnsQ_BDL_No_Ind_P,HnsQ_BDL_IndSt_nsM,HnsQ_BDL_IndSt_nsF,HnsQ_BDL_IndSt_nsP,HnsQ_BDL_TotM,HnsQ_BDL_TotF,HnsQ_BDL_TotP,HnsQ_AD_DL_Ind_M,HnsQ_AD_DL_Ind_F,HnsQ_AD_DL_Ind_P,HnsQ_AD_DL_No_In_M,HnsQ_AD_DL_No_In_F,HnsQ_AD_DL_No_In_P,HnsQ_AD_DL_In_st_nsM,HnsQ_AD_DL_In_st_nsF,HnsQ_AD_DL_In_st_nsP,HnsQ_AD_DL_TotM,HnsQ_AD_DL_TotF,HnsQ_AD_DL_TotP,HnsQ_Cer_III_IV_Ind_M,HnsQ_Cer_III_IV_Ind_F,HnsQ_Cer_III_IV_Ind_P,HnsQ_Cer_III_IV_No_Ind_M,HnsQ_Cer_III_IV_No_Ind_F,HnsQ_Cer_III_IV_No_Ind_P,HnsQ_Cer_III_IV_IndSt_nsM,HnsQ_Cer_III_IV_IndSt_nsF
ILOC50100101,432,456,889,777,841,1621,202,215,417,1414,1514,2924,133,147,277,575,682,1256,10,3,14,718,831,1547,47,26,76,21,6,30,0,0,3,73,37,104,178,171,354,592,693,1287,11,8,19,786,869,1654,206,237,441,164,133,295,0,3,5,371,377,744,49,48,100,17,13,33,193,203,396,258,267,527,26.7,15.8,21.4,3.5,1.4,2.4,10,16.7,12.5,8.9,4.4,6.5,41.6,37.5,39.5,76.5,82.5,79.6,5,2.8,3.8,55.6,57.6,56.6,30.5,31.6,31,73.8,81.3,77.7,4.5,2.3,3.4,50.7,55.1,52.9,10,43,48,76,161,233,0,0,0,87,202,281,116,95,219,489,512,1000,10,3,14,621,618,1237,6,0,6,39,29,72,0,0,0,45,29,77,0,4,4,35,64,96,0,0,0,35,71,104,0,6,9,18,51,71,0,0,0,16,62,75,7,20,25,135,214,347,0,0,0,137,232,375,14,26,33,69,105,171,0,0,0,85,126,209,55,37,99,205,110,317,4,0
ILOC50100102,213,262,477,1501,1656,3155,311,333,641,2026,2244,4269,142,160,295,1266,1385,2650,12,10,14,1410,1542,2961,13,11,30,28,30,58,0,0,0,47,41,90,153,167,326,1291,1409,2704,12,10,14,1456,1592,3044,51,77,126,192,232,425,5,6,9,244,311,562,12,9,22,14,11,25,294,321,616,320,341,664,10.3,7.1,8.6,2.2,2.1,2.2,0,0,0,3.1,2.6,2.9,72.2,65.3,68.4,86.2,85.4,85.8,2.6,2.1,2.3,72,70.8,71.3,64.8,60.6,62.5,84.3,83.6,83.9,2.6,2.1,2.3,69.7,68.9,69.3,33,67,101,259,439,698,0,0,0,294,503,801,93,87,182,984,926,1908,0,7,8,1087,1016,2098,6,0,6,75,61,138,0,0,0,84,61,144,0,11,10,50,87,137,0,0,0,47,96,141,7,4,10,29,67,105,0,0,0,35,73,109,0,32,31,213,429,646,0,0,4,223,460,683,5,27,36,149,254,407,0,0,3,158,290,447,74,34,105,537,214,747,8,0
ILOC50100103,69,61,127,13,17,36,17,11,25,94,91,187,36,26,62,8,12,14,0,0,0,43,41,82,7,4,7,0,0,0,0,0,0,7,4,12,42,28,72,8,12,14,0,0,0,45,43,91,21,26,47,3,9,9,0,0,0,25,37,59,4,0,6,4,4,4,11,10,26,21,11,32,9.8,12.9,11.1,0,0,0,0,100,100,8.5,11.9,10.1,62.1,51.7,57.1,46.2,50,48.5,0,9.1,3.7,49.5,46.2,47.8,56.1,45,50.8,46.2,50,48.5,0,0,0,45.3,40.7,43,4,3,10,4,6,7,0,0,0,6,8,15,33,19,51,5,7,11,0,0,0,36,27,66,4,0,4,0,0,0,0,0,0,4,0,4,0,0,4,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,4,4,0,0,3,0,5,5,0,0,0,0,11,10,0,5,8,0,0,0,0,0,0,5,5,6,20,16,27,8,6,8,0,0
ILOC50100104,372,448,822,1377,1510,2886,220,224,447,1970,2181,4151,173,205,374,1124,1254,2377,7,7,12,1303,1462,2764,38,30,70,12,16,28,0,0,0,52,50,99,210,233,445,1136,1270,2406,7,7,12,1356,1505,2864,132,197,328,208,227,438,3,4,3,345,425,770,27,19,53,27,10,42,215,213,425,267,250,520,19,13.2,16,1.2,1.2,1.2,0,0,0,4,3.1,3.5,56.6,52,54.1,82.8,84.1,83.5,3.2,1.8,2.5,68.8,69.1,69,45.8,45.1,45.4,81.7,83.1,82.5,3.2,1.8,2.5,66.1,67,66.6,33,56,87,184,345,530,0,0,0,220,406,621,131,140,271,913,897,1810,7,3,10,1052,1038,2090,3,0,6,57,61,116,0,0,0,61,62,128,0,3,5,53,131,181,0,0,0,54,132,189,6,11,17,33,96,131,0,0,0,34,109,144,10,33,48,201,392,595,0,0,0,215,428,644,15,27,40,146,175,319,0,0,0,163,201,363,86,65,150,428,160,588,0,0
ILOC50100201,95,98,197,13,8,15,3,3,5,112,103,218,28,26,61,7,0,11,0,0,0,37,31,70,10,6,22,0,0,0,0,0,0,10,6,22,46,36,81,7,0,11,0,0,0,55,42,89,46,52,94,0,0,6,0,0,0,48,57,99,13,5,18,0,0,0,3,3,5,12,10,23,29.5,24.3,27.2,0,0,0,0,0,0,25,22,23.7,44.9,38.1,41.5,72.7,66.7,70.6,0,0,0,46.8,39,43.1,31.6,28.9,30.3,72.7,66.7,70.6,0,0,0,35.1,30.5,32.9,5,10,23,4,0,10,0,0,0,12,12,33,22,13,32,0,0,3,0,0,0,21,13,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,7,0,0,0,3,3,10,0,3,4,0,0,0,0,0,0,3,3,4,13,3,21,0,0,0,0,0
ILOC50100202,89,101,193,4,13,15,3,0,8,96,116,214,28,30,57,5,13,15,0,0,0,26,38,71,7,8,16,0,0,0,0,0,0,7,8,15,31,38,70,3,13,11,0,0,0,36,49,81,52,60,108,0,0,0,0,0,0,54,60,112,6,6,12,0,0,0,3,0,8,9,9,20,21.9,23.7,22.9,25,0,6.7,0,0,0,22.2,18.4,20,35.6,36.9,36.3,80,100,93.8,0,0,0,36.7,42.6,39.9,27.8,28.2,28,60,100,87.5,0,0,0,28.6,34.8,31.9,0,5,12,0,0,3,0,0,0,3,8,12,19,21,38,6,10,11,0,0,0,21,30,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,4,0,0,0,0,3,7,5,0,0,0,0,0,3,0,0,0,4,3,5,0,3,3,0,3,4,0,0,0,4,4,7,16,10,24,0,0,3,0,0
ILOC50100203,169,198,363,15,33,51,3,4,10,184,234,423,32,30,68,15,26,46,0,0,0,49,62,112,0,0,4,0,0,3,0,0,0,9,3,8,38,33,74,15,33,49,4,0,4,57,63,118,125,156,283,0,0,0,0,0,3,129,159,283,8,6,14,0,0,0,0,3,7,11,7,18,8.3,8.8,8.6,6.7,6.3,6.4,33.3,0,33.3,9.3,7.6,8.3,21.4,17.2,19.1,100,97,97.9,60,0,33.3,28.7,28.1,28.4,19.6,15.7,17.5,93.3,90.9,91.7,40,0,22.2,26.1,26,26,3,7,8,8,19,29,0,0,0,12,28,38,30,20,47,6,11,15,0,0,0,37,32,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,17,26,0,0,0,6,20,22,0,3,4,0,3,3,0,0,0,0,7,4,15,16,34,4,6,6,0,0
ILOC50100207,26,26,50,154,139,292,30,35,58,209,192,405,10,11,18,106,99,203,0,0,0,113,112,224,0,0,4,0,6,9,0,0,0,5,3,12,10,15,23,112,103,212,0,0,0,120,119,234,14,10,23,41,36,73,0,0,4,60,44,104,0,5,5,3,0,6,27,28,60,33,31,66,10,21.4,16.7,3.7,2.9,3.3,0,0,0,4.2,5.1,4.7,37,56,46.2,70.3,75.7,72.9,0,0,0,56.4,60.6,58.4,33.3,44,38.5,67.7,73.5,70.4,0,0,0,54,57.5,55.7,3,3,3,4,5,4,0,0,0,9,8,12,7,10,13,100,98,196,0,0,0,108,104,211,0,0,0,0,0,5,0,0,0,0,4,3,0,0,0,4,8,11,0,0,0,4,10,14,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,15,36,59,0,0,0,15,40,58,0,0,0,24,17,41,0,0,0,24,18,41,3,0,3,44,17,60,0,0
ILOC50100208,75,73,140,13,12,23,9,7,18,97,92,184,26,13,40,10,12,22,0,0,5,38,25,65,19,21,39,0,0,0,0,0,0,19,21,39,43,35,79,10,12,22,0,0,5,61,48,106,28,35,62,0,0,0,0,0,0,30,35,67,0,0,0,0,0,0,5,7,14,5,10,15,43.2,57.1,49.4,0,0,0,0,0,0,33.3,41.7,37.1,60.3,50,55.2,85.7,100,92.3,14.3,12.5,13.3,60.6,53.3,57.1,34.2,21.4,28,85.7,100,92.3,14.3,12.5,13.3,40.4,31.1,35.9,4,0,4,0,0,0,0,0,0,10,0,8,21,13,36,9,15,22,0,0,5,31,28,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,0,0,0,6,0,7,0,0,0,0,0,4,0,0,0,3,0,5,8,7,12,3,4,3,0,0
ILOC50200101,225,284,506,1414,1265,2684,374,299,672,2015,1845,3861,70,103,172,953,895,1849,15,6,16,1030,1007,2040,25,19,43,34,17,53,0,0,0,62,35,96,90,118,210,985,917,1906,15,6,17,1093,1041,2140,115,154,269,406,330,739,3,8,3,524,486,1012,14,12,26,23,15,42,354,293,647,395,317,712,28,15,20.7,3.7,2,2.8,7.1,0,4.8,5.8,3.5,4.6,41.5,42.6,42.1,69.6,72.5,71,3.8,2.3,3.1,54.3,56.5,55.3,29.9,36.2,33.4,67,71.1,69,3.5,2.3,3,51.1,54.6,52.8,13,22,38,146,215,359,0,0,0,159,240,399,49,69,120,789,669,1465,8,6,11,851,746,1599,0,0,6,82,56,136,0,0,0,82,56,138,0,0,3,28,30,54,0,0,0,28,34,60,0,5,5,19,28,45,0,0,0,19,31,49,0,8,6,91,199,288,0,0,0,92,208,298,3,7,13,88,107,195,0,0,0,96,116,211,35,26,58,411,160,573,4,0
