ILOC_CODE_2021,Co_LTHC_1ms_LTHC_twoc_In_ns_P,Co_LTHC_1ms_LTHC_twoc_Tot_M,Co_LTHC_1ms_LTHC_twoc_Tot_F,Co_LTHC_1ms_LTHC_twoc_Tot_P,Co_LTHC_1ms_LTHC_3oMc_Ind_M,Co_LTHC_1ms_LTHC_3oMc_Ind_F,Co_LTHC_1ms_LTHC_3oMc_Ind_P,Co_LTHC_1ms_LTHC_3oMc_NoInd_M,Co_LTHC_1ms_LTHC_3oMc_NoInd_F,Co_LTHC_1ms_LTHC_3oMc_NoInd_P,Co_LTHC_1ms_LTHC_3oMc_In_ns_M,Co_LTHC_1ms_LTHC_3oMc_In_ns_F,Co_LTHC_1ms_LTHC_3oMc_In_ns_P,Co_LTHC_1ms_LTHC_3oMc_Tot_M,Co_LTHC_1ms_LTHC_3oMc_Tot_F,Co_LTHC_1ms_LTHC_3oMc_Tot_P,Co_LTHC_1ms_LTHC_Tot_Ind_M,Co_LTHC_1ms_LTHC_Tot_Ind_F,Co_LTHC_1ms_LTHC_Tot_Ind_P,Co_LTHC_1ms_LTHC_Tot_NoInd_M,Co_LTHC_1ms_LTHC_Tot_NoInd_F,Co_LTHC_1ms_LTHC_Tot_NoInd_P,Co_LTHC_1ms_LTHC_Tot_In_ns_M,Co_LTHC_1ms_LTHC_Tot_In_ns_F,Co_LTHC_1ms_LTHC_Tot_In_ns_P,Co_LTHC_1ms_LTHC_Tot_Tot_M,Co_LTHC_1ms_LTHC_Tot_Tot_F,Co_LTHC_1ms_LTHC_Tot_Tot_P,Co_LTHC_Ns_Ind_M,Co_LTHC_Ns_Ind_F,Co_LTHC_Ns_Ind_P,Co_LTHC_Ns_NoInd_M,Co_LTHC_Ns_NoInd_F,Co_LTHC_Ns_NoInd_P,Co_LTHC_Ns_In_ns_M,Co_LTHC_Ns_In_ns_F,Co_LTHC_Ns_In_ns_P,Co_LTHC_Ns_Tot_M,Co_LTHC_Ns_Tot_F,Co_LTHC_Ns_Tot_P,Tot_p_Ind_M,Tot_p_Ind_F,Tot_p_Ind_P,Tot_p_NoInd_M,Tot_p_NoInd_F,Tot_p_NoInd_P,Tot_p_In_Tot_p_M,Tot_p_In_Tot_p_F,Tot_p_In_Tot_p_P,Tot_p_Tot_M,Tot_p_Tot_F,Tot_p_Tot_P
ILOC50100101,0,55,68,125,10,29,42,22,15,40,0,0,0,35,51,80,119,172,292,197,225,418,0,3,0,321,399,719,134,53,185,63,45,103,251,242,495,446,333,781,627,607,1237,935,969,1903,271,255,522,1831,1833,3666
ILOC50100102,0,64,98,164,3,11,12,9,22,30,0,0,0,15,24,44,60,87,144,311,409,723,0,0,3,367,501,863,35,28,63,85,72,158,386,430,817,508,527,1034,351,390,742,1991,2134,4120,398,442,845,2746,2957,5706
ILOC50100103,0,5,5,10,0,8,9,6,0,6,0,0,0,6,8,11,25,26,51,5,8,15,0,0,0,33,31,64,3,7,7,4,4,10,21,9,28,27,19,44,79,85,165,13,21,36,18,13,28,119,118,231
ILOC50100104,0,60,94,151,3,11,21,28,18,45,0,0,0,28,32,67,91,174,260,316,355,670,0,4,3,410,530,942,63,40,107,62,63,129,268,273,540,400,383,777,633,693,1320,1681,1823,3507,286,287,580,2603,2806,5410
ILOC50100201,0,0,5,4,4,5,8,0,0,0,0,0,0,4,5,8,17,30,42,3,0,8,0,0,0,19,31,49,16,20,40,0,0,0,3,3,5,18,25,43,152,153,303,12,8,19,3,3,5,164,164,325
ILOC50100202,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,22,15,42,0,6,6,0,0,0,22,23,48,12,9,30,0,0,0,3,0,8,21,15,30,139,144,287,3,17,18,3,0,8,149,158,307
ILOC50100203,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,14,38,56,0,6,7,0,0,3,21,49,66,6,8,14,0,6,6,0,3,5,6,13,21,247,269,517,20,38,60,13,10,15,275,315,593
ILOC50100207,0,0,6,7,0,0,0,4,3,4,0,0,0,4,3,4,8,8,20,25,27,56,0,0,0,31,41,76,4,5,6,9,4,14,35,28,68,44,40,83,35,33,64,180,162,343,37,35,66,249,225,479
ILOC50100208,0,0,5,9,3,8,4,0,0,0,0,0,0,3,8,4,17,23,39,0,0,4,0,0,0,13,29,48,3,10,7,0,0,0,12,9,19,14,12,26,97,105,206,13,12,23,10,12,19,125,127,253
ILOC50200101,0,99,121,217,12,22,30,47,39,85,0,0,0,61,60,117,103,139,238,406,401,805,3,6,8,506,542,1046,32,28,60,76,61,142,445,370,810,553,456,1010,325,385,705,1691,1494,3176,468,385,853,2478,2254,4734
ILOC50200102,0,0,3,6,5,8,10,0,0,0,0,0,0,5,8,10,10,18,35,0,0,0,0,0,0,10,21,34,11,11,20,0,0,0,0,0,4,11,14,24,62,73,139,0,0,0,0,0,4,66,78,142
ILOC50200201,0,23,19,39,5,3,7,7,6,11,0,0,0,8,6,15,21,19,32,69,44,120,0,0,0,92,64,151,11,10,17,15,7,24,164,55,222,187,72,257,67,55,123,273,149,421,161,57,217,507,260,767
ILOC50200202,0,11,13,23,4,5,8,0,9,13,0,0,0,3,10,18,17,5,18,48,48,98,0,0,0,61,54,116,0,4,4,9,0,10,178,135,315,183,143,322,28,28,58,155,124,279,178,135,315,363,290,653
ILOC50200301,0,43,52,98,0,0,0,33,25,64,0,0,0,33,32,70,5,7,11,242,259,502,0,0,0,248,262,514,5,3,4,38,30,70,134,125,257,180,154,339,29,26,54,809,762,1568,143,128,272,982,916,1897
ILOC50200302,0,19,12,29,3,4,3,5,3,13,0,0,0,9,11,16,10,15,21,54,39,98,0,0,0,68,59,118,5,10,11,5,5,8,45,49,99,53,62,117,46,49,95,191,158,352,48,50,100,292,265,553
ILOC50200303,0,95,88,190,0,8,7,64,53,119,3,0,3,72,59,129,21,27,48,469,411,881,5,5,13,498,448,945,8,10,20,67,74,139,216,177,392,291,255,549,88,94,184,1376,1238,2611,234,192,431,1708,1522,3227
ILOC50200401,3,282,364,646,23,38,59,161,198,364,0,0,4,186,248,426,167,225,389,1178,1330,2507,17,20,36,1358,1575,2929,55,62,111,142,156,303,524,501,1024,722,721,1441,609,700,1310,3304,3414,6715,551,537,1091,4462,4648,9114
ILOC50200402,0,193,240,434,3,11,18,81,88,170,0,3,3,86,105,186,97,119,216,970,1088,2054,7,6,10,1068,1215,2283,165,29,196,219,158,378,335,289,622,718,478,1200,481,400,873,3805,3725,7528,355,312,663,4634,4429,9067
ILOC50200403,6,249,282,528,16,24,34,121,164,282,0,4,6,131,184,319,100,127,223,1027,1211,2237,11,10,23,1132,1355,2485,46,42,96,139,133,277,341,303,643,529,488,1008,358,408,768,3345,3471,6817,360,323,682,4065,4202,8263
ILOC50200404,4,313,414,731,23,29,44,166,239,409,0,0,4,189,267,457,104,135,240,1428,1765,3200,16,9,23,1553,1917,3468,21,35,62,193,232,425,406,347,753,624,619,1240,372,407,779,5060,5496,10556,438,380,816,5876,6279,12152
ILOC50200501,4,234,274,506,9,12,23,134,107,242,3,0,3,147,125,274,42,69,107,1066,1000,2074,11,14,22,1120,1083,2207,6,9,19,139,119,256,575,432,1006,717,565,1281,168,196,361,3176,2955,6135,602,463,1061,3945,3611,7554
ILOC50200601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,3,5,0,0,0,0,0,0,4,0,3,4,3,4,11,16,28,17,13,27,4,0,3,29,32,65
ILOC50200602,0,19,20,37,3,11,18,7,8,13,0,0,0,9,21,29,36,64,98,70,38,106,0,3,0,109,101,212,27,36,63,9,0,9,154,80,237,194,118,312,197,221,420,324,144,469,164,91,250,689,449,1141
ILOC50200701,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,8,18,0,0,0,0,0,0,11,10,19,8,3,12,0,0,0,0,0,0,8,7,12,35,32,70,5,3,3,0,0,0,35,34,77
ILOC50200702,0,32,27,52,8,0,5,13,7,27,0,0,0,24,18,36,34,16,52,131,141,277,0,0,4,173,158,330,4,5,5,29,32,61,95,89,182,132,122,258,93,50,138,575,590,1167,100,90,192,762,736,1495
ILOC50300101,6,297,359,657,10,10,17,137,174,304,0,3,7,139,182,321,59,71,134,1336,1524,2862,14,23,32,1413,1619,3031,29,20,48,168,137,304,482,429,912,677,584,1264,264,248,516,4409,4568,8976,523,476,996,5198,5290,10485
ILOC50300102,5,123,117,245,4,7,8,61,58,118,0,0,0,62,66,123,25,28,51,635,619,1252,5,3,8,660,647,1313,8,8,20,88,68,153,318,250,566,412,323,740,82,91,168,2478,2231,4704,334,265,605,2897,2585,5479
ILOC50300201,0,31,21,51,3,0,0,12,12,28,0,0,0,19,12,31,21,16,34,102,75,181,0,0,0,121,97,217,7,5,16,14,6,20,65,67,138,91,80,172,44,65,111,283,210,498,80,81,159,407,360,763
ILOC50300202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50300203,0,8,4,19,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,56,21,74,0,0,0,58,19,75,0,0,0,7,4,10,152,42,199,158,47,208,12,0,15,226,82,315,156,42,196,397,131,529
ILOC50300204,0,55,67,122,5,8,8,22,28,47,4,0,4,25,29,58,14,22,32,262,275,540,3,3,10,276,305,587,0,0,0,33,28,60,281,241,523,318,270,589,59,71,128,936,861,1796,292,252,544,1284,1178,2470
