ILOC_CODE_2021,Indigenous_Aboriginal_M,Indigenous_Aboriginal_F,Indigenous_Aboriginal_P,Indigenous_Torres_Strait_Is_M,Indigenous_Torres_Strait_Is_F,Indigenous_Torres_Strait_Is_P,Indig_Bth_Abor_Torr_Strt_Is_M,Indig_Bth_Abor_Torr_Strt_Is_F,Indig_Bth_Abor_Torr_Strt_Is_P,Indigenous_TotM,Indigenous_TotF,Indigenous_TotP,Non_Indig_M,Non_Indig_F,Non_Indig_P,Indigenous_status_nsM,Indigenous_status_nsF,Indigenous_status_nsP,Tot_M,Tot_F,Tot_P
ILOC50100101,578,560,1138,6,4,8,41,44,85,627,607,1237,935,969,1903,271,255,522,1831,1833,3666
ILOC50100102,341,355,700,8,7,16,12,20,30,351,390,742,1991,2134,4120,398,442,845,2746,2957,5706
ILOC50100103,76,73,154,0,0,0,3,11,16,79,85,165,13,21,36,18,13,28,119,118,231
ILOC50100104,596,655,1256,6,11,16,26,27,49,633,693,1320,1681,1823,3507,286,287,580,2603,2806,5410
ILOC50100201,143,150,296,0,0,0,7,0,7,152,153,303,12,8,19,3,3,5,164,164,325
ILOC50100202,140,140,278,0,0,0,0,3,4,139,144,287,3,17,18,3,0,8,149,158,307
ILOC50100203,247,269,517,0,0,0,0,0,0,247,269,517,20,38,60,13,10,15,275,315,593
ILOC50100207,29,33,58,0,0,0,3,0,3,35,33,64,180,162,343,37,35,66,249,225,479
ILOC50100208,97,108,201,0,0,0,0,0,0,97,105,206,13,12,23,10,12,19,125,127,253
ILOC50200101,319,374,692,3,0,4,0,3,5,325,385,705,1691,1494,3176,468,385,853,2478,2254,4734
ILOC50200102,62,75,136,0,0,0,0,0,0,62,73,139,0,0,0,0,0,4,66,78,142
ILOC50200201,70,55,123,0,0,0,0,0,0,67,55,123,273,149,421,161,57,217,507,260,767
ILOC50200202,28,28,58,0,0,0,0,0,0,28,28,58,155,124,279,178,135,315,363,290,653
ILOC50200301,29,22,52,0,0,0,0,0,0,29,26,54,809,762,1568,143,128,272,982,916,1897
ILOC50200302,46,49,95,0,0,0,0,0,0,46,49,95,191,158,352,48,50,100,292,265,553
