ILOC_CODE_2021,One_f_h_N_pe_UR_One_ATSIF,One_f_h_N_pe_UR_Two_ATSIF,One_f_h_N_pe_UR_Three_ATSIF,One_f_h_N_pe_UR_Four_ATSIF,One_f_h_N_pe_UR_Five_ATSIF,One_f_h_N_pe_UR_Six_m_ATSIF,One_f_h_Tot_ATSIF,Two_f_h_N_pe_UR_One_ATSIF,Two_f_h_N_pe_UR_Two_ATSIF,Two_f_h_N_pe_UR_Three_ATSIF,Two_f_h_N_pe_UR_Four_ATSIF,Two_f_h_N_pe_UR_Five_ATSIF,Two_f_h_N_pe_UR_Six_m_ATSIF,Two_f_h_Tot_ATSIF,Thr_m_f_h_N_pe_UR_One_ATSIF,Thr_m_f_h_N_pe_UR_Two_ATSIF,Thr_m_f_h_N_pe_UR_Three_ATSIF,Thr_m_f_h_N_pe_UR_Four_ATSIF,Thr_m_f_h_N_pe_UR_Five_ATSIF,Thr_m_f_h_N_pe_UR_Six_m_ATSIF,Thr_m_f_h_Tot_ATSIF,Tot_N_pe_UR_One_ATSIF,Tot_N_pe_UR_Two_ATSIF,Tot_N_pe_UR_Three_ATSIF,Tot_N_pe_UR_Four_ATSIF,Tot_N_pe_UR_Five_ATSIF,Tot_N_pe_UR_Six_m_ATSIF,Tot_Tot_ATSIF,One_f_h_N_pe_UR_One_Oth_f,One_f_h_N_pe_UR_Two_Oth_f,One_f_h_N_pe_UR_Three_Oth_f,One_f_h_N_pe_UR_Four_Oth_f,One_f_h_N_pe_UR_Five_Oth_f,One_f_h_N_pe_UR_Six_m_Oth_f,One_f_h_Tot_Oth_f,Two_f_h_N_pe_UR_One_Oth_f,Two_f_h_N_pe_UR_Two_Oth_f,Two_f_h_N_pe_UR_Three_Oth_f,Two_f_h_N_pe_UR_Four_Oth_f,Two_f_h_N_pe_UR_Five_Oth_f,Two_f_h_N_pe_UR_Six_m_Oth_f,Two_f_h_Tot_Oth_f,Thr_m_f_h_N_pe_UR_One_Oth_f,Thr_m_f_h_N_pe_UR_Two_Oth_f,Thr_m_f_h_N_pe_UR_Three_Oth_f,Thr_m_f_h_N_pe_UR_Four_Oth_f,Thr_m_f_h_N_pe_UR_Five_Oth_f,Thr_m_f_h_N_pe_UR_Six_m_Oth_f,Thr_m_f_h_Tot_Oth_f,Tot_N_pe_UR_One_Oth_f,Tot_N_pe_UR_Two_Oth_f,Tot_N_pe_UR_Three_Oth_f,Tot_N_pe_UR_Four_Oth_f,Tot_N_pe_UR_Five_Oth_f,Tot_N_pe_UR_Six_m_Oth_f,Tot_Tot_Oth_f
ILOC50100101,..,95,63,65,34,16,275,..,..,..,9,8,27,36,..,..,..,..,..,7,7,..,95,63,68,40,47,312,..,191,92,73,28,16,397,..,..,..,6,4,7,16,..,..,..,..,..,0,0,..,191,92,80,33,20,417
ILOC50100102,..,70,52,47,25,14,212,..,..,..,0,3,7,13,..,..,..,..,..,4,4,..,70,52,47,28,27,221,..,429,188,289,101,29,1037,..,..,..,8,9,7,27,..,..,..,..,..,0,0,..,429,188,297,117,39,1060
ILOC50100103,..,16,8,8,8,3,47,..,..,..,0,0,3,10,..,..,..,..,..,5,5,..,16,8,13,9,10,53,..,3,0,0,0,0,3,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,3,0,0,0,0,3
ILOC50100104,..,87,90,77,52,41,346,..,..,..,13,8,12,32,..,..,..,..,..,3,3,..,87,90,83,62,59,379,..,412,179,193,76,15,872,..,..,..,3,9,21,33,..,..,..,..,..,0,0,..,412,179,194,84,35,904
ILOC50100201,..,11,19,12,14,7,58,..,..,..,5,3,11,16,..,..,..,..,..,0,0,..,11,19,14,10,16,80,..,6,0,0,0,0,3,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,6,0,0,0,0,3
ILOC50100202,..,11,9,16,17,7,63,..,..,..,3,0,3,5,..,..,..,..,..,0,0,..,11,9,23,17,9,61,..,5,0,0,0,0,3,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,5,0,0,0,0,3
ILOC50100203,..,28,15,16,9,10,83,..,..,..,12,11,29,49,..,..,..,..,..,17,17,..,28,15,25,21,56,147,..,3,0,4,0,0,12,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,3,0,4,0,0,12
ILOC50100207,..,3,9,0,0,0,7,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,3,9,0,0,0,12,..,33,10,9,4,3,53,..,..,..,0,0,5,5,..,..,..,..,..,0,0,..,33,10,9,4,5,57
ILOC50100208,..,15,12,15,7,3,50,..,..,..,0,0,5,5,..,..,..,..,..,8,8,..,15,12,15,7,10,58,..,4,0,0,0,0,4,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,4,0,0,0,0,4
ILOC50200101,..,71,36,35,19,20,180,..,..,..,0,6,7,11,..,..,..,..,..,10,10,..,71,36,39,19,33,201,..,446,153,155,52,15,817,..,..,..,8,6,11,27,..,..,..,..,..,3,3,..,446,153,160,55,32,848
