ILOC_CODE_2021,Arthritis_Age_0_14,Arthritis_Age_15_24,Arthritis_Age_25_34,Arthritis_Age_35_44,Arthritis_Age_45_54,Arthritis_Age_55_64,Arthritis_Age_65_over,Arthritis_Age_Tot,Asthma_Age_0_14,Asthma_Age_15_24,Asthma_Age_25_34,Asthma_Age_35_44,Asthma_Age_45_54,Asthma_Age_55_64,Asthma_Age_65_over,Asthma_Age_Tot,Cancer_inc_rem_Age_0_14,Cancer_inc_rem_Age_15_24,Cancer_inc_rem_Age_25_34,Cancer_inc_rem_Age_35_44,Cancer_inc_rem_Age_45_54,Cancer_inc_rem_Age_55_64,Cancer_inc_rem_Age_65_over,Cancer_inc_rem_Age_Tot,Dem_inc_Alz_Age_0_14,Dem_inc_Alz_Age_15_24,Dem_inc_Alz_Age_25_34,Dem_inc_Alz_Age_35_44,Dem_inc_Alz_Age_45_54,Dem_inc_Alz_Age_55_64,Dem_inc_Alz_Age_65_over,Dem_inc_Alz_Age_Tot,Dia_exc_ges_dia_Age_0_14,Dia_exc_ges_dia_Age_15_24,Dia_exc_ges_dia_Age_25_34,Dia_exc_ges_dia_Age_35_44,Dia_exc_ges_dia_Age_45_54,Dia_exc_ges_dia_Age_55_64,Dia_exc_ges_dia_Age_65_over,Dia_exc_ges_dia_Age_Tot,HD_inc_Ha_ang_Age_0_14,HD_inc_Ha_ang_Age_15_24,HD_inc_Ha_ang_Age_25_34,HD_inc_Ha_ang_Age_35_44,HD_inc_Ha_ang_Age_45_54,HD_inc_Ha_ang_Age_55_64,HD_inc_Ha_ang_Age_65_over,HD_inc_Ha_ang_Age_Tot,Kid_dis_Age_0_14,Kid_dis_Age_15_24,Kid_dis_Age_25_34,Kid_dis_Age_35_44,Kid_dis_Age_45_54,Kid_dis_Age_55_64,Kid_dis_Age_65_over,Kid_dis_Age_Tot,LC_inc_COPD_emph_Age_0_14,LC_inc_COPD_emph_Age_15_24,LC_inc_COPD_emph_Age_25_34,LC_inc_COPD_emph_Age_35_44,LC_inc_COPD_emph_Age_45_54,LC_inc_COPD_emph_Age_55_64,LC_inc_COPD_emph_Age_65_over,LC_inc_COPD_emph_Age_Tot,MHC_inc_dep_anx_Age_0_14,MHC_inc_dep_anx_Age_15_24,MHC_inc_dep_anx_Age_25_34,MHC_inc_dep_anx_Age_35_44,MHC_inc_dep_anx_Age_45_54,MHC_inc_dep_anx_Age_55_64,MHC_inc_dep_anx_Age_65_over,MHC_inc_dep_anx_Age_Tot,Stroke_Age_0_14,Stroke_Age_15_24,Stroke_Age_25_34,Stroke_Age_35_44,Stroke_Age_45_54,Stroke_Age_55_64,Stroke_Age_65_over,Stroke_Age_Tot,A_oth_LTHC_Age_0_14,A_oth_LTHC_Age_15_24,A_oth_LTHC_Age_25_34,A_oth_LTHC_Age_35_44,A_oth_LTHC_Age_45_54,A_oth_LTHC_Age_55_64,A_oth_LTHC_Age_65_over,A_oth_LTHC_Age_Tot,No_LTHC_Age_0_14,No_LTHC_Age_15_24,No_LTHC_Age_25_34,No_LTHC_Age_35_44,No_LTHC_Age_45_54,No_LTHC_Age_55_64,No_LTHC_Age_65_over,No_LTHC_Age_Tot,Not_st_Age_0_14,Not_st_Age_15_24,Not_st_Age_25_34,Not_st_Age_35_44,Not_st_Age_45_54,Not_st_Age_55_64,Not_st_Age_65_over,Not_st_Age_Tot,Tot_per_Age_0_14,Tot_per_Age_15_24,Tot_per_Age_25_34,Tot_per_Age_35_44,Tot_per_Age_45_54,Tot_per_Age_55_64,Tot_per_Age_65_over,Tot_per_Age_Tot
ILOC50100101,0,0,0,0,6,14,16,46,13,4,5,15,14,11,13,83,0,0,0,0,0,7,12,25,0,0,0,0,0,0,7,10,0,4,3,12,28,24,24,92,0,0,8,8,7,23,11,58,0,0,0,5,8,10,13,39,0,0,0,0,3,9,5,19,3,8,16,11,12,11,7,65,0,0,0,0,4,4,6,18,7,10,5,3,15,12,8,63,278,133,111,98,54,31,17,724,41,29,31,33,27,13,6,185,345,188,180,168,140,115,90,1237
ILOC50100102,0,0,0,4,4,3,7,18,11,4,12,3,7,4,5,42,0,0,0,0,3,5,0,13,0,0,0,0,0,0,4,4,0,0,3,4,7,6,11,37,0,0,0,6,3,12,9,26,0,0,0,0,6,0,0,6,0,0,0,0,0,6,3,10,0,8,5,9,10,4,0,45,0,0,0,0,0,0,0,3,12,6,0,8,9,13,4,50,218,68,76,64,42,18,10,503,23,10,5,12,4,0,5,63,269,99,107,105,79,56,38,742
ILOC50100103,0,0,0,0,0,0,5,5,4,0,0,4,3,0,4,16,0,0,0,0,0,5,4,11,0,0,0,0,0,0,0,0,0,0,0,4,3,6,3,23,3,0,0,0,0,9,3,17,0,0,0,0,0,0,0,3,0,0,0,0,3,3,4,8,0,0,0,3,6,0,0,13,0,0,0,0,0,0,0,0,3,0,0,0,0,5,4,11,35,18,17,18,3,17,0,98,0,0,3,0,0,0,0,7,39,19,22,31,8,35,15,165
ILOC50100104,0,0,3,3,4,16,10,39,19,17,7,9,7,7,8,77,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,4,0,3,9,14,29,19,80,5,3,6,4,4,8,17,45,0,0,0,0,0,10,4,19,0,0,0,0,3,3,0,11,9,19,17,6,12,5,0,74,0,0,0,0,0,4,0,4,16,11,16,6,19,13,6,84,409,163,147,92,55,27,12,905,41,15,14,14,13,0,4,107,499,222,205,159,102,88,55,1320
ILOC50100201,0,0,0,0,5,0,5,9,0,0,0,5,5,0,0,12,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,5,4,0,7,14,3,0,0,0,3,0,3,12,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,4,0,0,0,0,5,0,0,3,3,3,0,0,4,0,0,8,89,42,36,18,22,10,5,218,19,3,6,11,3,0,0,40,109,51,41,41,35,15,9,303
ILOC50100202,0,0,0,0,0,0,0,0,3,3,0,6,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,76,37,40,39,9,11,12,217,14,3,4,0,4,0,0,30,91,41,43,50,22,17,18,287
ILOC50100203,0,0,0,0,0,0,0,4,3,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,11,5,7,26,0,4,0,0,0,0,0,14,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,9,0,7,0,16,142,92,85,55,34,18,8,434,5,0,5,0,0,0,0,14,153,105,89,65,60,34,15,517
ILOC50100207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,4,6,0,4,6,3,37,0,0,0,0,3,0,0,6,10,8,14,3,13,14,9,64
ILOC50100208,0,0,0,0,0,0,3,8,0,0,3,0,6,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,12,0,0,0,4,7,0,4,13,0,0,0,0,0,0,3,8,3,0,0,0,3,0,0,8,0,0,0,0,4,0,0,10,0,0,0,0,0,0,0,3,0,3,0,0,0,4,3,14,50,32,31,15,5,14,0,154,7,0,0,0,0,0,0,7,60,37,36,26,16,21,8,206
ILOC50200101,3,0,0,0,6,8,20,47,12,9,7,7,15,14,13,81,0,0,0,0,0,4,4,15,0,0,0,0,0,0,5,12,0,0,3,7,22,28,34,99,3,0,5,3,12,9,17,45,0,0,4,0,0,0,5,17,0,0,0,0,5,5,3,11,0,9,12,6,9,5,5,38,0,0,0,0,0,0,5,9,6,0,0,0,0,10,18,35,155,73,46,27,46,27,27,398,21,11,5,4,8,6,12,60,200,99,71,50,92,85,102,705
ILOC50200102,0,0,0,0,6,3,0,9,0,0,0,0,9,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,14,0,0,0,0,3,3,4,16,0,0,0,0,6,3,0,5,0,0,0,0,0,3,0,3,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,4,4,4,3,3,0,30,32,14,14,4,3,3,0,70,13,0,6,0,0,0,0,20,44,17,22,10,20,12,5,139
ILOC50200201,0,0,0,0,0,0,3,6,0,0,5,0,4,4,0,11,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,4,0,5,3,0,15,0,0,5,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,25,9,16,4,14,3,0,75,12,0,0,0,0,0,0,17,34,12,22,5,32,8,9,123
