ILOC_CODE_2021,Tot_p_Indig_M,Tot_p_Indig_F,Tot_p_Indig_P,Tot_p_NonInd_M,Tot_p_NonInd_F,Tot_p_NonInd_P,Tot_p_IndigStat_nsM,Tot_p_IndigStat_nsF,Tot_p_IndigStat_nsP,Tot_p_TotM,Tot_p_TotF,Tot_p_TotP,A_0_4_Indig_M,A_0_4_Indig_F,A_0_4_Indig_P,A_0_4_NonInd_M,A_0_4_NonInd_F,A_0_4_NonInd_P,A_0_4_IndigStat_nsM,A_0_4_IndigStat_nsF,A_0_4_IndigStat_nsP,A_0_4_TotM,A_0_4_TotF,A_0_4_TotP,A_5_14_Indig_M,A_5_14_Indig_F,A_5_14_Indig_P,A_5_14_NonInd_M,A_5_14_NonInd_F,A_5_14_NonInd_P,A_5_14_IndigStat_nsM,A_5_14_IndigStat_nsF,A_5_14_IndigStat_nsP,A_5_14_TotM,A_5_14_TotF,A_5_14_TotP,A_15_24_Indig_M,A_15_24_Indig_F,A_15_24_Indig_P,A_15_24_NonInd_M,A_15_24_NonInd_F,A_15_24_NonInd_P,A_15_24_IndigStat_nsM,A_15_24_IndigStat_nsF,A_15_24_IndigStat_nsP,A_15_24_TotM,A_15_24_TotF,A_15_24_TotP,A_25_44_Indig_M,A_25_44_Indig_F,A_25_44_Indig_P,A_25_44_NonInd_M,A_25_44_NonInd_F,A_25_44_NonInd_P,A_25_44_IndigStat_nsM,A_25_44_IndigStat_nsF,A_25_44_IndigStat_nsP,A_25_44_TotM,A_25_44_TotF,A_25_44_TotP,A_45_64_Indig_M,A_45_64_Indig_F,A_45_64_Indig_P,A_45_64_NonInd_M,A_45_64_NonInd_F,A_45_64_NonInd_P,A_45_64_IndigStat_nsM,A_45_64_IndigStat_nsF,A_45_64_IndigStat_nsP,A_45_64_TotM,A_45_64_TotF,A_45_64_TotP,A_65_over_Indig_M,A_65_over_Indig_F,A_65_over_Indig_P,A_65_ovr_NonInd_M,A_65_ovr_NonInd_F,A_65_ovr_NonInd_P,A_65ove_IndigStat_nsM,A_65ove_IndigStat_nsF,A_65ove_IndigStat_nsP,A_65_ovr_TotM,A_65_ovr_TotF,A_65_ovr_TotP,Cntd_CN_home_Indig_M,Cntd_CN_home_Indig_F,Cntd_CN_home_Indig_P,Cntd_CN_hme_NonInd_M,Cntd_CN_hme_NonInd_F,Cntd_CN_hme_NonInd_P,ctd_CN_hme_Indig_st_nsM,ctd_CN_hme_Indig_st_nsF,ctd_CN_hme_Indig_st_nsP,Cntd_CN_home_TotM,Cntd_CN_home_TotF,Cntd_CN_home_TotP,VfSme_SA2_Indig_M,VfSme_SA2_Indig_F,VfSme_SA2_Indig_P,VfSme_SA2_NonInd_M,VfSme_SA2_NonInd_F,VfSme_SA2_NonInd_P,VfSme_SA2_Indi_stat_nsM,VfSme_SA2_Indi_stat_nsF,VfSme_SA2_Indi_stat_nsP,VfSme_SA2_TotM,VfSme_SA2_TotF,VfSme_SA2_TotP,VfDif_SA2_NSW_Indig_M,VfDif_SA2_NSW_Indig_F,VfDif_SA2_NSW_Indig_P,VfDif_SA2_NSW_NonInd_M,VfDif_SA2_NSW_NonInd_F,VfDif_SA2_NSW_NonInd_P,VfDif_SA2_NSW_IndSt_nsM,VfDif_SA2_NSW_IndSt_nsF,VfDif_SA2_NSW_IndSt_nsP,VfDif_SA2_NSW_TotM,VfDif_SA2_NSW_TotF,VfDif_SA2_NSW_TotP,VfDif_SA2_Vic_Indig_M,VfDif_SA2_Vic_Indig_F,VfDif_SA2_Vic_Indig_P,VfDif_SA2_Vic_NonInd_M,VfDif_SA2_Vic_NonInd_F,VfDif_SA2_Vic_NonInd_P,VfDif_SA2_Vic_Ind_sta_nsM,VfDif_SA2_Vic_Ind_sta_nsF,VfDif_SA2_Vic_Ind_sta_nsP,VfDif_SA2_Vic_TotM,VfDif_SA2_Vic_TotF,VfDif_SA2_Vic_TotP,VfDif_SA2_Qld_Indig_M,VfDif_SA2_Qld_Indig_F,VfDif_SA2_Qld_Indig_P,VfDif_SA2_Qld_NonInd_M,VfDif_SA2_Qld_NonInd_F,VfDif_SA2_Qld_NonInd_P,VfDif_SA2_Qld_IndSt_nsM,VfDif_SA2_Qld_IndSt_nsF,VfDif_SA2_Qld_IndSt_nsP,VfDif_SA2_Qld_TotM,VfDif_SA2_Qld_TotF,VfDif_SA2_Qld_TotP,VfDif_SA2_SA_Indig_M,VfDif_SA2_SA_Indig_F,VfDif_SA2_SA_Indig_P,VfDif_SA2_SA_NonInd_M,VfDif_SA2_SA_NonInd_F,VfDif_SA2_SA_NonInd_P,VfDif_SA2_SA_IndSt_nsM,VfDif_SA2_SA_IndSt_nsF,VfDif_SA2_SA_IndSt_nsP,VfDif_SA2_SA_TotM,VfDif_SA2_SA_TotF,VfDif_SA2_SA_TotP,VfDif_SA2_WA_Indig_M,VfDif_SA2_WA_Indig_F,VfDif_SA2_WA_Indig_P,VfDif_SA2_WA_NonInd_M,VfDif_SA2_WA_NonInd_F,VfDif_SA2_WA_NonInd_P,VfDif_SA2_WA_IndSt_nsM,VfDif_SA2_WA_IndSt_nsF,VfDif_SA2_WA_IndSt_nsP,VfDif_SA2_WA_TotM,VfDif_SA2_WA_TotF,VfDif_SA2_WA_TotP,VfDif_SA2_Tas_Indig_M,VfDif_SA2_Tas_Indig_F,VfDif_SA2_Tas_Indig_P,VfDif_SA2_Tas_NonInd_M,VfDif_SA2_Tas_NonInd_F,VfDif_SA2_Tas_NonInd_P,VfDif_SA2_Tas_IndSt_nsM,VfDif_SA2_Tas_IndSt_nsF,VfDif_SA2_Tas_IndSt_nsP,VfDif_SA2_Tas_TotM,VfDif_SA2_Tas_TotF,VfDif_SA2_Tas_TotP,VfDif_SA2_NT_Indig_M,VfDif_SA2_NT_Indig_F,VfDif_SA2_NT_Indig_P,VfDif_SA2_NT_NonInd_M,VfDif_SA2_NT_NonInd_F,VfDif_SA2_NT_NonInd_P,VfDif_SA2_NT_IndSt_nsM,VfDif_SA2_NT_IndSt_nsF,VfDif_SA2_NT_IndSt_nsP,VfDif_SA2_NT_TotM,VfDif_SA2_NT_TotF,VfDif_SA2_NT_TotP,VfDif_SA2_ACT_Indig_M,VfDif_SA2_ACT_Indig_F,VfDif_SA2_ACT_Indig_P,VfDif_SA2_ACT_NonInd_M,VfDif_SA2_ACT_NonInd_F,VfDif_SA2_ACT_NonInd_P,VfDif_SA2_ACT_IndSt_nsM,VfDif_SA2_ACT_IndSt_nsF
ILOC50100101,627,607,1237,935,969,1903,271,255,522,1831,1833,3666,63,44,111,43,23,65,20,12,38,124,88,211,133,105,237,117,103,221,46,28,73,289,238,533,89,100,188,73,107,173,40,28,62,199,234,433,177,178,352,270,351,623,59,94,155,508,622,1132,130,124,255,302,287,586,79,66,150,510,482,994,39,53,90,136,93,234,20,25,47,200,172,371,566,551,1122,860,914,1772,232,223,458,1659,1691,3356,7,12,20,0,4,6,0,3,3,8,20,24,0,0,0,25,28,57,5,5,5,30,39,66,0,0,0,60,52,107,4,4,8,62,57,117,0,0,0,20,16,36,0,0,0,24,21,40,0,0,0,17,14,27,0,0,0,12,14,22,55,70,125,361,453,813,51,60,116,473,586,1056,0,0,0,7,7,12,8,0,5,12,11,15,0,0,0,5,3,7,0,0,0,5,4,15,0,0,0,0,0,3,0,0
ILOC50100102,351,390,742,1991,2134,4120,398,442,845,2746,2957,5706,53,35,88,168,172,335,28,31,58,248,236,487,89,94,180,324,307,631,64,77,142,471,480,950,46,55,99,167,165,336,36,41,75,245,256,504,86,120,211,673,843,1525,139,157,295,900,1120,2024,69,61,129,512,519,1033,112,114,222,694,689,1384,14,24,38,144,124,264,25,30,54,180,174,360,317,343,657,1842,2000,3840,338,399,739,2495,2744,5239,0,0,0,20,20,46,0,3,3,25,26,51,4,0,3,92,92,187,5,5,13,104,97,199,0,0,0,158,160,317,10,9,13,162,171,333,0,0,0,62,71,135,0,0,0,64,71,135,0,0,5,59,55,110,8,7,10,61,61,132,28,28,57,994,1004,1996,160,187,346,1180,1216,2397,0,0,0,14,16,32,0,6,4,16,18,35,0,0,0,13,10,21,0,0,0,14,10,22,0,0,0,13,3,18,4,0
ILOC50100103,79,85,165,13,21,36,18,13,28,119,118,231,3,9,20,0,0,0,0,0,3,4,12,17,10,15,25,0,0,0,3,0,3,16,15,24,15,10,19,0,0,0,3,0,3,14,10,20,27,20,46,3,12,18,3,0,7,34,34,70,20,24,49,4,6,8,9,8,14,33,33,68,0,9,15,3,7,8,5,3,5,11,15,27,77,83,160,13,19,31,14,10,25,104,109,219,3,0,3,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,21,0,0,4,0,0,0,11,15,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50100104,633,693,1320,1681,1823,3507,286,287,580,2603,2806,5410,67,65,135,94,96,192,21,15,34,178,176,357,195,176,371,213,223,434,47,47,100,452,442,894,112,113,222,160,168,327,28,35,63,298,320,617,166,196,361,522,700,1225,81,103,181,770,993,1771,72,115,187,510,497,1003,82,67,153,666,681,1340,24,22,55,181,143,328,21,19,46,232,187,425,585,651,1230,1547,1691,3243,226,260,489,2364,2602,4961,4,3,6,7,7,4,0,0,3,5,11,18,4,3,11,51,47,95,10,6,18,63,57,122,3,0,3,79,81,162,11,18,27,97,99,202,0,0,0,43,44,90,3,9,14,42,53,98,0,0,0,18,26,44,5,5,6,25,31,53,40,38,74,629,709,1337,258,276,531,914,1026,1947,0,0,0,14,13,27,5,5,9,16,17,38,0,0,5,11,9,23,3,7,9,13,23,32,0,0,0,0,0,3,0,0
ILOC50100201,152,153,303,12,8,19,3,3,5,164,164,325,11,19,28,0,0,0,0,0,0,11,19,28,41,41,83,0,0,0,0,0,0,44,41,85,31,22,51,0,0,0,0,0,0,31,22,51,43,41,83,3,3,6,0,0,4,42,50,93,27,21,48,4,4,3,0,0,0,29,27,56,6,6,9,3,0,3,0,0,3,12,10,16,146,157,301,12,8,19,0,0,0,160,162,319,3,0,3,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,3,7,0,0,0,5,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50100202,139,144,287,3,17,18,3,0,8,149,158,307,8,16,25,0,0,0,0,0,0,8,16,25,39,27,69,0,0,4,0,0,0,40,28,71,16,22,41,0,0,0,0,0,0,15,22,41,51,47,97,0,9,10,0,0,3,51,56,110,19,22,44,0,5,4,0,0,0,20,29,46,6,10,18,0,0,4,0,0,0,9,12,20,138,139,276,3,8,21,0,0,3,144,155,297,0,4,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,7,5,14,0,0,4,12,13,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50100203,247,269,517,20,38,60,13,10,15,275,315,593,21,24,40,0,5,5,0,0,0,21,28,50,63,52,109,0,0,3,3,0,3,64,53,118,54,47,105,0,4,4,0,0,0,54,50,105,69,88,159,11,13,23,0,0,0,80,104,181,43,55,94,6,16,18,0,3,5,49,75,122,5,12,15,0,0,0,0,0,3,5,11,23,243,265,504,18,38,52,13,7,16,267,305,576,0,0,3,0,5,4,0,0,0,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,3,13,9,24,0,0,5,0,0,0,13,11,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50100207,35,33,64,180,162,343,37,35,66,249,225,479,3,5,5,11,12,21,5,0,5,12,18,32,4,4,5,13,17,31,3,0,3,23,18,38,3,0,8,22,23,45,6,4,7,31,25,54,9,6,15,61,62,125,6,14,23,75,85,158,13,15,25,37,32,64,16,11,19,63,52,117,4,4,9,34,22,61,0,6,9,41,33,72,25,18,46,170,159,335,28,30,59,231,212,439,0,0,0,0,0,3,0,0,0,0,0,3,3,0,3,96,105,201,13,12,26,110,114,225,0,0,0,164,188,349,23,22,38,190,207,393,0,0,0,94,103,198,13,12,25,111,113,223,0,0,0,58,59,122,8,13,18,68,75,144,18,9,30,602,590,1193,68,50,115,690,650,1341,0,0,0,21,22,42,0,4,4,26,20,44,0,0,0,7,11,21,5,5,3,10,15,27,0,0,3,3,7,12,0,0
ILOC50100208,97,105,206,13,12,23,10,12,19,125,127,253,10,15,25,0,0,0,0,0,3,14,14,26,17,26,43,0,0,0,0,0,0,23,26,42,19,18,37,0,0,0,0,0,0,19,19,40,32,29,56,7,0,3,0,3,3,32,31,63,20,20,42,8,9,21,3,3,3,32,32,65,4,6,8,7,0,7,0,0,4,10,6,14,97,106,201,16,12,20,3,11,14,117,124,237,0,0,0,0,0,0,3,0,4,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,18,0,0,0,9,13,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,10,9,5,15,0,0,0,13,11,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50200101,325,385,705,1691,1494,3176,468,385,853,2478,2254,4734,39,26,61,96,90,190,34,29,58,174,145,312,58,79,136,169,137,310,61,55,114,293,262,561,43,53,99,146,125,270,69,55,121,260,231,491,50,69,126,376,415,796,142,115,253,567,602,1167,81,95,177,541,459,994,115,97,205,738,653,1385,44,59,102,353,262,621,56,35,91,454,361,817,299,353,656,1570,1386,2950,430,359,786,2300,2094,4394,0,6,0,9,12,22,0,0,0,13,17,21,0,0,0,41,43,87,4,0,5,50,44,90,0,0,0,49,44,97,5,3,9,53,51,100,0,0,0,30,26,54,0,0,0,32,22,56,0,0,0,27,29,53,0,0,0,33,29,57,12,23,37,557,524,1080,92,67,158,664,610,1273,0,0,0,7,8,17,0,0,0,6,8,17,0,6,4,3,0,4,0,0,0,4,4,7,0,0,0,7,4,12,0,0
