ILOC_CODE_2021,ty_ur_Non_pri_dw_Ind_M,ty_ur_Non_pri_dw_Ind_F,ty_ur_Non_pri_dw_Ind_P,ty_ur_Non_pri_dw_NonInd_M,ty_ur_Non_pri_dw_NonInd_F,ty_ur_Non_pri_dw_NonInd_P,ty_ur_Non_pri_dw_IndSt_nsM,ty_ur_Non_pri_dw_IndSt_nsF,ty_ur_Non_pri_dw_IndSt_nsP,tpe_ur_Non_pvte_dwg_TotM,tpe_ur_Non_pvte_dwg_TotF,tpe_ur_Non_pvte_dwg_TotP
ILOC50100101,80,40,119,57,51,107,12,21,31,151,118,263
ILOC50100102,0,0,4,59,78,139,38,43,81,99,128,223
ILOC50100103,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50100104,4,0,4,18,33,50,31,44,74,49,78,124
ILOC50100201,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50100202,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50100203,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50100207,0,0,3,60,59,124,6,14,22,69,75,142
ILOC50100208,0,0,0,3,4,9,0,0,3,4,3,7
ILOC50200101,7,12,19,26,20,45,71,34,111,103,63,169
ILOC50200102,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50200201,9,0,9,119,20,142,125,21,151,261,40,304
ILOC50200202,3,0,4,40,8,50,52,15,65,94,26,123
ILOC50200301,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50200302,0,0,0,0,0,0,3,0,3,3,0,9
ILOC50200303,0,0,0,16,19,37,16,8,25,35,33,64
ILOC50200401,0,0,0,19,11,30,14,5,14,32,16,48
ILOC50200402,135,10,147,40,3,45,0,0,0,183,13,190
ILOC50200403,4,8,13,41,58,101,5,3,11,50,65,114
ILOC50200404,14,15,30,101,140,239,38,34,70,148,192,340
ILOC50200501,4,0,4,101,29,131,115,45,153,213,80,291
ILOC50200601,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50200602,5,3,11,173,41,210,102,26,131,278,71,347
ILOC50200701,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50200702,4,0,0,80,82,165,4,0,10,92,88,181
ILOC50300101,0,5,5,59,86,143,10,6,13,75,89,162
ILOC50300102,9,5,11,82,33,118,28,7,34,119,39,160
ILOC50300201,0,0,0,9,3,12,4,0,4,10,3,18
ILOC50300202,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50300203,10,0,10,161,38,200,146,39,188,321,77,400
ILOC50300204,0,0,0,15,4,16,45,15,61,59,19,83
ILOC50300205,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50300206,0,0,0,4,7,8,3,0,3,8,7,15
