ILOC_CODE_2021,Emp_Worked_FT_A_15_24_y_M,Emp_Worked_FT_A_25_34_y_M,Emp_Worked_FT_A_35_44_y_M,Emp_Worked_FT_A_45_54_y_M,Emp_Worked_FT_A_55_64_y_M,Emp_Worked_FT_A_65_and_over_M,Emp_Worked_FT_Tot_M,Emp_Worked_PT_A_15_24_y_M,Emp_Worked_PT_A_25_34_y_M,Emp_Worked_PT_A_35_44_y_M,Emp_Worked_PT_A_45_54_y_M,Emp_Worked_PT_A_55_64_y_M,Emp_Worked_PT_A_65_and_over_M,Emp_Worked_PT_Tot_M,EAfW_A_15_24_y_M,EAfW_A_25_34_y_M,EAfW_A_35_44_y_M,EAfW_A_45_54_y_M,EAfW_A_55_64_y_M,EAfW_A_65_over_M,EAfW_Tot_M,Emp_Tot_Age_15_24_y_M,Emp_Tot_Age_25_34_y_M,Emp_Tot_Age_35_44_y_M,Emp_Tot_Age_45_54_y_M,Emp_Tot_Age_55_64_y_M,Emp_Tot_A_65_over_M,Emp_Tot_Tot_M,Unemp_A_15_24_y_M,Unemp_A_25_34_y_M,Unemp_A_35_44_y_M,Unemp_A_45_54_y_M,Unemp_A_55_64_y_M,Unemp_A_65_over_M,Unemp_Tot_M,Tot_LF_Ag_15_24_y_M,Tot_LF_Ag_25_34_y_M,Tot_LF_Ag_35_44_y_M,Tot_LF_Ag_45_54_y_M,Tot_LF_Ag_55_64_y_M,Tot_LF_Ag_65_and_over_M,Tot_LF_Tot_M,Not_in_LF_Age_15_24_y_M,Not_in_LF_Age_25_34_y_M,Not_in_LF_Age_35_44_y_M,Not_in_LF_Age_45_54_y_M,Not_in_LF_Age_55_64_y_M,Not_in_LF_A_65and_over_M,Not_In_LF_Tot_M,LF_stat_NS_A_15_24_y_M,LF_stat_NS_A_25_34_y_M,LF_stat_NS_A_35_44_y_M,LF_stat_NS_A_45_54_y_M,LF_stat_NS_A_55_64_y_M,LF_stat_NS_A_65and_over_M,LF_status_NS_Tot_M,Tot_Age_15_24_y_M,Tot_Age_25_34_y_M,Tot_Age_35_44_y_M,Tot_Age_45_54_y_M,Tot_Age_55_64_y_M,Tot_A_65_and_over_M,Tot_Tot_M,Emp_Worked_FT_A_15_24_y_F,Emp_Worked_FT_A_25_34_y_F,Emp_Worked_FT_A_35_44_y_F,Emp_Worked_FT_A_45_54_y_F,Emp_Worked_FT_A_55_64_y_F,Emp_Worked_FT_A_65_and_over_F,Emp_Worked_FT_Tot_F,Emp_Worked_PT_A_15_24_y_F,Emp_Worked_PT_A_25_34_y_F,Emp_Worked_PT_A_35_44_y_F,Emp_Worked_PT_A_45_54_y_F,Emp_Worked_PT_A_55_64_y_F,Emp_Worked_PT_A_65_and_over_F,Emp_Worked_PT_Tot_F,EAfW_A_15_24_y_F,EAfW_A_25_34_y_F,EAfW_A_35_44_y_F,EAfW_A_45_54_y_F,EAfW_A_55_64_y_F,EAfW_A_65_over_F,EAfW_Tot_F,Emp_Tot_Age_15_24_y_F,Emp_Tot_Age_25_34_y_F,Emp_Tot_Age_35_44_y_F,Emp_Tot_Age_45_54_y_F,Emp_Tot_Age_55_64_y_F,Emp_Tot_A_65_over_F,Emp_Tot_Tot_F,Unemp_A_15_24_y_F,Unemp_A_25_34_y_F,Unemp_A_35_44_y_F,Unemp_A_45_54_y_F,Unemp_A_55_64_y_F,Unemp_A_65_over_F,Unemp_Tot_F,Tot_LF_Ag_15_24_y_F,Tot_LF_Ag_25_34_y_F,Tot_LF_Ag_35_44_y_F,Tot_LF_Ag_45_54_y_F,Tot_LF_Ag_55_64_y_F,Tot_LF_Ag_65_and_over_F,Tot_LF_Tot_F,Not_in_LF_Age_15_24_y_F,Not_in_LF_Age_25_34_y_F,Not_in_LF_Age_35_44_y_F,Not_in_LF_Age_45_54_y_F,Not_in_LF_Age_55_64_y_F,Not_in_LF_A_65and_over_F,Not_In_LF_Tot_F,LF_stat_NS_A_15_24_y_F,LF_stat_NS_A_25_34_y_F,LF_stat_NS_A_35_44_y_F,LF_stat_NS_A_45_54_y_F,LF_stat_NS_A_55_64_y_F,LF_stat_NS_A_65and_over_F,LF_status_NS_Tot_F,Tot_Age_15_24_y_F,Tot_Age_25_34_y_F,Tot_Age_35_44_y_F,Tot_Age_45_54_y_F,Tot_Age_55_64_y_F,Tot_A_65_and_over_F,Tot_Tot_F,Emp_Worked_FT_A_15_24_y_P,Emp_Worked_FT_A_25_34_y_P,Emp_Worked_FT_A_35_44_y_P,Emp_Worked_FT_A_45_54_y_P,Emp_Worked_FT_A_55_64_y_P,Emp_Worked_FT_A_65_and_over_P,Emp_Worked_FT_Tot_P,Emp_Worked_PT_A_15_24_y_P,Emp_Worked_PT_A_25_34_y_P,Emp_Worked_PT_A_35_44_y_P,Emp_Worked_PT_A_45_54_y_P,Emp_Worked_PT_A_55_64_y_P,Emp_Worked_PT_A_65_and_over_P,Emp_Worked_PT_Tot_P,EAfW_A_15_24_y_P,EAfW_A_25_34_y_P,EAfW_A_35_44_y_P,EAfW_A_45_54_y_P,EAfW_A_55_64_y_P,EAfW_A_65_over_P,EAfW_Tot_P,Emp_Tot_Age_15_24_y_P,Emp_Tot_Age_25_34_y_P,Emp_Tot_Age_35_44_y_P,Emp_Tot_Age_45_54_y_P,Emp_Tot_Age_55_64_y_P,Emp_Tot_A_65_over_P,Emp_Tot_Tot_P,Unemp_A_15_24_y_P,Unemp_A_25_34_y_P,Unemp_A_35_44_y_P,Unemp_A_45_54_y_P,Unemp_A_55_64_y_P,Unemp_A_65_over_P,Unemp_Tot_P,Tot_LF_Ag_15_24_y_P,Tot_LF_Ag_25_34_y_P,Tot_LF_Ag_35_44_y_P,Tot_LF_Ag_45_54_y_P,Tot_LF_Ag_55_64_y_P,Tot_LF_Ag_65_and_over_P,Tot_LF_Tot_P,Not_in_LF_Age_15_24_y_P,Not_in_LF_Age_25_34_y_P,Not_in_LF_Age_35_44_y_P,Not_in_LF_Age_45_54_y_P,Not_in_LF_Age_55_64_y_P,Not_in_LF_A_65and_over_P,Not_In_LF_Tot_P,LF_stat_NS_A_15_24_y_P,LF_stat_NS_A_25_34_y_P,LF_stat_NS_A_35_44_y_P,LF_stat_NS_A_45_54_y_P,LF_stat_NS_A_55_64_y_P,LF_stat_NS_A_65and_over_P,LF_status_NS_Tot_P,Tot_Age_15_24_y_P,Tot_Age_25_34_y_P,Tot_Age_35_44_y_P,Tot_Age_45_54_y_P,Tot_Age_55_64_y_P,Tot_A_65_and_over_P,Tot_Tot_P
ILOC50100101,8,19,25,16,7,5,86,6,6,0,0,3,9,25,0,5,3,0,5,0,19,19,30,34,23,12,14,133,20,11,7,12,6,0,47,38,41,39,31,18,14,178,39,39,38,32,31,22,206,14,9,3,6,8,3,49,89,91,84,76,51,39,432,13,20,22,12,16,0,83,13,12,10,5,5,0,43,3,4,3,6,0,3,20,29,36,33,21,25,6,147,8,9,4,0,0,0,26,39,35,45,23,22,6,171,49,44,35,32,33,43,237,14,12,14,3,8,4,48,100,92,85,60,63,53,456,23,38,50,29,24,10,167,20,18,11,12,6,3,73,4,14,6,4,6,4,30,46,63,63,46,37,17,277,24,13,16,14,6,0,76,75,78,81,54,43,17,354,89,84,77,66,60,68,441,26,20,16,8,14,7,100,188,180,168,140,115,90,889
ILOC50100102,16,28,31,15,6,0,95,5,4,3,9,7,0,29,3,3,5,4,3,0,10,28,35,39,25,16,4,142,6,3,5,6,0,0,13,27,36,37,28,16,4,153,13,4,3,12,11,4,51,0,0,0,5,0,0,12,46,43,47,41,27,14,213,4,24,30,22,17,5,96,11,10,10,4,0,5,43,0,8,0,3,3,0,19,20,48,39,26,22,9,160,5,0,0,3,0,0,11,24,46,44,28,22,9,167,22,14,9,7,6,13,77,5,0,0,0,0,0,9,55,63,61,38,24,24,262,20,50,57,34,24,5,196,16,20,19,8,7,3,73,5,9,5,3,9,0,31,41,83,80,51,36,11,295,11,3,7,7,0,0,30,54,87,86,59,36,11,326,33,19,18,17,19,26,126,4,3,3,5,0,6,22,99,107,105,79,56,38,477
ILOC50100103,4,7,5,3,8,0,27,0,0,5,0,3,0,9,0,0,0,0,0,0,3,5,6,9,3,9,0,36,0,6,0,0,0,0,7,9,10,9,3,9,0,42,8,0,4,0,7,4,21,0,0,0,0,0,0,4,15,14,17,4,18,0,69,0,3,0,0,9,0,14,0,0,3,0,3,0,10,0,0,0,0,0,0,0,0,4,8,0,14,0,26,0,0,0,0,4,0,4,0,4,8,0,17,0,28,8,4,8,0,0,5,26,0,0,0,0,0,0,0,10,9,8,5,14,9,61,4,11,8,6,13,0,39,0,0,7,0,10,0,21,0,0,3,0,0,0,3,5,12,17,6,24,0,62,5,6,0,0,4,0,7,5,16,17,6,31,0,72,14,5,11,5,8,10,47,0,3,0,0,0,0,6,19,22,31,8,35,15,127
ILOC50100104,13,41,27,15,10,7,121,8,5,15,3,0,0,35,4,6,8,0,0,0,20,25,54,46,25,17,6,173,16,14,4,0,4,0,38,40,65,50,26,16,7,210,59,24,17,11,10,14,132,11,0,4,3,3,0,27,112,93,65,43,25,24,372,14,26,33,25,18,0,117,22,17,14,8,10,3,75,3,3,0,5,4,0,10,38,48,45,29,31,6,205,14,3,7,4,0,0,30,56,58,53,35,31,10,233,50,45,25,27,27,19,197,9,7,6,0,5,0,19,113,108,87,56,58,22,448,27,68,60,42,25,11,237,32,23,27,5,13,3,107,4,8,10,6,4,0,28,68,101,95,55,45,13,374,32,18,11,5,4,3,70,97,122,108,58,46,16,445,110,71,39,34,36,33,328,20,11,11,3,3,8,53,222,205,159,102,88,55,822
ILOC50100201,0,4,3,6,0,0,16,0,4,0,0,0,0,15,0,0,0,0,0,0,0,0,8,7,4,3,3,28,5,3,0,0,0,0,10,9,14,8,11,5,3,46,15,9,7,6,5,3,46,3,4,4,0,0,0,13,31,21,16,14,10,6,95,0,3,3,3,0,0,10,3,4,6,5,0,0,13,0,0,0,0,0,0,0,5,7,5,3,0,0,26,0,0,4,0,0,0,6,6,8,15,8,0,0,36,18,11,7,4,8,6,52,0,0,7,0,0,0,5,22,24,25,16,7,6,98,5,10,7,10,0,0,31,4,4,8,4,3,0,27,0,0,0,0,0,0,4,7,16,17,12,3,3,61,11,6,3,3,0,0,22,14,21,20,18,5,3,81,30,23,10,12,13,12,94,3,4,11,3,0,0,18,51,41,41,35,15,9,197
ILOC50100202,0,4,3,0,0,0,12,0,9,4,0,0,0,11,0,0,0,0,0,0,0,0,10,5,0,0,0,28,0,0,0,3,0,0,7,0,13,13,6,0,0,31,10,9,12,3,5,6,52,0,6,0,0,0,0,6,16,29,19,14,4,6,89,0,0,12,0,0,0,7,0,4,0,5,0,0,11,0,0,0,0,0,0,6,6,6,12,5,0,0,30,0,0,5,0,0,0,8,7,7,16,9,0,0,38,17,15,11,4,8,11,60,4,0,0,0,0,0,6,22,20,29,11,10,10,101,0,4,11,0,0,0,23,0,10,4,5,5,0,26,0,3,0,0,0,0,5,6,12,26,5,5,0,57,0,0,7,3,0,0,16,7,18,32,11,5,0,70,31,28,21,10,10,16,108,8,4,0,0,0,0,12,41,43,50,22,17,18,193
ILOC50100203,4,3,6,0,3,0,17,0,0,0,0,3,0,8,0,0,0,0,0,0,7,3,10,10,4,5,0,32,0,0,0,0,0,0,0,3,8,9,6,5,0,38,43,31,23,19,7,5,125,0,3,0,0,0,0,8,54,40,33,26,14,5,169,3,6,3,8,0,0,22,0,4,0,0,0,0,4,0,0,7,0,0,0,4,3,15,10,7,0,0,30,0,0,0,0,0,0,0,3,14,10,5,0,0,33,44,36,22,27,24,12,156,0,0,0,0,0,0,6,47,53,35,34,23,12,198,8,13,7,7,0,0,38,6,6,7,4,3,0,15,0,0,9,0,0,0,10,6,22,21,10,4,0,68,0,6,0,4,0,0,4,6,22,17,12,4,0,74,93,59,44,42,28,15,283,0,9,3,0,0,0,14,105,89,65,60,34,15,363
ILOC50100207,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,10,3,3,4,8,0,0,14,0,0,0,0,0,0,0,3,5,4,13,4,4,26,0,0,0,4,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,5,7,0,11,0,0,0,0,0,0,0,0,0,0,4,5,0,15,0,0,0,0,4,3,10,0,0,0,0,0,0,5,0,0,4,6,10,4,26,0,0,0,4,0,0,6,0,0,0,0,0,0,10,0,0,0,0,0,0,4,0,0,0,10,8,0,18,0,0,0,3,0,0,4,0,3,0,9,4,0,23,3,7,4,3,6,6,23,0,0,0,0,0,0,5,8,14,3,13,14,9,50
ILOC50100208,0,3,0,0,3,0,15,0,0,6,0,5,0,13,0,0,0,0,0,0,4,0,7,3,3,9,0,26,10,3,6,4,3,0,19,9,9,8,9,14,0,43,9,4,0,5,3,4,28,0,0,0,0,0,0,0,19,19,13,6,14,4,75,0,0,0,3,0,0,8,3,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,7,0,0,13,4,3,5,3,3,0,21,6,11,8,10,4,0,35,9,10,6,6,0,3,35,0,0,0,0,0,0,0,18,19,12,7,10,6,73,0,10,3,5,4,0,18,4,0,7,0,5,0,18,0,0,0,0,0,0,4,5,14,11,7,14,0,40,14,8,4,9,3,0,39,15,17,16,18,13,0,79,23,14,7,3,11,4,62,0,0,0,0,0,0,0,37,36,26,16,21,8,140
ILOC50200101,0,10,12,12,7,4,41,0,6,0,0,4,0,16,4,0,0,5,0,0,13,5,14,13,14,13,6,70,5,6,7,7,3,0,25,13,16,17,20,16,12,90,24,9,8,16,17,31,115,5,0,3,0,0,0,14,43,27,23,40,39,44,225,9,12,11,13,10,3,60,0,7,7,7,13,0,31,0,0,3,0,3,0,9,15,15,11,28,22,4,103,5,0,7,6,3,0,19,16,22,16,33,25,7,118,31,21,14,17,17,44,154,3,0,0,0,0,7,12,53,42,31,50,41,59,284,8,18,18,28,20,12,93,5,10,5,8,11,0,46,3,3,4,3,4,3,29,18,32,25,41,39,14,172,6,8,4,10,4,6,43,33,36,33,53,41,20,210,62,35,18,33,39,82,269,8,0,3,4,0,9,26,99,71,50,92,85,102,506
