ILOC_CODE_2021,Ty_LTHC_Arth_Ind_M,Ty_LTHC_Arth_Ind_F,Ty_LTHC_Arth_Ind_P,Ty_LTHC_Arth_NoInd_M,Ty_LTHC_Arth_NoInd_F,Ty_LTHC_Arth_NoInd_P,Ty_LTHC_Arth_In_ns_M,Ty_LTHC_Arth_In_ns_F,Ty_LTHC_Arth_In_ns_P,Ty_LTHC_Arth_Tot_M,Ty_LTHC_Arth_Tot_F,Ty_LTHC_Arth_Tot_P,Ty_LTHC_Asth_Ind_M,Ty_LTHC_Asth_Ind_F,Ty_LTHC_Asth_Ind_P,Ty_LTHC_Asth_NoInd_M,Ty_LTHC_Asth_NoInd_F,Ty_LTHC_Asth_NoInd_P,Ty_LTHC_Asth_In_ns_M,Ty_LTHC_Asth_In_ns_F,Ty_LTHC_Asth_In_ns_P,Ty_LTHC_Asth_Tot_M,Ty_LTHC_Asth_Tot_F,Ty_LTHC_Asth_Tot_P,Ty_LTHC_Canc_Ind_M,Ty_LTHC_Canc_Ind_F,Ty_LTHC_Canc_Ind_P,Ty_LTHC_Canc_NoInd_M,Ty_LTHC_Canc_NoInd_F,Ty_LTHC_Canc_NoInd_P,Ty_LTHC_Canc_In_ns_M,Ty_LTHC_Canc_In_ns_F,Ty_LTHC_Canc_In_ns_P,Ty_LTHC_Canc_Tot_M,Ty_LTHC_Canc_Tot_F,Ty_LTHC_Canc_Tot_P,Ty_LTHC_Dem_Ind_M,Ty_LTHC_Dem_Ind_F,Ty_LTHC_Dem_Ind_P,Ty_LTHC_Dem_NoInd_M,Ty_LTHC_Dem_NoInd_F,Ty_LTHC_Dem_NoInd_P,Ty_LTHC_Dem_In_ns_M,Ty_LTHC_Dem_In_ns_F,Ty_LTHC_Dem_In_ns_P,Ty_LTHC_Dem_Tot_M,Ty_LTHC_Dem_Tot_F,Ty_LTHC_Dem_Tot_P,Ty_LTHC_Diab_Ind_M,Ty_LTHC_Diab_Ind_F,Ty_LTHC_Diab_Ind_P,Ty_LTHC_Diab_NoInd_M,Ty_LTHC_Diab_NoInd_F,Ty_LTHC_Diab_NoInd_P,Ty_LTHC_Diab_In_ns_M,Ty_LTHC_Diab_In_ns_F,Ty_LTHC_Diab_In_ns_P,Ty_LTHC_Diab_Tot_M,Ty_LTHC_Diab_Tot_F,Ty_LTHC_Diab_Tot_P,Ty_LTHC_Heart_Dis_Ind_M,Ty_LTHC_Heart_Dis_Ind_F,Ty_LTHC_Heart_Dis_Ind_P,Ty_LTHC_Heart_Dis_NoInd_M,Ty_LTHC_Heart_Dis_NoInd_F,Ty_LTHC_Heart_Dis_NoInd_P,Ty_LTHC_Heart_Dis_In_ns_M,Ty_LTHC_Heart_Dis_In_ns_F,Ty_LTHC_Heart_Dis_In_ns_P,Ty_LTHC_Heart_Dis_Tot_M,Ty_LTHC_Heart_Dis_Tot_F,Ty_LTHC_Heart_Dis_Tot_P,Ty_LTHC_Kid_Dis_Ind_M,Ty_LTHC_Kid_Dis_Ind_F,Ty_LTHC_Kid_Dis_Ind_P,Ty_LTHC_Kid_Dis_NoInd_M,Ty_LTHC_Kid_Dis_NoInd_F,Ty_LTHC_Kid_Dis_NoInd_P,Ty_LTHC_Kid_Dis_In_ns_M,Ty_LTHC_Kid_Dis_In_ns_F,Ty_LTHC_Kid_Dis_In_ns_P,Ty_LTHC_Kid_Dis_Tot_M,Ty_LTHC_Kid_Dis_Tot_F,Ty_LTHC_Kid_Dis_Tot_P,Ty_LTHC_Lung_Con_Ind_M,Ty_LTHC_Lung_Con_Ind_F,Ty_LTHC_Lung_Con_Ind_P,Ty_LTHC_Lung_Con_NoInd_M,Ty_LTHC_Lung_Con_NoInd_F,Ty_LTHC_Lung_Con_NoInd_P,Ty_LTHC_Lung_Con_In_ns_M,Ty_LTHC_Lung_Con_In_ns_F,Ty_LTHC_Lung_Con_In_ns_P,Ty_LTHC_Lung_Con_Tot_M,Ty_LTHC_Lung_Con_Tot_F,Ty_LTHC_Lung_Con_Tot_P,Ty_LTHC_MHC_Ind_M,Ty_LTHC_MHC_Ind_F,Ty_LTHC_MHC_Ind_P,Ty_LTHC_MHC_NoInd_M,Ty_LTHC_MHC_NoInd_F,Ty_LTHC_MHC_NoInd_P,Ty_LTHC_MHC_In_ns_M,Ty_LTHC_MHC_In_ns_F,Ty_LTHC_MHC_In_ns_P,Ty_LTHC_MHC_Tot_M,Ty_LTHC_MHC_Tot_F,Ty_LTHC_MHC_Tot_P,Ty_LTHC_Stroke_Ind_M,Ty_LTHC_Stroke_Ind_F,Ty_LTHC_Stroke_Ind_P,Ty_LTHC_Stroke_NoInd_M,Ty_LTHC_Stroke_NoInd_F,Ty_LTHC_Stroke_NoInd_P,Ty_LTHC_Stroke_In_ns_M,Ty_LTHC_Stroke_In_ns_F,Ty_LTHC_Stroke_In_ns_P,Ty_LTHC_Stroke_Tot_M,Ty_LTHC_Stroke_Tot_F,Ty_LTHC_Stroke_Tot_P,Ty_LTHC_oth_LTHC_Ind_M,Ty_LTHC_oth_LTHC_Ind_F,Ty_LTHC_oth_LTHC_Ind_P,Ty_LTHC_oth_LTHC_NoInd_M,Ty_LTHC_oth_LTHC_NoInd_F,Ty_LTHC_oth_LTHC_NoInd_P,Ty_LTHC_oth_LTHC_In_ns_M,Ty_LTHC_oth_LTHC_In_ns_F,Ty_LTHC_oth_LTHC_In_ns_P,Ty_LTHC_oth_LTHC_Tot_M,Ty_LTHC_oth_LTHC_Tot_F,Ty_LTHC_oth_LTHC_Tot_P,Ty_LTHC_no_LTHC_Ind_M,Ty_LTHC_no_LTHC_Ind_F,Ty_LTHC_no_LTHC_Ind_P,Ty_LTHC_no_LTHC_NoInd_M,Ty_LTHC_no_LTHC_NoInd_F,Ty_LTHC_no_LTHC_NoInd_P,Ty_LTHC_no_LTHC_In_ns_M,Ty_LTHC_no_LTHC_In_ns_F,Ty_LTHC_no_LTHC_In_ns_P,Ty_LTHC_no_LTHC_Tot_M,Ty_LTHC_no_LTHC_Tot_F,Ty_LTHC_no_LTHC_Tot_P,Ty_LTHC_Ns_Ind_M,Ty_LTHC_Ns_Ind_F,Ty_LTHC_Ns_Ind_P,Ty_LTHC_Ns_NoInd_M,Ty_LTHC_Ns_NoInd_F,Ty_LTHC_Ns_NoInd_P,Ty_LTHC_Ns_In_ns_M,Ty_LTHC_Ns_In_ns_F,Ty_LTHC_Ns_In_ns_P,Ty_LTHC_Ns_Tot_M,Ty_LTHC_Ns_Tot_F,Ty_LTHC_Ns_Tot_P,Tot_p_Ind_M,Tot_p_Ind_F,Tot_p_Ind_P,Tot_p_NoInd_M,Tot_p_NoInd_F,Tot_p_NoInd_P,Tot_p_In_ns_M,Tot_p_In_ns_F,Tot_p_In_ns_P,Tot_p_Tot_M,Tot_p_Tot_F,Tot_p_Tot_P,Co_LTHC_no_SC_Ind_M,Co_LTHC_no_SC_Ind_F,Co_LTHC_no_SC_Ind_P,Co_LTHC_no_SC_NoInd_M,Co_LTHC_no_SC_NoInd_F,Co_LTHC_no_SC_NoInd_P,Co_LTHC_no_SC_In_ns_M,Co_LTHC_no_SC_In_ns_F,Co_LTHC_no_SC_In_ns_P,Co_LTHC_no_SC_Tot_M,Co_LTHC_no_SC_Tot_F,Co_LTHC_no_SC_Tot_P,Co_LTHC_1ms_LTHC_onec_Ind_M,Co_LTHC_1ms_LTHC_onec_Ind_F,Co_LTHC_1ms_LTHC_onec_Ind_P,Co_LTHC_1ms_LTHC_onec_NoInd_M,Co_LTHC_1ms_LTHC_onec_NoInd_F,Co_LTHC_1ms_LTHC_onec_NoInd_P,Co_LTHC_1ms_LTHC_onec_In_ns_M,Co_LTHC_1ms_LTHC_onec_In_ns_F,Co_LTHC_1ms_LTHC_onec_In_ns_P,Co_LTHC_1ms_LTHC_onec_Tot_M,Co_LTHC_1ms_LTHC_onec_Tot_F,Co_LTHC_1ms_LTHC_onec_Tot_P,Co_LTHC_1ms_LTHC_twoc_Ind_M,Co_LTHC_1ms_LTHC_twoc_Ind_F,Co_LTHC_1ms_LTHC_twoc_Ind_P,Co_LTHC_1ms_LTHC_twoc_NoInd_M,Co_LTHC_1ms_LTHC_twoc_NoInd_F,Co_LTHC_1ms_LTHC_twoc_NoInd_P,Co_LTHC_1ms_LTHC_twoc_In_ns_M,Co_LTHC_1ms_LTHC_twoc_In_ns_F
ILOC50100101,10,33,46,50,55,112,0,0,0,67,85,152,26,60,83,44,71,119,0,0,0,72,126,200,9,13,25,32,25,57,0,0,0,44,37,81,3,10,10,3,6,6,0,0,0,10,15,19,38,55,92,38,25,61,0,3,3,74,84,154,24,31,58,30,10,46,0,0,0,56,46,99,19,17,39,8,4,13,0,0,0,20,22,45,9,13,19,16,16,32,0,0,0,24,31,53,29,41,65,45,85,126,0,0,0,69,130,198,8,6,18,8,5,18,0,0,0,17,11,35,32,31,63,61,61,120,0,0,0,86,91,179,355,371,724,638,672,1303,19,10,26,1008,1053,2055,134,53,185,63,45,103,251,242,495,446,333,781,627,607,1237,935,969,1903,271,255,522,1831,1833,3666,375,380,762,672,706,1383,19,10,26,1065,1098,2164,92,107,195,141,173,310,0,0,0,237,277,514,19,37,58,35,32,67,0,0
ILOC50100102,7,11,18,71,101,167,0,0,0,73,113,184,10,28,42,96,129,224,0,0,0,110,153,268,5,10,13,38,44,80,0,0,0,42,55,93,0,4,4,4,0,9,0,0,0,4,3,8,20,16,37,44,33,71,0,0,0,60,50,111,11,12,26,36,19,55,0,0,0,48,28,83,0,8,6,13,9,23,0,0,0,16,17,30,0,9,10,25,23,44,0,0,0,23,29,56,15,28,45,69,176,248,0,0,0,85,203,288,0,0,3,8,3,10,0,0,0,3,4,10,25,17,50,91,99,197,0,4,4,118,128,247,248,260,503,1528,1584,3116,13,9,23,1786,1856,3645,35,28,63,85,72,158,386,430,817,508,527,1034,351,390,742,1991,2134,4120,398,442,845,2746,2957,5706,267,273,539,1590,1649,3245,13,7,25,1872,1932,3805,45,60,107,245,309,553,0,0,3,286,370,664,4,18,22,54,87,145,0,0
ILOC50100103,0,5,5,4,3,7,0,0,0,4,7,9,4,10,16,4,0,3,0,0,0,6,11,16,5,3,11,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,9,13,23,3,0,3,0,0,0,12,13,20,10,9,17,0,0,0,0,0,0,10,9,17,0,0,3,0,0,0,0,0,0,3,0,4,0,5,8,0,0,0,0,0,0,5,5,13,8,0,13,0,5,5,0,0,0,8,6,12,0,0,0,0,0,0,0,0,0,0,0,3,9,10,11,0,0,5,0,0,0,6,8,14,47,53,98,0,11,17,0,0,5,53,63,118,3,7,7,4,4,10,21,9,28,27,19,44,79,85,165,13,21,36,18,13,28,119,118,231,53,54,105,0,11,17,0,0,5,57,66,123,19,12,36,4,8,6,0,0,0,23,19,44,9,3,14,0,0,3,0,0
ILOC50100104,9,27,39,80,92,175,0,0,0,89,115,206,24,51,77,91,113,202,0,0,0,115,165,277,0,5,11,37,32,70,0,0,0,36,38,78,0,0,0,8,3,5,0,3,4,4,3,9,24,57,80,42,40,74,0,0,0,63,88,156,17,25,45,47,16,64,0,0,0,66,39,102,6,9,19,12,10,25,0,0,0,21,17,43,4,13,11,17,18,37,0,0,0,25,31,53,27,46,74,88,134,223,0,0,0,110,185,302,4,5,4,4,4,9,0,0,0,6,8,14,36,54,84,81,97,173,0,0,0,112,148,259,454,451,905,1255,1352,2611,17,14,28,1728,1818,3545,63,40,107,62,63,129,268,273,540,400,383,777,633,693,1320,1681,1823,3507,286,287,580,2603,2806,5410,478,477,952,1306,1400,2703,17,14,28,1794,1895,3686,73,126,198,249,281,527,0,4,3,323,403,722,16,34,48,43,61,108,0,0
ILOC50100201,4,5,9,0,0,3,0,0,0,0,8,9,0,6,12,0,0,4,0,0,0,3,8,14,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,9,14,0,0,0,0,0,0,3,9,14,6,5,12,0,0,0,0,0,0,5,5,15,0,4,7,0,0,0,0,0,0,0,4,7,0,5,3,0,0,0,0,0,0,4,5,4,0,0,4,0,0,0,0,0,0,0,3,7,3,0,3,0,0,0,0,0,0,3,0,3,3,10,8,0,0,0,0,0,0,3,8,10,116,105,218,6,4,11,0,0,0,125,109,229,16,20,40,0,0,0,3,3,5,18,25,43,152,153,303,12,8,19,3,3,5,164,164,325,120,110,227,6,4,11,0,0,0,129,111,237,11,20,33,0,0,0,0,0,0,20,20,35,0,7,7,0,0,3,0,0
ILOC50100202,0,0,0,0,0,0,0,0,0,0,3,3,8,5,10,0,0,0,0,0,0,8,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,16,0,0,0,0,0,0,8,4,12,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,4,104,118,217,3,5,13,0,0,0,108,121,231,12,9,30,0,0,0,3,0,8,21,15,30,139,144,287,3,17,18,3,0,8,149,158,307,105,112,219,3,5,14,0,0,0,110,121,232,19,13,36,0,6,6,0,0,0,19,22,40,0,5,5,0,0,0,0,0
ILOC50100203,0,3,4,0,4,4,0,0,0,0,3,7,5,4,4,0,0,4,0,0,0,3,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,6,23,26,0,0,0,0,0,0,6,23,26,7,8,14,0,0,0,0,0,0,7,6,12,0,3,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,4,4,0,0,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,11,7,16,0,0,0,0,0,0,11,10,19,217,218,434,18,28,49,4,0,4,239,248,489,6,8,14,0,6,6,0,3,5,6,13,21,247,269,517,20,38,60,13,10,15,275,315,593,223,225,452,18,26,49,4,0,4,251,254,502,19,31,47,0,8,7,0,0,0,14,41,58,0,3,4,0,0,0,0,0
ILOC50100207,0,0,0,9,5,12,0,0,0,4,9,13,6,7,4,7,11,10,0,0,0,6,17,16,0,0,0,3,0,9,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,0,0,0,4,9,9,5,0,10,5,4,7,0,0,0,10,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,4,8,3,5,3,8,14,20,0,0,0,5,17,25,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,7,13,0,0,0,8,11,15,22,14,37,142,125,269,0,0,6,165,142,312,4,5,6,9,4,14,35,28,68,44,40,83,35,33,64,180,162,343,37,35,66,249,225,479,22,16,39,144,129,271,0,0,6,167,150,313,8,5,18,21,27,48,0,0,0,28,31,62,0,3,0,4,3,8,0,0
ILOC50100208,0,3,8,0,3,4,0,0,0,7,3,8,0,6,12,0,0,0,0,0,0,0,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,12,0,0,0,0,0,0,7,6,12,0,7,13,0,0,4,0,0,0,3,11,11,3,3,8,0,0,0,0,0,0,3,3,8,0,5,8,0,0,0,0,0,0,0,4,3,0,6,10,0,0,0,0,0,0,0,6,10,3,0,3,0,0,0,0,0,0,3,0,3,5,5,14,0,0,4,0,0,0,6,9,16,83,67,154,10,5,19,0,0,0,91,84,171,3,10,7,0,0,0,12,9,19,14,12,26,97,105,206,13,12,23,10,12,19,125,127,253,85,76,160,11,5,22,0,0,0,95,84,184,8,19,30,4,0,3,0,0,0,13,21,33,0,0,4,0,0,4,0,0
ILOC50200101,11,31,47,124,138,264,0,0,0,135,174,312,26,59,81,86,112,198,0,4,4,105,175,280,9,7,15,48,35,91,0,0,0,63,44,104,3,10,12,4,10,11,0,0,0,6,17,19,48,55,99,86,58,140,0,0,0,135,109,243,26,23,45,97,37,133,0,0,0,120,64,179,0,10,17,24,19,36,0,0,0,24,28,56,5,8,11,41,40,84,0,0,0,50,43,99,13,24,38,73,116,186,0,0,0,88,142,229,0,5,9,16,12,26,0,0,0,20,18,36,19,20,35,93,105,202,3,0,4,116,123,240,189,210,398,1158,971,2120,18,9,31,1359,1191,2558,32,28,60,76,61,142,445,370,810,553,456,1010,325,385,705,1691,1494,3176,468,385,853,2478,2254,4734,193,216,410,1209,1031,2232,23,9,32,1421,1255,2677,69,82,151,283,275,558,3,0,3,350,358,714,26,34,55,69,86,158,0,0
