ILOC_CODE_2021,Med_ag_pe_In_pe,Me_ag_ps_N_In_ps,Med_age_psns_Tot,Me_p_in_wk_In_pe,Me_ps_in_wk_No_In_pe,Med_psnl_inc_wk_Tot,Me_hh_in_wk_Hh_In_pe,Me_hh_in_wk_No_Ot_hh,Med_hhd_inc_wk_Tot,Me_mo_re_mt_Hh_In_pe,Me_mo_re_mt_Ot_hh,Med_mort_repay_mth_Tot,Me_re_wk_Hh_Ind_psns,Me_re_wk_No_Oth_hh,Med_rent_wk_Tot,Av_N_p_pe_be_Hh_w_In_p,Av_Nu_ps_pe_be_Ot_hh,Avg_Nu_psns_per_bed_Tot,Av_hh_si_Hh_wi_Ind_psns,Avg_hh_si_Othr_hhd,Avg_household_size_Tot,P_d_n_x_b_Hh_w_In_p,P_d_n_x_b_No_Oth_hh,P_d_n_x_b_Tot
ILOC50100101,29,39,36,443,1166,960,1176,2081,1810,2039,1950,1980,210,328,300,1.2,0.9,1,2.9,2.3,2.5,14.3,5.1,8.3
ILOC50100102,25,35,34,979,1350,1307,2006,2609,2473,2400,2346,2383,280,350,320,1,0.9,0.9,2.8,2.7,2.7,4.7,2.6,3
ILOC50100103,35,49,38,616,700,654,1625,1125,1583,4810,0,4810,275,423,325,1.3,1.2,1.3,3.1,2.5,3,13.3,25,14.1
ILOC50100104,22,37,34,600,1269,1163,1527,2354,2209,2167,2167,2167,255,425,370,1.1,0.8,0.9,3.3,2.5,2.7,13.7,2.8,5.5
ILOC50100201,22,43,26,372,1583,397,900,2250,1083,0,0,0,100,0,100,1.2,0.7,1.1,3.4,1.8,3.3,20.5,0,18.6
ILOC50100202,29,36,30,372,1416,381,1011,1812,1057,0,0,0,120,0,120,1.2,1.1,1.2,3.2,1.7,3.1,15.9,11.1,15.5
ILOC50100203,25,32,26,277,1647,305,773,2666,912,0,0,0,80,75,80,1.3,0.9,1.2,4,2.1,3.7,31.7,7.1,27.2
ILOC50100207,45,35,35,408,1025,943,850,1273,1170,0,2284,2284,75,200,120,1.2,1.5,1.4,2.3,2.2,2.2,20,15.2,16
ILOC50100208,25,57,29,360,1312,388,1028,1999,1100,0,0,0,120,275,125,1,0.8,1,3.3,1.7,3.1,14.3,0,12.5
ILOC50200101,32,42,41,476,879,808,1065,1534,1450,1300,1303,1300,200,235,225,0.9,0.8,0.8,2.7,2.2,2.3,11.1,3.3,4.6
