ILOC_CODE_2021,VfDif_SA2_ACT_IndSt_nsP,VfDif_SA2_ACT_TotM,VfDif_SA2_ACT_TotF,VfDif_SA2_ACT_TotP,VfDif_SA2_OT_Indig_M,VfDif_SA2_OT_Indig_F,VfDif_SA2_OT_Indig_P,VfDif_SA2_OT_NonInd_M,VfDif_SA2_OT_NonInd_F,VfDif_SA2_OT_NonInd_P,VfDif_SA2_OT_IndSt_nsM,VfDif_SA2_OT_IndSt_nsF,VfDif_SA2_OT_IndSt_nsP,VfDif_SA2_OT_TotM,VfDif_SA2_OT_TotF,VfDif_SA2_OT_TotP,VfDif_SA2_T_DSA2_Indig_M,VfDif_SA2_T_DSA2_Indig_F,VfDif_SA2_T_DSA2_Indig_P,VfDif_SA2_T_DSA2_NonInd_M,VfDif_SA2_T_DSA2_NonInd_F,VfDif_SA2_T_DSA2_NonInd_P,VfDif_SA2_T_DSA2_IndSt_nsM,VfDif_SA2_T_DSA2_IndSt_nsF,VfDif_SA2_T_DSA2_IndSt_nsP,VfDif_SA2_T_DSA2_TotM,VfDif_SA2_T_DSA2_TotF,VfDif_SA2_T_DSA2_TotP,Vis_Tot_vis_Indig_M,Vis_Tot_vis_Indig_F,Vis_Tot_vis_Indig_P,Vis_Tot_vis_NonInd_M,Vis_Tot_vis_NonInd_F,Vis_Tot_vis_NonInd_P,Vis_Tot_vis_IndigStat_nsM,Vis_Tot_vis_IndigStat_nsF,Vis_Tot_vis_IndigStat_nsP,Vis_Tot_visitors_TotM,Vis_Tot_visitors_TotF,Vis_Tot_visitors_TotP,LuaH_Eng_onl_Indig_M,LuaH_Eng_onl_Indig_F,LuaH_Eng_onl_Indig_P,LuaH_Eng_onl_NonInd_M,LuaH_Eng_onl_NonInd_F,LuaH_Eng_onl_NonInd_P,LuaH_Eng_on_Ind_sta_nsM,LuaH_Eng_on_Ind_sta_nsF,LuaH_Eng_on_Ind_sta_nsP,LuaH_Eng_only_TotM,LuaH_Eng_only_TotF,LuaH_Eng_only_TotP,LuaH_Aus_Ind_Lang_Ind_M,LuaH_Aus_Ind_Lang_Ind_F,LuaH_Aus_Ind_Lang_Ind_P,LuaH_Aus_Ind_Lang_No_Ind_M,LuaH_Aus_Ind_Lang_No_Ind_F,LuaH_Aus_Ind_Lang_No_Ind_P,Luah_Aus_Ind_Lang_IndSt_nsM,Luah_Aus_Ind_Lang_IndSt_nsF,Luah_Aus_Ind_Lang_IndSt_nsP,Luah_Austn_Indig_Lang_TotM,Luah_Austn_Indig_Lang_TotF,Luah_Austn_Indig_Lang_TotP,LuaH_Oth_Lang_Ind_M,LuaH_Oth_Lang_Ind_F,LuaH_Oth_Lang_Ind_P,LuaH_Oth_Lang_No_Ind_M,LuaH_Oth_Lang_No_Ind_F,LuaH_Oth_Lang_No_Ind_P,Luah_Oth_Lang_IndSt_nsM,Luah_Oth_Lang_IndSt_nsF,Luah_Oth_Lang_IndSt_nsP,Luah_Oth_Lang_TotM,Luah_Oth_Lang_TotF,Luah_Oth_Lang_TotP,UAIndL_SE_Nw_Na_In_M,UAIndL_SE_Nw_Na_In_F,UAIndL_SE_Nw_Na_In_P,UAIndL_SE_Nw_Na_No_In_M,UAIndL_SE_Nw_Na_No_In_F,UAIndL_SE_Nw_Na_No_In_P,UAIndL_SE_Nw_Na_In_st_nsM,UAIndL_SE_Nw_Na_In_st_nsF,UAIndL_SE_Nw_Na_In_st_nsP,UAIndL_SE_Nw_Na_TotM,UAIndL_SE_Nw_Na_TotF,UAIndL_SE_Nw_Na_TotP,UAIndL_SE_Vw_wel_In_M,UAIndL_SE_Vw_wel_In_F,UAIndL_SE_Vw_wel_In_P,UAIndL_SE_Vw_we_No_In_M,UAIndL_SE_Vw_we_No_In_F,UAIndL_SE_Vw_we_No_In_P,UAIndL_SE_Vw_we_I_st_nsM,UAIndL_SE_Vw_we_I_st_nsF,UAIndL_SE_Vw_we_I_st_nsP,UAIndL_SE_Vw_we_TotM,UAIndL_SE_Vw_we_TotF,UAIndL_SE_Vw_we_TotP,Rel_a_Bud_Ind_M,Rel_a_Bud_Ind_F,Rel_a_Bud_Ind_P,Rel_a_Bud_No_In_M,Rel_a_Bud_No_In_F,Rel_a_Bud_No_In_P,Rel_a_Bud_In_st_nsM,Rel_a_Bud_In_st_nsF,Rel_a_Bud_In_st_nsP,Rel_a_Bud_TotM,Rel_a_Bud_TotF,Rel_a_Bud_TotP,Rel_a_Chri_Ind_M,Rel_a_Chri_Ind_F,Rel_a_Chri_Ind_P,Rel_a_Chri_No_In_M,Rel_a_Chri_No_In_F,Rel_a_Chri_No_In_P,Rel_a_Chri_In_st_nsM,Rel_a_Chri_In_st_nsF,Rel_a_Chri_In_st_nsP,Rel_a_Chri_TotM,Rel_a_Chri_TotF,Rel_a_Chri_TotP,Rel_a_Hind_Ind_M,Rel_a_Hind_Ind_F,Rel_a_Hind_Ind_P,Rel_a_Hind_No_In_M,Rel_a_Hind_No_In_F,Rel_a_Hind_No_In_P,Rel_a_Hind_In_st_nsM,Rel_a_Hind_In_st_nsF,Rel_a_Hind_In_st_nsP,Rel_a_Hind_TotM,Rel_a_Hind_TotF,Rel_a_Hind_TotP,Rel_a_Isl_Ind_M,Rel_a_Isl_Ind_F,Rel_a_Isl_Ind_P,Rel_a_Isl_No_In_M,Rel_a_Isl_No_In_F,Rel_a_Isl_No_In_P,Rel_a_Isl_In_st_nsM,Rel_a_Isl_In_st_nsF,Rel_a_Isl_In_st_nsP,Rel_a_Isl_TotM,Rel_a_Isl_TotF,Rel_a_Isl_TotP,Rel_a_Jud_Ind_M,Rel_a_Jud_Ind_F,Rel_a_Jud_Ind_P,Rel_a_Jud_No_In_M,Rel_a_Jud_No_In_F,Rel_a_Jud_No_In_P,Rel_a_Jud_In_st_nsM,Rel_a_Jud_In_st_nsF,Rel_a_Jud_In_st_nsP,Rel_a_Jud_TotM,Rel_a_Jud_TotF,Rel_a_Jud_TotP,Rel_a_Oth_Rel_Ind_M,Rel_a_Oth_Rel_Ind_F,Rel_a_Oth_Rel_Ind_P,Rel_a_Oth_Rel_No_In_M,Rel_a_Oth_Rel_No_In_F,Rel_a_Oth_Rel_No_In_P,Rel_a_Oth_Rel_In_st_nsM,Rel_a_Oth_Rel_In_st_nsF,Rel_a_Oth_Rel_In_st_nsP,Rel_a_Oth_Rel_TotM,Rel_a_Oth_Rel_TotF,Rel_a_Oth_Rel_TotP,Rel_a_Oth_Rel_ORG_Ind_M,Rel_a_Oth_Rel_ORG_Ind_F,Rel_a_Oth_Rel_ORG_Ind_P,Rel_a_Oth_Rel_ORG_No_In_M,Rel_a_Oth_Rel_ORG_No_In_F,Rel_a_Oth_Rel_ORG_No_In_P,Rel_a_Oth_Rel_ORG_In_st_nsM,Rel_a_Oth_Rel_ORG_In_st_nsF,Rel_a_Oth_Rel_ORG_In_st_nsP,Rel_a_Oth_Rel_ORG_TotM,Rel_a_Oth_Rel_ORG_TotF,Rel_a_Oth_Rel_ORG_TotP,Rel_a_Oth_Rel_Tor_Ind_M,Rel_a_Oth_Rel_Tor_Ind_F,Rel_a_Oth_Rel_Tor_Ind_P,Rel_a_Oth_Rel_Tor_No_In_M,Rel_a_Oth_Rel_Tor_No_In_F,Rel_a_Oth_Rel_Torud_No_In_P,Rel_a_Oth_Rel_Tor_In_st_nsM,Rel_a_Oth_Rel_Tor_In_st_nsF,Rel_a_Oth_Rel_Tor_In_st_nsP,Rel_a_Oth_Rel_Tor_TotM,Rel_a_Oth_Rel_Tor_TotF,Rel_a_Oth_Rel_Tor_TotP,Rel_a_SecB_OSB_NRA_Ind_M,Rel_a_SecB_OSB_NRA_Ind_F,Rel_a_SecB_OSB_NRA_Ind_P,Rel_a_SecB_OSB_NRA_No_In_M
ILOC50100101,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,60,70,127,490,581,1069,65,72,143,619,719,1341,66,76,146,492,582,1074,65,76,143,633,737,1369,481,501,979,793,786,1578,13,8,23,1290,1293,2579,37,59,99,0,0,7,0,0,0,42,64,102,3,0,5,121,174,297,4,3,11,126,186,313,6,0,4,0,0,0,0,0,0,6,0,4,32,55,95,0,0,7,0,0,0,31,58,100,0,0,0,9,44,52,0,0,0,9,40,52,272,343,617,281,312,600,11,8,16,574,663,1229,0,0,0,4,4,14,0,0,0,4,4,14,0,0,0,14,9,22,0,0,0,14,7,30,0,0,0,4,0,4,0,0,0,4,0,4,0,4,11,0,0,0,0,0,0,0,4,11,0,0,0,4,3,11,0,0,0,4,3,11,0,4,11,4,3,11,0,0,0,9,12,21,216,177,398,561
ILOC50100102,3,12,6,15,0,0,0,0,0,0,0,0,0,0,0,0,34,32,67,1399,1404,2812,179,214,394,1614,1655,3274,34,37,67,1426,1431,2854,181,214,397,1641,1678,3322,272,304,579,1784,1857,3644,11,12,27,2071,2178,4244,45,47,92,4,3,10,0,0,0,48,53,98,0,0,3,182,254,438,4,0,4,187,259,447,3,0,3,0,0,0,0,0,0,3,0,3,42,50,91,4,3,10,0,0,0,44,51,94,0,0,0,16,36,58,0,0,0,16,38,60,148,215,363,575,743,1313,6,8,7,728,958,1687,0,0,0,11,9,18,0,0,0,11,9,18,0,0,0,20,14,29,0,0,0,20,14,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,3,3,3,3,11,16,0,0,0,7,9,15,5,3,8,3,11,16,0,0,0,11,11,25,164,151,315,1315
ILOC50100103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,21,0,0,4,0,0,0,11,15,29,10,15,27,0,0,4,0,0,0,14,16,28,65,67,136,7,17,23,0,0,5,79,84,160,11,12,24,0,0,0,0,0,0,11,13,21,0,4,4,0,3,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,11,12,24,0,0,0,0,0,0,11,13,21,0,0,0,0,0,0,0,0,0,0,0,0,47,50,96,4,12,14,0,0,5,51,62,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,0,0,0,0,0,0,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,5,3,7,0,0,0,0,0,0,5,3,7,26,19,41,5
ILOC50100104,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,50,42,93,844,934,1779,292,324,615,1189,1305,2493,51,45,98,851,938,1791,290,327,619,1193,1310,2507,505,555,1062,1474,1560,3035,15,14,32,1995,2133,4125,70,91,162,0,0,0,0,0,0,70,91,164,10,3,9,189,249,439,0,0,0,195,255,452,0,4,4,0,0,0,0,0,0,0,4,4,72,87,153,0,0,0,0,0,0,72,87,157,4,6,6,16,47,59,0,0,0,22,50,73,339,398,733,536,622,1158,11,13,17,876,1033,1908,0,0,0,16,5,23,0,0,0,16,5,23,5,0,4,10,13,21,0,0,0,9,10,21,0,0,0,0,4,0,0,0,0,0,4,0,5,5,6,0,0,0,0,0,0,5,5,6,0,0,4,12,5,19,0,0,0,7,9,18,6,3,7,12,5,19,0,0,0,11,16,25,225,253,473,1044
ILOC50100201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,5,6,0,0,0,8,5,12,4,7,6,3,5,6,0,0,6,5,8,21,88,89,180,12,3,17,0,0,0,99,96,196,49,49,94,0,0,0,0,0,0,49,49,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,41,81,0,0,0,0,0,0,42,41,81,0,0,0,0,0,0,0,0,0,0,0,0,90,88,178,0,0,0,0,0,0,90,90,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,43,66,9
ILOC50100202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,10,11,25,0,0,4,19,12,32,6,4,12,10,13,23,0,0,4,20,15,36,119,113,234,3,13,17,0,0,0,124,127,248,22,23,38,0,0,0,0,0,0,22,20,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,20,37,0,0,0,0,0,0,22,17,39,0,0,0,0,0,0,0,0,0,0,0,0,114,116,231,6,6,8,0,0,0,114,125,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,28,3
ILOC50100203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,20,9,7,10,0,0,0,15,15,34,11,8,26,8,9,13,0,0,0,20,18,37,160,175,335,19,37,52,11,0,10,183,211,395,79,82,167,0,0,0,0,0,0,79,82,167,0,0,0,4,6,3,0,0,0,4,6,3,9,11,15,0,0,0,0,0,0,9,11,15,75,73,144,0,0,0,0,0,0,75,73,144,0,0,0,0,0,0,0,0,0,0,0,0,183,191,377,10,23,26,7,0,5,195,214,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,63,114,12
ILOC50100207,4,8,12,22,0,0,0,0,0,0,0,0,0,0,0,0,27,16,37,1059,1079,2141,127,107,236,1215,1204,2411,27,16,37,1061,1083,2145,127,107,236,1215,1201,2415,31,25,51,146,132,279,0,0,0,173,158,332,6,5,11,0,0,0,0,0,0,6,9,12,0,0,0,31,27,54,0,0,0,31,23,52,0,0,3,0,0,0,0,0,0,0,0,3,3,3,8,0,0,0,0,0,0,3,5,12,0,0,0,4,3,8,0,0,0,4,3,9,14,22,35,62,58,122,0,0,0,79,84,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,14,102
ILOC50100208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,10,20,16,36,0,0,0,21,20,44,4,8,10,20,16,36,3,0,6,23,21,46,57,49,110,12,15,20,0,0,5,74,62,138,38,48,89,0,0,4,0,0,0,43,50,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,47,83,0,0,4,0,0,0,35,48,82,0,0,0,0,0,0,0,0,0,0,0,0,76,95,166,13,11,23,0,0,0,88,106,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,3,3,3,20,5,25,3
ILOC50200101,0,7,4,12,0,0,0,0,0,0,0,0,0,0,0,0,19,26,39,723,674,1401,98,69,173,845,772,1618,18,25,44,738,685,1419,98,69,173,853,783,1636,298,360,664,1377,1170,2547,20,17,36,1700,1542,3242,4,4,3,0,0,0,0,0,0,4,4,3,0,0,0,285,308,595,8,3,13,293,315,611,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,0,0,0,4,4,3,0,3,3,53,51,107,0,0,0,53,53,106,159,239,397,791,731,1526,24,13,32,968,979,1954,0,0,0,17,13,26,0,0,0,17,13,26,0,0,0,22,16,37,0,0,4,24,10,37,0,0,0,3,0,4,0,0,0,3,0,4,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,3,8,16,0,0,0,8,8,13,0,3,7,3,8,16,0,0,0,6,10,16,146,117,265,755
