ILOC_CODE_2021,No_bed_ne_sp_Hw_ATSIP,No_bed_ne_sp_Oth_h,No_bed_ne_sp_Tot,One_m_bn_One_ebn_Hw_ATSIP,One_m_bn_One_ebn_Oth_h,One_m_bn_One_ebn_Tot,One_m_bn_Two_ebn_Hw_ATSIP,One_m_bn_Two_ebn_Oth_h,One_m_bn_Two_ebn_Tot,One_m_bn_Thr_ebn_Hw_ATSIP,One_m_bn_Thr_ebn_Oth_h,One_m_bn_Thr_ebn_Tot,One_m_bn_Fou_m_ebn_Hw_ATSIP,One_m_bn_Fou_m_ebn_Oth_h,One_m_bn_Fou_m_ebn_Tot,One_m_bn_Tot_Hw_ATSIP,One_m_bn_Tot_Oth_h,One_m_bn_Tot_Tot,One_m_bs_One_bs_Hw_ATSIP,One_m_bs_One_bs_Oth_h,One_m_bs_One_bs_Tot,One_m_bs_Two_bs_Hw_ATSIP,One_m_bs_Two_bs_Oth_h,One_m_bs_Two_bs_Tot,One_m_bs_Thr_bs_Hw_ATSIP,One_m_bs_Thr_bs_Oth_h,One_m_bs_Thr_bs_Tot,One_m_bs_Fou_m_bs_Hw_ATSIP,One_m_bs_Fou_m_bs_Oth_h,One_m_bs_Fou_m_bs_Tot,One_m_bs_Tot_Hw_ATSIP,One_m_bs_Tot_Oth_h,One_m_bs_Tot_Tot,Tot_Hw_ATSIP,Tot_Oth_h,Tot_Tot
ILOC50100101,132,174,309,31,32,60,23,3,25,5,0,5,0,0,6,59,35,96,110,217,331,43,180,229,6,54,62,0,7,7,159,458,629,399,726,1128
ILOC50100102,94,251,347,8,31,42,6,4,7,0,3,4,0,0,0,14,38,53,71,421,498,61,386,453,27,185,213,3,19,15,162,1011,1179,303,1403,1706
ILOC50100103,24,0,26,7,0,7,0,0,0,0,0,0,0,0,0,7,0,7,18,0,17,4,0,4,4,0,4,0,0,0,26,0,25,63,3,64
ILOC50100104,122,210,330,42,30,78,10,3,13,3,0,3,3,0,3,58,33,97,122,362,487,78,412,485,18,162,178,0,28,31,218,964,1181,437,1306,1746
ILOC50100201,27,0,27,15,0,15,4,0,4,0,0,0,0,0,0,19,0,19,27,10,32,12,0,7,0,0,0,0,0,0,39,10,39,87,6,95
ILOC50100202,27,0,24,10,0,10,4,0,4,0,0,4,0,0,0,14,0,18,22,4,29,8,3,13,0,0,0,0,0,0,30,7,42,86,11,96
ILOC50100203,34,0,35,17,0,21,6,0,6,4,0,4,0,0,0,27,0,31,28,17,48,14,4,19,6,0,4,0,0,0,48,21,71,126,29,151
ILOC50100207,10,42,45,0,8,6,0,0,0,3,10,7,0,0,0,3,18,13,7,12,21,0,7,12,0,4,7,0,3,3,7,26,43,24,99,120
ILOC50100208,21,0,21,8,0,8,0,0,0,0,0,0,3,0,3,11,0,11,24,7,28,8,0,9,4,0,4,0,0,0,36,7,41,65,9,73
ILOC50200101,71,233,308,18,38,55,7,9,12,0,0,0,0,0,6,25,47,73,63,352,417,79,452,533,9,136,149,0,28,30,151,968,1129,279,1340,1622
ILOC50200102,15,0,15,4,0,4,0,0,0,0,0,0,0,0,0,4,0,4,11,0,11,8,0,8,0,0,0,0,0,0,19,0,19,37,0,37
