ILOC_CODE_2021,Negative_Nil_income_M,Negative_Nil_income_F,Negative_Nil_income_P,1_149_M,1_149_F,1_149_P,150_299_M,150_299_F,150_299_P,300_399_M,300_399_F,300_399_P,400_499_M,400_499_F,400_499_P,500_649_M,500_649_F,500_649_P,650_799_M,650_799_F,650_799_P,800_999_M,800_999_F,800_999_P,1000_1249_M,1000_1249_F,1000_1249_P,1250_1499_M,1250_1499_F,1250_1499_P,1500_1749_M,1500_1749_F,1500_1749_P,1750_1999_M,1750_1999_F,1750_1999_P,2000_or_more_M,2000_or_more_F,2000_or_more_P,Personal_income_nsM,Personal_income_nsF,Personal_income_nsP,Tot_M,Tot_F,Tot_P
ILOC50100101,41,34,72,10,14,15,35,43,81,67,87,155,28,46,70,26,39,62,14,16,33,15,20,36,25,16,44,24,25,48,10,25,34,17,9,26,19,16,35,112,60,171,432,456,889
ILOC50100102,23,14,34,3,12,15,6,21,28,25,23,48,14,22,37,5,17,26,6,12,26,5,9,22,26,24,54,16,26,32,23,21,45,15,16,32,31,30,60,12,9,16,213,262,477
ILOC50100103,5,11,17,0,0,0,8,3,13,9,9,15,6,4,10,9,3,6,4,3,10,7,8,13,3,0,0,0,4,4,9,5,11,4,0,7,7,5,9,0,3,8,69,61,127
ILOC50100104,48,41,86,12,19,26,31,39,64,37,64,103,22,26,54,27,39,67,8,22,26,13,34,54,23,30,49,19,25,47,38,35,72,18,8,31,41,36,75,32,25,56,372,448,822
ILOC50100201,9,9,18,0,0,5,20,15,38,12,20,31,0,6,11,3,3,7,3,12,16,5,0,10,10,5,12,4,3,5,0,0,0,0,0,0,5,4,4,18,16,34,95,98,197
ILOC50100202,8,3,5,0,3,6,13,16,30,25,27,54,3,6,8,3,7,13,8,8,14,0,0,3,4,6,12,5,5,5,0,0,0,0,0,0,0,3,3,16,11,33,89,101,193
ILOC50100203,21,29,46,12,26,33,59,56,112,40,52,89,9,13,15,4,7,11,3,4,9,7,5,13,0,0,3,0,4,5,0,4,3,0,0,0,0,0,6,9,4,9,169,198,363
ILOC50100207,0,4,4,0,0,0,8,3,8,7,5,13,0,3,3,4,0,3,3,0,6,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,26,26,50
ILOC50100208,8,8,24,0,0,0,17,7,22,16,25,44,4,11,11,0,0,0,7,6,16,3,11,10,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,73,140
ILOC50200101,19,25,47,6,7,14,19,17,42,43,53,94,28,28,57,18,31,49,6,20,31,6,21,30,8,26,31,11,15,20,7,11,20,4,13,18,14,5,24,17,17,34,225,284,506
ILOC50200102,0,0,0,6,3,7,27,30,57,6,5,13,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,10,39,51,94
ILOC50200201,6,4,5,0,0,0,4,0,3,6,4,12,4,3,6,0,4,6,4,3,5,6,0,6,3,3,6,6,0,3,0,3,5,3,0,6,7,0,8,5,0,3,51,40,85
ILOC50200202,0,4,6,0,0,3,0,0,3,7,0,7,0,0,4,0,7,13,5,0,3,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,3,0,7,19,20,47
ILOC50200301,0,6,5,0,0,0,0,0,0,0,0,3,3,0,3,0,3,3,5,0,3,6,0,8,0,0,0,0,0,0,0,3,0,0,0,3,3,0,3,3,0,7,17,23,38
ILOC50200302,5,3,10,0,0,0,8,5,11,4,3,12,3,7,6,4,0,4,0,0,4,3,4,8,3,0,4,0,0,0,0,0,0,0,0,0,0,0,3,6,5,4,31,37,73
ILOC50200303,8,4,12,4,0,4,15,7,18,10,12,17,6,4,10,0,10,6,0,3,3,3,5,11,5,3,5,0,0,5,10,0,8,0,0,0,6,0,6,0,0,4,57,54,121
ILOC50200401,68,46,117,18,17,31,40,41,83,43,68,110,31,67,107,34,58,94,29,51,78,25,38,60,15,17,37,11,14,28,16,10,26,11,9,13,23,13,35,20,30,47,381,483,862
ILOC50200402,30,33,62,10,16,22,19,22,36,26,30,53,7,28,35,3,19,24,3,26,32,8,16,29,15,28,40,9,16,23,18,11,26,5,4,8,36,13,47,142,18,159,334,269,602
ILOC50200403,35,30,65,8,6,14,32,21,59,35,31,63,19,40,64,7,35,39,15,16,31,16,25,36,12,17,31,6,14,17,11,10,13,3,4,8,24,12,39,17,18,41,235,284,517
ILOC50200404,30,27,52,8,12,20,27,22,47,28,38,68,17,35,47,15,35,48,12,18,28,13,28,50,14,17,31,12,10,23,10,11,26,16,0,17,30,5,36,11,19,24,235,281,518
ILOC50200501,9,18,31,4,10,7,12,21,28,17,17,31,16,20,34,10,19,28,5,15,18,6,11,16,16,9,23,10,0,5,9,0,8,5,0,5,10,3,11,6,4,10,125,138,264
ILOC50200601,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,15
ILOC50200602,16,15,34,0,0,0,32,27,61,21,16,39,11,22,29,4,18,29,3,9,11,0,8,10,8,5,10,0,4,4,3,7,10,0,0,4,9,0,7,24,31,61,136,167,303
ILOC50200701,3,3,3,0,0,0,10,9,11,0,3,4,9,4,5,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,23,46
ILOC50200702,7,12,15,0,0,0,9,0,14,3,0,3,8,7,15,4,0,5,6,3,3,5,9,12,8,5,10,3,0,3,0,0,0,0,0,0,9,3,7,10,0,8,66,41,104
ILOC50300101,34,19,57,7,12,24,5,16,20,24,17,39,16,19,38,10,23,40,5,18,21,11,11,18,9,12,24,5,5,13,5,9,11,3,0,7,14,4,20,14,3,18,157,178,336
ILOC50300102,7,4,10,0,0,0,0,5,6,0,9,9,3,5,10,5,5,14,0,10,12,3,0,9,3,4,3,3,5,9,4,3,4,4,5,6,18,4,20,6,3,17,59,61,123
ILOC50300201,0,0,6,0,0,0,4,7,14,4,0,11,5,6,22,0,4,4,0,0,4,0,4,4,5,3,10,0,3,6,0,0,0,3,0,3,0,0,0,3,3,8,30,53,85
ILOC50300202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50300203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,12,0,15
ILOC50300204,10,14,25,0,0,0,6,4,7,4,0,5,3,8,13,0,7,7,0,0,8,6,6,3,5,5,11,0,0,0,3,5,7,3,0,3,10,5,9,0,3,3,41,56,94
ILOC50300205,5,0,5,0,0,3,6,4,10,3,4,0,0,0,0,3,7,6,0,4,3,0,0,0,3,3,10,4,0,4,0,0,0,0,0,0,0,0,3,0,0,0,26,19,51
ILOC50300206,0,4,6,0,0,0,10,5,12,6,5,11,8,5,17,0,4,4,0,6,5,3,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,37,37,74
ILOC50300301,78,94,173,22,33,57,62,46,105,49,64,112,28,54,83,29,70,98,22,43,56,34,38,73,36,53,89,34,32,67,38,30,71,40,21,61,103,31,133,231,94,318,810,698,1502
ILOC50300302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50300401,0,0,0,0,0,0,4,7,11,4,5,8,0,6,6,0,0,0,3,0,5,4,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,19,24,42
ILOC50300402,0,0,0,0,0,0,14,10,24,10,12,25,4,3,11,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,24,49,43,93
ILOC50300403,0,0,0,0,0,0,5,3,9,21,10,29,3,6,13,5,8,13,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,35,35,75
ILOC50300405,5,0,8,0,0,0,6,7,15,7,6,12,5,0,3,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,22,22,49
ILOC50300406,0,3,5,0,0,3,16,22,35,14,19,27,5,5,11,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,40,60,99
ILOC50300407,4,5,9,0,6,3,10,9,19,10,11,19,5,0,4,7,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,24,41,39,80
ILOC50300408,7,4,9,0,0,0,23,18,45,14,9,22,0,4,12,0,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,14,58,61,114
ILOC50300409,13,6,15,0,0,0,33,32,59,8,13,23,0,3,3,0,7,5,0,6,6,0,4,4,0,0,0,0,0,0,4,6,5,4,4,3,6,4,12,0,0,5,74,71,146
ILOC50300410,0,4,7,0,0,0,12,13,25,6,7,13,4,3,11,4,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3,9,34,40,79
ILOC50300501,0,0,0,0,6,8,5,11,19,8,12,22,0,5,5,4,4,6,0,0,5,0,3,3,0,0,4,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,30,46,79
ILOC50300502,0,0,3,0,0,0,6,4,8,0,5,8,4,0,3,0,0,3,0,0,0,0,4,5,0,0,0,5,3,9,5,3,6,0,0,0,15,0,18,3,4,6,46,30,75
ILOC50300503,0,0,0,0,0,0,0,0,5,5,12,23,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,15,20,31
ILOC50300601,7,8,8,0,0,0,43,40,81,39,28,66,27,23,55,15,37,54,0,12,18,3,12,14,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,17,25,151,181,337
ILOC50300701,0,0,3,10,8,13,25,27,43,9,0,12,0,5,8,0,0,0,0,0,0,0,0,4,4,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,48,49,99
ILOC50400101,11,3,12,0,0,0,16,13,28,10,11,21,8,6,12,0,0,0,0,0,0,8,0,4,0,0,7,0,0,5,4,0,4,0,0,0,3,0,3,0,0,0,50,39,96
ILOC50400102,3,9,11,0,0,0,3,0,6,0,3,3,0,6,6,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17,26
ILOC50400103,27,18,44,0,0,5,48,39,83,24,22,45,11,17,22,16,20,34,0,6,11,5,5,10,4,0,4,0,0,4,0,0,0,0,0,0,4,0,4,22,18,41,152,147,295
ILOC50400201,6,7,13,7,6,10,75,55,131,56,41,96,3,21,27,6,11,22,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,14,166,149,313
ILOC50400202,0,5,5,0,0,0,4,3,9,0,6,8,5,5,13,5,4,7,3,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,25,32,53
ILOC50400203,3,0,5,0,4,6,15,27,43,9,15,24,0,4,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,38,52,87
ILOC50400204,5,5,6,3,7,9,26,22,50,8,17,25,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,22,59,62,126
ILOC50400205,3,0,6,0,0,0,24,22,46,0,6,6,0,0,4,0,4,6,0,0,0,3,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,8,8,10,40,37,78
ILOC50400301,22,21,46,6,10,14,50,55,103,28,38,65,24,37,60,10,31,42,12,18,26,9,19,29,16,15,28,5,5,15,6,12,12,6,6,5,6,4,6,24,34,59,225,305,526
ILOC50400302,8,8,15,3,13,14,19,21,44,15,18,34,10,10,17,3,6,8,0,7,10,0,0,4,0,4,0,7,0,6,0,0,4,0,0,0,0,0,4,6,7,19,86,91,175
ILOC50400303,7,6,9,0,3,4,22,22,40,5,7,13,0,9,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,40,43,82
ILOC50400401,19,13,33,3,5,10,32,24,50,29,19,47,6,6,14,7,6,12,3,5,7,4,6,8,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,37,32,66,134,124,258
ILOC50400501,16,21,37,14,7,17,36,28,70,27,36,56,14,17,28,4,12,22,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,115,128,244
ILOC50400601,43,40,83,7,10,17,23,25,52,39,55,91,19,37,50,22,44,67,14,26,44,21,35,61,21,34,57,20,26,51,22,25,39,12,13,21,26,11,36,33,40,74,323,420,749
ILOC50400602,3,3,3,0,0,5,24,19,42,3,0,5,4,7,10,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,16,40,42,84
ILOC50400603,0,0,0,0,0,0,3,6,9,0,0,3,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,14,16,23,36
ILOC50400701,0,3,3,0,0,0,12,17,30,3,8,11,3,4,11,5,6,10,0,0,0,4,0,7,0,3,9,3,0,3,0,0,3,5,0,5,4,5,7,7,6,15,58,55,111
ILOC50400702,0,5,3,3,6,9,3,0,9,0,6,3,0,0,0,4,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,48
ILOC50400801,13,21,33,4,5,10,28,21,49,15,33,49,7,11,27,12,18,31,3,10,10,13,10,23,9,5,16,11,9,17,4,0,8,5,0,5,8,6,12,19,15,28,146,168,307
ILOC50500101,20,33,52,7,8,16,29,36,64,27,30,52,25,34,55,24,37,61,17,20,34,16,16,36,24,15,38,10,14,22,10,7,14,11,3,16,16,12,27,17,12,29,244,274,522
ILOC50500102,28,33,69,16,14,28,22,22,44,13,23,32,3,20,22,13,12,29,9,21,29,15,19,30,21,19,44,21,17,32,14,13,31,19,12,31,54,17,66,3,3,15,244,247,494
ILOC50500103,18,14,26,3,3,12,7,19,25,17,15,27,5,5,16,10,21,29,5,12,18,7,0,6,7,6,12,7,9,11,4,6,15,10,4,12,17,6,23,10,9,23,128,136,261
ILOC50500104,24,21,48,0,8,7,10,19,27,14,10,24,3,11,19,9,16,21,3,13,13,12,8,18,10,5,18,6,9,14,9,7,15,3,0,6,18,8,21,4,7,14,132,134,266
ILOC50500105,18,5,21,4,0,6,12,6,23,11,13,20,6,3,10,4,6,13,8,3,11,7,5,9,10,10,16,0,6,6,7,0,8,0,0,6,0,5,5,0,0,8,84,78,158
ILOC50500201,15,15,35,0,0,9,17,21,31,9,20,22,6,16,23,10,19,33,9,7,18,13,8,15,7,8,17,4,3,8,3,0,6,7,3,13,17,9,25,0,7,8,125,142,263
ILOC50500301,24,31,57,4,9,9,17,17,40,20,10,34,8,20,25,10,20,28,4,17,25,10,11,24,13,16,30,16,10,24,10,4,17,4,4,11,24,9,37,6,4,10,169,191,357
ILOC50500302,16,22,36,3,12,21,13,16,25,10,22,26,4,24,27,15,17,33,8,18,27,11,17,27,22,7,29,12,12,23,13,10,23,7,10,19,33,12,42,11,10,22,178,208,383
ILOC50500401,22,18,43,5,8,7,16,14,31,16,23,40,13,23,32,11,12,23,4,13,20,9,9,20,20,16,31,5,11,18,9,5,14,4,10,10,32,17,50,15,6,19,174,180,358
ILOC50500402,22,6,26,4,6,9,6,12,21,13,8,16,3,14,14,0,12,16,8,11,16,7,7,15,5,3,6,3,7,14,5,6,9,0,3,5,15,4,15,0,0,5,90,100,191
ILOC50500403,5,4,12,0,0,0,4,3,11,4,4,9,4,4,3,0,3,3,0,4,4,0,0,4,6,7,6,3,4,5,0,3,6,4,0,5,4,0,7,0,0,0,34,43,76
ILOC50500404,8,12,21,6,5,13,3,12,15,8,16,21,7,7,14,9,6,10,9,0,7,3,8,7,7,6,9,4,6,10,6,5,11,3,7,12,23,14,33,9,3,7,93,116,203
ILOC50500501,21,22,41,4,10,15,11,5,21,13,21,33,11,18,24,0,13,14,4,11,17,8,7,18,13,14,25,0,6,5,12,3,14,11,0,7,20,10,24,5,0,4,128,122,252
ILOC50500502,33,43,75,3,14,19,32,20,56,32,37,70,13,35,49,16,31,47,13,16,31,21,14,36,17,15,31,9,15,23,6,11,18,7,11,15,20,22,41,16,11,29,241,293,532
ILOC50500503,9,4,12,0,0,4,0,3,0,0,4,4,0,6,6,0,4,4,0,0,0,3,0,3,0,0,5,0,0,0,3,3,5,0,0,4,4,0,10,0,0,0,27,29,56
ILOC50500601,14,20,39,15,10,26,13,11,20,11,15,32,12,19,25,10,22,28,10,14,27,12,19,24,9,21,23,12,10,21,10,8,18,10,7,14,24,14,43,0,0,3,158,183,348
ILOC50500602,9,7,20,3,5,8,9,11,23,12,11,17,5,6,19,4,15,22,0,15,16,13,16,23,12,17,26,14,12,24,11,7,13,7,6,14,22,11,30,3,7,9,127,146,269
ILOC50500603,28,26,62,10,15,25,23,21,45,16,21,33,14,17,35,12,15,26,11,23,36,13,23,32,13,30,48,12,25,36,14,11,19,14,7,22,44,19,64,12,13,22,230,258,496
ILOC50500604,14,8,17,3,0,4,8,11,18,4,7,14,3,7,10,3,6,12,5,6,7,5,0,6,0,0,5,8,5,8,0,6,0,0,3,3,5,6,9,0,6,5,56,68,121
ILOC50500605,20,19,39,3,4,8,11,10,22,14,17,29,5,13,17,3,4,12,5,9,8,8,8,10,9,8,18,9,4,13,7,3,7,0,3,3,20,7,27,7,8,20,115,116,231
ILOC50500701,18,23,45,12,16,28,30,26,55,22,25,50,18,16,32,13,22,34,9,9,19,16,13,27,14,16,27,10,12,23,3,13,19,7,6,5,35,18,56,7,15,21,208,235,444
