ILOC_CODE_2021,Age_14_IndSt_nsP,Age_14_TotM,Age_14_TotF,Age_14_TotP,Age_10_14_Indig_M,Age_10_14_Indig_F,Age_10_14_Indig_P,Age_10_14_NonInd_M,Age_10_14_NonInd_F,Age_10_14_NonInd_P,Age_10_14_Indig_st_nsM,Age_10_14_Indig_st_nsF,Age_10_14_Indig_st_nsP,Age_10_14_TotM,Age_10_14_TotF,Age_10_14_TotP,Age_15_Indig_M,Age_15_Indig_F,Age_15_Indig_P,Age_15_NonInd_M,Age_15_NonInd_F,Age_15_NonInd_P,Age_15_Indig_st_nsM,Age_15_Indig_st_nsF,Age_15_Indig_st_nsP,Age_15_TotM,Age_15_TotF,Age_15_TotP,Age_16_Indig_M,Age_16_Indig_F,Age_16_Indig_P,Age_16_NonInd_M,Age_16_NonInd_F,Age_16_NonInd_P,Age_16_IndigStat_nsM,Age_16_IndigStat_nsF,Age_16_IndigStat_nsP,Age_16_TotM,Age_16_TotF,Age_16_TotP,Age_17_Indig_M,Age_17_Indig_F,Age_17_Indig_P,Age_17_NonInd_M,Age_17_NonInd_F,Age_17_NonInd_P,Age_17_IndigStat_nsM,Age_17_IndigStat_nsF,Age_17_IndigStat_nsP,Age_17_TotM,Age_17_TotF,Age_17_TotP,Age_18_Indig_M,Age_18_Indig_F,Age_18_Indig_P,Age_18_NonInd_M,Age_18_NonInd_F,Age_18_NonInd_P,Age_18_IndigStat_nsM,Age_18_IndigStat_nsF,Age_18_IndigStat_nsP,Age_18_TotM,Age_18_TotF,Age_18_TotP,Age_19_Indig_M,Age_19_Indig_F,Age_19_Indig_P,Age_19_NonInd_M,Age_19_NonInd_F,Age_19_NonInd_P,Age_19_IndigStat_nsM,Age_19_IndigStat_nsF,Age_19_IndigStat_nsP,Age_19_TotM,Age_19_TotF,Age_19_TotP,Age_15_19_Indig_M,Age_15_19_Indig_F,Age_15_19_Indig_P,Age_15_19_NonInd_M,Age_15_19_NonInd_F,Age_15_19_NonInd_P,Age_15_19_IndSt_nsM,Age_15_19_IndSt_nsF,Age_15_19_IndSt_nsP,Age_15_19_TotM,Age_15_19_TotF,Age_15_19_TotP,Age_20_Indig_M,Age_20_Indig_F,Age_20_Indig_P,Age_20_NonInd_M,Age_20_NonInd_F,Age_20_NonInd_P,Age_20_Ind_status_nsM,Age_20_Ind_status_nsF,Age_20_Ind_status_nsP,Age_20_TotM,Age_20_TotF,Age_20_TotP,Age_21_Indig_M,Age_21_Indig_F,Age_21_Indig_P,Age_21_NonInd_M,Age_21_NonInd_F,Age_21_NonInd_P,Age_21_Ind_status_nsM,Age_21_Ind_status_nsF,Age_21_Ind_status_nsP,Age_21_TotM,Age_21_TotF,Age_21_TotP,Age_22_Indig_M,Age_22_Indig_F,Age_22_Indig_P,Age_22_NonInd_M,Age_22_NonInd_F,Age_22_NonInd_P,Age_22_Indig_st_nsM,Age_22_Indig_st_nsF,Age_22_Indig_st_nsP,Age_22_TotM,Age_22_TotF,Age_22_TotP,Age_23_Indig_M,Age_23_Indig_F,Age_23_Indig_P,Age_23_NonInd_M,Age_23_NonInd_F,Age_23_NonInd_P,Age_23_Indig_st_nsM,Age_23_Indig_st_nsF,Age_23_Indig_st_nsP,Age_23_TotM,Age_23_TotF,Age_23_TotP,Age_24_Indig_M,Age_24_Indig_F,Age_24_Indig_P,Age_24_NonInd_M,Age_24_NonInd_F,Age_24_NonInd_P,Age_24_Indig_st_nsM,Age_24_Indig_st_nsF,Age_24_Indig_st_nsP,Age_24_TotM,Age_24_TotF,Age_24_TotP,Age_20_24_Indig_M,Age_20_24_Indig_F,Age_20_24_Indig_P,Age_20_24_NonInd_M,Age_20_24_NonInd_F,Age_20_24_NonInd_P,Age_20_24_Indig_st_nsM,Age_20_24_Indig_st_nsF,Age_20_24_Indig_st_nsP,Age_20_24_TotM,Age_20_24_TotF,Age_20_24_TotP,Age_25_29_Indig_M,Age_25_29_Indig_F,Age_25_29_Indig_P,Age_25_29_NonInd_M,Age_25_29_NonInd_F,Age_25_29_NonInd_P,Age_25_29_Indig_st_nsM,Age_25_29_Indig_st_nsF,Age_25_29_Indig_st_nsP,Age_25_29_TotM,Age_25_29_TotF,Age_25_29_TotP,Age_30_34_Indig_M,Age_30_34_Indig_F,Age_30_34_Indig_P,Age_30_34_NonInd_M,Age_30_34_NonInd_F,Age_30_34_NonInd_P,Age_30_34_Indig_st_nsM,Age_30_34_Indig_st_nsF,Age_30_34_Indig_st_nsP,Age_30_34_TotM,Age_30_34_TotF,Age_30_34_TotP,Age_35_39_Indig_M,Age_35_39_Indig_F,Age_35_39_Indig_P,Age_35_39_NonInd_M,Age_35_39_NonInd_F,Age_35_39_NonInd_P,Age_35_39_Indig_st_nsM,Age_35_39_Indig_st_nsF,Age_35_39_Indig_st_nsP,Age_35_39_TotM,Age_35_39_TotF,Age_35_39_TotP,Age_40_44_Indig_M,Age_40_44_Indig_F,Age_40_44_Indig_P,Age_40_44_NonInd_M
ILOC50100101,7,32,28,62,69,59,127,65,50,112,16,12,35,154,121,277,14,15,27,8,15,23,4,3,9,26,35,57,11,12,23,7,14,28,11,4,10,28,27,57,7,13,15,6,14,22,3,4,7,12,28,43,11,13,23,5,8,13,3,0,3,15,23,37,9,14,22,8,8,16,4,3,9,14,25,42,38,64,101,37,52,94,22,19,37,102,138,232,9,10,18,6,4,14,0,0,5,16,19,35,16,6,21,3,5,9,0,3,4,23,14,35,8,6,14,8,8,14,3,0,3,18,11,32,5,6,15,9,13,19,0,4,5,19,21,38,10,6,15,6,17,30,6,3,16,25,30,51,50,37,86,34,49,85,15,14,30,100,95,200,45,48,98,59,91,147,14,28,37,117,162,286,42,42,88,77,87,164,30,32,53,146,157,303,40,33,69,63,105,162,9,16,28,109,156,267,48,50,96,70
ILOC50100102,8,37,40,79,36,51,89,151,134,287,28,38,70,219,221,445,6,4,6,15,19,34,0,5,3,24,27,52,7,6,14,27,24,52,8,7,8,42,35,75,4,5,5,16,14,31,4,6,8,27,21,43,0,9,12,13,10,28,5,3,9,19,20,42,4,9,9,15,16,28,3,0,9,19,25,50,21,26,49,90,81,169,23,21,40,126,130,254,6,4,7,16,8,23,3,0,4,27,9,30,9,4,19,16,13,32,7,3,9,28,23,50,3,4,9,13,15,28,0,7,4,26,26,46,3,3,11,12,22,35,0,9,10,13,34,54,3,7,7,21,25,47,3,0,6,31,34,67,25,22,48,81,83,168,14,20,32,125,128,251,19,29,51,132,168,295,30,34,60,173,233,405,19,34,56,169,262,434,35,49,90,233,343,578,25,29,55,215,250,464,45,40,85,279,319,602,16,29,49,165
ILOC50100103,0,5,6,3,7,7,10,0,0,0,0,0,0,9,7,13,0,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,0,4,0,0,7,0,0,0,0,0,0,0,0,7,5,3,12,0,0,0,0,0,0,8,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,0,0,3,3,7,3,3,5,0,0,0,0,0,0,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,5,4,10,0,0,0,0,0,0,9,4,9,3,5,5,0,0,0,0,0,5,3,4,7,10,4,11,0,6,6,0,0,0,14,9,18,6,7,13,3,7,10,3,0,0,12,16,23,8,6,17,0
ILOC50100104,15,45,48,89,93,92,183,97,101,206,24,28,53,218,222,441,10,18,31,13,16,26,6,0,3,29,35,62,18,0,20,19,17,38,0,8,7,37,24,63,12,19,31,26,18,42,3,5,4,39,36,75,13,12,22,11,18,28,0,5,7,20,35,59,18,9,23,6,17,31,4,7,9,27,36,57,64,60,125,77,89,166,11,19,31,157,165,321,11,13,17,11,8,20,4,9,8,20,27,48,7,9,19,19,12,32,3,3,4,29,22,53,11,16,23,18,15,30,6,0,9,32,32,65,10,11,20,15,16,26,7,5,11,24,30,55,11,7,18,27,29,47,4,3,7,40,40,76,42,52,101,78,80,164,18,18,36,142,151,297,41,54,90,101,171,269,21,31,52,162,257,414,57,57,109,165,191,347,22,32,53,247,268,516,35,48,87,145,178,321,22,24,44,202,240,446,29,39,67,114
ILOC50100201,0,0,0,9,18,22,40,0,0,0,0,0,0,18,22,40,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,5,0,7,0,0,4,0,0,0,0,0,0,0,0,4,0,4,4,0,0,0,0,0,0,0,4,4,4,5,6,0,0,0,0,0,0,4,5,6,10,11,19,0,0,0,0,0,0,10,11,19,3,4,6,0,0,0,0,0,0,3,4,6,7,0,7,0,0,0,0,0,0,7,0,7,4,7,9,0,0,0,0,0,0,4,7,9,0,0,6,0,0,0,0,0,0,0,0,6,0,4,6,0,0,0,0,0,0,0,4,6,18,11,33,0,0,0,0,0,0,18,11,33,12,10,21,5,0,7,0,0,0,15,13,30,16,10,27,0,0,5,0,0,0,14,13,30,6,13,17,0,0,0,0,0,0,6,16,23,7,9,18,0
ILOC50100202,0,8,0,7,23,21,42,0,0,0,0,0,0,23,21,43,3,0,3,0,0,0,0,0,0,3,0,10,7,0,9,0,0,0,0,0,0,7,0,9,3,0,7,0,0,0,0,0,0,3,0,7,3,5,11,0,0,0,0,0,0,3,5,11,4,3,5,0,0,0,0,0,0,4,3,5,17,17,32,0,0,0,0,0,0,15,17,30,0,3,7,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,9,9,9,6,11,0,0,0,0,0,0,9,11,16,18,16,30,0,0,0,0,0,3,17,14,39,12,16,28,0,5,3,0,0,0,14,15,30,9,11,26,0
ILOC50100203,0,3,0,12,34,20,56,0,0,0,4,0,3,32,25,58,9,11,13,0,0,0,0,0,0,9,11,13,4,0,4,0,0,0,0,0,0,4,0,4,0,3,6,0,0,0,0,0,0,0,3,6,7,5,11,0,0,0,0,0,0,7,5,11,4,5,13,0,0,0,0,0,0,9,5,14,25,24,51,0,0,0,0,0,0,22,24,55,0,4,8,0,0,0,0,0,0,0,4,8,14,4,12,0,0,0,0,0,0,14,4,12,3,7,13,0,0,0,0,0,0,3,7,13,3,5,10,0,4,4,0,0,0,3,9,16,4,3,4,0,0,0,0,0,0,4,3,4,30,21,48,0,4,4,0,0,0,30,24,53,23,25,52,3,8,13,0,0,0,29,31,63,17,22,44,0,8,8,0,0,0,17,27,45,18,18,42,0,3,6,0,0,0,19,22,44,10,14,27,0
ILOC50100207,0,6,0,6,0,0,0,10,5,15,0,0,0,10,7,16,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,4,9,0,0,0,12,4,11,0,0,0,0,5,4,0,0,0,4,8,10,0,0,0,0,8,9,0,0,0,4,5,11,0,0,0,7,0,7,0,0,0,7,0,7,0,0,0,0,3,6,0,3,0,4,5,7,0,0,0,6,6,10,0,0,0,3,6,8,0,0,3,13,20,34,3,4,7,18,27,45,3,0,10,23,17,36,4,0,5,29,23,55,3,0,3,18,27,44,0,6,10,16,35,53,0,4,4,11,13,22,0,3,4,12,17,31,4,0,4,12
ILOC50100208,0,4,4,4,6,12,17,0,0,0,0,0,0,6,12,17,5,0,5,0,0,0,0,0,0,5,0,6,0,0,4,0,0,0,0,0,0,0,0,4,5,3,6,0,0,0,0,0,0,5,3,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,0,5,9,10,17,0,0,0,0,0,0,9,11,17,4,0,6,0,0,0,0,0,0,4,0,6,0,5,5,0,0,0,0,0,0,0,9,9,0,5,5,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,4,3,7,14,24,0,0,0,0,0,0,7,15,23,11,3,17,0,0,0,0,0,0,11,3,21,8,13,18,0,0,0,0,0,0,5,13,19,5,5,12,0,0,0,0,3,3,10,8,15,7,3,13,0
ILOC50200101,9,29,25,49,29,37,70,99,67,164,27,28,62,156,136,292,4,3,10,15,14,31,4,3,13,29,26,56,3,7,8,17,8,20,5,6,10,26,16,39,9,5,12,14,9,27,7,7,8,26,24,46,4,12,8,10,12,20,9,0,8,21,19,38,6,4,14,16,10,21,4,0,6,26,14,41,24,29,54,70,54,125,31,21,48,127,98,222,3,4,11,13,11,27,5,11,14,22,28,51,6,6,12,16,10,30,9,8,22,29,27,60,0,6,5,17,8,27,8,4,13,22,20,43,8,8,9,18,20,33,8,5,10,24,30,56,3,8,7,18,20,33,12,9,18,30,32,66,19,22,44,74,75,145,36,35,74,134,138,266,16,24,36,106,93,195,46,29,81,166,151,312,13,17,28,86,115,204,32,34,66,133,164,300,17,15,28,91,105,195,31,30,61,138,149,289,12,12,26,90
