ILOC_CODE_2021,Neg_nil_inc_Hh_with_Ind_psns,Neg_nil_inc_Other_households,Neg_nil_inc_Tot_hhlds,1_149_Hhd_with_Indig_psns,1_149_Other_households,1_149_Tot_hhlds,150_299_Hhd_with_Indig_psns,150_299_Other_households,150_299_Tot_hhlds,300_399_Hhd_with_Indig_psns,300_399_Other_households,300_399_Tot_hhlds,400_499_Hhd_with_Indig_psns,400_499_Other_households,400_499_Tot_hhlds,500_649_Hhd_with_Indig_psns,500_649_Other_households,500_649_Tot_hhlds,650_799_Hhd_with_Indig_psns,650_799_Other_households,650_799_Tot_hhlds,800_999_Hh_with_Indig_psn,800_999_Other_households,800_999_Tot_hhlds,1000_1249_Hh_with_Indig_psn,1000_1249_Other_households,1000_1249_Tot_hhlds,1250_1499_Hh_with_Indig_psn,1250_1499_Other_households,1250_1499_Tot_hhlds,1500_1749_Hh_with_Indig_psn,1500_1749_Other_households,1500_1749_Tot_hhlds,1750_1999_Hh_with_Indig_psn,1750_1999_Other_households,1750_1999_Tot_hhlds,2000_more_Hh_with_Indig_psn,2000_more_Other_households,2000_more_Tot_hhlds,Part_inc_st_Hh_with_Indig_psn,Partial_inc_stated_Other_hhds,Partial_inc_stated_Tot_hhlds,All_inc_ns_Hh_with_Ind_psns,All_income_ns_Other_household,All_inc_NS_Tot_hhlds,Tot_Household_with_Indig_psns,Tot_Other_households,Tot_Tot_hhlds
ILOC50100101,10,11,19,5,5,11,45,5,54,40,10,57,30,44,71,25,30,57,12,40,49,20,55,74,34,79,108,34,69,105,19,72,85,16,66,83,17,152,167,53,75,129,44,11,60,404,724,1129
ILOC50100102,4,19,21,0,5,8,12,10,25,25,30,57,21,36,56,12,29,45,13,53,66,23,85,105,29,126,157,31,150,176,27,159,192,25,146,169,39,358,399,38,168,209,5,24,28,304,1398,1713
ILOC50100103,0,0,0,0,0,0,4,0,4,6,0,6,9,0,9,8,0,8,5,0,5,11,0,9,3,0,3,0,0,0,5,0,5,5,0,5,3,0,3,4,3,7,0,0,0,63,3,64
ILOC50100104,5,12,18,9,0,15,44,13,54,30,26,55,37,42,79,27,45,71,23,55,75,34,71,101,37,120,161,35,133,166,34,137,165,22,137,160,46,323,366,53,168,219,12,24,33,448,1306,1738
ILOC50100201,0,0,0,4,0,4,6,0,6,14,0,14,11,0,11,7,0,7,8,0,8,3,0,3,6,0,6,0,0,0,4,0,4,0,4,8,0,0,0,10,0,14,16,0,16,89,4,101
ILOC50100202,0,0,0,0,0,0,9,0,12,16,0,16,10,0,10,12,0,10,8,0,8,6,0,10,5,0,7,3,0,3,0,0,0,0,0,0,0,0,5,11,0,11,9,0,9,89,0,101
ILOC50100203,0,0,0,14,0,14,32,0,35,14,0,14,26,0,26,12,0,12,3,0,3,0,0,5,0,0,0,5,0,3,4,5,4,0,8,5,0,17,17,7,0,7,0,0,0,117,30,145
ILOC50100207,0,11,10,0,0,0,0,0,0,3,3,9,4,6,12,3,5,4,0,3,5,4,13,17,0,15,15,0,7,7,0,3,3,0,6,6,0,10,10,0,7,7,0,5,5,14,94,110
ILOC50100208,0,0,0,0,0,0,10,0,10,11,0,11,5,0,5,12,0,12,4,0,4,6,0,9,5,0,5,0,0,0,4,0,4,0,0,0,0,3,4,0,0,0,0,0,3,57,3,67
ILOC50200101,5,22,25,3,12,22,22,27,51,27,53,83,43,122,162,26,92,115,23,79,106,19,157,176,25,140,166,16,133,149,11,85,91,14,76,94,18,189,203,25,109,135,11,46,55,288,1342,1633
ILOC50200102,0,0,0,0,0,0,13,0,13,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,35,0,35
ILOC50200201,0,6,6,0,0,0,0,7,11,4,8,13,4,28,28,3,10,9,0,5,9,8,10,12,5,22,28,4,12,14,3,9,7,3,5,6,0,14,16,6,7,18,0,3,3,40,146,180
ILOC50200202,0,3,9,0,0,0,0,0,9,0,0,0,0,19,22,0,7,8,0,11,17,3,7,14,0,6,13,0,8,12,0,4,4,0,3,8,0,17,18,4,6,12,0,3,9,7,94,155
ILOC50200301,0,14,14,0,9,9,0,14,14,3,28,34,0,50,50,0,57,56,4,45,48,3,47,50,0,65,65,12,60,69,0,38,45,0,28,30,0,75,75,3,70,80,0,16,12,25,616,651
ILOC50200302,0,0,5,0,4,4,0,7,12,5,11,17,8,19,24,4,13,18,0,6,7,4,15,20,0,7,11,0,12,12,0,6,6,0,5,11,0,21,25,3,10,17,3,0,6,27,136,195
ILOC50200303,0,33,30,0,4,4,4,27,31,4,71,79,15,168,182,7,121,124,5,91,92,7,108,119,5,92,103,4,77,78,0,60,59,0,52,55,3,90,90,12,84,95,0,34,33,66,1112,1174
ILOC50200401,13,56,69,13,23,31,49,89,132,69,161,231,43,388,433,68,364,433,36,243,284,40,317,357,44,312,350,19,232,256,20,170,187,11,101,109,18,267,283,50,207,254,12,66,77,505,2996,3486
ILOC50200402,0,41,46,4,19,22,12,50,71,17,76,90,19,212,234,27,178,205,17,151,164,37,214,246,34,305,338,25,240,262,16,217,230,12,202,217,25,380,406,42,358,390,3,51,51,290,2694,2972
ILOC50200403,10,52,55,0,23,27,21,71,95,36,81,111,28,314,346,32,214,246,23,217,239,23,277,296,23,311,335,13,235,250,14,209,224,6,162,169,24,355,377,33,235,268,12,48,59,298,2804,3097
ILOC50200404,4,56,64,4,29,34,21,83,98,31,155,186,26,357,383,23,309,333,30,269,295,26,371,398,32,496,529,25,384,406,21,311,343,14,306,320,13,611,623,32,340,364,3,66,71,305,4143,4447
ILOC50200501,3,72,72,4,18,19,5,81,85,11,135,144,18,337,353,19,273,288,15,169,184,15,229,243,11,243,250,14,171,190,6,158,165,7,112,115,3,286,285,24,248,272,3,88,92,158,2620,2757
ILOC50200601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9
ILOC50200602,5,3,6,3,0,6,12,3,18,17,5,23,12,15,25,14,8,21,6,8,16,3,3,11,7,13,20,0,11,17,3,7,11,0,6,4,4,26,37,12,9,24,24,10,31,122,127,270
ILOC50200701,0,0,0,0,0,0,3,0,3,5,0,5,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,14,0,19
ILOC50200702,7,15,19,0,0,0,4,8,8,9,21,27,7,54,64,6,20,28,0,32,38,9,52,58,7,52,59,3,36,37,7,26,26,0,18,20,9,40,51,7,43,45,5,21,23,80,438,503
ILOC50300101,6,53,55,5,38,42,20,95,117,12,130,147,15,406,425,20,331,351,25,280,304,18,333,353,14,415,437,17,318,335,6,266,276,0,191,196,12,425,439,30,326,358,8,95,100,208,3702,3935
ILOC50300102,0,37,40,0,10,9,4,39,40,3,73,77,7,145,150,3,123,128,4,120,123,4,144,149,10,185,194,4,146,149,10,135,140,4,97,103,15,274,287,9,193,200,9,47,49,86,1768,1838
ILOC50300201,0,3,3,0,0,0,0,4,7,0,17,19,14,27,42,8,15,21,0,8,8,4,15,20,3,21,27,7,19,20,6,20,20,0,22,17,0,24,24,7,23,28,4,7,10,53,225,266
ILOC50300202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50300203,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,3,9,0,6,9,0,5,5,0,0,0,0,4,4,0,18,18,0,8,6,0,0,0,0,52,59
ILOC50300204,0,15,15,0,5,4,4,22,22,7,25,36,7,47,56,6,45,46,0,34,40,0,45,46,6,58,69,12,53,56,7,70,78,0,39,39,13,195,213,3,66,74,0,22,26,65,741,820
ILOC50300205,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,19,0,19
ILOC50300206,0,7,5,0,0,0,3,9,13,0,17,17,5,44,47,6,22,19,0,14,15,3,22,26,3,10,12,4,8,9,0,9,9,0,10,8,0,13,13,8,15,21,3,17,18,35,217,232
ILOC50300301,21,115,132,9,54,64,45,111,159,53,182,233,50,429,481,51,367,420,32,337,378,65,549,615,69,874,946,61,880,942,47,976,1020,53,899,954,101,2514,2615,68,734,801,51,170,218,776,9191,9978
ILOC50300302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50300401,0,0,0,0,0,0,3,0,3,3,0,3,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11
ILOC50300402,0,0,0,0,0,0,0,0,0,3,0,3,8,0,8,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,21,0,21
ILOC50300403,0,0,0,0,0,0,0,0,0,5,0,5,3,0,3,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,0,5,0,0,0,20,4,24
ILOC50300405,0,0,0,0,0,0,6,0,6,7,0,7,8,0,8,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25
ILOC50300406,0,0,0,3,0,3,10,0,10,7,0,7,4,0,4,4,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,3,0,3,31,6,40
ILOC50300407,0,0,0,0,0,0,3,0,3,4,0,4,3,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,4,0,4,14,8,22
ILOC50300408,0,0,0,0,0,0,8,0,8,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,12,0,12,0,0,0,28,7,32
ILOC50300409,0,3,3,0,0,0,7,0,14,13,0,15,10,9,19,5,0,8,0,3,3,0,7,8,0,10,12,0,9,9,5,4,7,0,7,8,0,21,21,4,5,6,0,8,6,44,86,139
