ILOC_CODE_2021,NsQ_Cer_III_IV_IndSt_nsP,NsQ_Cer_III_IV_TotM,NsQ_Cer_III_IV_TotF,NsQ_Cer_III_IV_TotP,NsQ_Cer_I_II_Ind_M,NsQ_Cer_I_II_Ind_F,NsQ_Cer_I_II_Ind_P,NsQ_Cer_I_II_No_In_M,NsQ_Cer_I_II_No_In_F,NsQ_Cer_I_II_No_In_P,NsQ_Cer_I_II_Ind_s_nsM,NsQ_Cer_I_II_Ind_s_nsF,NsQ_Cer_I_II_Ind_s_nsP,NsQ_Cer_I_II_TotM,NsQ_Cer_I_II_TotF,NsQ_Cer_I_II_TotP,Mig_Sme_add_1_yr_ago_Indig_M,Mig_Sme_add_1_yr_ago_Indig_F,Mig_Sme_add_1_yr_ago_Indig_P,Mig_Sme_add_1_yr_ago_No_Ind_M,Mig_Sme_add_1_yr_ago_No_Ind_F,Mig_Sme_add_1_yr_ago_No_Ind_P,Mig_sa_ad_1_yr_ag_IndSt_nsM,Mig_sa_ad_1_yr_ag_IndSt_nsF,Mig_sa_ad_1_yr_ag_IndSt_nsP,Mig_Sme_add_1_yr_ago_TotM,Mig_Sme_add_1_yr_ago_TotF,Mig_Sme_add_1_yr_ago_TotP,Mig_Diff_add_1_yr_ago_Indig_M,Mig_Diff_add_1_yr_ago_Indig_F,Mig_Diff_add_1_yr_ago_Indig_P,Mig_Diff_ad_1_yr_ago_No_Ind_M,Mig_Diff_ad_1_yr_ago_No_Ind_F,Mig_Diff_ad_1_yr_ago_No_Ind_P,Mig_Dif_ad_1_yr_ag_In_st_nsM,Mig_Dif_ad_1_yr_ag_In_st_nsF,Mig_Dif_ad_1_yr_ag_In_st_nsP,Mig_Diff_add_1_yr_ago_TotM,Mig_Diff_add_1_yr_ago_TotF,Mig_Diff_add_1_yr_ago_TotP,Mig_Sme_add_5_ago_Indig_M,Mig_Sme_add_5_ago_Indig_F,Mig_Sme_add_5_ago_Indig_P,Mig_Sme_ad_5_ago_No_Ind_M,Mig_Sme_ad_5_ago_No_Ind_F,Mig_Sme_ad_5_ago_No_Ind_P,Mig_sa_ad_5_ag_In_st_nsM,Mig_sa_ad_5_ag_In_st_nsF,Mig_sa_ad_5_ag_In_st_nsP,Mig_Sme_add_5_ago_TotM,Mig_Sme_add_5_ago_TotF,Mig_Sme_add_5_ago_TotP,Mig_Diff_add_5_ago_Ind_M,Mig_Diff_add_5_ago_Ind_F,Mig_Diff_add_5_ago_Ind_P,Mig_Diff_ad_5_ag_No_Ind_M,Mig_Diff_ad_5_ag_No_Ind_F,Mig_Diff_ad_5_ag_No_Ind_P,Mi_Dif_ad_5_ag_In_st_nsM,Mi_Dif_ad_5_ag_In_st_nsF,Mi_Dif_ad_5_ag_In_st_nsP,Mig_Diff_add_5_ago_TotM,Mig_Diff_add_5_ago_TotF,Mig_Diff_add_5_ago_TotP
ILOC50100101,0,266,152,417,3,14,21,11,17,27,0,0,0,15,27,45,406,450,853,705,685,1386,12,17,26,1122,1147,2271,102,104,203,194,258,454,3,3,3,294,372,665,247,277,519,403,408,813,12,11,18,663,692,1356,201,231,437,454,519,970,9,7,10,659,758,1417
ILOC50100102,8,614,247,864,7,17,23,13,26,44,0,0,0,21,48,71,256,286,548,1478,1519,2996,11,9,23,1747,1815,3561,70,84,152,451,564,1013,4,0,3,524,644,1177,125,147,271,750,726,1473,9,7,12,880,878,1760,157,190,342,1041,1205,2245,8,4,16,1200,1403,2601
ILOC50100103,0,23,16,38,3,4,4,0,0,0,0,0,0,6,4,7,57,62,122,7,15,24,0,0,4,74,76,146,16,14,27,0,5,7,0,0,0,15,19,36,53,45,101,7,11,21,0,0,0,65,62,122,19,19,38,0,3,8,0,0,0,16,25,45
ILOC50100104,3,514,227,744,3,28,29,27,36,58,0,0,0,31,59,92,496,546,1037,1309,1329,2638,14,16,26,1818,1889,3705,91,110,201,340,463,807,0,0,0,435,573,1010,305,340,646,738,700,1431,8,10,13,1045,1046,2096,220,248,467,826,1009,1837,3,4,8,1044,1264,2307
ILOC50100201,0,17,3,22,0,4,6,0,0,0,0,0,0,0,4,6,124,124,242,13,3,13,0,0,0,131,125,255,16,13,29,0,5,4,0,0,0,14,21,35,93,83,174,5,0,7,0,0,0,101,83,184,31,44,76,7,0,11,0,0,0,40,49,85
ILOC50100202,0,19,8,28,3,4,3,0,0,0,0,0,0,3,4,9,123,126,247,0,11,11,0,0,0,127,136,263,8,9,21,0,5,6,0,0,0,12,13,30,101,103,209,0,6,6,0,0,0,101,109,212,18,14,32,6,8,8,0,0,0,21,21,43
ILOC50100203,0,18,25,39,3,8,12,0,0,0,0,0,0,3,8,12,219,241,451,9,25,30,0,0,0,222,259,481,25,24,44,9,16,27,0,0,0,38,36,76,163,191,354,0,6,15,0,0,0,167,204,367,59,48,98,13,26,45,0,0,0,74,71,145
ILOC50100207,0,47,21,66,0,0,0,0,4,0,0,0,0,0,3,3,28,17,45,117,82,197,0,0,0,140,100,240,6,7,15,53,77,129,0,0,0,57,88,142,24,18,37,80,55,131,0,0,0,103,69,172,3,7,16,84,88,171,0,0,0,90,96,184
ILOC50100208,0,11,7,22,0,3,3,0,0,0,0,0,0,0,3,3,90,98,191,6,6,16,0,0,5,100,106,208,3,8,10,7,3,11,0,0,0,13,7,21,75,76,154,3,0,5,0,0,0,82,79,160,16,14,25,11,8,18,0,0,0,23,20,43
ILOC50200101,8,451,189,637,6,3,10,31,37,65,0,0,0,30,41,78,244,317,568,1353,1170,2529,25,11,34,1617,1502,3124,50,42,91,271,269,536,5,5,10,325,317,641,148,204,350,921,747,1674,16,9,24,1082,964,2048,108,123,231,624,617,1239,13,6,18,736,748,1480
