ILOC_CODE_2021,OEI_IndSt_nsP,OEI_TotM,OEI_TotF,OEI_TotP,T_EI_ns_Ind_M,T_EI_ns_Ind_F,T_EI_ns_Ind_P,T_EI_ns_NonInd_M,T_EI_ns_NonInd_F,T_EI_ns_NonInd_P,T_EI_ns_IndSt_nsM,T_EI_ns_IndSt_nsF,T_EI_ns_IndSt_nsP,T_EI_ns_TotM,T_EI_ns_TotF,T_EI_ns_TotP,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_NonInd_M,Tot_NonInd_F,Tot_NonInd_P,Tot_IndigStat_nsM,Tot_IndigStat_nsF,Tot_IndigStat_nsP,Tot_TotM,Tot_TotF,Tot_TotP
ILOC50100101,0,7,12,22,108,52,158,30,16,41,243,237,482,385,301,684,270,206,477,212,236,450,246,240,489,729,682,1409
ILOC50100102,0,14,30,40,17,17,35,26,23,49,373,408,785,411,446,860,127,154,280,513,578,1093,377,414,796,1021,1145,2166
ILOC50100103,0,0,0,0,6,11,19,4,6,9,20,10,24,27,25,49,22,27,42,4,5,7,20,10,24,38,40,78
ILOC50100104,0,6,21,28,51,33,84,19,17,37,265,268,530,333,322,649,276,278,550,362,473,838,270,270,541,908,1027,1932
ILOC50100201,0,0,0,0,17,18,34,0,0,4,3,3,5,21,22,40,60,64,127,0,4,7,3,3,5,65,72,135
ILOC50100202,0,0,0,0,10,12,17,0,0,0,3,0,8,13,13,20,53,45,97,0,3,7,3,0,8,58,52,103
ILOC50100203,0,0,0,0,9,13,21,0,0,0,0,3,5,9,16,24,77,78,155,3,5,9,4,3,9,85,86,176
ILOC50100207,0,4,3,3,0,5,5,6,4,15,31,28,63,42,36,77,4,6,13,28,21,54,31,28,63,69,55,127
ILOC50100208,0,0,0,0,8,6,13,0,0,0,12,7,20,13,12,26,21,27,53,0,0,0,12,7,20,36,35,70
ILOC50200101,0,9,9,17,20,26,48,44,27,71,423,349,776,488,400,895,101,117,223,317,293,609,428,354,786,846,763,1613
ILOC50200102,0,3,0,3,4,5,8,0,0,0,0,0,4,3,9,14,19,19,37,0,0,0,0,0,4,21,19,41
ILOC50200201,0,3,0,5,3,4,9,10,0,10,160,56,217,170,58,230,24,15,40,17,10,26,160,56,217,199,80,281
ILOC50200202,0,6,3,7,0,0,0,8,0,8,174,130,302,180,131,310,7,10,15,22,20,40,174,129,300,201,151,354
ILOC50200301,0,0,5,8,0,0,0,17,13,38,138,125,255,156,137,289,12,3,13,157,185,338,138,124,260,301,314,614
ILOC50200302,0,0,0,0,0,0,7,9,0,9,41,49,90,52,56,105,13,15,29,35,36,68,41,49,90,91,98,192
ILOC50200303,0,4,4,8,3,7,10,21,17,40,216,168,384,242,191,439,25,35,64,217,192,411,223,169,393,470,392,866
ILOC50200401,0,21,34,51,25,34,60,46,39,86,512,481,992,580,556,1137,233,233,470,639,743,1382,518,484,1002,1391,1460,2851
