ILOC_CODE_2021,IS_NS_25_34_PD_GD_GCL_F,IS_NS_25_34_BDL_F,IS_NS_25_34_ADip_DipL_F,IS_NS_25_34_Ct_III_IV_F,IS_NS_25_34_Ct_I_II_F,IS_NS_25_34_CL_nfd_F,IS_NS_25_34_LoE_NS_F,IS_NS_25_34_Tot_F,IS_NS_35_44_PD_GD_GCL_F,IS_NS_35_44_BDL_F,IS_NS_35_44_ADip_DipL_F,IS_NS_35_44_Ct_III_IV_F,IS_NS_35_44_Ct_I_II_F,IS_NS_35_44_CL_nfd_F,IS_NS_35_44_LoE_NS_F,IS_NS_35_44_Tot_F,IS_NS_45_54_PD_GD_GCL_F,IS_NS_45_54_BDL_F,IS_NS_45_54_ADip_DipL_F,IS_NS_45_54_Ct_III_IV_F,IS_NS_45_54_Ct_I_II_F,IS_NS_45_54_CL_nfd_F,IS_NS_45_54_LoE_NS_F,IS_NS_45_54_Tot_F,IS_NS_55_64_PD_GD_GCL_F,IS_NS_55_64_BDL_F,IS_NS_55_64_ADip_DipL_F,IS_NS_55_64_Ct_III_IV_F,IS_NS_55_64_Ct_I_II_F,IS_NS_55_64_CL_nfd_F,IS_NS_55_64_LoE_NS_F,IS_NS_55_64_Tot_F,IS_NS_65ov_PtgdDe_GdDp_GdCt_F,IS_NS_65ov_BDL_F,IS_NS_65ov_ADip_DipL_F,IS_NS_65ov_Ct_III_IV_F,IS_NS_65ov_Ct_I_II_F,IS_NS_65ov_CL_nfd_F,IS_NS_65ov_LoE_NS_F,IS_NS_65ov_Tot_F,IS_NS_Tot_PD_GD_GCL_F,IS_NS_Tot_BDL_F,IS_NS_Tot_ADip_DipL_F,IS_NS_Tot_Ct_III_IV_F,IS_NS_Tot_Ct_I_II_F,IS_NS_tot_CL_nfd_F,IS_NS_Tot_LoE_NS_F,IS_NS_Tot_Tot_F,Tot_15_19_PD_GD_GCL_F,Tot_15_19_BDL_F,Tot_15_19_ADip_DipL_F,Tot_15_19_Ct_III_IV_F,Tot_15_19_Ct_I_II_F,Tot_15_19_CL_nfd_F,Tot_15_19_LoE_NS_F,Tot_15_19_Tot_F,Tot_20_24_PD_GD_GCL_F,Tot_20_24_BDL_F,Tot_20_24_ADip_DipL_F,Tot_20_24_Ct_III_IV_F,Tot_20_24_Ct_I_II_F,Tot_20_24_CL_nfd_F,Tot_20_24_LoE_NS_F,Tot_20_24_Tot_F,Tot_25_34_PD_GD_GCL_F,Tot_25_34_BDL_F,Tot_25_34_ADip_DipL_F,Tot_25_34_Ct_III_IV_F,Tot_25_34_Ct_I_II_F,Tot_25_34_CL_nfd_F,Tot_25_34_LoE_NS_F,Tot_25_34_Tot_F,Tot_35_44_PD_GD_GCL_F,Tot_35_44_BDL_F,Tot_35_44_ADip_DipL_F,Tot_35_44_Ct_III_IV_F,Tot_35_44_Ct_I_II_F,Tot_35_44_CL_nfd_F,Tot_35_44_LoE_NS_F,Tot_35_44_Tot_F,Tot_45_54_PD_GD_GCL_F,Tot_45_54_BDL_F,Tot_45_54_ADip_DipL_F,Tot_45_54_Ct_III_IV_F,Tot_45_54_Ct_I_II_F,Tot_45_54_CL_nfd_F,Tot_45_54_LoE_NS_F,Tot_45_54_Tot_F,Tot_55_64_PD_GD_GCL_F,Tot_55_64_BDL_F,Tot_55_64_ADip_DipL_F,Tot_55_64_Ct_III_IV_F,Tot_55_64_Ct_I_II_F,Tot_55_64_CL_nfd_F,Tot_55_64_LoE_NS_F,Tot_55_64_Tot_F,Tot_65ov_PtgdDe_GdDp_GdCt_F,Tot_65ov_BDL_F,Tot_65ov_ADip_DipL_F,Tot_65ov_Ct_III_IV_F,Tot_65ov_Ct_I_II_F,Tot_65ov_CL_nfd_F,Tot_65ov_LoE_NS_F,Tot_65ov_Tot_F,Tot_Tot_PD_GD_GCL_F,Tot_Tot_BDL_F,Tot_Tot_ADip_DipL_F,Tot_Tot_Ct_III_IV_F,Tot_Tot_Ct_I_II_F,Tot_tot_CL_nfd_F,Tot_Tot_LoE_NS_F,Tot_Tot_Tot_F,Ind_15_19_PD_GD_GCL_P,Ind_15_19_BDL_P,Ind_15_19_ADip_DipL_P,Ind_15_19_Ct_III_IV_P,Ind_15_19_Ct_I_II_P,Ind_15_19_CL_nfd_P,Ind_15_19_LoE_NS_P,Ind_15_19_Tot_P,Ind_20_24_PD_GD_GCL_P,Ind_20_24_BDL_P,Ind_20_24_ADip_DipL_P,Ind_20_24_Ct_III_IV_P,Ind_20_24_Ct_I_II_P,Ind_20_24_CL_nfd_P,Ind_20_24_LoE_NS_P,Ind_20_24_Tot_P,Ind_25_34_PD_GD_GCL_P,Ind_25_34_BDL_P,Ind_25_34_ADip_DipL_P,Ind_25_34_Ct_III_IV_P,Ind_25_34_Ct_I_II_P,Ind_25_34_CL_nfd_P,Ind_25_34_LoE_NS_P,Ind_25_34_Tot_P,Ind_35_44_PD_GD_GCL_P,Ind_35_44_BDL_P,Ind_35_44_ADip_DipL_P,Ind_35_44_Ct_III_IV_P,Ind_35_44_Ct_I_II_P,Ind_35_44_CL_nfd_P,Ind_35_44_LoE_NS_P,Ind_35_44_Tot_P,Ind_45_54_PD_GD_GCL_P,Ind_45_54_BDL_P,Ind_45_54_ADip_DipL_P,Ind_45_54_Ct_III_IV_P,Ind_45_54_Ct_I_II_P,Ind_45_54_CL_nfd_P,Ind_45_54_LoE_NS_P,Ind_45_54_Tot_P,Ind_55_64_PD_GD_GCL_P,Ind_55_64_BDL_P,Ind_55_64_ADip_DipL_P,Ind_55_64_Ct_III_IV_P,Ind_55_64_Ct_I_II_P,Ind_55_64_CL_nfd_P,Ind_55_64_LoE_NS_P,Ind_55_64_Tot_P,Ind_65ov_PtgdDe_GdDp_GdCt_P,Ind_65ov_BDL_P,Ind_65ov_ADip_DipL_P,Ind_65ov_Ct_III_IV_P,Ind_65ov_Ct_I_II_P,Ind_65ov_CL_nfd_P,Ind_65ov_LoE_NS_P,Ind_65ov_Tot_P,Ind_Tot_PD_GD_GCL_P,Ind_Tot_BDL_P,Ind_Tot_ADip_DipL_P,Ind_Tot_Ct_III_IV_P,Ind_Tot_Ct_I_II_P,Ind_tot_CL_nfd_P,Ind_Tot_LoE_NS_P,Ind_Tot_Tot_P,NonI_15_19_PD_GD_GCL_P,NonI_15_19_BDL_P,NonI_15_19_ADip_DipL_P,NonI_15_19_Ct_III_IV_P,NonI_15_19_Ct_I_II_P,NonI_15_19_CL_nfd_P,NonI_15_19_LoE_NS_P,NonI_15_19_Tot_P,NonI_20_24_PD_GD_GCL_P,NonI_20_24_BDL_P,NonI_20_24_ADip_DipL_P,NonI_20_24_Ct_III_IV_P,NonI_20_24_Ct_I_II_P,NonI_20_24_CL_nfd_P,NonI_20_24_LoE_NS_P,NonI_20_24_Tot_P,NonI_25_34_PD_GD_GCL_P,NonI_25_34_BDL_P,NonI_25_34_ADip_DipL_P,NonI_25_34_Ct_III_IV_P,NonI_25_34_Ct_I_II_P,NonI_25_34_CL_nfd_P,NonI_25_34_LoE_NS_P,NonI_25_34_Tot_P
ILOC50100101,0,0,0,0,0,0,56,53,0,0,0,0,0,0,32,34,0,0,0,0,0,0,40,40,0,0,0,0,0,0,29,29,0,0,0,0,0,0,23,26,3,0,0,0,0,0,207,206,0,0,0,3,8,0,32,43,0,12,5,21,6,0,17,59,33,84,25,32,8,4,75,257,38,49,33,31,5,8,57,217,29,45,23,40,0,3,55,188,12,40,26,15,0,3,52,150,15,15,16,12,0,0,32,93,130,232,126,152,27,26,316,1013,0,0,0,3,4,0,20,27,0,0,0,11,5,0,14,35,3,3,7,31,3,3,22,81,0,10,13,15,0,3,28,70,6,3,7,14,0,3,19,53,0,5,7,8,4,0,20,52,5,0,4,13,0,5,11,28,15,25,33,99,21,20,136,346,0,0,0,4,3,0,4,15,3,16,5,18,5,0,4,55,44,122,30,45,8,3,13,265
ILOC50100102,0,0,0,0,0,0,87,87,0,0,0,0,0,0,67,67,0,0,0,0,0,0,58,58,0,0,0,0,0,0,44,47,0,0,0,0,0,0,29,29,0,0,0,0,0,0,326,328,0,0,0,8,3,0,29,41,6,17,6,25,5,0,20,81,50,163,75,73,11,7,102,486,60,140,82,68,20,8,85,467,22,85,59,44,3,13,70,297,29,33,48,18,6,5,60,207,7,22,14,10,0,3,46,97,169,460,290,247,48,32,423,1671,0,0,0,0,3,0,4,9,0,0,0,13,6,0,4,26,8,14,12,30,5,0,5,67,8,10,18,27,6,4,9,76,3,8,4,21,0,0,3,44,4,4,3,4,0,0,14,34,0,4,0,3,0,0,8,17,22,31,36,105,23,8,45,274,0,0,0,9,3,3,12,29,0,28,11,45,8,0,11,103,71,220,94,170,9,8,29,600
ILOC50100103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,3,3,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,4,13,4,0,0,10,0,0,6,15,0,0,0,0,0,0,0,6,0,3,0,4,0,0,8,14,0,0,0,0,0,0,5,5,5,11,5,16,4,4,21,57,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,14,0,0,0,13,0,3,3,17,0,0,0,8,0,0,0,8,0,5,4,7,0,0,3,17,0,0,0,0,0,0,0,6,0,3,8,27,4,0,12,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
ILOC50100104,0,0,0,0,0,0,59,59,0,0,0,0,0,0,39,39,0,0,0,0,0,0,44,44,0,0,0,0,0,0,17,19,0,0,0,0,0,0,19,19,0,0,0,0,0,0,220,216,0,0,0,11,5,0,22,49,4,22,11,23,7,0,26,93,68,147,34,57,21,6,93,413,74,113,56,56,16,10,56,376,43,79,53,43,9,6,55,288,32,45,29,31,3,14,31,187,18,21,17,14,0,3,29,110,243,428,201,227,59,40,317,1513,0,0,0,4,3,0,13,20,0,0,0,18,6,0,14,35,5,9,7,52,13,8,24,116,6,6,20,36,4,0,14,88,0,9,4,20,5,0,12,60,0,5,10,7,0,0,8,46,3,9,5,8,0,3,5,26,21,48,40,150,29,18,90,390,0,0,3,9,12,5,6,27,4,24,17,41,16,0,11,111,86,196,60,117,6,5,37,506
ILOC50100201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,8,0,0,0,5,6,0,7,14,0,0,0,0,0,0,0,11,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,5,3,3,3,4,3,14,34,0,0,0,0,0,0,4,4,0,0,0,0,0,0,7,8,0,0,0,3,4,0,3,18,0,0,0,5,6,0,10,22,0,0,0,4,6,0,4,13,0,0,0,5,0,0,5,3,0,0,0,0,0,0,0,0,0,5,4,21,6,4,27,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6
ILOC50100202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,9,3,0,0,0,4,0,3,15,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,3,4,8,4,0,13,40,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,4,0,0,0,4,0,0,7,17,3,0,0,10,4,0,4,26,0,0,0,0,0,0,3,6,0,0,0,7,0,0,0,4,0,0,0,0,0,0,0,0,6,0,3,24,3,0,24,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4
ILOC50100203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,3,3,0,0,0,5,0,0,0,13,0,4,0,7,0,3,5,36,0,8,0,3,0,0,0,11,0,5,0,3,0,0,10,17,0,0,4,0,6,0,5,12,0,0,0,0,0,0,0,0,0,20,7,25,8,4,27,92,0,0,0,0,0,0,5,7,0,0,0,5,0,6,0,14,0,0,0,10,4,3,16,32,0,4,0,3,0,0,4,12,0,0,0,0,0,0,4,15,0,0,4,3,6,0,3,16,0,0,0,0,0,0,0,3,0,4,4,34,12,12,40,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0,4,0,0,0,13
ILOC50100207,0,0,0,0,0,0,9,9,0,0,0,0,0,0,7,7,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,28,28,0,0,0,0,0,0,3,4,0,3,0,8,0,0,4,11,3,20,7,3,4,0,9,50,3,8,4,3,0,0,3,20,0,6,0,0,0,0,8,19,0,7,0,0,0,0,0,13,0,4,0,0,0,0,3,10,11,40,18,21,3,5,38,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,12,0,0,0,0,0,0,3,4,0,9,6,4,0,0,0,12,8,23,18,14,4,0,4,63
ILOC50100208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,5,0,4,0,4,0,0,3,13,0,0,0,0,0,0,7,4,3,0,0,7,3,0,15,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,10,0,0,0,4,0,0,6,10,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,12,3,4,12,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50200101,0,0,0,0,0,0,62,62,0,0,0,0,0,0,49,49,0,0,0,0,0,0,51,52,0,0,0,0,0,0,39,40,0,0,0,0,0,0,38,35,0,0,0,0,0,0,291,294,0,0,0,3,5,0,26,33,0,12,5,15,11,5,39,90,21,46,15,44,9,3,72,218,13,51,29,26,5,3,67,195,10,44,20,37,0,4,68,197,6,32,25,39,5,11,52,165,9,15,16,22,6,0,75,142,69,208,116,189,41,30,392,1040,0,0,0,4,0,0,11,24,0,0,0,3,0,4,4,16,0,0,0,12,3,0,3,20,0,3,0,11,0,3,9,23,0,4,4,14,0,0,16,37,5,0,4,9,0,4,11,36,0,0,4,3,0,0,19,28,5,6,13,58,10,11,70,181,0,0,0,6,7,0,4,15,0,16,9,39,24,0,4,87,30,74,30,108,12,7,17,282
