ILOC_CODE_2021,Neg_Nil_inc_Hh_with_Ind_psns,Neg_Nil_inc_Other_households,Neg_Nil_income_Tot_hhlds,1_149_Hhd_with_Indig_psns,1_149_Other_households,1_149_Tot_hhlds,150_299_Hhd_with_Indig_psns,150_299_Other_households,150_299_Tot_hhlds,300_399_Hhd_with_Indig_psns,300_399_Other_households,300_399_Tot_hhlds,400_499_Hhd_with_Indig_psns,400_499_Other_households,400_499_Tot_hhlds,500_649_Hhd_with_Indig_psns,500_649_Other_households,500_649_Tot_hhlds,650_799_Hhd_with_Indig_psns,650_799_Other_households,650_799_Tot_hhlds,800_999_Hh_with_Indig_psn,800_999_Other_households,800_999_Tot_hhlds,1000_1249_Hh_with_Indig_psn,1000_1249_Other_households,1000_1249_Tot_hhlds,1250_1499_Hh_with_Indig_psn,1250_1499_Other_households,1250_1499_Tot_hhlds,1500_1749_Hh_with_Indig_psn,1500_1749_Other_households,1500_1749_Tot_hhlds,1750_1999_Hh_with_Indig_psn,1750_1999_Other_households,1750_1999_Tot_hhlds,2000_2499_Hh_with_Indig_psn,2000_2499_Other_households,2000_2499_Tot_hhlds,2500_2999_Hh_with_Indig_psn,2500_2999_Other_households,2500_2999_Tot_hhlds,3000_3499_Hh_with_Indig_psn,3000_3499_Other_households,3000_3499_Tot_hhlds,3500_more_Hh_with_Indig_psn,3500_more_stated_Other_hhds,3500_more_stated_Tot_hhlds,Part_inc_st_Hh_with_Indig_psn,Partial_inc_stated_Other_hhds,Partial_inc_stated_Tot_hhlds,All_inc_ns_Hh_with_Ind_psns,All_income_ns_Other_household,All_inc_NS_Tot_hhlds,Tot_Household_with_Indig_psns,Tot_Other_households,Tot_Tot_hhlds
ILOC50100101,10,11,19,0,5,6,20,3,23,42,15,54,23,30,58,17,15,29,9,32,44,18,25,49,13,44,58,17,43,65,15,39,55,13,37,47,27,98,129,22,63,89,15,59,66,34,115,147,53,75,129,44,11,60,399,726,1128
ILOC50100102,4,19,21,0,5,8,9,7,14,26,24,43,9,17,27,14,27,40,15,28,43,6,31,36,16,64,77,6,57,67,18,59,73,15,67,77,43,166,210,23,139,159,26,153,171,45,349,392,38,168,209,5,24,28,303,1403,1706
ILOC50100103,0,0,0,0,0,0,0,0,0,4,0,4,3,0,3,0,0,0,4,0,4,4,0,4,0,0,8,4,0,4,3,0,3,4,0,4,7,0,7,8,0,8,0,0,0,8,0,8,4,3,7,0,0,0,63,3,64
ILOC50100104,5,12,18,5,0,9,11,9,22,22,19,35,19,34,55,23,23,50,24,31,60,26,39,65,25,68,90,29,61,86,24,55,80,13,76,85,40,170,209,29,102,131,27,125,146,59,281,343,53,168,219,12,24,33,437,1306,1746
ILOC50100201,0,0,0,0,0,0,3,0,3,6,0,6,6,0,6,8,0,8,4,0,4,6,0,6,5,0,5,3,0,3,8,0,8,3,0,3,4,4,15,0,0,4,0,0,0,0,0,0,10,0,14,16,0,16,87,6,95
ILOC50100202,0,0,0,0,0,0,6,0,6,7,0,7,3,0,3,0,0,3,8,0,8,8,0,8,9,0,9,10,0,11,4,0,3,6,5,5,7,0,4,0,0,0,0,0,0,0,0,3,11,0,11,9,0,9,86,11,96
ILOC50100203,0,0,0,12,0,12,10,0,15,5,0,5,11,0,11,7,0,7,18,0,18,15,0,15,13,0,12,6,0,6,3,0,5,3,0,4,3,10,15,0,4,7,0,5,5,4,5,10,7,0,7,0,0,0,126,29,151
ILOC50100207,0,11,10,0,3,3,0,0,0,5,3,7,0,4,4,0,0,0,3,6,14,6,3,6,3,11,12,0,11,11,0,6,4,0,3,6,0,6,5,0,5,5,0,10,10,0,9,9,0,7,7,0,5,5,24,99,120
ILOC50100208,0,0,0,0,0,0,0,0,0,6,0,6,4,0,4,6,0,6,6,0,6,0,0,3,12,0,11,11,0,9,7,0,7,4,0,4,3,0,7,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,65,9,73
ILOC50200101,5,22,25,4,10,14,11,19,28,20,38,55,20,82,105,17,53,68,22,78,103,21,90,111,20,86,106,14,101,117,14,53,72,16,75,97,18,142,163,19,89,110,13,86,89,15,146,167,25,109,135,11,46,55,279,1340,1622
ILOC50200102,0,0,0,0,0,0,7,0,7,3,0,3,11,0,11,3,0,3,5,0,5,6,0,6,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,37,0,37
ILOC50200201,0,6,6,0,0,0,0,0,9,5,10,14,0,23,23,0,7,7,0,9,14,0,6,6,0,5,8,3,15,17,5,15,15,3,12,18,3,12,19,0,0,0,6,7,8,5,7,8,6,7,18,0,3,3,38,154,190
ILOC50200202,0,3,9,0,0,0,0,0,0,0,3,3,0,6,6,0,6,9,5,13,14,0,10,7,0,10,12,5,11,11,0,3,3,0,4,4,3,11,11,0,7,7,0,5,5,0,4,8,4,6,12,0,3,9,22,110,128
ILOC50200301,0,14,14,0,3,3,0,7,7,0,18,18,0,24,28,3,25,30,0,39,44,0,35,35,0,44,42,0,47,42,3,37,38,3,42,46,4,66,69,3,32,36,0,41,39,3,68,71,3,70,80,0,16,12,32,619,648
ILOC50200302,0,0,5,0,0,0,5,6,10,4,7,9,5,13,17,7,3,9,4,8,13,0,13,13,4,10,8,4,13,16,0,5,4,0,6,9,0,8,12,0,11,11,0,13,13,4,15,19,3,10,17,3,0,6,35,144,180
ILOC50200303,0,33,30,0,4,4,5,14,17,4,35,38,8,113,122,0,55,61,3,111,119,4,100,103,11,75,87,7,82,83,9,56,62,0,43,47,3,98,96,3,61,68,0,44,43,6,71,75,12,84,95,0,34,33,72,1122,1191
ILOC50200401,13,56,69,9,17,25,17,67,88,37,106,147,29,242,276,37,194,232,31,252,285,56,254,309,26,234,258,34,228,263,30,166,198,17,168,189,39,270,304,18,137,162,22,110,133,23,215,242,50,207,254,12,66,77,500,2994,3497
ILOC50200402,0,41,46,0,18,22,3,25,27,4,39,52,6,131,138,8,87,93,13,134,147,19,127,146,19,131,149,25,150,168,17,127,138,20,133,149,29,301,332,18,248,268,23,213,237,43,381,421,42,358,390,3,51,51,284,2699,2982
