ILOC_CODE_2021,M_Y12_equivalent_Indigenous,M_Y12_equivalent_Non_Indig,M_Y12_equiv_IndigStat_ns,M_Y12_equivalent_Tot,M_Y11_equivalent_Indigenous,M_Y11_equiv_Non_Indig,M_Y11_equiv_IndigStat_ns,M_Y11_equivalent_Tot,M_Y10_equivalent_Indigenous,M_Y10_equiv_Non_Indig,M_Y10_equiv_IndigStat_ns,M_Y10_equivalent_Tot,M_Y9_equivalent_Indigenous,M_Y9_equiv_Non_Indig,M_Y9_equiv_IndigStat_ns,M_Y9_equivalent_Tot,M_Y8_below_Indigenous,M_Y8_below_Non_Indig,M_Y8_below_IndigStat_ns,M_Y8_below_Tot,M_Did_not_go_to_school_Indig,M_Did_not_go_to_sch_Non_Indig,M_Di_no_go_to_sch_IndSt_ns,M_Did_not_go_to_school_Tot,M_Highest_yr_school_ns_Indig,M_Highest_yr_sch_ns_Non_Indig,M_Highe_yr_sch_ns_IndSt_ns,M_Highest_yr_school_ns_Tot,M_Tot_Indigenous,M_Tot_Non_Indigenous,M_Tot_IndigStat_ns,M_Tot_Tot,F_Y12_equivalent_Indigenous,F_Y12_equivalent_Non_Indig,F_Y12_equiv_IndigStat_ns,F_Y12_equivalent_Tot,F_Y11_equivalent_Indigenous,F_Y11_equiv_Non_Indig,F_Y11_equiv_IndigStat_ns,F_Y11_equivalent_Tot,F_Y10_equivalent_Indigenous,F_Y10_equiv_Non_Indig,F_Y10_equiv_IndigStat_ns,F_Y10_equivalent_Tot,F_Y9_equivalent_Indigenous,F_Y9_equiv_Non_Indig,F_Y9_equiv_IndigStat_ns,F_Y9_equivalent_Tot,F_Y8_below_Indigenous,F_Y8_below_Non_Indig,F_Y8_below_IndigStat_ns,F_Y8_below_Tot,F_Did_not_go_to_school_Indig,F_Did_not_go_to_sch_Non_Indig,F_Di_no_go_to_sch_IndSt_ns,F_Did_not_go_to_school_Tot,F_Highest_yr_school_ns_Indig,F_Highest_yr_sch_ns_Non_Indig,F_Highe_yr_sch_ns_IndSt_ns,F_Highest_yr_school_ns_Tot,F_Tot_Indigenous,F_Tot_Non_Indigenous,F_Tot_IndigStat_ns,F_Tot_Tot,P_Y12_equivalent_Indigenous,P_Y12_equivalent_Non_Indig,P_Y12_equiv_IndigStat_ns,P_Y12_equivalent_Tot,P_Y11_equivalent_Indigenous,P_Y11_equiv_Non_Indig,P_Y11_equiv_IndigStat_ns,P_Y11_equivalent_Tot,P_Y10_equivalent_Indigenous,P_Y10_equiv_Non_Indig,P_Y10_equiv_IndigStat_ns,P_Y10_equivalent_Tot,P_Y9_equivalent_Indigenous,P_Y9_equiv_Non_Indig,P_Y9_equiv_IndigStat_ns,P_Y9_equivalent_Tot,P_Y8_below_Indigenous,P_Y8_below_Non_Indig,P_Y8_below_IndigStat_ns,P_Y8_below_Tot,P_Did_not_go_to_school_Indig,P_Did_not_go_to_sch_Non_Indig,P_Di_no_go_to_sch_IndSt_ns,P_Did_not_go_to_school_Tot,P_Highest_yr_school_ns_Indig,P_Highest_yr_sch_ns_Non_Indig,P_Highe_yr_sch_ns_IndSt_ns,P_Highest_yr_school_ns_Tot,P_Tot_Indigenous,P_Tot_Non_Indigenous,P_Tot_IndigStat_ns,P_Tot_Tot
ILOC50100101,126,403,6,535,47,85,4,127,122,180,3,302,28,32,0,61,25,27,0,52,12,5,0,23,55,27,190,270,415,757,202,1374,139,560,7,707,71,74,0,144,107,135,0,244,34,12,0,46,23,3,0,31,3,8,0,12,53,17,207,276,427,803,215,1446,266,960,13,1240,118,151,0,272,228,315,7,549,60,45,0,105,49,33,0,81,17,12,0,32,106,48,396,543,840,1562,417,2820
ILOC50100102,103,845,5,951,27,168,0,203,40,331,0,369,10,42,0,55,4,20,0,26,0,4,4,8,19,38,300,352,207,1449,311,1963,119,1141,0,1262,44,140,0,188,48,238,4,286,5,29,0,35,16,15,0,27,4,3,0,7,17,34,326,374,253,1599,328,2178,224,1981,8,2210,69,311,0,390,86,564,5,659,14,73,0,90,17,36,0,50,5,13,4,16,34,69,619,725,457,3048,643,4145
ILOC50100103,21,3,0,22,13,3,0,11,20,9,0,27,4,0,0,3,0,0,0,4,0,0,0,0,0,5,11,17,69,13,17,94,23,12,0,33,8,4,0,13,14,5,0,15,6,0,0,6,0,0,0,0,0,0,0,0,3,6,10,15,57,17,11,87,42,12,0,61,20,0,0,23,36,10,0,44,12,0,0,14,5,0,0,4,4,0,0,4,5,6,26,39,121,36,25,184
ILOC50100104,117,768,3,883,60,154,0,211,102,303,0,408,24,49,0,72,14,29,0,40,3,4,0,9,34,24,215,272,347,1318,219,1891,178,1083,0,1265,74,116,0,189,88,182,4,275,34,27,0,60,7,19,0,32,3,0,0,9,25,25,217,266,416,1457,220,2096,295,1853,6,2149,129,269,0,401,192,484,5,679,57,76,0,135,23,44,0,69,13,6,0,12,62,47,427,537,763,2777,444,3986
ILOC50100201,16,8,0,19,14,0,0,21,37,0,0,37,10,0,0,10,7,0,0,8,0,0,0,0,11,0,3,11,95,13,3,111,29,3,0,36,15,0,0,15,35,0,0,35,5,0,0,5,7,0,0,7,0,0,0,0,5,0,3,10,95,8,3,103,47,10,0,57,31,0,0,29,71,0,0,75,13,0,0,13,6,0,0,14,0,0,0,0,18,0,5,23,192,15,5,209
ILOC50100202,19,0,0,18,19,5,0,18,25,0,0,25,7,0,0,7,11,0,0,11,0,0,0,0,8,0,3,8,85,4,3,93,24,7,0,29,26,0,0,28,22,4,0,30,8,0,0,8,9,0,0,9,0,0,0,0,12,0,0,7,101,13,0,113,40,9,0,54,47,0,0,53,53,4,0,53,14,0,0,14,17,0,0,17,0,0,0,0,11,0,8,16,187,15,8,203
ILOC50100203,66,10,0,80,29,0,0,30,35,0,0,45,3,0,0,3,7,0,0,7,6,0,0,6,6,0,0,8,160,15,3,178,74,26,0,100,44,3,0,49,50,3,0,50,6,0,0,3,4,0,0,4,5,0,0,5,6,0,3,8,187,33,4,225,146,41,0,184,73,3,0,74,89,10,0,99,9,0,0,11,15,0,0,12,7,0,0,7,15,0,7,14,350,51,10,402
ILOC50100207,0,80,0,86,4,10,0,21,11,35,0,48,0,11,0,13,5,3,0,11,0,0,0,0,0,3,27,35,26,154,30,207,9,98,0,102,3,10,0,13,9,19,0,28,0,5,0,7,0,0,0,4,0,0,0,0,5,0,28,31,26,133,35,188,10,174,0,185,8,24,0,34,22,53,4,72,0,14,0,17,6,9,0,13,0,0,0,0,5,7,60,66,50,288,58,400
ILOC50100208,14,9,0,25,17,0,0,18,28,4,0,25,9,0,0,10,0,0,0,0,4,0,0,4,0,0,5,5,68,13,9,89,17,7,0,28,24,4,0,26,18,0,0,24,10,0,0,10,0,0,0,0,0,0,0,0,0,0,7,11,65,12,7,88,33,16,0,46,38,3,0,39,45,3,0,53,13,0,0,20,0,0,0,0,4,0,0,4,0,0,14,13,134,23,18,176
ILOC50200101,46,533,7,580,24,174,0,204,67,428,6,496,26,93,0,118,18,102,0,119,3,19,0,21,29,41,356,420,210,1381,372,1965,56,618,9,684,47,147,0,191,82,300,8,388,24,53,0,82,21,65,0,90,11,14,0,24,29,30,291,346,272,1232,299,1809,102,1148,12,1270,74,317,8,394,146,726,10,886,49,150,0,198,43,162,0,205,9,34,0,50,53,71,644,765,486,2612,674,3774
