POW_SA2_CODE_2021,F_Tot_OM_UIE,F_Tot_CFW,F_Tot_ES_NS,F_Tot_Tot,P_NegNilInc_E,P_NegNilInc_OM_IE,P_NegNilInc_OM_UIE,P_NegNilInc_CFW,P_NegNilInc_ES_NS,P_NegNilInc_Tot,P_1_149_E,P_1_149_OM_IE,P_1_149_OM_UIE,P_1_149_CFW,P_1_149_ES_NS,P_1_149_Tot,P_150_299_E,P_150_299_OM_IE,P_150_299_OM_UIE,P_150_299_CFW,P_150_299_ES_NS,P_150_299_Tot,P_300_399_E,P_300_399_OM_IE,P_300_399_OM_UIE,P_300_399_CFW,P_300_399_ES_NS,P_300_399_Tot,P_400_499_E,P_400_499_OM_IE,P_400_499_OM_UIE,P_400_499_CFW,P_400_499_ES_NS,P_400_499_Tot,P_500_649_E,P_500_649_OM_IE,P_500_649_OM_UIE,P_500_649_CFW,P_500_649_ES_NS,P_500_649_Tot,P_650_799_E,P_650_799_OM_IE,P_650_799_OM_UIE,P_650_799_CFW,P_650_799_ES_NS,P_650_799_Tot,P_800_999_E,P_800_999_OM_IE,P_800_999_OM_UIE,P_800_999_CFW,P_800_999_ES_NS,P_800_999_Tot,P_1000_1249_E,P_1000_1249_OM_IE,P_1000_1249_OM_UIE,P_1000_1249_CFW,P_1000_1249_ES_NS,P_1000_1249_Tot,P_1250_1499_E,P_1250_1499_OM_IE,P_1250_1499_OM_UIE,P_1250_1499_CFW,P_1250_1499_ES_NS,P_1250_1499_Tot,P_1500_1749_E,P_1500_1749_OM_IE,P_1500_1749_OM_UIE,P_1500_1749_CFW,P_1500_1749_ES_NS,P_1500_1749_Tot,P_1750_1999_E,P_1750_1999_OM_IE,P_1750_1999_OM_UIE,P_1750_1999_CFW,P_1750_1999_ES_NS,P_1750_1999_Tot,P_2000_2999_E,P_2000_2999_OM_IE,P_2000_2999_OM_UIE,P_2000_2999_CFW,P_2000_2999_ES_NS,P_2000_2999_Tot,P_3000_3499_E,P_3000_3499_OM_IE,P_3000_3499_OM_UIE,P_3000_3499_CFW,P_3000_3499_ES_NS,P_3000_3499_Tot,P_3500mo_E,P_3500mo_OM_IE,P_3500mo_OM_UIE,P_3500mo_CFW,P_3500mo_ES_NS,P_3500mo_Tot,P_PersInc_NS_E,P_PersInc_NS_OM_IE,P_PersInc_NS_OM_UIE,P_PersInc_NS_CFW,P_PersInc_NS_ES_NS,P_PersInc_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
501011001,162,74,10,1090,4,0,4,18,0,32,54,0,13,9,0,77,51,0,16,13,0,78,61,5,33,14,0,108,92,7,42,20,0,164,135,11,45,14,3,211,203,16,40,20,0,275,210,35,51,17,0,312,213,32,40,12,4,301,152,18,25,11,0,194,96,31,25,9,4,156,59,17,18,4,0,99,74,33,19,7,4,123,10,3,5,5,0,22,22,14,15,10,0,49,7,4,10,0,0,28,1419,220,388,160,32,2224
501011003,374,107,30,2574,12,3,3,29,0,50,203,3,9,7,0,223,104,5,33,15,3,162,110,8,28,14,0,161,200,12,44,8,3,266,297,39,70,25,6,436,412,36,88,17,5,551,527,57,97,8,4,694,548,69,117,19,5,759,363,51,92,12,8,529,225,61,57,13,8,363,136,71,53,9,3,267,181,87,60,5,7,335,52,31,11,0,0,94,35,69,30,12,5,149,24,9,15,5,4,55,3430,605,803,202,66,5109
501011004,319,50,17,2336,6,0,9,13,0,28,174,0,21,10,0,211,107,0,27,4,0,141,121,4,37,9,5,170,208,9,37,4,0,255,282,18,65,8,5,380,380,20,59,0,11,461,430,35,74,3,6,545,503,47,98,5,3,663,289,37,71,0,4,404,219,55,63,0,4,334,139,19,45,6,0,215,188,57,40,9,3,295,25,16,10,0,0,56,32,27,21,4,0,76,18,5,0,5,0,27,3119,342,673,80,44,4258
501011293,214,49,22,3093,17,0,5,15,0,39,278,5,6,7,0,302,197,0,17,8,0,223,197,0,20,0,0,228,247,10,31,16,3,310,448,14,33,4,9,510,532,21,40,9,0,604,608,43,41,9,11,702,703,34,65,5,8,813,469,44,52,0,0,567,345,48,25,3,0,429,235,24,25,3,0,290,291,51,46,0,0,390,52,25,11,0,0,91,37,44,30,0,0,107,40,5,9,5,3,61,4698,362,469,87,41,5664
501011294,283,47,24,3260,20,0,3,9,0,37,168,5,16,3,0,202,160,0,17,5,0,186,160,5,28,7,4,203,214,6,43,3,0,269,385,16,64,8,3,479,545,20,44,13,3,621,541,26,56,4,4,630,588,21,76,5,5,694,384,35,52,9,4,484,300,41,50,3,4,398,245,35,33,6,9,325,299,35,52,7,0,396,42,14,16,0,0,68,60,25,34,0,0,122,40,0,6,0,4,49,4159,276,590,81,36,5145
501021005,156,25,5,1895,8,4,0,6,0,17,150,4,8,9,0,166,126,5,8,9,3,151,117,5,19,3,4,152,130,4,27,0,6,161,219,7,33,3,0,266,316,13,24,7,0,359,338,18,32,0,0,388,297,27,32,3,0,364,202,11,31,0,4,256,192,21,16,0,0,230,187,17,17,0,0,225,298,21,13,3,0,337,46,8,10,0,4,63,51,6,4,0,0,71,21,5,3,0,0,30,2709,172,283,45,19,3224
501021007,91,39,6,661,8,3,0,9,0,14,43,0,0,4,0,49,32,0,10,6,0,46,32,0,14,8,0,55,52,0,16,5,0,74,77,9,14,0,0,103,85,6,22,8,0,125,106,7,21,7,3,148,118,13,22,0,0,158,91,6,24,3,0,125,78,12,6,7,0,107,83,9,20,0,0,107,139,17,14,0,0,173,26,3,6,3,0,31,25,10,8,0,0,37,15,3,5,0,4,25,1003,102,194,61,13,1371
501021008,37,6,12,2586,19,0,0,0,0,24,110,0,3,0,0,115,86,0,3,0,0,89,61,0,9,0,3,75,122,0,6,0,0,128,224,0,11,0,0,232,311,0,3,7,3,324,341,3,9,0,0,354,473,3,8,0,4,489,417,3,7,0,4,429,453,3,3,0,3,461,313,3,0,0,0,322,421,3,0,0,0,426,58,4,0,0,0,60,93,15,22,0,0,124,25,0,4,0,0,28,3522,34,93,7,18,3678
501021009,83,26,12,1733,13,0,9,9,0,26,101,0,0,0,0,103,92,0,6,4,0,104,110,0,9,5,0,135,149,4,12,5,0,169,220,6,11,7,0,245,254,9,14,0,4,286,281,3,15,9,0,304,338,13,23,0,0,374,312,4,11,0,0,336,394,12,9,0,0,416,459,4,5,0,3,474,1179,11,13,0,0,1206,268,9,3,0,0,280,232,17,5,0,0,255,39,0,0,0,0,45,4459,91,151,46,30,4774
501021010,61,27,11,488,6,0,5,5,0,11,38,0,13,7,0,65,28,0,11,5,0,44,22,4,5,5,0,37,43,6,10,0,0,56,69,8,16,8,0,106,63,4,7,0,0,75,104,8,24,6,4,145,174,10,18,5,0,209,160,8,15,3,0,188,153,12,14,8,0,186,156,11,11,3,0,175,191,25,8,0,0,226,13,8,0,0,0,28,14,5,4,0,0,31,14,0,6,0,0,18,1253,111,167,53,23,1603
