POW_SA2_CODE_2021,P_75ov_EWFT,P_75ov_EWPT,P_75ov_EAFW,P_75ov_EHW_NS,P_75ov_Tot,P_Tot_EWFT,P_Tot_EWPT,P_Tot_EAFW,P_Tot_EHW_NS,P_Tot_Tot
501011001,21,22,3,3,58,1114,941,128,37,2224
501011003,16,33,3,0,56,2566,2183,258,100,5109
501011004,0,20,0,0,19,1943,2019,238,62,4258
501011293,7,19,4,0,41,2888,2450,260,69,5664
501011294,8,25,0,6,41,2315,2477,276,76,5145
501021005,3,8,3,0,20,1573,1455,143,46,3224
501021007,6,9,0,0,15,778,497,69,30,1371
501021008,3,5,0,0,8,1751,1575,293,55,3678
501021009,16,8,0,3,29,3171,1204,289,115,4774
501021010,11,18,4,3,30,1103,415,63,27,1603
501021011,0,15,3,0,19,3209,863,151,70,4295
501021012,0,10,6,0,13,796,1272,101,31,2202
501021014,13,33,5,0,53,3331,1184,182,79,4786
501021015,3,10,0,4,16,3267,1390,238,80,4974
501021016,9,12,0,6,31,1604,540,129,57,2327
501021251,0,3,0,0,4,557,626,46,22,1257
501021252,0,4,0,0,3,400,208,26,10,642
501021253,10,43,0,0,61,6092,4616,516,159,11380
501021254,0,0,0,0,0,227,244,21,10,498
501031017,41,30,3,0,76,1726,918,149,72,2866
501031018,19,25,4,0,46,978,757,79,39,1851
501031019,7,22,0,0,35,1569,998,141,57,2772
501031020,25,24,3,3,62,1062,790,103,34,1990
502011021,0,5,0,0,5,301,356,25,9,696
502011022,6,8,0,0,12,620,1025,72,37,1753
502011023,7,17,4,3,28,2327,2111,234,74,4752
502011024,8,7,0,4,22,1115,1678,154,63,3008
502011025,8,38,0,6,50,4772,4757,387,174,10080
502011026,3,8,0,0,13,325,341,23,7,698
502011027,0,4,0,0,11,1298,1609,108,57,3067
502011028,0,12,0,0,13,603,610,59,22,1288
502011029,11,25,0,5,32,3111,1471,233,82,4894
503011030,6,37,0,0,41,591,770,35,23,1422
503011031,17,61,5,5,83,2736,3197,205,70,6200
503011032,11,29,4,4,45,1282,1467,81,42,2871
503011033,8,17,0,0,25,748,1106,56,29,1937
503011034,3,35,0,0,39,1789,1828,125,50,3798
503011035,32,143,7,5,196,13987,9860,1363,284,25487
503011036,7,24,4,0,37,2790,1779,217,59,4847
503021037,3,0,0,0,4,383,217,21,7,627
503021038,12,23,3,0,35,5914,3070,320,112,9413
503021039,7,31,0,0,36,3050,3384,219,97,6758
503021040,9,20,4,0,32,1601,1602,103,57,3359
503021042,45,96,5,4,153,13009,7796,793,288,21876
503021043,16,50,3,0,74,5549,4622,447,112,10729
503021295,13,37,0,8,55,13067,3895,879,234,18079
503021296,20,33,6,0,59,6271,3302,375,127,10067
503021297,97,173,20,37,329,97545,28280,6281,1693,133799
504011044,3,19,5,0,25,4241,1922,157,99,6420
504011045,10,44,3,0,63,5507,2847,269,133,8752
504011046,0,10,0,0,22,1499,1265,106,49,2919
504011047,7,30,0,4,41,3665,3829,233,143,7876
504011048,4,11,0,0,13,457,670,44,22,1195
504021049,10,7,0,0,10,854,221,67,18,1152
504021050,3,22,4,0,23,455,568,23,15,1062
504021051,0,7,0,0,8,238,294,17,14,560
504021052,0,0,0,0,0,4,4,0,0,12
504021053,3,24,0,0,32,1412,1593,117,41,3167
504021054,11,15,3,0,28,2317,1369,147,64,3897
504031055,0,0,0,0,0,4,5,0,0,10
504031056,3,14,0,0,14,1199,1209,76,43,2525
504031057,3,7,0,0,10,1203,1383,115,54,2750
504031058,9,8,0,0,13,1495,630,83,42,2248
504031060,15,11,0,0,25,215,225,8,7,453
504031061,13,12,0,0,21,6361,1002,286,111,7762
504031062,0,9,0,0,15,865,836,65,32,1797
504031063,32,49,9,0,90,12488,3953,410,293,17146
504031064,0,0,0,0,0,19,6,5,0,22
504031065,12,15,0,0,28,1518,893,93,25,2531
504031066,13,63,4,3,86,9101,6747,732,285,16867
504031067,0,3,0,0,6,253,229,21,13,524
504031068,4,20,0,0,25,806,622,58,23,1506
504031069,0,0,0,0,0,0,0,0,0,0
504031298,0,0,0,0,0,765,848,65,37,1716
504031299,3,8,0,0,6,538,570,32,16,1157
504031300,3,7,3,0,9,1848,2343,167,73,4434
505011070,0,9,0,0,15,940,1206,106,19,2270
505011071,5,3,0,0,7,996,1399,79,47,2519
505011072,6,28,5,0,36,1398,1843,131,40,3414
505011073,0,21,0,0,27,1652,2122,139,50,3971
505011074,0,9,0,0,9,492,561,45,17,1113
505011075,0,19,0,0,23,1794,2826,171,57,4849
505011076,0,0,0,0,0,395,392,18,13,821
505011077,7,34,0,3,49,10259,9381,834,261,20738
505011078,0,9,6,0,18,896,1236,91,47,2276
505011079,0,8,0,0,7,559,709,38,10,1317
505011080,6,9,0,0,13,748,765,37,19,1562
505011081,0,4,0,0,8,868,749,52,20,1695
505011082,4,11,0,0,14,680,738,46,25,1493
505011083,0,14,0,0,14,654,869,55,25,1599
505021084,14,44,9,7,77,8675,3446,419,193,12733
505021085,0,14,0,0,16,974,961,70,51,2059
505021087,0,0,0,0,0,7,5,0,0,10
505021088,3,12,0,0,27,1610,2510,168,52,4343
505021089,9,31,0,3,43,2935,3391,238,94,6659
505021090,3,5,0,0,12,821,920,49,41,1831
505021091,23,72,0,0,99,17114,6257,809,353,24529
