POW_SA2_CODE_2021,M_EW_FT_ATSI,M_EW_FT_NI,M_EW_FT_Isns,M_EW_FT_Total,M_EW_PT_ATSI,M_EW_PT_NI,M_EW_PT_Isns,M_EW_PT_Total,M_EW_Em_afw_ATSI,M_EW_Em_afw_NI,M_EW_Em_afw_Isns,M_EW_Em_afw_Total,M_Tot_ATSI,M_Tot_NI,M_Tot_Isns,M_Tot_Total,F_EW_FT_ATSI,F_EW_FT_NI,F_EW_FT_Isns,F_EW_FT_Total,F_EW_PT_ATSI,F_EW_PT_NI,F_EW_PT_Isns,F_EW_PT_Total,F_EW_Em_afw_ATSI,F_EW_Em_afw_NI,F_EW_Em_afw_Isns,F_EW_Em_afw_Total,F_Tot_ATSI,F_Tot_NI,F_Tot_Isns,F_Tot_Total,P_EW_FT_ATSI,P_EW_FT_NI,P_EW_FT_Isns,P_EW_FT_Total,P_EW_PT_ATSI,P_EW_PT_NI,P_EW_PT_Isns,P_EW_PT_Total,P_EW_Em_afw_ATSI,P_EW_Em_afw_NI,P_EW_Em_afw_Isns,P_EW_Em_afw_Total,P_Tot_ATSI,P_Tot_NI,P_Tot_Isns,P_Tot_Total
501011001,7,722,5,732,4,323,0,329,0,72,0,72,12,1118,5,1135,3,382,0,381,5,597,4,611,0,97,0,97,12,1067,5,1090,9,1101,9,1114,14,920,4,941,0,164,0,171,21,2189,8,2224
501011003,15,1647,9,1669,4,681,3,699,0,169,5,169,23,2496,10,2535,12,887,5,900,14,1473,3,1488,3,175,4,185,26,2532,12,2574,25,2531,9,2566,20,2151,10,2183,9,342,3,352,52,5032,26,5109
501011004,18,1162,0,1187,7,610,4,621,0,106,3,114,22,1887,8,1918,11,744,5,762,17,1376,9,1395,6,183,0,183,26,2298,14,2336,27,1903,11,1943,22,1984,10,2019,0,296,3,299,51,4182,26,4258
501011293,28,1669,0,1700,12,715,6,728,6,135,0,142,48,2521,9,2574,14,1164,5,1186,26,1686,10,1715,4,184,0,187,47,3034,12,3093,42,2836,8,2888,35,2399,16,2450,12,318,0,330,88,5554,16,5664
501011294,13,1144,4,1167,10,594,0,604,0,112,0,117,28,1856,8,1890,15,1129,7,1147,25,1847,6,1875,4,229,0,237,48,3201,8,3260,29,2273,11,2315,35,2438,4,2477,6,341,4,349,70,5059,20,5145
501021005,19,886,0,904,3,336,0,343,0,78,0,86,22,1306,3,1330,3,665,0,668,19,1095,5,1119,0,109,0,112,27,1861,3,1895,20,1552,0,1573,27,1431,8,1455,3,187,0,191,51,3167,3,3224
501021007,8,533,0,536,0,122,0,125,0,46,0,47,12,698,0,716,4,234,0,238,4,364,0,370,0,48,0,51,14,647,0,661,13,761,0,778,9,485,0,497,3,89,0,95,21,1347,0,1371
501021008,20,696,6,723,10,269,0,276,4,85,0,94,31,1049,6,1088,19,1016,0,1034,35,1267,4,1301,3,249,0,254,49,2526,7,2586,34,1713,9,1751,39,1526,4,1575,6,335,4,346,85,3578,17,3678
501021009,37,2413,7,2459,9,326,0,333,10,244,4,255,54,2984,7,3043,17,698,4,714,19,846,3,870,4,142,0,152,42,1687,8,1733,50,3110,9,3171,30,1170,3,1204,10,387,0,400,91,4668,20,4774
501021010,22,874,3,896,0,155,0,164,0,56,0,56,27,1090,3,1117,3,199,0,198,3,247,0,252,0,30,0,32,4,476,4,488,21,1074,3,1103,5,402,5,415,0,89,0,90,29,1566,11,1603
501021011,53,2459,8,2523,9,361,3,372,9,139,0,155,73,2965,12,3049,25,661,0,684,11,476,4,490,9,61,0,71,42,1198,7,1246,76,3119,11,3209,26,835,6,863,17,205,0,227,117,4159,19,4295
501021012,7,331,0,334,7,259,0,267,0,45,0,44,8,637,0,647,10,440,4,459,25,978,0,999,6,92,0,100,32,1510,8,1552,12,781,3,796,26,1236,5,1272,7,134,0,139,45,2150,8,2202
501021014,51,2413,18,2475,9,395,4,407,0,152,0,157,57,2964,20,3037,17,840,3,860,22,754,6,780,8,105,3,115,44,1696,8,1751,65,3252,14,3331,35,1152,8,1184,5,257,5,267,98,4659,25,4786
501021015,46,2342,8,2387,16,404,5,419,8,164,0,176,60,2907,12,2979,24,856,3,877,16,944,6,966,4,145,0,144,40,1945,3,1998,66,3194,11,3267,34,1350,9,1390,9,310,0,316,105,4851,17,4974
501021016,25,1232,3,1257,6,177,0,187,5,127,0,133,30,1540,5,1578,11,335,0,346,13,346,0,360,0,53,0,53,21,733,0,750,31,1570,7,1604,18,525,0,540,4,184,0,186,55,2270,7,2327
501021251,6,252,0,263,6,172,0,178,0,30,0,32,11,459,3,469,4,289,0,295,7,440,0,452,0,40,0,40,16,768,0,785,11,548,0,557,15,614,0,626,0,68,0,67,24,1227,3,1257
501021252,8,278,0,285,3,70,0,70,0,20,0,22,10,364,0,373,0,114,0,111,0,137,0,137,0,18,0,18,0,265,0,266,8,392,0,400,3,204,0,208,0,36,0,35,10,634,0,642
501021253,44,2887,7,2937,30,994,0,1025,13,231,0,245,86,4117,6,4207,92,3045,16,3155,79,3503,13,3593,20,411,0,429,195,6957,26,7173,137,5934,23,6092,108,4496,11,4616,27,645,0,673,275,11068,30,11380
501021254,0,79,0,80,0,48,0,53,0,3,0,3,0,127,0,131,0,147,0,143,8,180,0,194,0,23,0,23,11,356,0,365,0,223,0,227,14,234,0,244,0,27,0,27,11,478,0,498
501031017,15,1167,11,1191,3,258,5,262,5,121,5,132,25,1541,21,1590,3,522,4,532,9,645,0,658,0,87,0,89,12,1261,5,1276,20,1690,12,1726,10,904,9,918,3,211,5,221,36,2805,24,2866
501031018,23,608,4,631,6,232,4,240,6,53,0,59,35,895,11,933,7,341,3,347,11,502,0,517,0,56,0,61,22,896,3,920,24,944,3,978,25,733,6,757,6,113,0,120,55,1789,12,1851
501031019,28,966,0,999,9,257,0,261,4,81,0,81,38,1302,0,1345,15,555,4,572,28,706,0,739,0,115,0,119,44,1375,3,1422,39,1523,3,1569,32,963,0,998,6,194,0,199,85,2681,3,2772
501031020,8,687,3,700,5,267,0,274,3,65,0,68,19,1020,10,1040,3,353,4,364,10,502,3,513,0,71,0,69,13,928,5,945,14,1040,7,1062,14,775,9,790,4,134,0,141,34,1946,12,1990
502011021,0,149,0,149,0,106,0,110,0,14,0,15,4,277,0,282,5,148,0,150,4,249,0,254,0,17,0,17,8,413,0,421,5,300,0,301,0,354,0,356,0,37,0,34,5,687,3,696
502011022,5,297,0,305,5,307,3,314,0,39,0,42,7,645,4,660,6,317,0,321,14,692,4,712,0,65,0,63,19,1080,4,1095,8,614,0,620,18,1001,6,1025,0,103,0,109,26,1721,8,1753
502011023,14,1206,3,1226,18,511,0,529,0,94,0,93,33,1809,5,1852,15,1084,4,1101,32,1538,6,1576,6,211,0,225,52,2838,11,2903,29,2294,4,2327,53,2055,3,2111,12,307,0,313,91,4648,14,4752
502011024,9,477,0,478,7,425,0,436,0,85,0,89,12,989,0,1001,4,632,0,637,20,1218,5,1238,5,125,0,130,28,1981,6,2006,10,1106,0,1115,27,1646,6,1678,3,211,0,217,40,2962,9,3008
502011025,43,2308,7,2358,27,1129,4,1163,0,210,0,214,71,3646,14,3732,32,2376,4,2414,57,3523,8,3592,11,328,8,346,104,6225,14,6347,70,4682,13,4772,86,4650,15,4757,15,537,8,554,176,9875,33,10080
502011026,10,198,0,204,7,98,0,109,0,10,0,10,15,308,4,323,0,118,0,123,3,233,0,234,0,15,0,19,7,369,0,379,11,315,0,325,7,327,0,341,0,30,0,28,21,676,4,698
502011027,5,562,0,563,4,407,0,412,0,46,0,45,14,1009,0,1021,7,723,0,732,18,1174,3,1198,4,116,0,119,28,2013,0,2048,16,1282,0,1298,24,1578,3,1609,4,155,0,165,45,3018,4,3067
