POW_SA2_CODE_2021,Tot_Mng,Tot_Pro,Tot_Tech_trds_wks,Tot_Com_persl_svce_wks,Tot_Cler_admin_wks,Tot_Sales_wks,Tot_Mach_ops_dvrs,Tot_Labourers,Tot_IDNS,Tot_Tot
501011001,564,263,303,207,193,157,106,406,35,2224
501011003,1044,659,834,537,480,509,175,795,76,5109
501011004,612,779,658,591,424,469,149,540,51,4258
501011293,617,827,836,674,700,919,396,614,84,5664
501011294,490,1208,709,1017,521,402,132,597,72,5145
501021005,269,622,507,574,278,387,166,381,47,3224
501021007,255,174,258,113,136,63,145,202,23,1371
501021008,168,1532,259,764,391,199,85,238,40,3678
501021009,373,551,1342,373,337,249,884,557,112,4774
501021010,280,119,298,58,151,42,409,213,26,1603
501021011,456,293,1062,168,607,143,582,913,81,4295
501021012,187,362,200,421,191,418,68,335,29,2202
501021014,619,500,1033,297,367,155,582,1132,108,4786
501021015,498,497,1065,333,490,629,729,644,82,4974
501021016,222,213,664,140,175,73,550,237,57,2327
501021251,87,303,112,227,94,154,32,240,20,1257
501021252,77,132,148,43,58,46,64,73,12,642
501021253,1099,2326,1283,1932,2018,1341,329,893,155,11380
501021254,38,125,55,134,45,43,6,52,10,498
501031017,626,343,461,235,263,171,353,375,38,2866
501031018,454,200,232,182,164,111,140,328,42,1851
501031019,397,353,374,325,318,259,232,457,45,2772
501031020,659,202,164,155,141,105,110,421,32,1990
502011021,81,139,131,101,82,45,33,75,8,696
502011022,186,206,259,370,163,275,37,236,21,1753
502011023,377,1122,661,735,575,464,287,476,57,4752
502011024,257,526,368,536,281,580,87,323,52,3008
502011025,1046,1317,1145,1962,1261,1755,472,987,140,10080
502011026,67,103,134,84,64,104,51,80,4,698
502011027,256,616,360,688,188,403,124,396,37,3067
502011028,89,372,105,429,122,29,30,97,23,1288
502011029,543,563,1274,404,388,336,723,565,94,4894
503011030,210,338,166,268,160,127,15,105,23,1422
503011031,787,1625,521,937,622,1105,111,405,85,6200
503011032,466,580,373,556,314,329,23,173,56,2871
503011033,227,451,222,354,199,294,20,136,38,1937
503011034,433,1197,322,818,371,312,36,240,61,3798
503011035,2204,13439,1825,2432,3404,590,265,1024,305,25487
503011036,672,1543,530,1116,431,118,130,212,102,4847
503021037,124,160,75,99,92,25,8,36,3,627
503021038,1453,3082,1048,1060,1380,687,144,412,152,9413
503021039,673,2229,625,1202,769,603,85,504,66,6758
503021040,391,761,399,690,371,361,55,280,51,3359
