POW_SA2_CODE_2021,P_OthSvs_H_0,P_OthSvs_H_1_19,P_OthSvs_H_20_29,P_OthSvs_H_30_34,P_OthSvs_H_35_39,P_OthSvs_H_40_44,P_OthSvs_H_45_49,P_OthSvs_H_50ov,P_OthSvs_H_NS,P_OthSvs_H_Tot,P_IDNS_H_0,P_IDNS_H_1_19,P_IDNS_H_20_29,P_IDNS_H_30_34,P_IDNS_H_35_39,P_IDNS_H_40_44,P_IDNS_H_45_49,P_IDNS_H_50ov,P_IDNS_H_NS,P_IDNS_H_Tot,P_Tot_H_0,P_Tot_H_1_19,P_Tot_H_20_29,P_Tot_H_30_34,P_Tot_H_35_39,P_Tot_H_40_44,P_Tot_H_45_49,P_Tot_H_50ov,P_Tot_H_NS,P_Tot_H_Tot
505031101,13,62,54,24,53,39,7,25,0,273,3,14,15,12,16,22,6,16,29,129,139,933,620,331,600,519,124,259,50,3568
505031102,3,14,4,5,4,10,3,7,0,45,0,11,9,3,4,11,3,4,7,59,38,324,227,137,182,196,55,138,25,1316
505031104,0,10,5,4,0,4,0,6,0,30,0,3,3,0,4,3,0,6,3,29,33,171,199,137,159,105,37,99,17,965
505031105,6,44,26,4,13,14,7,5,4,129,0,26,17,11,18,19,5,14,26,136,121,784,560,314,427,565,154,336,66,3318
505031106,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,3,7,6,12,43,12,16,3,110
505031107,3,37,30,12,7,13,3,11,4,112,5,16,7,0,12,15,0,11,9,78,62,344,261,123,318,284,73,197,32,1686
505031255,5,23,8,10,13,6,0,3,0,65,3,9,12,4,8,5,0,5,13,55,62,340,261,153,276,288,99,186,30,1686
505031256,0,3,6,0,0,0,0,5,0,13,0,16,7,10,8,11,3,4,13,69,21,116,119,78,207,200,38,137,27,937
505031257,6,7,5,0,0,0,0,4,0,23,0,5,3,0,0,0,0,0,4,21,18,90,92,42,51,63,24,48,15,443
505031258,0,14,11,0,12,12,9,7,0,71,0,9,3,0,9,3,4,6,11,55,73,329,286,152,221,234,80,170,29,1569
505031303,4,25,19,5,16,19,4,9,0,92,11,32,16,10,38,54,19,38,24,239,76,447,326,199,451,613,174,449,45,2770
505031304,4,33,22,7,13,9,0,0,0,81,0,6,0,3,6,9,0,0,10,42,40,235,187,80,167,163,62,113,20,1070
505031305,35,127,95,62,261,355,108,195,17,1254,38,150,125,89,418,430,104,218,132,1693,533,2008,1870,1136,4302,4828,1529,3255,265,19722
505031306,6,33,28,22,25,24,10,9,3,161,4,28,14,6,13,19,11,10,23,130,169,935,655,426,860,612,156,314,60,4193
506011110,9,50,44,26,48,29,20,18,3,246,5,29,26,17,41,33,11,21,50,230,283,1391,937,596,1358,970,322,496,104,6464
506011111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
506011112,0,7,3,9,3,0,0,3,0,35,0,0,0,4,0,5,0,0,5,24,29,120,122,83,145,142,55,68,13,781
506011114,4,41,32,25,53,55,11,34,0,254,5,28,17,10,29,46,9,25,34,203,120,676,490,324,668,640,209,425,66,3623
506011115,4,11,9,6,14,13,4,11,0,57,0,13,3,7,11,14,0,7,35,101,178,311,384,399,461,513,88,208,55,2592
506011116,0,21,16,8,7,12,0,6,0,54,0,15,3,0,8,12,3,3,9,49,33,258,187,106,124,160,40,123,15,1051
506011117,5,9,7,4,0,0,0,5,0,29,0,0,7,3,3,3,0,0,7,23,38,232,171,118,144,128,51,75,20,972
506011307,0,15,13,8,10,6,0,0,0,56,0,14,3,0,16,10,3,8,11,71,64,464,302,171,312,278,98,171,23,1876
506011308,6,33,29,14,22,42,16,36,0,198,4,32,21,19,85,79,19,45,40,348,108,437,380,240,669,903,304,726,66,3832
506021118,28,66,90,49,124,155,44,82,7,642,23,77,66,53,185,236,50,104,95,890,637,1640,1461,904,2937,3475,1246,2356,220,14863
506021119,3,46,43,29,63,56,15,43,6,306,5,39,31,20,39,65,13,28,49,286,179,1245,1017,528,1143,1049,280,651,104,6200
506021120,10,19,8,6,64,77,30,61,4,279,16,40,34,24,133,201,53,82,72,654,273,395,431,316,1781,2209,755,1398,141,7690
506021121,11,16,7,6,22,41,8,64,3,182,13,43,35,24,66,86,12,51,112,438,989,1123,1307,947,3083,3311,1221,2796,287,15057
506021123,11,75,45,35,100,95,33,42,6,427,14,63,50,24,85,80,29,49,103,503,580,2530,1853,1206,2687,2961,804,1636,216,14480
506021309,3,29,13,12,43,16,3,11,3,134,0,20,14,8,10,13,3,12,30,109,99,880,556,259,548,457,115,198,57,3174
506021310,0,3,5,8,5,6,6,0,0,27,4,5,0,4,3,10,3,0,12,29,26,158,161,81,207,175,43,108,16,959
506021311,4,17,20,10,17,27,8,10,0,111,0,18,18,4,45,57,14,32,38,219,126,403,409,283,759,1162,293,570,68,4083
506031124,4,61,69,37,108,72,24,26,0,410,13,70,53,38,58,109,20,28,105,494,499,1860,1747,1149,3172,2771,732,1240,190,13362
506031125,6,30,20,11,16,24,0,11,3,126,0,13,7,7,6,18,4,7,18,83,59,479,296,171,218,197,50,154,38,1655
506031126,20,31,27,24,134,154,68,98,4,566,26,146,133,93,422,476,132,209,137,1778,416,1218,1254,810,4008,4207,1627,2744,262,16535
506031127,4,93,88,35,112,97,22,37,3,492,9,61,50,28,70,67,23,45,92,443,353,2249,1714,877,2325,1686,391,709,197,10488
506031128,4,18,20,14,11,5,0,3,0,83,0,16,12,3,5,17,0,3,19,81,61,525,393,236,279,256,71,143,34,1998
506031129,0,22,10,3,7,10,7,4,0,65,0,14,10,4,4,16,3,5,7,63,54,605,344,170,225,231,68,153,22,1871
506031130,28,74,56,26,280,381,139,238,12,1233,44,123,119,79,425,527,122,214,165,1808,624,1119,1165,795,4285,5512,1912,4118,323,19853
506031131,7,60,61,26,61,73,15,39,3,342,5,54,26,20,42,47,12,21,24,253,121,1264,748,414,695,790,233,501,64,4837
506041132,6,47,24,19,66,82,24,38,6,318,6,49,27,22,49,61,21,40,47,319,131,624,582,326,979,996,329,610,91,4665
506041133,3,38,24,21,34,36,9,13,3,180,4,32,32,11,37,37,9,16,27,200,191,754,584,293,824,985,250,419,71,4362
506041134,0,32,31,11,23,32,9,10,0,150,4,17,12,0,14,11,9,17,34,108,136,646,629,375,623,486,136,295,60,3393
506041135,3,41,25,17,25,20,4,19,0,150,0,8,11,12,18,9,3,9,14,87,69,507,400,192,376,322,105,208,39,2219
506041136,17,77,53,42,170,155,71,135,17,744,8,64,57,29,148,193,39,91,87,717,343,1159,1044,684,2053,2102,714,1590,169,9872
506041137,0,37,16,8,14,14,9,10,0,106,0,15,16,9,15,14,3,11,22,104,98,861,506,322,519,407,134,234,50,3134
506051138,6,46,45,25,76,71,32,57,5,371,10,41,32,29,110,108,21,74,62,486,231,880,683,453,1456,1852,758,1462,138,7918
506051139,0,23,20,4,22,17,4,13,0,105,0,15,14,6,18,27,8,20,21,127,56,447,345,191,362,391,168,379,49,2390
506051140,5,40,25,22,36,31,10,11,0,180,0,14,8,9,12,13,4,11,13,88,142,825,552,367,544,496,161,317,40,3434
506051141,0,25,14,10,16,18,4,17,0,103,3,18,6,8,16,15,11,13,24,121,108,552,375,233,421,433,158,318,46,2642
506061142,4,47,29,10,29,25,7,23,8,190,4,27,8,0,22,26,4,20,25,138,115,772,517,334,454,443,157,361,71,3230
506061143,0,15,10,8,9,9,7,4,0,69,8,19,17,12,34,18,6,20,18,152,85,267,209,152,365,441,189,345,37,2089
