POW_SA2_CODE_2021,AGFF_Bf_91,AGFF_91_95,AGFF_96_00,AGFF_01_05,AGFF_06_10,AGFF_11_15,AGFF_16_20,AGFF_2021,AGFF_NS,AGFF_Tot,Min_Bf_91,Min_91_95,Min_96_00,Min_01_05,Min_06_10,Min_11_15,Min_16_20,Min_2021,Min_NS,Min_Tot,Mnf_Bf_91,Mnf_91_95,Mnf_96_00,Mnf_01_05,Mnf_06_10,Mnf_11_15,Mnf_16_20,Mnf_2021,Mnf_NS,Mnf_Tot,EGWWS_Bf_91,EGWWS_91_95,EGWWS_96_00,EGWWS_01_05,EGWWS_06_10,EGWWS_11_15,EGWWS_16_20,EGWWS_2021,EGWWS_NS,EGWWS_Tot,Const_Bf_91,Const_91_95,Const_96_00,Const_01_05,Const_06_10,Const_11_15,Const_16_20,Const_2021,Const_NS,Const_Tot,WST_Bf_91,WST_91_95,WST_96_00,WST_01_05,WST_06_10,WST_11_15,WST_16_20,WST_2021,WST_NS,WST_Tot,RetT_Bf_91,RetT_91_95,RetT_96_00,RetT_01_05,RetT_06_10,RetT_11_15,RetT_16_20,RetT_2021,RetT_NS,RetT_Tot,AcFd_Bf_91,AcFd_91_95,AcFd_96_00,AcFd_01_05,AcFd_06_10,AcFd_11_15,AcFd_16_20,AcFd_2021,AcFd_NS,AcFd_Tot,TPW_Bf_91,TPW_91_95,TPW_96_00,TPW_01_05,TPW_06_10,TPW_11_15,TPW_16_20,TPW_2021,TPW_NS,TPW_Tot,IMT_Bf_91,IMT_91_95,IMT_96_00,IMT_01_05,IMT_06_10,IMT_11_15,IMT_16_20,IMT_2021,IMT_NS,IMT_Tot,FinIns_Bf_91,FinIns_91_95,FinIns_96_00,FinIns_01_05,FinIns_06_10,FinIns_11_15,FinIns_16_20,FinIns_2021,FinIns_NS,FinIns_Tot,RHRE_Bf_91,RHRE_91_95,RHRE_96_00,RHRE_01_05,RHRE_06_10,RHRE_11_15,RHRE_16_20,RHRE_2021,RHRE_NS,RHRE_Tot,ProSTS_Bf_91,ProSTS_91_95,ProSTS_96_00,ProSTS_01_05,ProSTS_06_10,ProSTS_11_15,ProSTS_16_20,ProSTS_2021,ProSTS_NS,ProSTS_Tot,AdSup_Bf_91,AdSup_91_95,AdSup_96_00,AdSup_01_05,AdSup_06_10,AdSup_11_15,AdSup_16_20,AdSup_2021,AdSup_NS,AdSup_Tot,PubAS_Bf_91,PubAS_91_95,PubAS_96_00,PubAS_01_05,PubAS_06_10,PubAS_11_15,PubAS_16_20,PubAS_2021,PubAS_NS,PubAS_Tot,EducTraining_Bf_91,EducTraining_91_95,EducTraining_96_00,EducTraining_01_05,EducTraining_06_10,EducTraining_11_15,EducTraining_16_20,EducTraining_2021,EducTraining_NS,EducTraining_Tot,HlthCareSocAssist_Bf_91,HlthCareSocAssist_91_95,HlthCareSocAssist_96_00,HlthCareSocAssist_01_05,HlthCareSocAssist_06_10,HlthCareSocAssist_11_15,HlthCareSocAssist_16_20,HlthCareSocAssist_2021,HlthCareSocAssist_NS,HlthCareSocAssist_Tot,ArtsRecreation_Bf_91,ArtsRecreation_91_95,ArtsRecreation_96_00,ArtsRecreation_01_05,ArtsRecreation_06_10,ArtsRecreation_11_15,ArtsRecreation_16_20,ArtsRecreation_2021,ArtsRecreation_NS,ArtsRecreation_Tot,OthServices_Bf_91,OthServices_91_95,OthServices_96_00,OthServices_01_05,OthServices_06_10,OthServices_11_15,OthServices_16_20,OthServices_2021,OthServices_NS,OthServices_Tot,ID_NS_Bf_91,ID_NS_91_95,ID_NS_96_00,ID_NS_01_05,ID_NS_06_10,ID_NS_11_15,ID_NS_16_20,ID_NS_2021,ID_NS_NS,ID_NS_Tot
501031017,35,3,8,3,5,6,0,0,4,66,50,6,7,9,17,8,6,0,0,106,11,0,0,6,0,0,0,0,0,21,7,0,0,0,9,0,0,0,0,18,31,0,0,3,8,3,0,0,0,50,11,0,0,0,0,0,0,0,0,10,12,5,0,4,7,0,0,0,0,32,21,0,0,4,8,4,6,0,0,47,4,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,9,13,0,0,0,4,3,0,0,0,22,3,0,0,0,0,0,0,0,0,9,10,0,0,0,6,4,0,0,0,32,20,0,0,0,5,5,0,0,0,31,36,5,0,9,5,5,3,0,0,70,9,0,0,0,0,0,0,0,0,9,12,0,0,0,6,0,0,0,0,19,8,0,0,0,5,0,0,0,0,16
501031018,28,0,5,7,8,11,23,0,6,96,8,0,0,0,0,6,0,0,0,8,12,0,0,0,5,0,3,0,5,27,0,0,0,0,0,0,0,0,0,5,10,0,0,3,0,0,3,0,0,23,0,6,0,0,0,0,0,0,0,7,11,0,5,3,11,0,5,0,4,39,8,3,3,5,12,5,0,0,0,43,10,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,9,10,0,0,0,0,0,13,5,0,32,5,3,0,0,0,9,0,0,0,19,25,0,0,0,4,0,0,0,0,30,16,0,0,3,6,5,7,0,3,49,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,7,13,0,0,0,0,0,3,0,5,16
501031019,25,3,3,5,10,5,21,4,17,88,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,18,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,17,4,0,0,3,4,0,0,0,0,11,21,0,3,5,4,4,0,0,0,39,8,0,0,4,5,3,8,0,0,35,14,0,0,0,4,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,12,4,0,0,0,0,0,0,0,0,12,23,0,0,0,8,3,0,0,0,34,29,0,0,3,4,3,0,0,0,46,34,4,0,0,8,19,3,0,0,81,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,10,5,0,0,0,3,0,0,0,0,22
501031020,54,3,6,14,6,11,42,0,0,146,0,0,0,0,0,0,0,0,0,0,16,3,0,0,4,6,0,0,0,35,0,0,0,0,0,0,0,0,0,0,12,0,0,0,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,19,0,0,0,3,0,3,0,0,24,30,0,7,3,9,9,17,3,0,81,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,3,0,0,0,0,13,9,0,0,0,0,0,17,0,0,26,12,0,0,0,0,0,0,0,0,17,11,0,0,0,0,0,0,0,0,25,25,0,3,0,8,3,0,0,0,43,7,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,5,0,0,9,12,0,0,0,0,3,7,0,5,23
502011021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,13,0,0,5,7,9,0,0,4,39,0,0,0,0,0,0,0,0,0,4,7,0,0,0,6,0,0,0,0,11,0,0,3,0,7,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,3,7,0,0,0,5,3,0,0,0,17,3,0,0,0,3,5,0,0,0,6,5,0,0,0,0,0,0,0,0,8,14,0,0,3,13,6,0,0,0,36,4,0,0,0,10,7,4,0,0,20,4,0,0,0,5,0,0,0,0,5,0,5,0,0,0,0,0,0,0,8,0,0,0,0,4,6,0,0,0,12
502011022,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,12,0,6,7,10,11,0,0,0,46,0,0,0,0,0,0,0,0,0,0,12,4,4,3,20,12,8,0,0,66,12,0,5,11,40,33,21,0,6,117,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,10,4,0,4,0,3,3,0,0,0,23,9,0,0,0,8,4,0,0,0,27,6,0,0,0,5,0,0,0,0,6,7,0,0,0,5,7,0,0,0,20,22,6,5,11,45,32,13,0,0,137,0,0,0,0,0,0,0,0,0,3,8,0,0,0,17,14,5,0,0,49,7,0,0,0,5,7,0,0,0,20
502011023,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,8,35,10,7,18,37,19,11,0,0,130,0,0,0,0,0,0,0,0,0,0,31,0,3,14,14,13,3,0,0,82,6,0,0,0,3,0,0,0,0,12,49,5,7,21,38,34,7,0,4,167,7,4,3,6,12,13,3,0,0,43,36,0,4,0,20,9,12,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,6,0,0,6,3,4,0,0,12,0,3,0,0,24,10,0,9,5,8,9,5,0,0,45,10,0,0,0,0,3,0,0,0,20,57,13,12,20,22,27,10,0,0,164,141,39,58,96,180,171,44,3,6,731,6,0,0,0,0,4,0,0,0,16,26,4,4,8,15,14,9,0,0,87,18,0,4,10,14,8,4,0,4,66
502011024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,3,0,3,5,7,6,6,0,0,28,0,0,0,0,0,0,0,0,0,4,16,0,0,7,18,14,3,0,0,60,3,0,0,0,0,0,0,0,0,5,47,6,12,19,64,51,13,0,4,212,10,3,3,9,22,20,10,0,0,77,4,0,0,0,3,5,4,0,0,11,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,9,3,0,0,0,3,0,0,0,0,10,17,0,4,4,10,0,3,0,0,34,7,0,0,4,8,14,10,0,0,46,0,0,0,0,0,0,0,0,0,5,47,6,13,22,34,34,12,0,0,160,46,12,18,27,62,57,25,0,5,257,0,0,0,3,0,4,3,0,0,7,6,0,0,8,15,22,9,0,0,66,19,0,0,8,13,7,5,0,3,50
502011025,0,0,0,0,0,0,0,0,0,3,4,0,0,0,3,5,0,0,0,17,19,4,0,7,25,19,15,0,0,86,5,0,4,0,7,4,0,0,0,23,36,6,7,13,35,30,10,0,6,141,8,0,3,3,9,5,0,0,0,32,132,17,32,59,144,114,43,3,4,549,41,7,11,49,162,177,108,0,5,562,60,7,3,10,35,18,6,0,0,138,6,0,0,0,12,4,3,0,0,25,15,4,4,5,13,8,3,0,0,51,39,4,9,14,18,14,4,0,3,105,35,3,18,14,26,29,8,0,0,125,30,0,3,10,24,19,34,0,3,119,91,15,13,32,76,43,10,0,5,283,42,3,9,15,24,23,9,0,0,129,192,36,37,81,164,162,54,3,5,729,13,0,5,9,11,16,0,0,0,56,29,4,5,8,50,35,20,0,0,162,24,3,10,8,34,34,17,0,4,142
502011026,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,9,0,3,6,3,0,0,0,0,22,3,0,0,0,0,7,0,0,0,11,9,3,0,5,0,5,9,0,0,32,12,4,0,0,0,6,0,0,0,23,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,8,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,11,0,5,4,10,5,0,0,0,37,3,0,0,0,3,3,0,0,0,17,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,3,8
