POW_SA2_CODE_2021,F_IDNS_H_0,F_IDNS_H_1_19,F_IDNS_H_20_29,F_IDNS_H_30_34,F_IDNS_H_35_39,F_IDNS_H_40_44,F_IDNS_H_45_49,F_IDNS_H_50ov,F_IDNS_H_NS,F_IDNS_H_Tot,F_Tot_H_0,F_Tot_H_1_19,F_Tot_H_20_29,F_Tot_H_30_34,F_Tot_H_35_39,F_Tot_H_40_44,F_Tot_H_45_49,F_Tot_H_50ov,F_Tot_H_NS,F_Tot_H_Tot,P_AgFF_H_0,P_AgFF_H_1_19,P_AgFF_H_20_29,P_AgFF_H_30_34,P_AgFF_H_35_39,P_AgFF_H_40_44,P_AgFF_H_45_49,P_AgFF_H_50ov,P_AgFF_H_NS,P_AgFF_H_Tot,P_Min_H_0,P_Min_H_1_19,P_Min_H_20_29,P_Min_H_30_34,P_Min_H_35_39,P_Min_H_40_44,P_Min_H_45_49,P_Min_H_50ov,P_Min_H_NS,P_Min_H_Tot,P_Mnf_H_0,P_Mnf_H_1_19,P_Mnf_H_20_29,P_Mnf_H_30_34,P_Mnf_H_35_39,P_Mnf_H_40_44,P_Mnf_H_45_49,P_Mnf_H_50ov,P_Mnf_H_NS,P_Mnf_H_Tot,P_EGWWS_H_0,P_EGWWS_H_1_19,P_EGWWS_H_20_29,P_EGWWS_H_30_34,P_EGWWS_H_35_39,P_EGWWS_H_40_44,P_EGWWS_H_45_49,P_EGWWS_H_50ov,P_EGWWS_H_NS,P_EGWWS_H_Tot,P_Const_H_0,P_Const_H_1_19,P_Const_H_20_29,P_Const_H_30_34,P_Const_H_35_39,P_Const_H_40_44,P_Const_H_45_49,P_Const_H_50ov,P_Const_H_NS,P_Const_H_Tot,P_WST_H_0,P_WST_H_1_19,P_WST_H_20_29,P_WST_H_30_34,P_WST_H_35_39,P_WST_H_40_44,P_WST_H_45_49,P_WST_H_50ov,P_WST_H_NS,P_WST_H_Tot,P_RetT_H_0,P_RetT_H_1_19,P_RetT_H_20_29,P_RetT_H_30_34,P_RetT_H_35_39,P_RetT_H_40_44,P_RetT_H_45_49,P_RetT_H_50ov,P_RetT_H_NS,P_RetT_H_Tot,P_AcFd_H_0,P_AcFd_H_1_19,P_AcFd_H_20_29,P_AcFd_H_30_34,P_AcFd_H_35_39,P_AcFd_H_40_44,P_AcFd_H_45_49,P_AcFd_H_50ov,P_AcFd_H_NS,P_AcFd_H_Tot,P_TPW_H_0,P_TPW_H_1_19,P_TPW_H_20_29,P_TPW_H_30_34,P_TPW_H_35_39,P_TPW_H_40_44,P_TPW_H_45_49,P_TPW_H_50ov,P_TPW_H_NS,P_TPW_H_Tot,P_IMT_H_0,P_IMT_H_1_19,P_IMT_H_20_29,P_IMT_H_30_34,P_IMT_H_35_39,P_IMT_H_40_44,P_IMT_H_45_49,P_IMT_H_50ov,P_IMT_H_NS,P_IMT_H_Tot,P_FinIns_H_0,P_FinIns_H_1_19,P_FinIns_H_20_29,P_FinIns_H_30_34,P_FinIns_H_35_39,P_FinIns_H_40_44,P_FinIns_H_45_49,P_FinIns_H_50ov,P_FinIns_H_NS,P_FinIns_H_Tot,P_RHRE_H_0,P_RHRE_H_1_19,P_RHRE_H_20_29,P_RHRE_H_30_34,P_RHRE_H_35_39,P_RHRE_H_40_44,P_RHRE_H_45_49,P_RHRE_H_50ov,P_RHRE_H_NS,P_RHRE_H_Tot,P_ProSTS_H_0,P_ProSTS_H_1_19,P_ProSTS_H_20_29,P_ProSTS_H_30_34,P_ProSTS_H_35_39,P_ProSTS_H_40_44,P_ProSTS_H_45_49,P_ProSTS_H_50ov,P_ProSTS_H_NS,P_ProSTS_H_Tot,P_AdSup_H_0,P_AdSup_H_1_19,P_AdSup_H_20_29,P_AdSup_H_30_34,P_AdSup_H_35_39,P_AdSup_H_40_44,P_AdSup_H_45_49,P_AdSup_H_50ov,P_AdSup_H_NS,P_AdSup_H_Tot,P_PubAS_H_0,P_PubAS_H_1_19,P_PubAS_H_20_29,P_PubAS_H_30_34,P_PubAS_H_35_39,P_PubAS_H_40_44,P_PubAS_H_45_49,P_PubAS_H_50ov,P_PubAS_H_NS,P_PubAS_H_Tot,P_EdTrn_H_0,P_EdTrn_H_1_19,P_EdTrn_H_20_29,P_EdTrn_H_30_34,P_EdTrn_H_35_39,P_EdTrn_H_40_44,P_EdTrn_H_45_49,P_EdTrn_H_50ov,P_EdTrn_H_NS,P_EdTrn_H_Tot,P_HltHC_SA_H_0,P_HltHC_SA_H_1_19,P_HltHC_SA_H_20_29,P_HltHC_SA_H_30_34,P_HltHC_SA_H_35_39,P_HltHC_SA_H_40_44,P_HltHC_SA_H_45_49,P_HltHC_SA_H_50ov,P_HltHC_SA_H_NS,P_HltHC_SA_H_Tot,P_ArtsR_H_0,P_ArtsR_H_1_19,P_ArtsR_H_20_29,P_ArtsR_H_30_34,P_ArtsR_H_35_39,P_ArtsR_H_40_44,P_ArtsR_H_45_49,P_ArtsR_H_50ov,P_ArtsR_H_NS,P_ArtsR_H_Tot
505011070,0,9,5,3,0,4,0,0,4,35,71,410,271,152,207,141,31,68,12,1353,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,9,0,4,3,0,0,0,0,0,0,12,0,0,0,4,21,10,5,5,0,42,9,11,13,13,12,31,5,22,0,110,0,0,0,0,0,4,0,0,0,3,3,93,53,27,34,21,8,8,0,248,14,216,61,26,26,21,5,12,0,389,6,6,7,7,22,25,16,12,0,98,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,4,0,0,0,5,3,13,16,3,7,12,6,7,0,69,4,20,7,8,5,10,0,3,0,53,7,43,18,7,62,31,3,3,0,187,29,75,88,74,84,72,26,47,0,498,6,58,57,41,69,36,0,13,0,276,9,37,12,5,6,7,0,3,0,75
505011071,0,15,8,0,10,5,0,0,11,36,58,483,329,170,238,167,48,60,21,1578,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,6,0,0,0,17,0,20,7,0,10,9,0,6,0,52,0,0,0,0,0,0,0,0,0,0,4,14,35,26,17,47,14,38,8,202,0,0,0,0,5,0,0,4,0,11,4,151,79,29,53,31,27,12,0,390,8,191,57,26,33,24,7,18,3,365,0,13,5,0,0,9,0,4,0,31,0,33,5,3,10,4,4,0,4,56,0,6,3,3,5,6,3,7,0,30,0,6,8,8,13,12,5,10,0,49,3,25,24,18,19,25,3,14,0,129,0,23,9,7,3,6,0,4,0,62,0,4,0,0,3,0,0,0,0,13,17,59,72,34,58,69,28,32,0,372,22,96,102,73,114,59,13,23,9,502,5,12,3,0,0,12,0,3,0,39
505011072,5,10,12,4,4,11,3,4,7,58,99,594,513,259,264,243,60,143,22,2199,0,5,0,0,0,3,0,0,0,5,6,3,0,3,6,5,0,4,0,31,0,9,16,0,3,5,4,5,0,42,0,0,0,0,0,0,0,0,0,3,8,22,26,20,25,57,19,43,0,209,0,0,4,0,0,5,0,6,0,19,3,145,64,24,39,34,14,15,0,338,8,182,49,23,24,19,14,15,4,327,0,8,3,0,4,0,0,4,0,32,0,5,0,0,0,0,0,4,0,12,0,7,5,4,3,6,3,8,0,37,7,6,8,9,9,18,8,10,0,72,3,47,34,26,24,48,8,26,0,216,0,22,12,7,5,3,0,0,0,64,9,10,9,0,6,13,13,9,0,57,41,116,123,83,93,143,41,93,8,734,42,192,240,114,151,105,23,55,0,914,0,11,8,0,0,3,0,4,0,33
505011073,6,16,9,0,6,11,0,6,13,58,88,713,512,211,369,228,72,113,32,2332,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,3,0,0,0,7,4,37,19,3,13,14,4,14,0,110,0,0,0,0,0,4,0,0,0,5,14,45,31,18,46,94,26,65,7,346,0,3,0,0,4,6,0,0,0,24,25,332,155,57,94,55,20,27,4,771,5,240,82,26,38,26,8,18,8,448,0,13,7,0,5,3,0,6,0,40,0,19,20,4,11,8,6,3,0,73,4,10,16,6,27,18,0,3,0,80,0,6,5,5,6,11,4,3,0,40,0,34,23,13,18,24,4,22,0,149,4,30,14,6,28,11,0,5,0,98,21,12,17,14,25,92,12,21,0,206,22,117,111,73,102,95,47,76,3,644,25,100,112,61,109,56,12,24,3,495,0,59,15,4,7,9,3,7,0,109
505011074,0,7,5,0,0,0,0,0,3,25,23,177,128,80,73,62,17,47,11,621,0,0,0,0,0,0,0,0,0,0,4,0,3,0,4,0,0,5,0,13,0,8,11,0,0,0,0,9,0,24,0,0,0,0,0,0,0,0,0,0,10,20,17,11,27,58,12,22,0,166,0,3,0,0,0,3,0,0,0,13,0,21,15,9,5,4,0,4,0,51,6,64,30,15,25,13,0,22,3,181,0,5,4,3,0,0,0,4,0,28,0,0,0,0,0,5,0,4,0,10,0,7,3,3,3,8,0,6,0,26,0,4,0,0,0,0,0,0,0,7,0,14,8,12,10,9,3,8,0,62,0,18,8,8,5,13,0,4,0,50,0,4,0,0,0,0,0,0,0,3,12,32,47,28,32,37,4,31,0,237,0,23,22,23,10,13,3,3,0,101,0,6,0,0,4,0,0,5,0,13
505011075,3,21,12,3,7,10,0,5,6,73,106,1071,664,277,427,281,72,107,26,3033,0,0,3,0,0,8,0,5,0,20,4,4,7,3,5,7,5,7,0,38,4,28,10,7,9,10,4,4,0,78,0,0,0,0,0,0,0,0,0,0,5,32,16,15,23,60,6,38,0,191,0,5,4,5,4,0,0,3,0,20,39,527,307,100,158,92,20,26,14,1278,29,492,190,82,94,84,23,50,9,1062,3,14,5,0,8,4,5,8,0,50,0,15,8,4,6,3,4,0,0,39,9,17,16,13,31,31,4,16,0,135,0,25,12,10,14,22,10,18,0,113,6,27,36,22,35,38,9,27,0,208,7,33,21,13,13,11,4,4,0,107,12,19,32,14,69,56,12,15,0,234,17,92,61,31,62,69,34,63,6,437,11,96,78,40,83,51,9,20,3,397,0,30,13,8,9,6,4,9,0,87
505011076,0,5,3,5,0,0,0,4,4,17,11,119,86,44,38,39,12,23,3,376,0,0,0,0,0,0,0,0,0,5,5,3,0,0,0,5,0,4,0,17,0,6,0,0,0,0,0,4,0,18,0,0,0,0,0,0,0,0,0,0,3,21,17,13,21,46,13,27,0,156,0,5,6,0,0,3,0,4,0,20,0,19,4,9,5,5,0,5,0,48,0,41,29,8,6,14,3,10,0,111,0,0,4,0,0,6,0,7,0,21,0,0,0,0,0,3,0,0,0,3,0,5,7,0,6,11,6,9,0,47,0,3,4,0,0,4,0,3,0,19,4,26,16,3,11,31,4,30,0,123,0,13,6,4,11,5,3,9,0,41,0,0,0,0,0,0,0,0,0,5,0,4,7,4,3,10,0,3,0,29,4,20,13,10,19,4,3,5,0,77,0,3,0,0,4,0,0,0,0,11
505011077,8,50,33,27,47,27,11,13,53,265,652,2897,2626,1683,2997,1609,363,558,133,13518,0,7,0,0,0,0,0,6,0,10,0,0,6,4,4,11,0,8,4,28,0,30,24,20,68,35,10,26,0,215,4,3,9,10,30,12,6,10,0,75,9,52,23,35,91,159,49,95,5,523,4,18,17,7,29,34,9,11,0,128,113,1147,682,289,548,301,107,100,25,3330,19,520,216,90,101,85,28,54,11,1118,16,34,47,22,84,82,39,27,3,363,0,28,15,7,21,12,0,0,0,78,17,48,46,25,108,66,18,35,4,373,6,34,44,24,57,39,20,35,0,262,14,67,59,45,117,146,29,57,5,540,21,108,96,54,159,69,19,27,3,552,128,137,198,154,684,719,103,126,14,2263,118,479,384,242,860,571,149,262,13,3077,296,802,1158,938,1327,727,152,352,39,5800,15,223,79,34,44,33,11,16,5,454
505011078,0,10,6,0,3,3,0,0,7,24,73,383,370,223,266,140,47,79,26,1600,0,0,0,3,0,0,0,0,0,9,0,3,0,0,0,4,0,0,0,17,0,17,4,6,0,5,0,8,0,42,0,0,0,0,0,0,0,0,0,3,3,13,17,13,21,31,16,26,3,134,0,3,6,8,0,0,0,3,0,22,0,57,36,17,20,18,0,20,0,173,8,66,31,17,21,15,4,13,0,168,0,7,3,0,3,4,0,5,0,24,0,7,0,0,0,4,0,3,0,24,0,10,8,6,4,8,5,3,0,43,0,4,0,0,6,9,0,0,0,18,3,31,20,17,7,28,5,15,0,129,5,19,11,3,3,10,0,4,0,55,0,4,0,0,0,4,0,0,0,12,9,73,68,33,46,38,12,31,0,319,58,141,210,156,200,63,25,37,16,907,0,12,5,4,0,3,0,5,0,27
505011079,0,10,3,6,0,7,0,0,0,32,19,283,144,63,76,71,26,29,0,708,0,0,0,0,5,0,0,0,0,6,3,5,3,0,0,6,0,6,0,22,0,11,9,0,0,0,0,0,0,24,0,0,0,3,0,0,0,0,0,4,11,39,20,20,36,68,18,33,5,244,0,0,0,4,4,0,0,5,0,24,0,66,10,12,11,7,6,6,0,118,0,93,22,11,20,19,3,3,0,167,4,3,0,0,0,0,0,0,0,12,0,3,0,0,0,0,0,3,0,12,0,0,0,5,0,0,0,9,0,14,0,7,4,0,3,5,0,5,0,25,4,23,19,9,16,22,10,19,0,113,0,24,8,9,0,5,0,9,0,51,0,0,0,0,0,0,0,0,0,6,6,37,29,20,25,28,6,5,0,161,7,48,39,16,17,11,4,4,0,146,0,7,3,0,4,4,0,0,0,17
505011080,0,9,7,3,0,5,0,0,5,29,32,258,202,111,135,110,36,99,3,1002,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,4,0,6,0,9,0,11,4,0,0,0,0,4,0,24,0,0,0,0,0,0,0,0,0,3,0,21,15,11,19,35,16,23,0,139,0,0,5,0,0,0,0,0,0,0,4,63,16,16,9,17,4,5,6,139,0,30,16,10,0,0,5,7,0,70,0,4,5,0,0,3,0,0,0,11,0,5,3,0,0,0,0,0,0,9,0,5,6,4,4,6,0,7,0,25,0,7,12,0,5,15,0,4,0,42,0,19,9,6,11,23,0,16,0,82,3,11,3,3,7,7,0,7,0,45,0,3,0,0,0,0,0,0,0,11,15,87,105,44,95,105,38,103,0,591,5,61,50,25,37,21,0,13,0,222,0,3,0,0,0,0,0,5,0,10
