POW_SA2_CODE_2021,P_EWFT_35_39_ES_NS,P_EWFT_35_39_Tot,P_EWFT_40_44_E,P_EWFT_40_44_OM_IE,P_EWFT_40_44_OM_UIE,P_EWFT_40_44_CFW,P_EWFT_40_44_ES_NS,P_EWFT_40_44_Tot,P_EWFT_45_49_E,P_EWFT_45_49_OM_IE,P_EWFT_45_49_OM_UIE,P_EWFT_45_49_CFW,P_EWFT_45_49_ES_NS,P_EWFT_45_49_Tot,P_EWFT_50_54_E,P_EWFT_50_54_OM_IE,P_EWFT_50_54_OM_UIE,P_EWFT_50_54_CFW,P_EWFT_50_54_ES_NS,P_EWFT_50_54_Tot,P_EWFT_55_59_E,P_EWFT_55_59_OM_IE,P_EWFT_55_59_OM_UIE,P_EWFT_55_59_CFW,P_EWFT_55_59_ES_NS,P_EWFT_55_59_Tot,P_EWFT_60_64_E,P_EWFT_60_64_OM_IE,P_EWFT_60_64_OM_UIE,P_EWFT_60_64_CFW,P_EWFT_60_64_ES_NS,P_EWFT_60_64_Tot,P_EWFT_65_69_E,P_EWFT_65_69_OM_IE,P_EWFT_65_69_OM_UIE,P_EWFT_65_69_CFW,P_EWFT_65_69_ES_NS,P_EWFT_65_69_Tot,P_EWFT_70_74_E,P_EWFT_70_74_OM_IE,P_EWFT_70_74_OM_UIE,P_EWFT_70_74_CFW,P_EWFT_70_74_ES_NS,P_EWFT_70_74_Tot,P_EWFT_75ov_E,P_EWFT_75ov_OM_IE,P_EWFT_75ov_OM_UIE,P_EWFT_75ov_CFW,P_EWFT_75ov_ES_NS,P_EWFT_75ov_Tot,P_EWFT_Tot_E,P_EWFT_Tot_OM_IE,P_EWFT_Tot_OM_UIE,P_EWFT_Tot_CFW,P_EWFT_Tot_ES_NS,P_EWFT_Tot_Tot,P_EWPT_15_19_E,P_EWPT_15_19_OM_IE,P_EWPT_15_19_OM_UIE,P_EWPT_15_19_CFW,P_EWPT_15_19_ES_NS,P_EWPT_15_19_Tot,P_EWPT_20_24_E,P_EWPT_20_24_OM_IE,P_EWPT_20_24_OM_UIE,P_EWPT_20_24_CFW,P_EWPT_20_24_ES_NS,P_EWPT_20_24_Tot,P_EWPT_25_29_E,P_EWPT_25_29_OM_IE,P_EWPT_25_29_OM_UIE,P_EWPT_25_29_CFW,P_EWPT_25_29_ES_NS,P_EWPT_25_29_Tot,P_EWPT_30_34_E,P_EWPT_30_34_OM_IE,P_EWPT_30_34_OM_UIE,P_EWPT_30_34_CFW,P_EWPT_30_34_ES_NS,P_EWPT_30_34_Tot,P_EWPT_35_39_E,P_EWPT_35_39_OM_IE,P_EWPT_35_39_OM_UIE,P_EWPT_35_39_CFW,P_EWPT_35_39_ES_NS,P_EWPT_35_39_Tot,P_EWPT_40_44_E,P_EWPT_40_44_OM_IE,P_EWPT_40_44_OM_UIE,P_EWPT_40_44_CFW,P_EWPT_40_44_ES_NS,P_EWPT_40_44_Tot,P_EWPT_45_49_E,P_EWPT_45_49_OM_IE,P_EWPT_45_49_OM_UIE,P_EWPT_45_49_CFW,P_EWPT_45_49_ES_NS,P_EWPT_45_49_Tot,P_EWPT_50_54_E,P_EWPT_50_54_OM_IE,P_EWPT_50_54_OM_UIE,P_EWPT_50_54_CFW,P_EWPT_50_54_ES_NS,P_EWPT_50_54_Tot,P_EWPT_55_59_E,P_EWPT_55_59_OM_IE,P_EWPT_55_59_OM_UIE,P_EWPT_55_59_CFW,P_EWPT_55_59_ES_NS,P_EWPT_55_59_Tot,P_EWPT_60_64_E,P_EWPT_60_64_OM_IE,P_EWPT_60_64_OM_UIE,P_EWPT_60_64_CFW,P_EWPT_60_64_ES_NS,P_EWPT_60_64_Tot,P_EWPT_65_69_E,P_EWPT_65_69_OM_IE,P_EWPT_65_69_OM_UIE,P_EWPT_65_69_CFW,P_EWPT_65_69_ES_NS,P_EWPT_65_69_Tot,P_EWPT_70_74_E,P_EWPT_70_74_OM_IE,P_EWPT_70_74_OM_UIE,P_EWPT_70_74_CFW,P_EWPT_70_74_ES_NS,P_EWPT_70_74_Tot,P_EWPT_75ov_E,P_EWPT_75ov_OM_IE,P_EWPT_75ov_OM_UIE,P_EWPT_75ov_CFW,P_EWPT_75ov_ES_NS,P_EWPT_75ov_Tot,P_EWPT_Tot_E,P_EWPT_Tot_OM_IE,P_EWPT_Tot_OM_UIE,P_EWPT_Tot_CFW,P_EWPT_Tot_ES_NS,P_EWPT_Tot_Tot,P_EAFW_E,P_EAFW_OM_IE,P_EAFW_OM_UIE,P_EAFW_CFW,P_EAFW_ES_NS,P_EAFW_Tot,P_H_NS_E,P_H_NS_OM_IE,P_H_NS_OM_UIE,P_H_NS_CFW,P_H_NS_ES_NS,P_H_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
501011001,4,123,94,25,18,4,5,136,71,21,18,9,0,118,80,23,35,9,3,145,67,19,22,3,0,112,50,19,28,5,0,99,14,9,16,11,0,56,0,3,5,11,4,30,3,4,8,5,0,21,708,146,180,68,15,1114,76,0,0,4,0,78,33,0,0,0,0,35,42,0,7,0,0,60,49,4,17,4,0,72,61,9,17,0,0,94,77,6,23,4,0,105,57,0,14,3,5,71,50,6,18,3,3,89,51,4,17,12,0,84,59,13,37,8,0,121,31,13,22,4,6,71,9,3,9,11,0,41,3,0,8,12,0,22,601,64,186,80,11,941,91,6,22,11,0,128,19,4,4,4,0,37,1419,220,388,160,32,2224
501011003,3,278,213,58,58,3,0,341,191,68,68,12,4,340,184,62,49,9,0,305,122,58,60,8,7,260,75,39,39,12,7,163,30,8,16,4,4,64,3,10,9,9,0,28,0,0,8,4,0,16,1709,373,385,70,27,2566,259,0,6,3,0,268,120,0,0,3,0,127,93,0,11,0,0,106,135,13,24,0,0,175,159,31,42,8,0,235,153,16,49,9,6,229,133,23,51,13,0,221,104,19,46,13,3,184,107,37,47,11,0,202,97,29,43,12,5,191,66,18,31,27,0,146,20,14,23,15,0,64,8,4,12,9,4,33,1465,200,380,113,24,2183,181,24,30,18,0,258,70,6,9,4,6,100,3430,605,803,202,66,5109
501011004,0,240,166,36,52,3,0,259,195,45,53,7,0,299,151,31,29,0,0,214,129,24,35,3,0,194,84,25,17,0,0,129,25,14,14,5,0,56,6,8,3,4,0,27,0,0,0,0,0,0,1407,221,274,23,13,1943,221,0,0,0,0,227,103,0,0,0,0,108,99,0,21,0,0,116,134,4,29,3,3,173,160,18,43,5,0,228,167,16,53,8,0,243,157,14,47,3,0,223,125,13,36,7,0,174,110,9,36,3,0,158,128,14,40,9,0,192,53,11,26,12,0,98,23,5,22,4,4,57,10,0,10,0,0,20,1489,106,354,60,14,2019,176,9,45,5,3,238,44,3,9,0,3,62,3119,342,673,80,44,4258
501011293,0,274,270,35,26,0,0,331,323,43,45,9,3,418,305,55,40,3,0,411,226,50,29,3,5,313,147,24,32,5,0,199,63,9,18,5,0,94,4,3,0,5,0,14,5,0,3,0,0,7,2344,252,244,33,18,2888,421,0,5,0,0,427,149,0,0,0,0,152,115,0,11,0,3,130,130,4,15,0,0,149,199,9,25,0,0,230,182,17,17,4,0,219,189,5,25,4,3,231,191,16,17,5,4,232,180,7,23,4,6,215,164,21,41,3,0,223,106,9,22,12,0,150,51,9,11,0,0,70,10,0,3,7,0,19,2080,93,207,46,19,2450,227,15,16,9,0,260,47,4,6,4,9,69,4698,362,469,87,41,5664
501011294,0,252,231,26,37,3,0,298,215,29,44,0,6,289,229,24,40,0,0,298,203,23,40,0,0,267,137,17,27,0,3,180,34,4,13,0,0,52,9,3,7,5,0,21,0,0,8,0,0,8,1815,179,296,21,13,2315,304,0,0,0,0,307,107,0,0,0,0,113,118,0,4,3,0,133,145,7,26,3,0,185,210,7,35,9,0,256,230,9,21,7,0,267,233,10,39,0,0,278,222,11,31,4,0,264,221,9,28,10,0,263,175,13,33,5,0,228,77,6,22,8,0,118,18,7,17,4,4,46,8,4,5,4,0,25,2067,92,265,50,8,2477,226,3,33,7,5,276,53,0,4,3,8,76,4159,276,590,81,36,5145
501021005,0,189,166,13,10,0,0,190,175,14,13,6,0,204,159,21,23,0,0,200,144,22,16,0,0,181,85,6,17,0,0,107,20,6,0,0,0,32,4,0,0,0,0,3,3,0,0,0,0,3,1314,114,121,14,8,1573,249,0,0,0,0,249,92,0,5,0,0,95,85,3,6,0,0,94,102,4,15,3,0,120,127,7,18,6,0,160,129,11,10,3,0,155,118,5,22,3,0,140,120,8,18,0,0,139,84,3,10,0,0,106,81,10,19,4,0,110,33,3,8,3,0,53,11,5,4,0,0,26,5,4,3,0,0,8,1234,52,139,29,9,1455,121,4,19,0,0,143,38,0,0,0,7,46,2709,172,283,45,19,3224
501021007,0,73,76,3,12,0,0,99,84,5,12,6,0,110,65,10,17,3,0,93,58,11,13,3,0,89,34,15,16,5,0,64,13,4,10,4,0,27,4,0,10,7,0,17,0,0,3,5,0,6,574,62,109,29,0,778,58,0,0,5,0,59,27,0,0,0,0,27,19,0,5,0,0,20,31,0,8,0,0,40,23,0,6,0,0,38,28,4,9,0,0,40,40,6,10,3,0,54,47,5,11,3,0,62,28,6,6,5,0,43,24,5,9,9,0,43,16,0,8,3,0,27,3,6,12,5,0,25,3,0,0,5,0,9,356,27,79,32,9,497,48,3,7,6,0,69,21,0,4,0,5,30,1003,102,194,61,13,1371
501021008,0,186,194,7,3,0,0,207,213,6,3,0,0,224,229,3,9,0,5,241,217,4,11,0,0,235,163,3,4,0,0,169,45,0,0,0,0,49,3,0,0,0,0,3,0,0,0,0,0,3,1676,25,51,0,6,1751,155,0,0,0,0,155,91,0,0,0,0,91,99,0,0,0,0,96,133,0,3,0,0,142,171,0,4,0,0,177,167,0,4,0,0,173,164,0,5,0,0,172,156,0,0,0,0,158,155,6,8,0,0,166,131,3,5,0,3,138,82,0,0,0,0,81,16,0,5,0,0,24,4,0,0,0,0,5,1520,12,33,3,7,1575,280,0,10,0,0,293,44,0,0,8,3,55,3522,34,93,7,18,3678
501021009,0,374,396,10,8,0,0,416,406,7,13,5,0,426,449,9,5,5,0,466,342,7,16,5,4,366,177,14,8,0,0,198,59,5,9,0,0,74,7,0,0,0,0,8,0,4,3,4,0,16,3000,61,83,19,11,3171,131,0,0,0,0,130,80,0,0,0,0,79,84,0,4,0,0,88,111,0,6,0,0,116,129,0,7,0,0,137,108,0,5,3,3,116,107,0,3,0,0,112,103,5,3,0,4,110,105,0,14,3,0,123,80,7,8,0,0,101,44,4,4,5,0,58,14,0,0,4,0,19,3,0,4,0,0,8,1091,22,65,18,5,1204,274,13,0,0,4,289,92,0,5,8,7,115,4459,91,151,46,30,4774
501021010,0,107,93,9,6,0,0,112,97,14,11,0,0,126,86,16,18,0,0,120,105,18,17,0,0,134,87,3,8,4,0,105,23,7,3,3,0,41,8,0,5,0,0,10,0,0,5,3,0,11,905,87,84,13,5,1103,48,0,4,0,0,49,12,0,0,0,0,13,18,0,0,0,0,14,19,0,0,3,0,18,42,0,7,5,0,51,29,3,13,0,0,49,22,0,7,0,3,30,27,3,10,0,0,35,21,0,7,0,0,33,22,4,6,3,0,39,15,0,14,6,3,41,9,4,7,3,0,24,3,0,5,6,4,18,281,15,74,35,8,415,50,5,7,3,4,63,13,0,3,0,0,27,1253,111,167,53,23,1603
