POW_SA2_CODE_2021,OM_IEs_45_49_HW_0,OM_IEs_45_49_HW_1_19,OM_IEs_45_49_HW_20_29,OM_IEs_45_49_HW_30_34,OM_IEs_45_49_HW_35_39,OM_IEs_45_49_HW_40_44,OM_IEs_45_49_HW_45_49,OM_IEs_45_49_HW_50mor,OM_IEs_45_49_HW_NS,OM_IEs_45_49_Tot,OM_IEs_50_54_HW_0,OM_IEs_50_54_HW_1_19,OM_IEs_50_54_HW_20_29,OM_IEs_50_54_HW_30_34,OM_IEs_50_54_HW_35_39,OM_IEs_50_54_HW_40_44,OM_IEs_50_54_HW_45_49,OM_IEs_50_54_HW_50mor,OM_IEs_50_54_HW_NS,OM_IEs_50_54_Tot,OM_IEs_55_59_HW_0,OM_IEs_55_59_HW_1_19,OM_IEs_55_59_HW_20_29,OM_IEs_55_59_HW_30_34,OM_IEs_55_59_HW_35_39,OM_IEs_55_59_HW_40_44,OM_IEs_55_59_HW_45_49,OM_IEs_55_59_HW_50mor,OM_IEs_55_59_HW_NS,OM_IEs_55_59_Tot,OM_IEs_60_64_HW_0,OM_IEs_60_64_HW_1_19,OM_IEs_60_64_HW_20_29,OM_IEs_60_64_HW_30_34,OM_IEs_60_64_HW_35_39,OM_IEs_60_64_HW_40_44,OM_IEs_60_64_HW_45_49,OM_IEs_60_64_HW_50mor,OM_IEs_60_64_HW_NS,OM_IEs_60_64_Tot,OM_IEs_65_69_HW_0,OM_IEs_65_69_HW_1_19,OM_IEs_65_69_HW_20_29,OM_IEs_65_69_HW_30_34,OM_IEs_65_69_HW_35_39,OM_IEs_65_69_HW_40_44,OM_IEs_65_69_HW_45_49,OM_IEs_65_69_HW_50mor,OM_IEs_65_69_HW_NS,OM_IEs_65_69_Tot,OM_IEs_70_74_HW_0,OM_IEs_70_74_HW_1_19,OM_IEs_70_74_HW_20_29,OM_IEs_70_74_HW_30_34,OM_IEs_70_74_HW_35_39,OM_IEs_70_74_HW_40_44,OM_IEs_70_74_HW_45_49,OM_IEs_70_74_HW_50mor,OM_IEs_70_74_HW_NS,OM_IEs_70_74_Tot,OM_IEs_75ov_HW_0,OM_IEs_75ov_HW_1_19,OM_IEs_75ov_HW_20_29,OM_IEs_75ov_HW_30_34,OM_IEs_75ov_HW_35_39,OM_IEs_75ov_HW_40_44,OM_IEs_75ov_HW_45_49,OM_IEs_75ov_HW_50mor,OM_IEs_75ov_HW_NS,OM_IEs_75ov_Tot,OM_IEs_Tot_HW_0,OM_IEs_Tot_HW_1_19,OM_IEs_Tot_HW_20_29,OM_IEs_Tot_HW_30_34,OM_IEs_Tot_HW_35_39,OM_IEs_Tot_HW_40_44,OM_IEs_Tot_HW_45_49,OM_IEs_Tot_HW_50mor,OM_IEs_Tot_HW_NS,OM_IEs_Tot_Tot,OM_UIE_15_19_HW_0,OM_UIE_15_19_HW_1_19,OM_UIE_15_19_HW_20_29,OM_UIE_15_19_HW_30_34,OM_UIE_15_19_HW_35_39,OM_UIE_15_19_HW_40_44,OM_UIE_15_19_HW_45_49,OM_UIE_15_19_HW_50mor,OM_UIE_15_19_HW_NS,OM_UIE_15_19_Tot,OM_UIE_20_24_HW_0,OM_UIE_20_24_HW_1_19,OM_UIE_20_24_HW_20_29,OM_UIE_20_24_HW_30_34,OM_UIE_20_24_HW_35_39,OM_UIE_20_24_HW_40_44,OM_UIE_20_24_HW_45_49,OM_UIE_20_24_HW_50mor,OM_UIE_20_24_HW_NS,OM_UIE_20_24_Tot,OM_UIE_25_29_HW_0,OM_UIE_25_29_HW_1_19,OM_UIE_25_29_HW_20_29,OM_UIE_25_29_HW_30_34,OM_UIE_25_29_HW_35_39,OM_UIE_25_29_HW_40_44,OM_UIE_25_29_HW_45_49,OM_UIE_25_29_HW_50mor,OM_UIE_25_29_HW_NS,OM_UIE_25_29_Tot,OM_UIE_30_34_HW_0,OM_UIE_30_34_HW_1_19,OM_UIE_30_34_HW_20_29,OM_UIE_30_34_HW_30_34,OM_UIE_30_34_HW_35_39,OM_UIE_30_34_HW_40_44,OM_UIE_30_34_HW_45_49,OM_UIE_30_34_HW_50mor,OM_UIE_30_34_HW_NS,OM_UIE_30_34_Tot,OM_UIE_35_39_HW_0,OM_UIE_35_39_HW_1_19,OM_UIE_35_39_HW_20_29,OM_UIE_35_39_HW_30_34,OM_UIE_35_39_HW_35_39,OM_UIE_35_39_HW_40_44,OM_UIE_35_39_HW_45_49,OM_UIE_35_39_HW_50mor,OM_UIE_35_39_HW_NS,OM_UIE_35_39_Tot,OM_UIE_40_44_HW_0,OM_UIE_40_44_HW_1_19,OM_UIE_40_44_HW_20_29,OM_UIE_40_44_HW_30_34,OM_UIE_40_44_HW_35_39,OM_UIE_40_44_HW_40_44,OM_UIE_40_44_HW_45_49,OM_UIE_40_44_HW_50mor,OM_UIE_40_44_HW_NS,OM_UIE_40_44_Tot,OM_UIE_45_49_HW_0,OM_UIE_45_49_HW_1_19,OM_UIE_45_49_HW_20_29,OM_UIE_45_49_HW_30_34,OM_UIE_45_49_HW_35_39,OM_UIE_45_49_HW_40_44,OM_UIE_45_49_HW_45_49,OM_UIE_45_49_HW_50mor,OM_UIE_45_49_HW_NS,OM_UIE_45_49_Tot,OM_UIE_50_54_HW_0,OM_UIE_50_54_HW_1_19,OM_UIE_50_54_HW_20_29,OM_UIE_50_54_HW_30_34,OM_UIE_50_54_HW_35_39,OM_UIE_50_54_HW_40_44,OM_UIE_50_54_HW_45_49,OM_UIE_50_54_HW_50mor,OM_UIE_50_54_HW_NS,OM_UIE_50_54_Tot,OM_UIE_55_59_HW_0,OM_UIE_55_59_HW_1_19,OM_UIE_55_59_HW_20_29,OM_UIE_55_59_HW_30_34,OM_UIE_55_59_HW_35_39,OM_UIE_55_59_HW_40_44,OM_UIE_55_59_HW_45_49,OM_UIE_55_59_HW_50mor,OM_UIE_55_59_HW_NS,OM_UIE_55_59_Tot,OM_UIE_60_64_HW_0,OM_UIE_60_64_HW_1_19,OM_UIE_60_64_HW_20_29,OM_UIE_60_64_HW_30_34,OM_UIE_60_64_HW_35_39,OM_UIE_60_64_HW_40_44,OM_UIE_60_64_HW_45_49,OM_UIE_60_64_HW_50mor,OM_UIE_60_64_HW_NS,OM_UIE_60_64_Tot,OM_UIE_65_69_HW_0,OM_UIE_65_69_HW_1_19,OM_UIE_65_69_HW_20_29,OM_UIE_65_69_HW_30_34,OM_UIE_65_69_HW_35_39,OM_UIE_65_69_HW_40_44,OM_UIE_65_69_HW_45_49,OM_UIE_65_69_HW_50mor,OM_UIE_65_69_HW_NS,OM_UIE_65_69_Tot,OM_UIE_70_74_HW_0,OM_UIE_70_74_HW_1_19,OM_UIE_70_74_HW_20_29,OM_UIE_70_74_HW_30_34,OM_UIE_70_74_HW_35_39,OM_UIE_70_74_HW_40_44,OM_UIE_70_74_HW_45_49,OM_UIE_70_74_HW_50mor,OM_UIE_70_74_HW_NS,OM_UIE_70_74_Tot
501011001,0,0,0,0,5,9,0,11,0,22,0,0,4,5,0,5,5,10,0,30,0,5,0,0,4,6,0,10,0,20,0,4,3,0,5,4,0,8,0,36,0,3,5,5,5,3,0,6,0,20,0,4,0,0,0,3,0,3,0,8,0,3,0,0,0,3,0,4,0,7,6,26,21,18,20,37,16,72,4,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,4,0,14,0,3,3,3,0,0,0,5,0,23,0,8,5,5,4,6,0,9,0,43,3,13,4,4,3,9,0,4,0,41,0,5,3,4,0,3,0,9,0,30,0,4,7,5,3,11,9,12,0,56,0,11,7,4,8,6,0,11,4,42,6,15,14,6,4,5,0,15,0,68,6,12,0,6,5,5,0,6,0,42,0,0,6,0,0,3,0,7,0,17
501011003,0,5,9,4,11,29,11,24,3,100,0,9,12,4,6,16,11,29,0,79,7,12,13,9,6,17,3,33,0,102,3,5,17,10,3,7,5,19,0,67,0,4,7,0,0,3,0,4,0,29,7,8,5,4,0,0,4,0,0,24,0,0,0,0,0,0,0,0,0,10,24,62,84,59,39,123,41,169,6,605,0,3,3,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,4,3,3,5,0,0,0,4,3,0,30,3,8,10,6,10,10,4,5,0,54,3,25,11,5,3,8,5,12,0,77,3,21,14,11,8,28,6,13,0,111,0,17,21,19,12,32,4,19,0,127,3,15,14,19,9,24,4,17,0,100,6,20,18,9,14,16,4,24,4,115,0,22,7,7,9,10,9,13,0,84,3,18,11,7,8,10,0,7,0,57,5,14,9,0,0,0,0,4,0,30
501011004,0,4,4,0,3,14,7,17,0,57,0,0,4,5,3,11,10,10,0,44,3,0,0,0,7,3,3,12,0,33,0,5,5,0,3,10,0,14,0,36,0,0,3,6,0,4,0,8,0,23,0,0,3,0,0,3,0,3,0,15,0,0,0,0,0,0,0,0,0,5,9,32,32,39,29,65,29,106,3,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,12,0,3,13,5,0,9,0,7,0,29,5,8,12,7,7,6,4,0,0,50,4,26,12,3,8,11,5,3,0,78,5,22,28,6,11,20,5,11,0,110,5,20,18,12,10,19,7,20,0,105,9,12,10,6,5,15,6,6,0,73,10,22,8,6,9,14,5,11,0,78,4,18,12,8,5,6,3,0,0,60,0,16,4,5,6,6,0,5,0,36,0,8,5,3,0,3,0,4,0,33
501011293,0,5,3,7,4,13,3,22,0,51,0,5,3,4,7,18,5,21,0,72,3,0,0,4,7,15,5,20,0,55,3,9,5,3,4,5,3,14,0,40,0,8,3,0,0,0,0,3,0,20,0,3,4,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,15,39,29,27,35,66,40,115,4,362,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,5,0,3,0,21,5,3,6,0,9,7,0,7,0,38,3,9,7,7,3,10,4,9,0,49,0,11,8,0,3,7,6,9,0,42,0,9,7,8,0,14,8,20,0,76,0,7,8,3,10,12,4,15,0,60,0,3,6,6,3,7,4,11,0,50,3,21,14,10,7,10,6,9,0,68,0,15,5,5,10,4,0,6,0,43,0,9,0,0,0,0,0,0,0,15
501011294,0,5,5,5,7,7,3,13,0,44,0,0,6,6,4,8,3,15,0,37,0,0,0,3,3,6,5,6,0,34,0,3,10,0,0,3,4,9,0,29,0,5,4,0,0,0,0,5,0,17,0,3,0,3,0,0,3,0,0,17,0,4,0,0,0,0,0,0,0,4,3,25,34,30,28,43,28,77,0,276,0,0,0,0,0,0,0,0,0,6,0,4,0,0,3,0,3,0,0,10,4,4,4,0,0,4,0,8,0,27,0,14,6,3,9,10,9,8,0,61,0,12,10,11,6,15,4,13,0,74,0,9,11,0,4,15,7,9,0,63,0,20,7,3,8,20,6,18,0,82,5,11,10,8,8,11,7,15,0,71,11,9,12,8,9,17,7,9,0,71,4,20,13,8,0,12,3,10,0,65,4,12,3,0,0,7,4,6,0,37,0,13,0,0,0,0,0,5,0,25
501021005,0,5,0,0,0,6,0,3,0,16,0,0,9,0,6,3,4,14,0,28,3,0,3,0,0,5,0,8,0,26,0,3,3,3,0,4,0,0,0,16,0,0,0,3,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,4,14,22,18,15,35,8,53,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,12,6,0,3,0,5,5,0,0,0,23,0,0,5,4,0,0,0,11,0,30,0,16,5,0,0,7,0,0,0,35,0,6,10,0,0,6,3,3,0,24,0,10,0,3,0,6,0,4,0,31,4,8,4,4,11,9,0,7,0,46,0,6,0,4,3,8,0,4,0,29,8,5,8,5,5,0,5,3,0,39,0,9,5,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,10
501021007,0,0,6,0,0,0,0,3,0,11,3,0,0,0,0,0,6,4,3,22,0,0,4,0,0,0,0,10,0,15,0,0,0,0,3,0,4,9,0,16,0,0,0,0,0,0,0,4,0,4,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,7,16,6,4,6,4,46,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,5,0,0,0,6,0,3,3,5,3,0,0,0,0,8,3,5,0,0,0,3,0,5,0,18,0,3,0,3,5,0,0,7,0,23,0,3,5,0,0,5,0,4,0,19,0,9,0,0,3,4,0,10,0,23,0,4,0,0,0,7,0,5,0,20,0,5,7,3,0,0,0,12,0,29,3,5,5,0,0,0,0,7,0,20,0,8,3,0,0,3,0,3,0,18
501021008,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,7,9,0,7,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,6,3,0,0,0,0,3,0,0,0,8,0,0,4,0,0,6,0,0,0,13,0,5,0,0,0,3,0,0,0,6,0,0,0,0,3,3,0,6,0,10,0,3,4,0,3,0,0,7,0,22,0,0,0,0,0,0,0,4,0,12,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,5
501021009,0,3,0,0,0,6,0,3,0,10,4,0,5,0,0,0,0,5,0,16,3,0,3,0,0,5,0,4,0,11,0,4,3,0,0,0,0,4,0,18,0,4,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,13,13,8,4,7,15,4,28,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,12,0,6,3,0,0,4,0,4,0,16,0,3,3,0,3,0,0,5,0,15,0,0,0,0,0,5,3,9,0,18,0,3,0,0,0,0,0,6,0,11,0,3,9,0,3,3,0,6,0,28,0,4,3,4,0,0,0,9,0,18,0,4,0,0,0,3,0,6,0,15,0,0,0,0,0,0,0,0,0,4
501021010,0,0,0,0,0,4,0,8,0,14,0,3,0,0,0,0,0,8,0,21,0,0,0,0,0,0,0,11,0,18,0,0,3,5,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,9,3,3,11,16,7,50,0,111,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,4,0,3,0,11,0,6,8,0,0,0,0,4,0,13,0,7,3,0,0,0,0,3,0,25,0,0,0,4,0,0,0,7,0,17,0,0,3,0,0,3,0,14,0,23,0,3,3,0,3,4,0,10,0,24,0,0,0,0,0,0,0,9,0,15,0,8,7,0,0,4,0,4,0,17,0,5,0,0,0,0,0,0,0,10
