POW_SA2_CODE_2021,M_EWFT_15_19_E,M_EWFT_15_19_OM_IE,M_EWFT_15_19_OM_UIE,M_EWFT_15_19_CFW,M_EWFT_15_19_ES_NS,M_EWFT_15_19_Tot,M_EWFT_20_24_E,M_EWFT_20_24_OM_IE,M_EWFT_20_24_OM_UIE,M_EWFT_20_24_CFW,M_EWFT_20_24_ES_NS,M_EWFT_20_24_Tot,M_EWFT_25_29_E,M_EWFT_25_29_OM_IE,M_EWFT_25_29_OM_UIE,M_EWFT_25_29_CFW,M_EWFT_25_29_ES_NS,M_EWFT_25_29_Tot,M_EWFT_30_34_E,M_EWFT_30_34_OM_IE,M_EWFT_30_34_OM_UIE,M_EWFT_30_34_CFW,M_EWFT_30_34_ES_NS,M_EWFT_30_34_Tot,M_EWFT_35_39_E,M_EWFT_35_39_OM_IE,M_EWFT_35_39_OM_UIE,M_EWFT_35_39_CFW,M_EWFT_35_39_ES_NS,M_EWFT_35_39_Tot,M_EWFT_40_44_E,M_EWFT_40_44_OM_IE,M_EWFT_40_44_OM_UIE,M_EWFT_40_44_CFW,M_EWFT_40_44_ES_NS,M_EWFT_40_44_Tot,M_EWFT_45_49_E,M_EWFT_45_49_OM_IE,M_EWFT_45_49_OM_UIE,M_EWFT_45_49_CFW,M_EWFT_45_49_ES_NS,M_EWFT_45_49_Tot,M_EWFT_50_54_E,M_EWFT_50_54_OM_IE,M_EWFT_50_54_OM_UIE,M_EWFT_50_54_CFW,M_EWFT_50_54_ES_NS,M_EWFT_50_54_Tot,M_EWFT_55_59_E,M_EWFT_55_59_OM_IE,M_EWFT_55_59_OM_UIE,M_EWFT_55_59_CFW,M_EWFT_55_59_ES_NS,M_EWFT_55_59_Tot,M_EWFT_60_64_E,M_EWFT_60_64_OM_IE,M_EWFT_60_64_OM_UIE,M_EWFT_60_64_CFW,M_EWFT_60_64_ES_NS,M_EWFT_60_64_Tot,M_EWFT_65_69_E,M_EWFT_65_69_OM_IE,M_EWFT_65_69_OM_UIE,M_EWFT_65_69_CFW,M_EWFT_65_69_ES_NS,M_EWFT_65_69_Tot,M_EWFT_70_74_E,M_EWFT_70_74_OM_IE,M_EWFT_70_74_OM_UIE,M_EWFT_70_74_CFW,M_EWFT_70_74_ES_NS,M_EWFT_70_74_Tot,M_EWFT_75ov_E,M_EWFT_75ov_OM_IE,M_EWFT_75ov_OM_UIE,M_EWFT_75ov_CFW,M_EWFT_75ov_ES_NS,M_EWFT_75ov_Tot,M_EWFT_Tot_E,M_EWFT_Tot_OM_IE,M_EWFT_Tot_OM_UIE,M_EWFT_Tot_CFW,M_EWFT_Tot_ES_NS,M_EWFT_Tot_Tot,M_EWPT_15_19_E,M_EWPT_15_19_OM_IE,M_EWPT_15_19_OM_UIE,M_EWPT_15_19_CFW,M_EWPT_15_19_ES_NS,M_EWPT_15_19_Tot,M_EWPT_20_24_E,M_EWPT_20_24_OM_IE,M_EWPT_20_24_OM_UIE,M_EWPT_20_24_CFW,M_EWPT_20_24_ES_NS,M_EWPT_20_24_Tot,M_EWPT_25_29_E,M_EWPT_25_29_OM_IE,M_EWPT_25_29_OM_UIE,M_EWPT_25_29_CFW,M_EWPT_25_29_ES_NS,M_EWPT_25_29_Tot,M_EWPT_30_34_E,M_EWPT_30_34_OM_IE,M_EWPT_30_34_OM_UIE,M_EWPT_30_34_CFW,M_EWPT_30_34_ES_NS,M_EWPT_30_34_Tot,M_EWPT_35_39_E,M_EWPT_35_39_OM_IE,M_EWPT_35_39_OM_UIE,M_EWPT_35_39_CFW,M_EWPT_35_39_ES_NS,M_EWPT_35_39_Tot,M_EWPT_40_44_E,M_EWPT_40_44_OM_IE,M_EWPT_40_44_OM_UIE,M_EWPT_40_44_CFW,M_EWPT_40_44_ES_NS,M_EWPT_40_44_Tot,M_EWPT_45_49_E,M_EWPT_45_49_OM_IE,M_EWPT_45_49_OM_UIE,M_EWPT_45_49_CFW,M_EWPT_45_49_ES_NS,M_EWPT_45_49_Tot,M_EWPT_50_54_E,M_EWPT_50_54_OM_IE,M_EWPT_50_54_OM_UIE,M_EWPT_50_54_CFW,M_EWPT_50_54_ES_NS,M_EWPT_50_54_Tot,M_EWPT_55_59_E,M_EWPT_55_59_OM_IE,M_EWPT_55_59_OM_UIE,M_EWPT_55_59_CFW,M_EWPT_55_59_ES_NS,M_EWPT_55_59_Tot,M_EWPT_60_64_E,M_EWPT_60_64_OM_IE,M_EWPT_60_64_OM_UIE,M_EWPT_60_64_CFW,M_EWPT_60_64_ES_NS,M_EWPT_60_64_Tot,M_EWPT_65_69_E,M_EWPT_65_69_OM_IE,M_EWPT_65_69_OM_UIE,M_EWPT_65_69_CFW,M_EWPT_65_69_ES_NS,M_EWPT_65_69_Tot,M_EWPT_70_74_E,M_EWPT_70_74_OM_IE,M_EWPT_70_74_OM_UIE,M_EWPT_70_74_CFW,M_EWPT_70_74_ES_NS,M_EWPT_70_74_Tot,M_EWPT_75ov_E,M_EWPT_75ov_OM_IE,M_EWPT_75ov_OM_UIE,M_EWPT_75ov_CFW,M_EWPT_75ov_ES_NS,M_EWPT_75ov_Tot,M_EWPT_Tot_E,M_EWPT_Tot_OM_IE,M_EWPT_Tot_OM_UIE,M_EWPT_Tot_CFW,M_EWPT_Tot_ES_NS,M_EWPT_Tot_Tot,M_EAFW_E,M_EAFW_OM_IE,M_EAFW_OM_UIE,M_EAFW_CFW,M_EAFW_ES_NS,M_EAFW_Tot,M_H_NS_E,M_H_NS_OM_IE,M_H_NS_OM_UIE,M_H_NS_CFW,M_H_NS_ES_NS,M_H_NS_Tot,M_Tot_E,M_Tot_OM_IE,M_Tot_OM_UIE,M_Tot_CFW,M_Tot_ES_NS,M_Tot_Tot,F_EWFT_15_19_E,F_EWFT_15_19_OM_IE,F_EWFT_15_19_OM_UIE,F_EWFT_15_19_CFW,F_EWFT_15_19_ES_NS,F_EWFT_15_19_Tot,F_EWFT_20_24_E,F_EWFT_20_24_OM_IE,F_EWFT_20_24_OM_UIE,F_EWFT_20_24_CFW,F_EWFT_20_24_ES_NS,F_EWFT_20_24_Tot,F_EWFT_25_29_E,F_EWFT_25_29_OM_IE
501011001,23,0,0,0,0,23,38,0,0,0,0,35,46,0,6,0,0,54,48,7,7,0,0,61,57,10,18,0,5,82,61,17,9,0,5,93,48,18,14,5,0,80,50,13,23,6,0,91,37,8,17,0,0,67,24,17,19,5,0,60,11,11,9,4,0,39,3,6,3,14,0,24,3,5,7,7,0,18,443,112,128,43,11,732,24,0,0,4,0,28,15,0,0,0,0,15,18,0,0,0,0,18,16,0,5,0,0,21,7,8,3,0,0,17,10,0,7,3,0,19,10,0,9,3,5,17,13,4,11,0,0,29,7,0,16,4,0,30,22,7,20,7,0,58,17,0,10,0,6,38,3,0,3,3,0,16,5,5,4,8,0,19,169,29,91,35,11,329,32,4,7,3,0,50,10,0,5,6,5,20,653,143,227,90,24,1135,8,0,0,0,0,8,16,0,0,0,0,16,33,0
501011003,57,0,0,0,0,55,102,0,0,0,0,107,115,4,7,0,0,128,146,21,20,0,3,186,138,25,21,0,0,190,134,42,45,0,0,224,109,48,42,7,6,209,101,49,33,9,0,195,80,47,42,3,7,171,47,29,31,10,5,119,20,8,16,0,4,50,3,5,6,7,0,21,0,0,8,5,0,9,1053,283,271,39,22,1669,121,0,6,0,0,124,43,0,0,0,0,48,26,0,3,0,0,32,39,7,7,0,0,46,30,11,12,0,0,44,29,5,7,0,0,44,16,4,13,5,0,42,18,4,23,5,0,51,23,16,21,0,0,63,24,21,19,0,5,73,27,4,15,19,0,71,10,12,13,8,0,38,6,4,6,0,0,18,412,89,140,48,12,699,73,13,10,15,0,114,44,6,5,4,5,58,1585,387,431,98,40,2535,27,0,0,0,0,27,59,0,0,0,0,59,78,0
501011004,32,0,0,0,0,32,70,0,6,0,0,73,89,0,9,0,0,104,111,8,11,0,4,129,100,15,25,4,0,149,96,29,38,3,0,166,97,34,39,0,3,171,73,27,13,0,0,109,66,19,27,0,0,115,43,20,13,0,0,75,14,9,12,0,0,36,9,9,3,4,0,23,0,0,0,0,0,0,797,171,196,12,15,1187,105,0,0,0,0,106,47,0,0,0,0,53,39,0,4,0,0,44,38,0,9,0,0,45,21,7,14,0,0,37,22,8,13,4,0,47,23,9,14,0,0,48,27,7,18,0,0,53,25,7,15,0,0,51,37,5,16,3,0,60,26,7,10,3,0,47,10,3,11,6,0,34,0,0,4,0,0,7,418,42,137,19,4,621,48,8,21,0,3,83,23,0,6,0,5,31,1286,221,355,32,21,1918,14,0,0,0,0,14,35,0,0,0,0,32,64,0
501011293,62,0,0,0,0,62,122,0,0,0,0,126,116,0,3,0,0,128,133,12,17,0,0,162,142,20,16,0,0,174,147,24,17,0,0,196,174,28,29,5,0,238,151,37,25,5,0,220,125,33,17,4,0,180,93,19,17,5,0,139,44,5,13,0,0,70,6,3,0,0,0,15,0,0,0,0,0,8,1321,187,165,22,10,1700,179,0,0,0,0,183,58,0,0,0,0,60,37,0,4,0,0,38,32,0,5,0,0,37,29,5,9,0,0,35,21,4,12,0,0,36,26,7,13,0,0,46,37,5,6,0,5,47,49,0,5,0,0,52,40,10,17,0,0,69,49,3,10,3,0,65,30,9,9,0,0,46,7,0,4,5,0,18,594,38,78,13,4,728,87,8,9,0,0,103,24,0,5,0,4,40,2027,233,256,41,20,2574,51,0,0,0,0,51,85,0,0,0,0,85,110,0
501011294,32,0,0,0,0,32,70,0,6,0,0,76,74,5,8,0,0,90,99,13,21,0,3,141,92,12,23,8,0,137,105,21,28,0,0,159,99,15,27,0,0,142,95,17,25,0,0,138,76,15,22,0,0,120,61,12,15,0,3,93,17,3,11,0,0,30,3,3,5,3,0,13,0,0,0,0,0,4,823,130,195,12,10,1167,144,0,0,0,0,146,30,0,0,0,0,36,31,0,0,0,0,31,21,3,5,0,0,32,29,0,10,0,0,42,22,0,6,0,0,24,30,0,10,0,0,44,23,3,17,0,0,41,38,8,11,0,0,55,37,9,15,0,0,62,30,5,12,4,0,52,10,8,7,4,0,22,4,0,4,4,0,12,451,36,97,19,0,604,61,5,17,0,0,88,24,0,6,0,5,29,1358,172,308,36,16,1890,41,0,0,0,0,38,73,0,0,0,0,73,101,0
501021005,32,0,0,0,0,32,61,0,3,0,0,64,72,8,8,0,0,87,78,7,6,0,0,93,94,15,10,4,0,117,86,7,7,0,0,102,93,9,6,3,0,107,72,19,17,0,0,107,74,11,15,0,0,98,51,6,7,0,0,68,14,4,0,0,0,21,4,0,0,0,0,3,3,0,0,0,0,3,732,79,83,11,10,904,110,0,0,0,0,110,34,0,0,0,0,35,18,0,0,0,0,19,4,0,3,0,0,11,13,0,0,0,0,19,10,7,0,0,0,19,14,0,6,0,0,26,14,4,4,0,0,18,8,0,4,0,0,18,17,7,5,0,0,30,8,6,3,4,0,19,4,5,3,0,0,13,0,0,3,0,0,6,265,21,42,5,5,343,52,3,7,0,0,58,21,0,0,0,0,25,1067,108,128,18,11,1330,20,0,0,0,0,20,50,0,5,0,0,47,57,0
501021007,24,0,0,0,0,24,27,0,3,0,0,23,37,6,5,0,0,47,29,3,0,0,0,39,50,3,3,0,0,62,52,0,10,0,0,65,63,6,5,0,0,76,38,3,13,3,0,59,47,6,9,0,0,60,28,10,8,0,0,43,6,4,10,0,0,23,3,0,8,5,0,9,0,0,0,5,0,4,396,52,81,12,0,536,23,0,0,5,0,26,7,0,0,0,0,7,6,0,0,0,0,6,0,0,5,0,0,4,0,0,0,0,0,0,3,0,0,0,0,7,6,0,0,0,0,9,5,4,0,0,0,7,6,3,4,0,0,10,7,0,0,0,0,12,7,0,10,0,0,17,3,0,6,0,0,10,0,0,0,5,0,8,84,12,21,9,0,125,18,5,5,0,0,31,14,6,0,0,0,12,504,66,107,29,3,716,5,0,0,0,0,5,24,0,0,0,0,23,20,0
501021008,5,0,0,0,0,5,22,0,0,0,0,25,51,0,0,0,0,55,71,0,4,0,0,74,82,9,3,0,0,90,82,0,5,0,0,84,90,6,3,0,0,96,81,0,7,0,0,91,94,4,8,0,0,103,61,3,4,0,0,69,21,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,3,670,16,31,0,0,723,63,0,0,0,0,63,21,0,0,0,0,21,16,0,0,0,0,16,24,0,0,0,0,24,14,0,4,0,0,12,11,0,0,0,0,13,22,0,3,0,0,27,24,0,0,0,0,24,8,6,3,0,0,14,24,3,5,0,0,29,20,0,0,0,0,20,0,0,0,0,0,8,4,0,0,0,0,4,250,8,15,0,0,276,62,0,0,0,0,64,21,0,0,0,5,31,1006,23,55,0,7,1088,16,0,0,0,0,17,61,0,0,0,0,58,112,0
501021009,56,0,0,0,0,58,142,0,0,0,0,142,168,3,0,0,3,172,220,0,0,0,0,221,279,4,6,0,0,289,331,7,3,0,0,346,323,4,5,0,0,339,349,10,0,0,0,359,282,6,6,4,4,297,154,14,5,0,0,169,47,5,8,0,0,62,7,0,0,0,0,8,0,4,3,0,0,7,2345,47,45,8,10,2459,50,0,0,0,0,54,31,0,0,0,0,32,33,0,0,0,0,35,30,0,0,0,0,36,24,0,0,0,0,24,10,0,0,0,0,16,17,0,0,0,0,19,19,0,3,0,0,24,21,0,0,0,0,25,26,3,11,0,0,30,19,4,0,4,0,22,5,0,0,0,0,10,3,0,0,0,0,7,293,9,21,10,5,333,178,8,0,0,0,184,60,0,0,4,4,71,2874,65,71,17,16,3043,23,0,0,0,0,24,64,0,4,0,0,69,72,0
501021010,27,0,0,0,0,27,65,0,0,0,0,68,71,0,5,0,0,72,82,9,7,0,0,97,81,0,5,0,0,89,82,12,11,0,0,96,86,12,9,0,0,100,69,14,15,0,0,100,86,9,15,0,0,109,73,0,6,4,0,86,22,3,5,0,0,35,8,0,5,0,0,9,0,0,5,3,0,7,741,71,71,8,3,896,15,0,0,0,0,21,6,0,0,0,0,13,4,0,0,0,0,3,5,0,0,0,0,5,7,0,4,3,0,16,10,0,3,0,0,11,6,0,3,0,0,10,8,0,5,0,0,11,7,0,5,0,0,12,12,0,6,0,0,19,7,0,6,0,0,15,4,0,3,9,0,17,3,0,0,5,4,11,102,3,32,17,7,164,33,0,0,0,0,43,12,0,0,0,0,18,890,80,110,27,14,1117,4,0,0,0,0,4,22,0,0,0,0,19,20,0
