POW_SA2_CODE_2021,NS_2000_2999_Mng,NS_2000_2999_Pro,NS_2000_2999_TecTW,NS_2000_2999_CoPSW,NS_2000_2999_ClAW,NS_2000_2999_SWks,NS_2000_2999_MaOpDv,NS_2000_2999_Lab,NS_2000_2999_IDNS,NS_2000_2999_Tot,NS_3000_3499_Mng,NS_3000_3499_Pro,NS_3000_3499_TecTW,NS_3000_3499_CoPSW,NS_3000_3499_ClAW,NS_3000_3499_SWks,NS_3000_3499_MaOpDv,NS_3000_3499_Lab,NS_3000_3499_IDNS,NS_3000_3499_Tot,NS_3500mo_Mng,NS_3500mo_Pro,NS_3500mo_TecTW,NS_3500mo_CoPSW,NS_3500mo_ClAW,NS_3500mo_SWks,NS_3500mo_MaOpDv,NS_3500mo_Lab,NS_3500mo_IDNS,NS_3500mo_Tot,NS_PINS_Mng,NS_PINS_Pro,NS_PINS_TecTW,NS_PINS_CoPSW,NS_PINS_ClAW,NS_PINS_SWks,NS_PINS_MaOpDv,NS_PINS_Lab,NS_PINS_IDNS,NS_PINS_Tot,NS_Tot_Mng,NS_Tot_Pro,NS_Tot_TecTW,NS_Tot_CoPSW,NS_Tot_ClAW,NS_Tot_SWks,NS_Tot_MaOpDv,NS_Tot_Lab,NS_Tot_IDNS,NS_Tot_Tot,Tot_NNI_Mng,Tot_NNI_Pro,Tot_NNI_TecTW,Tot_NNI_CoPSW,Tot_NNI_ClAW,Tot_NNI_SWks,Tot_NNI_MaOpDv,Tot_NNI_Lab,Tot_NNI_IDNS,Tot_NNI_Tot,Tot_1_149_Mng,Tot_1_149_Pro,Tot_1_149_TecTW,Tot_1_149_CoPSW,Tot_1_149_ClAW,Tot_1_149_SWks,Tot_1_149_MaOpDv,Tot_1_149_Lab,Tot_1_149_IDNS,Tot_1_149_Tot,Tot_150_299_Mng,Tot_150_299_Pro,Tot_150_299_TecTW,Tot_150_299_CoPSW,Tot_150_299_ClAW,Tot_150_299_SWks,Tot_150_299_MaOpDv,Tot_150_299_Lab,Tot_150_299_IDNS,Tot_150_299_Tot,Tot_300_399_Mng,Tot_300_399_Pro,Tot_300_399_TecTW,Tot_300_399_CoPSW,Tot_300_399_ClAW,Tot_300_399_SWks,Tot_300_399_MaOpDv,Tot_300_399_Lab,Tot_300_399_IDNS,Tot_300_399_Tot,Tot_400_499_Mng,Tot_400_499_Pro,Tot_400_499_TecTW,Tot_400_499_CoPSW,Tot_400_499_ClAW,Tot_400_499_SWks,Tot_400_499_MaOpDv,Tot_400_499_Lab,Tot_400_499_IDNS,Tot_400_499_Tot,Tot_500_649_Mng,Tot_500_649_Pro,Tot_500_649_TecTW,Tot_500_649_CoPSW,Tot_500_649_ClAW,Tot_500_649_SWks,Tot_500_649_MaOpDv,Tot_500_649_Lab,Tot_500_649_IDNS,Tot_500_649_Tot,Tot_650_799_Mng,Tot_650_799_Pro,Tot_650_799_TecTW,Tot_650_799_CoPSW,Tot_650_799_ClAW,Tot_650_799_SWks,Tot_650_799_MaOpDv,Tot_650_799_Lab,Tot_650_799_IDNS,Tot_650_799_Tot,Tot_800_999_Mng,Tot_800_999_Pro,Tot_800_999_TecTW,Tot_800_999_CoPSW,Tot_800_999_ClAW,Tot_800_999_SWks,Tot_800_999_MaOpDv,Tot_800_999_Lab,Tot_800_999_IDNS,Tot_800_999_Tot,Tot_1000_1249_Mng,Tot_1000_1249_Pro,Tot_1000_1249_TecTW,Tot_1000_1249_CoPSW,Tot_1000_1249_ClAW,Tot_1000_1249_SWks,Tot_1000_1249_MaOpDv,Tot_1000_1249_Lab,Tot_1000_1249_IDNS,Tot_1000_1249_Tot,Tot_1250_1499_Mng,Tot_1250_1499_Pro,Tot_1250_1499_TecTW,Tot_1250_1499_CoPSW,Tot_1250_1499_ClAW,Tot_1250_1499_SWks,Tot_1250_1499_MaOpDv,Tot_1250_1499_Lab,Tot_1250_1499_IDNS,Tot_1250_1499_Tot,Tot_1500_1749_Mng,Tot_1500_1749_Pro,Tot_1500_1749_TecTW,Tot_1500_1749_CoPSW,Tot_1500_1749_ClAW,Tot_1500_1749_SWks,Tot_1500_1749_MaOpDv,Tot_1500_1749_Lab,Tot_1500_1749_IDNS,Tot_1500_1749_Tot,Tot_1750_1999_Mng,Tot_1750_1999_Pro,Tot_1750_1999_TecTW,Tot_1750_1999_CoPSW,Tot_1750_1999_ClAW,Tot_1750_1999_SWks,Tot_1750_1999_MaOpDv,Tot_1750_1999_Lab,Tot_1750_1999_IDNS,Tot_1750_1999_Tot,Tot_2000_2999_Mng,Tot_2000_2999_Pro,Tot_2000_2999_TecTW,Tot_2000_2999_CoPSW,Tot_2000_2999_ClAW,Tot_2000_2999_SWks,Tot_2000_2999_MaOpDv,Tot_2000_2999_Lab,Tot_2000_2999_IDNS,Tot_2000_2999_Tot,Tot_3000_3499_Mng,Tot_3000_3499_Pro,Tot_3000_3499_TecTW,Tot_3000_3499_CoPSW,Tot_3000_3499_ClAW,Tot_3000_3499_SWks,Tot_3000_3499_MaOpDv,Tot_3000_3499_Lab,Tot_3000_3499_IDNS,Tot_3000_3499_Tot,Tot_3500mo_Mng,Tot_3500mo_Pro,Tot_3500mo_TecTW,Tot_3500mo_CoPSW,Tot_3500mo_ClAW,Tot_3500mo_SWks,Tot_3500mo_MaOpDv,Tot_3500mo_Lab,Tot_3500mo_IDNS,Tot_3500mo_Tot
506051139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,3,4,0,0,5,3,18,31,0,0,0,4,3,0,3,0,0,21,6,5,0,11,7,33,5,36,7,109,5,11,4,33,8,37,8,37,0,134,0,9,11,19,8,20,5,16,0,82,8,10,12,24,15,17,3,22,0,119,3,5,30,47,24,28,4,42,0,178,8,13,36,54,25,19,22,34,0,211,20,17,45,61,40,19,36,47,0,284,24,31,44,55,42,8,58,35,5,312,31,33,35,24,50,5,54,30,3,263,34,36,34,8,26,7,34,15,0,194,22,33,33,4,11,7,25,15,0,155,58,39,37,4,9,3,40,8,4,202,13,15,6,0,3,0,4,7,0,44,27,23,10,0,3,0,0,0,4,66
506051140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,5,3,0,0,3,0,7,20,7,5,0,3,14,5,0,5,0,35,6,10,8,51,7,54,8,37,0,180,7,20,16,50,17,47,8,41,0,216,15,25,25,39,24,31,0,22,0,187,15,25,29,38,19,44,0,31,0,196,7,38,57,61,46,38,7,44,5,295,30,30,46,94,51,52,11,43,0,351,38,46,80,80,59,26,14,36,6,391,38,70,73,75,65,30,22,26,3,412,49,91,51,21,47,24,15,10,3,306,29,103,32,19,31,11,5,0,4,234,25,105,23,7,17,9,8,6,0,197,59,126,22,9,19,10,4,5,0,251,14,29,6,0,0,0,0,0,0,57,20,53,4,0,5,11,0,0,4,86
506051141,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,6,0,0,5,3,0,0,0,3,20,33,5,4,4,0,4,0,0,8,3,27,0,19,5,50,11,17,0,27,0,134,11,9,9,30,13,11,0,18,0,101,10,11,6,31,16,12,0,21,0,100,15,8,13,32,13,17,5,20,0,128,21,28,22,59,27,16,14,43,0,229,30,29,29,66,33,16,10,48,4,254,23,41,36,73,34,6,18,35,7,267,37,51,63,56,52,11,26,35,10,340,26,84,48,17,24,7,25,17,5,249,25,66,40,10,34,0,31,12,5,227,29,86,15,4,16,0,12,6,0,166,56,164,27,4,12,3,16,3,0,279,22,23,0,0,3,0,0,3,0,55,24,9,0,0,5,0,3,3,3,47
506061142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,6,3,4,0,3,0,14,38,9,3,8,0,3,5,4,3,3,32,5,10,13,44,13,93,12,64,0,250,0,14,11,47,16,59,3,38,0,194,5,13,14,47,17,32,10,32,4,168,10,11,24,50,17,36,4,42,4,198,14,26,63,97,34,38,6,38,0,318,24,30,48,128,51,36,13,61,0,386,30,37,58,103,30,44,22,37,3,363,40,51,79,79,34,23,26,36,3,377,26,79,46,25,9,8,23,16,0,235,24,79,56,12,12,4,15,14,0,213,14,85,22,8,9,0,6,7,6,157,42,103,33,6,10,3,9,7,3,208,10,11,3,0,0,0,0,0,0,29,8,22,14,0,4,4,0,0,3,54
506061143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,4,4,0,0,0,0,0,7,17,32,8,0,4,4,6,0,3,3,5,32,7,3,5,9,5,3,6,15,5,54,8,3,5,9,10,3,5,21,0,61,8,4,13,11,10,6,6,21,6,80,5,6,17,12,20,7,4,11,0,73,9,9,22,17,28,10,3,30,4,135,13,17,30,14,32,11,19,56,7,191,27,10,48,14,22,13,38,99,0,264,40,24,60,15,38,11,48,65,3,304,30,29,60,11,39,0,40,35,3,245,38,29,50,12,17,3,28,9,3,194,19,32,23,19,11,3,23,11,0,146,53,44,31,26,9,0,18,7,4,190,17,11,10,5,3,0,0,0,0,54,26,5,6,0,0,0,6,0,0,46
506061144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,5,11,20,3,5,0,0,0,0,0,3,0,19,3,4,0,9,0,3,0,13,0,36,7,0,6,8,4,3,4,10,0,39,7,4,5,7,8,5,3,12,0,57,12,5,14,4,8,3,7,10,0,63,9,9,12,10,12,0,0,22,0,73,20,8,6,8,17,9,5,20,3,90,28,8,14,16,16,7,13,11,0,112,30,9,25,13,14,0,17,24,5,141,11,9,12,11,9,0,13,13,0,89,27,23,21,44,5,0,19,0,5,141,11,13,4,32,8,0,9,4,0,77,13,12,9,31,9,0,7,0,0,96,10,0,0,5,0,0,0,0,0,15,5,8,0,0,0,0,0,0,0,16
506071145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,3,3,3,0,0,0,3,14,31,3,0,0,5,7,4,0,3,0,24,0,15,4,42,5,28,0,19,0,108,0,12,0,57,21,17,0,27,0,133,11,23,5,44,8,24,0,16,3,140,4,25,12,64,25,8,0,19,0,161,13,35,29,94,28,15,6,46,6,258,11,52,34,132,44,15,8,21,4,330,32,85,47,143,63,29,3,38,3,436,32,122,63,91,63,24,6,28,0,427,30,107,50,40,47,19,8,15,10,317,45,126,35,42,25,9,4,3,3,300,30,115,9,18,18,8,0,4,4,212,63,216,17,7,11,10,8,6,3,347,25,44,0,0,8,8,0,0,0,87,43,77,8,3,6,6,0,4,0,149
506071146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,6,0,3,3,3,0,0,3,0,17,32,0,6,0,8,0,0,0,0,0,25,4,14,4,47,4,67,4,34,0,174,12,13,0,41,21,38,6,40,4,172,5,12,13,37,16,30,0,27,3,136,5,17,10,48,11,14,8,25,0,146,12,30,16,73,18,32,6,32,7,221,11,29,24,88,31,26,7,45,6,272,16,54,35,119,29,25,0,24,10,310,26,66,33,102,37,14,6,23,0,302,30,81,35,41,20,5,6,8,0,226,33,98,19,21,22,6,3,5,4,204,23,80,11,16,9,0,0,4,0,138,44,152,11,14,9,8,9,0,0,248,18,33,3,0,3,0,0,0,0,69,14,37,0,0,0,0,0,0,0,59
506071147,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,16,22,0,7,10,9,3,0,0,5,46,79,7,11,6,3,5,0,0,5,0,44,0,30,5,64,11,60,0,35,7,209,9,36,10,98,23,41,0,36,3,263,12,29,28,71,37,31,0,27,4,240,20,41,35,77,37,31,0,32,13,286,22,67,48,137,94,32,9,55,9,470,35,102,81,164,119,41,7,54,9,617,47,164,125,181,159,45,11,61,5,805,75,244,169,153,195,53,21,41,16,969,80,250,147,60,155,52,10,22,8,790,97,339,107,44,140,25,12,12,14,783,97,372,66,40,73,20,10,14,7,690,278,697,58,30,94,31,19,10,11,1227,95,137,12,10,16,9,0,3,6,284,211,229,13,4,21,20,4,3,13,517
507011148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,21,4,5,5,5,3,0,0,3,0,27,4,14,9,31,3,32,6,15,0,117,0,16,11,24,10,30,4,23,0,115,6,10,10,37,22,18,3,31,5,141,3,18,22,37,20,21,5,21,3,148,11,29,28,68,20,29,3,43,3,238,6,38,31,111,33,22,6,34,4,291,18,44,40,106,32,20,12,36,0,306,21,39,51,83,29,17,15,37,0,303,22,72,39,27,11,16,14,15,10,220,14,86,31,21,14,7,14,14,3,200,13,94,22,10,12,3,5,3,0,154,52,98,28,8,9,3,6,7,0,212,15,19,9,0,0,3,0,0,0,46,11,22,6,0,0,3,0,0,3,47
