POW_SA2_CODE_2021,F_SthAfrica_ES_NS,F_SthAfrica_Tot,F_SriLanka_E,F_SriLanka_OM_IE,F_SriLanka_OM_UIE,F_SriLanka_CFW,F_SriLanka_ES_NS,F_SriLanka_Tot,F_Taiwan_E,F_Taiwan_OM_IE,F_Taiwan_OM_UIE,F_Taiwan_CFW,F_Taiwan_ES_NS,F_Taiwan_Tot,F_Thailand_E,F_Thailand_OM_IE,F_Thailand_OM_UIE,F_Thailand_CFW,F_Thailand_ES_NS,F_Thailand_Tot,F_UK_E,F_UK_OM_IE,F_UK_OM_UIE,F_UK_CFW,F_UK_ES_NS,F_UK_Tot,F_USA_E,F_USA_OM_IE,F_USA_OM_UIE,F_USA_CFW,F_USA_ES_NS,F_USA_Tot,F_Vietnam_E,F_Vietnam_OM_IE,F_Vietnam_OM_UIE,F_Vietnam_CFW,F_Vietnam_ES_NS,F_Vietnam_Tot,F_Elsewhere_E,F_Elsewhere_OM_IE,F_Elsewhere_OM_UIE,F_Elsewhere_CFW,F_Elsewhere_ES_NS,F_Elsewhere_Tot,F_COB_NS_E,F_COB_NS_OM_IE,F_COB_NS_OM_UIE,F_COB_NS_CFW,F_COB_NS_ES_NS,F_COB_NS_Tot,F_Tot_E,F_Tot_OM_IE,F_Tot_OM_UIE,F_Tot_CFW,F_Tot_ES_NS,F_Tot_Tot,P_Australia_E,P_Australia_OM_IE,P_Australia_OM_UIE,P_Australia_CFW,P_Australia_ES_NS,P_Australia_Tot,P_Afghanistan_E,P_Afghanistan_OM_IE,P_Afghanistan_OM_UIE,P_Afghanistan_CFW,P_Afghanistan_ES_NS,P_Afghanistan_Tot,P_Bangladesh_E,P_Bangladesh_OM_IE,P_Bangladesh_OM_UIE,P_Bangladesh_CFW,P_Bangladesh_ES_NS,P_Bangladesh_Tot,P_Canada_E,P_Canada_OM_IE,P_Canada_OM_UIE,P_Canada_CFW,P_Canada_ES_NS,P_Canada_Tot,P_China_E,P_China_OM_IE,P_China_OM_UIE,P_China_CFW,P_China_ES_NS,P_China_Tot,P_Croatia_E,P_Croatia_OM_IE,P_Croatia_OM_UIE,P_Croatia_CFW,P_Croatia_ES_NS,P_Croatia_Tot,P_Egypt_E,P_Egypt_OM_IE,P_Egypt_OM_UIE,P_Egypt_CFW,P_Egypt_ES_NS,P_Egypt_Tot,P_Fiji_E,P_Fiji_OM_IE,P_Fiji_OM_UIE,P_Fiji_CFW,P_Fiji_ES_NS,P_Fiji_Tot,P_Germany_E,P_Germany_OM_IE,P_Germany_OM_UIE,P_Germany_CFW,P_Germany_ES_NS,P_Germany_Tot,P_Greece_E,P_Greece_OM_IE,P_Greece_OM_UIE,P_Greece_CFW,P_Greece_ES_NS,P_Greece_Tot,P_HongKong_E,P_HongKong_OM_IE,P_HongKong_OM_UIE,P_HongKong_CFW,P_HongKong_ES_NS,P_HongKong_Tot,P_India_E,P_India_OM_IE,P_India_OM_UIE,P_India_CFW,P_India_ES_NS,P_India_Tot,P_Indonesia_E,P_Indonesia_OM_IE,P_Indonesia_OM_UIE,P_Indonesia_CFW,P_Indonesia_ES_NS,P_Indonesia_Tot,P_Iran_E,P_Iran_OM_IE,P_Iran_OM_UIE,P_Iran_CFW,P_Iran_ES_NS,P_Iran_Tot,P_Iraq_E,P_Iraq_OM_IE,P_Iraq_OM_UIE,P_Iraq_CFW,P_Iraq_ES_NS,P_Iraq_Tot,P_Ireland_E,P_Ireland_OM_IE,P_Ireland_OM_UIE,P_Ireland_CFW,P_Ireland_ES_NS,P_Ireland_Tot,P_Italy_E,P_Italy_OM_IE,P_Italy_OM_UIE,P_Italy_CFW,P_Italy_ES_NS,P_Italy_Tot,P_Japan_E,P_Japan_OM_IE,P_Japan_OM_UIE,P_Japan_CFW,P_Japan_ES_NS,P_Japan_Tot,P_KoreaSouth_E,P_KoreaSouth_OM_IE,P_KoreaSouth_OM_UIE,P_KoreaSouth_CFW,P_KoreaSouth_ES_NS,P_KoreaSouth_Tot,P_Lebanon_E,P_Lebanon_OM_IE,P_Lebanon_OM_UIE,P_Lebanon_CFW,P_Lebanon_ES_NS,P_Lebanon_Tot,P_Malaysia_E,P_Malaysia_OM_IE,P_Malaysia_OM_UIE,P_Malaysia_CFW,P_Malaysia_ES_NS,P_Malaysia_Tot,P_Nepal_E,P_Nepal_OM_IE,P_Nepal_OM_UIE,P_Nepal_CFW,P_Nepal_ES_NS,P_Nepal_Tot,P_Netherlands_E,P_Netherlands_OM_IE,P_Netherlands_OM_UIE,P_Netherlands_CFW,P_Netherlands_ES_NS,P_Netherlands_Tot,P_NZ_E,P_NZ_OM_IE,P_NZ_OM_UIE,P_NZ_CFW,P_NZ_ES_NS,P_NZ_Tot
505021084,0,129,17,0,0,0,0,16,7,0,0,0,0,9,28,0,5,0,0,32,457,22,21,4,0,500,21,4,0,0,0,30,54,3,9,0,3,65,389,21,16,3,5,430,7,0,3,0,5,15,4428,232,232,41,21,4948,6239,556,355,39,23,7201,20,0,4,0,0,29,11,0,0,0,0,18,34,3,5,5,0,45,99,13,13,0,0,123,22,0,0,0,0,27,13,0,0,0,0,20,6,0,0,0,0,8,56,3,4,0,0,59,11,4,0,0,0,11,29,4,0,0,0,37,339,20,15,5,3,385,60,6,0,0,0,70,36,0,5,0,0,45,5,0,3,0,0,8,164,25,12,0,0,204,85,17,16,7,0,117,11,0,0,0,0,16,26,9,0,0,0,32,0,0,0,0,0,0,138,10,3,0,0,158,35,0,0,0,0,35,15,6,0,0,0,19,427,26,24,5,0,483
505021085,0,30,3,0,0,0,0,7,0,0,0,0,0,0,10,0,0,0,0,10,101,0,11,0,0,110,4,0,0,0,0,4,27,4,16,3,0,52,124,12,23,0,4,168,3,0,0,0,0,6,1088,30,97,13,14,1242,911,23,93,3,6,1042,11,3,10,0,0,19,0,0,0,0,0,3,6,0,0,0,0,3,8,3,6,0,0,14,5,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,0,0,5,4,0,0,0,0,4,4,0,0,0,0,3,54,10,22,0,0,86,3,0,0,0,0,10,6,0,5,0,0,13,6,3,4,0,0,12,13,0,0,0,0,13,11,0,0,0,0,9,0,0,0,0,0,0,6,0,0,0,0,4,0,3,0,0,0,5,19,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,49,4,0,0,0,55
505021087,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505021088,0,55,9,0,0,0,0,9,14,0,0,0,0,15,11,0,7,0,0,16,157,14,8,3,0,178,5,0,0,0,0,12,37,0,4,0,0,46,194,6,21,5,0,225,3,0,0,0,0,0,2255,89,199,23,8,2576,2105,152,241,18,8,2532,5,0,5,0,0,5,0,0,0,0,0,0,12,0,0,0,0,16,72,17,8,5,0,95,11,0,0,0,0,12,0,0,0,0,0,0,3,0,0,0,0,4,10,4,5,0,0,23,3,0,0,0,0,5,18,0,3,0,0,25,198,14,3,0,0,216,16,3,0,0,0,24,15,0,5,0,0,16,7,4,0,0,0,8,32,4,4,0,0,41,21,0,0,5,0,24,18,0,3,0,0,18,13,0,0,0,0,17,5,0,0,0,0,6,44,0,5,6,0,49,30,0,0,0,0,30,7,0,0,0,0,7,86,10,7,0,0,105
505021089,0,120,6,0,3,0,0,11,5,0,0,0,0,5,22,0,0,0,0,21,385,14,35,3,0,444,16,0,0,0,0,19,44,3,0,0,0,50,294,3,33,3,0,335,17,0,0,0,0,18,3730,157,269,42,10,4211,3244,310,300,43,10,3908,12,6,4,0,0,13,0,0,0,0,0,0,23,3,3,0,0,33,68,16,14,0,0,93,8,0,4,0,0,11,10,5,3,0,0,15,4,0,0,0,0,4,15,4,14,0,0,29,12,0,0,0,0,8,18,0,3,0,0,15,161,6,4,4,0,177,28,0,0,0,0,29,20,5,5,0,0,27,4,0,0,0,0,4,60,5,9,0,0,79,38,3,5,0,0,52,17,0,3,0,0,17,23,0,0,0,0,29,0,0,0,0,0,0,53,11,10,0,0,73,40,0,0,0,0,40,8,0,9,0,0,15,142,10,17,0,0,182
505021090,0,21,5,0,4,0,0,5,0,0,0,0,0,0,4,0,3,0,0,9,65,0,5,0,0,73,4,0,0,0,0,4,25,0,9,0,0,38,103,5,19,0,4,139,8,0,0,0,0,8,873,39,123,17,5,1054,655,54,106,8,5,827,9,3,3,0,0,13,7,0,0,0,0,4,5,0,0,0,0,3,18,4,3,0,0,30,0,0,0,0,0,3,4,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,5,0,0,0,0,7,101,18,35,0,0,156,0,0,5,0,0,3,4,0,4,0,0,17,12,3,4,0,0,19,11,3,3,0,0,25,9,4,4,5,0,20,0,0,5,0,0,5,8,0,0,0,0,5,0,0,0,0,0,6,22,0,5,5,0,27,6,0,0,0,0,6,0,0,0,0,0,7,33,0,7,0,0,41
505021091,0,361,44,0,0,0,0,46,24,0,3,0,0,33,40,0,0,0,0,43,1089,30,19,0,0,1143,40,0,0,0,0,41,205,5,6,0,3,219,761,24,20,6,0,819,26,0,0,0,0,34,10024,319,182,48,36,10610,12469,889,319,60,43,13775,35,0,0,0,0,50,17,0,0,0,0,17,56,3,5,0,0,65,276,21,8,7,3,310,32,6,0,0,0,36,21,0,0,0,0,21,7,0,0,0,0,7,101,3,0,0,0,111,13,5,0,0,0,16,88,3,4,0,0,98,718,47,23,4,7,806,125,9,0,0,0,140,88,8,0,0,0,105,21,0,0,0,0,25,323,20,10,0,3,358,116,28,8,5,0,163,39,0,0,0,0,45,69,4,4,0,0,77,10,0,0,0,0,9,345,15,5,0,0,368,46,0,6,0,0,49,48,5,5,0,0,58,775,34,18,0,0,838
505021092,0,49,5,0,0,0,0,9,3,0,0,0,0,7,19,0,0,0,0,21,100,9,21,0,0,134,7,0,0,0,0,16,11,0,4,0,0,14,172,16,28,3,0,215,4,0,0,0,0,3,1316,113,252,28,3,1711,1163,198,282,32,11,1680,0,0,0,0,0,3,0,0,0,0,0,0,10,3,0,0,0,15,34,12,0,0,0,53,5,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,12,5,8,0,0,24,0,0,0,0,0,0,0,0,3,0,0,7,77,8,6,0,0,90,22,0,0,0,0,22,5,3,0,0,0,7,6,0,0,0,0,6,33,6,8,0,0,46,32,4,7,0,0,49,18,0,0,0,0,23,12,3,0,0,0,22,0,0,0,0,0,0,14,3,6,0,0,24,9,0,0,0,0,11,4,0,0,0,0,5,57,18,16,0,0,83
505021093,0,105,14,0,3,0,0,16,20,0,0,0,0,23,9,0,4,0,0,21,345,9,14,4,0,367,12,0,0,0,0,15,38,6,0,0,0,48,345,15,17,4,0,382,14,0,0,0,0,15,3274,170,212,46,31,3730,3203,378,271,42,25,3930,16,0,0,0,0,17,3,0,0,0,0,3,15,0,0,0,0,19,101,14,15,9,0,133,17,3,4,0,0,21,8,0,4,0,0,11,0,0,0,0,0,0,16,0,6,0,0,22,11,0,6,0,0,9,27,0,3,0,0,29,253,9,12,0,7,281,44,0,3,0,0,44,22,4,9,0,0,32,7,0,0,0,0,7,88,16,0,0,0,103,59,14,17,3,0,92,13,0,0,0,0,18,15,0,0,0,0,15,6,0,0,0,0,6,80,11,8,3,0,102,23,0,0,0,0,23,21,0,0,0,0,20,228,17,5,0,4,258
505021094,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,8,20,3,0,82,4,0,0,0,0,4,0,0,0,0,0,4,35,7,3,0,0,46,0,0,0,0,0,0,596,91,123,25,3,838,632,155,147,37,3,980,7,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,6,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,11,3,4,0,0,17,5,0,0,0,0,5,4,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,13,8,5,0,0,0,15,0,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,15,0,0,0,0,0,0,4,0,0,0,0,8,29,11,4,0,0,45
